"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000326",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","19 Apr 2020 14:22:26 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
19-04 14:22:26,0.115,0.037,99.798,0.015,0.036,446967808,4169154560,170565632,3306897408,0,0,2439.420,64395.005,0.111,0.596,188.190,158.569,0.690,0.650,0.470,2,0,0.436,0,0,12,3,0,4,0
19-04 14:22:27,9.898,20.812,69.036,0,0.254,447680512,4167507968,170565632,3307470848,8306,1944,24576,69632,1,7,2602,4933,0.690,0.650,0.470,1,0,468,0,0,12,3,0,4,0
19-04 14:22:28,12.214,21.374,66.158,0,0.254,447406080,4167221248,170565632,3308216320,10573,2202,0,32768,0,8,2790,5213,0.690,0.650,0.470,3,0,356,0,0,12,3,0,4,0
19-04 14:22:29,9.824,8.564,77.582,4.030,0,578183168,4036026368,170565632,3436052480,6214,2160,0,544768,0,56,2587,5870,0.690,0.650,0.470,1,1,86,0,0,14,3,0,4,0
19-04 14:22:30,6.549,12.594,73.804,6.801,0.252,580751360,4033441792,170565632,3436068864,6559,2160,0,6225920,0,164,2162,3343,0.720,0.650,0.470,1,0,297,0,0,14,5,0,6,0
19-04 14:22:31,22.055,2.757,73.935,1.253,0,624701440,3989241856,170565632,3436285952,6320,2106,98304,0,4,0,690,769,0.720,0.650,0.470,1,0,1,0,0,14,5,0,6,0
19-04 14:22:32,17.370,4.467,71.464,6.452,0.248,662446080,3949830144,170631168,3437871104,5553,2214,110592,3137536,10,115,1310,2391,0.720,0.650,0.470,0,1,2,0,0,14,7,0,6,0
19-04 14:22:33,7.750,4,71.500,16.500,0.250,666660864,3943956480,171134976,3439058944,6070,2160,0,9486336,0,798,3732,7352,0.720,0.650,0.470,1,1,0,0,0,14,7,0,6,0
19-04 14:22:34,7.576,4.545,72.222,15.657,0,669777920,3870908416,171511808,3507163136,7141,2160,0,74743808,0,656,3357,6423,0.720,0.650,0.470,5,0,0,0,0,14,7,0,6,0
19-04 14:22:35,8.838,6.313,66.162,18.687,0,671625216,3868004352,171966464,3507683328,6290,2052,0,85045248,0,1125,4192,7925,0.820,0.680,0.480,0,1,0,0,0,14,7,0,6,0
19-04 14:22:36,15.711,4.988,69.327,9.726,0.249,673693696,3864662016,172457984,3508441088,13113,2148,0,7237632,0,572,4100,10735,0.820,0.680,0.480,0,1,0,0,0,14,7,0,6,0
19-04 14:22:37,11.083,4.030,71.285,13.602,0,675422208,3861524480,173015040,3509239808,18164,2052,0,9211904,0,709,3369,9136,0.820,0.680,0.480,0,1,0,0,0,14,7,0,6,0
19-04 14:22:38,11.307,4.523,70.603,13.317,0.251,678080512,3857616896,173637632,3509788672,6920,2214,0,10194944,0,809,4147,9619,0.820,0.680,0.480,0,1,0,0,0,14,7,0,6,0
