"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000317",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Apr 2020 13:11:52 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-04 13:11:52,3.479,1.147,94.839,0.484,0.051,439386112,4212764672,152215552,3302879232,0,0,78394.596,2146070.460,2.788,18.131,729.397,995.244,0.540,0.600,0.490,2,0,14.540,0,0,12,3,0,4,0
17-04 13:11:53,10.941,19.084,69.466,0,0.509,439934976,4211597312,152215552,3303116800,9242,2160,24576,372736,1,25,2712,5021,0.540,0.600,0.490,4,0,465,0,0,12,3,0,4,0
17-04 13:11:54,14.066,20.460,65.217,0,0.256,441155584,4209872896,152215552,3303526400,6729,2160,0,32768,0,8,3712,7682,0.540,0.600,0.490,2,0,387,0,0,12,3,0,4,0
17-04 13:11:55,8.081,12.626,79.293,0,0,571027456,4079505408,152215552,3431624704,7605,2160,0,0,0,0,3141,5552,0.540,0.600,0.490,3,0,211,0,0,14,5,0,4,0
17-04 13:11:56,17.632,8.564,73.300,0.252,0.252,605732864,4044664832,152215552,3431723008,10428,2160,73728,0,1,0,1338,2192,0.490,0.590,0.490,3,0,141,0,0,14,5,0,6,0
17-04 13:11:57,21.197,3.990,73.067,1.746,0,652091392,3996889088,152236032,3433086976,9434,2106,135168,1724416,13,26,910,1572,0.490,0.590,0.490,2,0,0,0,0,14,7,0,6,0
17-04 13:11:58,6.549,3.526,73.300,16.373,0.252,657625088,3989123072,152768512,3434680320,10823,2214,0,8949760,0,663,3169,5139,0.490,0.590,0.490,3,0,0,0,0,14,7,0,6,0
17-04 13:11:59,7.614,4.569,73.096,14.721,0,661557248,3915485184,153100288,3502555136,25128,2160,0,75108352,0,697,3529,5841,0.490,0.590,0.490,2,1,0,0,0,14,7,0,6,0
17-04 13:12:00,8.608,3.038,72.658,15.443,0.253,663678976,3912171520,153550848,3503222784,8412,2106,0,8916992,0,756,4208,6516,0.490,0.590,0.490,1,1,0,0,0,14,7,0,6,0
17-04 13:12:01,14.358,4.534,70.277,10.579,0.252,665587712,3908931584,154128384,3503964160,7933,2106,0,7503872,0,611,3576,11445,0.530,0.600,0.490,2,0,0,0,0,14,7,0,6,0
17-04 13:12:02,9.343,3.283,72.727,14.646,0,667533312,3905761280,154566656,3504705536,6125,2052,0,8380416,0,659,2771,8011,0.530,0.600,0.490,2,0,0,0,0,14,7,0,6,0
17-04 13:12:03,7.848,5.823,68.101,17.975,0.253,669429760,3902881792,155140096,3504996352,7305,2160,0,92872704,0,1172,3521,8619,0.530,0.600,0.490,2,0,0,0,0,14,7,0,7,0
17-04 13:12:04,17.259,4.315,69.543,8.883,0,671670272,3899035648,155455488,3506245632,6185,2160,0,6647808,0,497,4262,12889,0.530,0.600,0.490,1,1,2,0,0,14,7,0,7,0
17-04 13:12:05,17.380,4.030,69.018,9.320,0.252,672890880,3896340480,155758592,3507388416,6561,2160,0,7225344,0,540,4938,12701,0.530,0.600,0.490,4,0,0,0,0,14,7,0,6,0
17-04 13:12:06,14.106,4.282,71.285,10.076,0.252,673443840,3895201792,156180480,3507511296,6328,2160,0,8658944,0,645,4097,10272,0.730,0.640,0.500,4,0,0,0,0,14,7,0,6,0
