-- Logs begin at Tue 2020-04-21 07:59:23 UTC, end at Tue 2020-04-21 11:49:50 UTC. --
Apr 21 11:19:00 cloud-provider-iscsi-0000000341 systemd[1]: Started Devstack devstack@dstat.service.
Apr 21 11:19:00 cloud-provider-iscsi-0000000341 dstat.sh[29857]: [286B blob data]
Apr 21 11:19:00 cloud-provider-iscsi-0000000341 dstat.sh[29857]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 21 11:19:00 cloud-provider-iscsi-0000000341 dstat.sh[29857]: 21-04 11:19:00|  1   0  98   0   0| 421M 4014M  146M 3151M|   0     0 |  27k  752k|1.00  6.53 | 371   442 |0.55 0.57 0.44|3.0   0 5.2|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2765  620k 584k0.0%|mysqld       173M|   0     0 |  12    3    0    5    0
Apr 21 11:19:01 cloud-provider-iscsi-0000000341 dstat.sh[29857]: 21-04 11:19:01| 10  20  70   0   0| 420M 4014M  146M 3152M|8474B 2160B|  24k  120k|1.00  8.00 |2528  5106 |0.55 0.57 0.44|1.0   0 455|   0     0 |bash                 2765 3.2%1474k  29k|bash                 2765 1474k  29k3.2%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 21 11:19:02 cloud-provider-iscsi-0000000341 dstat.sh[29857]: 21-04 11:19:02| 14  21  65   0   0| 421M 4012M  146M 3152M|9748B 2160B|   0    32k|   0  8.00 |2981  6110 |0.59 0.58 0.45|1.0   0 363|   0     0 |systemd              1    4.2%   0    0 |bash                 2765 2862k  23k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 21 11:19:03 cloud-provider-iscsi-0000000341 dstat.sh[29857]: 21-04 11:19:03| 11  13  76   0   0| 546M 3887M  146M 3274M|7233B 2160B|   0  4096B|   0  1.00 |3635  5346 |0.59 0.58 0.45|  0   0 114|   0     0 |systemd              1    8.0%   0    0 |bash                 2765  575k2792B0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 21 11:19:04 cloud-provider-iscsi-0000000341 dstat.sh[29857]: 21-04 11:19:04|  5  11  83   0   0| 547M 3886M  146M 3274M|8876B 2160B|   0     0 |   0     0 |1771  3524 |0.59 0.58 0.45|1.0   0 281|   0     0 |bash                 2765 2.2% 589k  17k|bash                 2765  589k  17k2.2%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 21 11:19:05 cloud-provider-iscsi-0000000341 dstat.sh[29857]: 21-04 11:19:05| 23   3  74   0   0| 588M 3844M  146M 3275M|  10k 2160B|  96k  572k|4.00  3.00 | 778   949 |0.59 0.58 0.45|1.0   0  14|   0     0 |keystone-manage      31173 24%  10M 126k|keystone-manage      31173  10M 126k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 21 11:19:06 cloud-provider-iscsi-0000000341 dstat.sh[29857]: 21-04 11:19:06| 18   3  74   6   0| 626M 3805M  146M 3276M|9646B 2160B| 108k 3692k|10.0   157 |1802  3368 |0.59 0.58 0.45|  0 1.0   0|   0     0 |keystone-manage      31173 16%6432k 658k|keystone-manage      311736432k 658k 16%|mysqld       186M|   0     0 |  14    7    0    6    0
Apr 21 11:19:07 cloud-provider-iscsi-0000000341 dstat.sh[29857]: 21-04 11:19:07|  7   4  72  17   0| 631M 3798M  147M 3277M|8377B 2106B|   0  9560k|   0   828 |3860  6747 |0.62 0.58 0.45|1.0   0   0|   0     0 |mysqld               291375.8%   0    0 |keystone-manage      311739810B5286B3.2%|mysqld       190M|   0     0 |  14    7    0    6    0
Apr 21 11:19:08 cloud-provider-iscsi-0000000341 dstat.sh[29857]: 21-04 11:19:08|  7   4  74  15   0| 633M 3729M  147M 3342M|  18k 2106B|   0    71M|   0   647 |3211  6590 |0.62 0.58 0.45|  0 1.0   0|   0     0 |mysqld               291375.8%   0    0 |keystone-manage      31173  22k  14k4.0%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 21 11:19:09 cloud-provider-iscsi-0000000341 dstat.sh[29857]: 21-04 11:19:09| 11   5  70  14   0| 635M 3726M  148M 3343M|  17k 2052B|   0  8848k|   0   748 |3933  9088 |0.62 0.58 0.45|  0 1.0   0|   0     0 |mysqld               291377.2%   0    0 |keystone-manage      31173  35k  20k6.0%|mysqld       195M|   0     0 |  14    7    0    6    0
