"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000048",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","27 Mar 2020 10:12:45 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
27-03 10:12:45,2.038,0.652,96.984,0.276,0.050,442073088,4435968000,175714304,3043266560,0,0,42059.027,1185078.338,1.506,10.511,500.357,687.236,0.590,0.620,0.510,2,0,7.785,0,0,12,4,0,3,0
27-03 10:12:46,9.799,19.849,69.598,0.251,0.503,442380288,4434812928,175718400,3043737600,6157,16056,0,81920,0,5,2570,5162,0.590,0.620,0.510,2,0,449,0,0,12,4,0,3,0
27-03 10:12:47,12.312,22.613,65.075,0,0,441962496,4434739200,175718400,3044155392,6425,18978,0,3559424,0,23,3379,5787,0.700,0.650,0.520,2,0,373,0,0,12,4,0,3,0
27-03 10:12:48,8.333,11.111,80.303,0,0.253,573849600,4302225408,175718400,3172376576,8494,9386,0,4096,0,1,3672,4925,0.700,0.650,0.520,1,0,105,0,0,14,4,0,3,0
27-03 10:12:49,13.065,15.075,71.608,0,0.251,585932800,4290052096,175722496,3172409344,6521,7818,0,0,0,0,2039,3716,0.700,0.650,0.520,2,0,296,0,0,14,6,0,5,0
27-03 10:12:50,20.352,3.518,73.869,2.261,0,626040832,4249440256,175730688,3172691968,6958,10024,90112,0,4,0,703,889,0.700,0.650,0.520,2,0,3,0,0,14,6,0,5,0
27-03 10:12:51,14.824,4.020,72.864,8.291,0,662704128,4210286592,175906816,3174682624,16772,2160,73728,5107712,9,233,2069,3773,0.700,0.650,0.520,1,1,0,0,0,14,8,0,5,0
27-03 10:12:52,6.835,5.823,71.139,15.949,0.253,667156480,4204523520,176410624,3175383040,12176,138372,0,9265152,0,818,4884,7612,0.800,0.670,0.520,2,0,0,0,0,14,8,0,5,0
27-03 10:12:53,6.888,4.337,73.469,15.051,0.255,670277632,4131278848,176943104,3243671552,9754,6574,0,74227712,0,629,3848,6166,0.800,0.670,0.520,2,0,0,0,0,14,8,0,5,0
27-03 10:12:54,11.139,3.544,71.139,13.924,0.253,672038912,4128514048,177500160,3244089344,15268,4876,0,8777728,0,710,4308,7991,0.800,0.670,0.520,3,0,0,0,0,14,8,0,5,0
27-03 10:12:55,15.228,5.330,69.036,10.406,0,673734656,4125503488,177987584,3244863488,7416,19342,0,7344128,0,590,5635,10161,0.800,0.670,0.520,2,0,0,0,0,14,8,0,5,0
27-03 10:12:56,11.168,4.315,71.320,12.944,0.254,675864576,4121980928,178540544,3245637632,12078,320606,0,8294400,0,618,4227,10023,0.800,0.670,0.520,1,1,0,0,0,14,8,0,5,0
27-03 10:12:57,7.868,4.315,64.467,23.350,0,677855232,4119408640,178937856,3245854720,8566,7196,0,49250304,0,1268,4710,5764,0.900,0.690,0.530,4,0,0,0,0,14,8,0,5,0
