-- Logs begin at Fri 2020-03-27 07:58:14 UTC, end at Fri 2020-03-27 10:44:03 UTC. --
Mar 27 10:12:45 cloud-provider-iscsi-0000000048 systemd[1]: Started Devstack devstack@dstat.service.
Mar 27 10:12:45 cloud-provider-iscsi-0000000048 dstat.sh[30533]: [286B blob data]
Mar 27 10:12:45 cloud-provider-iscsi-0000000048 dstat.sh[30533]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 27 10:12:45 cloud-provider-iscsi-0000000048 dstat.sh[30533]: 27-03 10:12:45|  2   1  97   0   0| 422M 4230M  168M 2902M|   0     0 |  41k 1157k|1.51  10.5 | 500   687 |0.59 0.62 0.51|2.0   0 7.8|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2502  875k 758k0.0%|mysqld       174M|   0     0 |  12    4    0    3    0
Mar 27 10:12:46 cloud-provider-iscsi-0000000048 dstat.sh[30533]: 27-03 10:12:46| 10  20  70   0   1| 422M 4229M  168M 2903M|6157B   16k|   0    80k|   0  5.00 |2575  5164 |0.59 0.62 0.51|2.0   0 450|   0     0 |bash                 2502 4.0%1380k  29k|bash                 2502 1380k  29k4.0%|mysqld       174M|   0     0 |  12    4    0    3    0
Mar 27 10:12:47 cloud-provider-iscsi-0000000048 dstat.sh[30533]: 27-03 10:12:47| 12  23  65   0   0| 421M 4229M  168M 2903M|6425B   19k|   0  3476k|   0  23.0 |3379  5787 |0.70 0.65 0.52|2.0   0 373|   0     0 |systemd              1    2.8%   0    0 |bash                 2502 3283k  25k2.2%|mysqld       174M|   0     0 |  12    4    0    3    0
Mar 27 10:12:48 cloud-provider-iscsi-0000000048 dstat.sh[30533]: 27-03 10:12:48|  8  11  80   0   0| 547M 4103M  168M 3025M|8494B 9386B|   0  4096B|   0  1.00 |3672  4925 |0.70 0.65 0.52|1.0   0 105|   0     0 |systemd              1    5.8%   0    0 |bash                 2502  268k1588B  0%|mysqld       174M|   0     0 |  14    6    0    3    0
Mar 27 10:12:49 cloud-provider-iscsi-0000000048 dstat.sh[30533]: 27-03 10:12:49| 13  15  72   0   0| 559M 4091M  168M 3025M|6521B 7818B|   0     0 |   0     0 |2039  3716 |0.70 0.65 0.52|2.0   0 296|   0     0 |keystone-manage      318417.0%2269k  79k|keystone-manage      318412269k  79k7.0%|mysqld       174M|   0     0 |  14    6    0    5    0
Mar 27 10:12:50 cloud-provider-iscsi-0000000048 dstat.sh[30533]: 27-03 10:12:50| 20   4  74   2   0| 597M 4053M  168M 3026M|6958B   10k|  88k    0 |4.00     0 | 703   889 |0.70 0.65 0.52|2.0   0 3.0|   0     0 |keystone-manage      31841 23%  10M 190k|keystone-manage      31841  10M 190k 23%|mysqld       174M|   0     0 |  14    6    0    5    0
Mar 27 10:12:51 cloud-provider-iscsi-0000000048 dstat.sh[30533]: 27-03 10:12:51| 15   4  73   8   0| 632M 4015M  168M 3028M|  16k 2160B|  72k 4956k|9.00   232 |2069  3773 |0.70 0.65 0.52|1.0 1.0   0|   0     0 |keystone-manage      31841 14%5181k 571k|keystone-manage      318415181k 571k 14%|mysqld       187M|   0     0 |  14    8    0    5    0
Mar 27 10:12:52 cloud-provider-iscsi-0000000048 dstat.sh[30533]: 27-03 10:12:52|  7   6  71  16   0| 636M 4010M  168M 3028M|  12k  135k|   0  9080k|   0   819 |4883  7596 |0.80 0.67 0.52|2.0   0   0|   0     0 |mysqld               298097.0%   0    0 |tail                 7272  129k 129k  0%|mysqld       191M|   0     0 |  14    8    0    5    0
Mar 27 10:12:53 cloud-provider-iscsi-0000000048 dstat.sh[30533]: 27-03 10:12:53|  7   4  73  15   0| 639M 3940M  169M 3093M|9754B 6574B|   0    71M|   0   629 |3849  6182 |0.80 0.67 0.52|2.0   0   0|   0     0 |mysqld               298095.8%   0    0 |keystone-manage      31841  22k  14k4.5%|mysqld       193M|   0     0 |  14    8    0    5    0
Mar 27 10:12:54 cloud-provider-iscsi-0000000048 dstat.sh[30533]: 27-03 10:12:54| 11   4  71  14   0| 641M 3937M  169M 3094M|  15k 4876B|   0  8572k|   0   710 |4308  7991 |0.80 0.67 0.52|3.0   0   0|   0     0 |mysqld               298096.8%   0    0 |keystone-manage      31841  33k  19k5.5%|mysqld       195M|   0     0 |  14    8    0    5    0
