-- Logs begin at Fri 2020-04-10 12:25:57 UTC, end at Fri 2020-04-10 15:16:35 UTC. --
Apr 10 14:45:41 cloud-provider-iscsi-0000000235 systemd[1]: Started Devstack devstack@dstat.service.
Apr 10 14:45:41 cloud-provider-iscsi-0000000235 dstat.sh[29651]: [286B blob data]
Apr 10 14:45:41 cloud-provider-iscsi-0000000235 dstat.sh[29651]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 10 14:45:41 cloud-provider-iscsi-0000000235 dstat.sh[29651]: 10-04 14:45:41|  2   1  97   0   0| 423M 4442M  145M 2730M|   0     0 |  39k 1018k|1.45  9.17 | 465   660 |0.58 0.64 0.47|2.0   0 7.4|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2463  734k 684k0.0%|mysqld       174M|   0     0 |  12    4    0    4    0
Apr 10 14:45:42 cloud-provider-iscsi-0000000235 dstat.sh[29651]: 10-04 14:45:42| 12  19  69   0   0| 423M 4441M  145M 2731M|  12k   29k|  24k  104k|1.00  9.00 |2886  6048 |0.58 0.64 0.47|3.0   0 487|   0     0 |bash                 2463 4.0%1807k  31k|bash                 2463 1807k  31k4.0%|mysqld       174M|   0     0 |  12    4    0    4    0
Apr 10 14:45:43 cloud-provider-iscsi-0000000235 dstat.sh[29651]: 10-04 14:45:43| 12  22  66   0   0| 428M 4436M  145M 2731M|  11k   11k|   0    32k|   0  8.00 |3366  7013 |0.58 0.64 0.47| 14   0 370|   0     0 |systemd              1    4.8%   0    0 |bash                 2463 2863k  23k1.8%|mysqld       174M|   0     0 |  12    4    0    4    0
Apr 10 14:45:44 cloud-provider-iscsi-0000000235 dstat.sh[29651]: 10-04 14:45:44| 10  12  78   0   0| 549M 4314M  145M 2853M|6636B 6156B|   0     0 |   0     0 |3499  4853 |0.58 0.64 0.47|2.0   0 168|   0     0 |systemd              1    5.2%   0    0 |bash                 2463  504k6732B1.0%|mysqld       174M|   0     0 |  14    6    0    4    0
Apr 10 14:45:45 cloud-provider-iscsi-0000000235 dstat.sh[29651]: 10-04 14:45:45| 18  10  72   0   0| 576M 4287M  145M 2853M|6877B   15k|   0   328k|   0  22.0 |1699  2510 |0.62 0.65 0.47|2.0   0 190|   0     0 |keystone-manage      30963 15%6305k  79k|keystone-manage      309636305k  79k 15%|mysqld       174M|   0     0 |  14    6    0    6    0
Apr 10 14:45:46 cloud-provider-iscsi-0000000235 dstat.sh[29651]: 10-04 14:45:46| 21   3  75   1   0| 613M 4250M  145M 2854M|  14k 1998B| 192k    0 |13.0     0 | 678   752 |0.62 0.65 0.47|3.0   0   0|   0     0 |keystone-manage      30963 25%9275k 529k|keystone-manage      309639275k 529k 25%|mysqld       174M|   0     0 |  14    6    0    6    0
Apr 10 14:45:47 cloud-provider-iscsi-0000000235 dstat.sh[29651]: 10-04 14:45:47| 11   5  72  13   0| 631M 4229M  146M 2856M|8195B  125k|  12k 8332k|1.00   568 |3200  5456 |0.62 0.65 0.47|  0 1.0   0|   0     0 |keystone-manage      309637.2%1041k 175k|keystone-manage      309631041k 175k7.2%|mysqld       189M|   0     0 |  14    8    0    6    0
Apr 10 14:45:48 cloud-provider-iscsi-0000000235 dstat.sh[29651]: 10-04 14:45:48|  8   5  72  15   0| 635M 4158M  146M 2920M|  15k 5806B|   0    72M|   0   704 |3653  7159 |0.62 0.65 0.47|1.0 1.0 2.0|   0     0 |mysqld               289296.5%   0    0 |keystone-manage      30963  23k  13k3.8%|mysqld       192M|   0     0 |  14    8    0    6    0
Apr 10 14:45:49 cloud-provider-iscsi-0000000235 dstat.sh[29651]: 10-04 14:45:49|  9   3  73  15   0| 637M 4155M  147M 2921M|5982B 4390B|   0  8568k|   0   743 |3914  8162 |0.62 0.65 0.47|  0 1.0   0|   0     0 |mysqld               289295.8%   0    0 |keystone-manage      30963  23k  13k3.8%|mysqld       194M|   0     0 |  14    8    0    6    0
Apr 10 14:45:50 cloud-provider-iscsi-0000000235 dstat.sh[29651]: 10-04 14:45:50|  8   5  63  24   0| 639M 4152M  147M 2922M|6268B 6230B|   0    78M|   0   882 |2537  5141 |0.81 0.69 0.49|  0 1.0   0|   0     0 |keystone-manage      309634.2%  22k  13k|keystone-manage      30963  22k  13k4.2%|mysqld       195M|   0     0 |  14    8    0    6    0
Apr 10 14:45:51 cloud-provider-iscsi-0000000235 dstat.sh[29651]: 10-04 14:45:51| 14   5  70  11   0| 640M 4150M  147M 2922M|  12k  306k|   0  7708k|   0   613 |4523    11k|0.81 0.69 0.49|1.0 1.0   0|   0     0 |keystone-manage      309637.8%  39k 292k|python3.6            6212  274k 572k1.5%|mysqld       196M|   0     0 |  14    8    0    6    0
Apr 10 14:45:52 cloud-provider-iscsi-0000000235 dstat.sh[29651]: 10-04 14:45:52| 10   5  72  14   0| 642M 4146M  148M 2923M|6303B   10k|   0    10M|   0   820 |2394  9382 |0.81 0.69 0.49|2.0 1.0   0|   0     0 |mysqld               289296.5%   0    0 |keystone-manage      30963  34k  21k5.5%|mysqld       198M|   0     0 |  14    8    0    6    0
