"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000314",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Apr 2020 11:24:35 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-04 11:24:35,2.887,0.938,95.746,0.383,0.046,442568704,4213010432,148627456,3302797312,0,0,63862.237,1749432.328,2.273,14.736,649.392,841.491,1.050,0.770,0.560,3,0,11.881,0,0,12,3,0,4,0
17-04 11:24:36,8.264,17.631,64.187,9.642,0.275,443113472,4211658752,148639744,3303354368,7257,2106,24576,204800,1,17,1989,4114,1.050,0.770,0.560,3,0,340,0,0,12,3,0,4,0
17-04 11:24:37,14.937,18.734,65.570,0.759,0,445890560,4208680960,148639744,3303579648,16094,1998,0,24576,0,6,4531,7673,1.050,0.770,0.560,3,0,295,0,0,12,3,0,4,0
17-04 11:24:38,6.801,10.579,82.368,0,0.252,574062592,4079988736,148639744,3431645184,7376,2106,0,405504,0,1,2711,3782,1.050,0.770,0.560,4,0,211,0,0,14,5,0,4,0
17-04 11:24:39,18.388,6.801,73.804,1.008,0,617558016,4036210688,148639744,3431895040,6945,2160,98304,0,4,0,1133,1676,1.050,0.770,0.560,2,0,107,0,0,14,5,0,6,0
17-04 11:24:40,18.296,2.256,72.932,6.516,0,657657856,3994550272,148701184,3433377792,9272,2160,110592,2478080,10,74,1235,2331,1.050,0.780,0.560,1,1,0,0,0,14,7,0,6,0
17-04 11:24:41,1.519,1.519,74.430,22.278,0.253,658395136,3992928256,148811776,3434143744,7793,2106,0,2920448,0,214,1418,1924,1.050,0.780,0.560,1,1,2,0,0,14,7,0,6,0
17-04 11:24:42,4.534,2.771,71.788,20.907,0,661123072,3989385216,149118976,3434631168,9608,2256,0,5042176,0,474,2279,4499,1.050,0.780,0.560,1,1,0,0,0,14,7,0,6,0
17-04 11:24:43,4.261,1.504,70.175,23.810,0.251,663068672,3987177472,149266432,3434692608,6872,2160,0,4464640,0,367,1786,2674,1.050,0.780,0.560,1,2,0,0,0,14,7,0,6,0
17-04 11:24:44,0.754,1.005,56.784,41.457,0,664354816,3985113088,149274624,3435450368,6373,2106,0,19759104,0,402,1010,559,1.050,0.780,0.560,1,2,0,0,0,14,7,0,6,0
17-04 11:24:45,0.503,0.754,49.749,48.995,0,664928256,3984539648,149282816,3435442176,16753,2214,0,23818240,0,102,398,473,1.210,0.810,0.580,1,2,0,0,0,14,7,0,6,0
17-04 11:24:46,0.754,1.759,53.266,44.221,0,663162880,3986309120,149291008,3435450368,5991,2052,0,50229248,0,372,717,713,1.210,0.810,0.580,1,1,0,0,0,14,7,0,6,0
17-04 11:24:47,3.817,3.053,74.555,18.575,0,664793088,3915272192,149516288,3503247360,6976,2106,0,79761408,0,411,2156,3344,1.210,0.810,0.580,1,1,0,0,0,14,7,0,6,0
17-04 11:24:48,7.519,3.008,71.930,17.293,0.251,666783744,3912048640,149954560,3503964160,6836,2106,0,6725632,0,577,3511,5231,1.210,0.810,0.580,2,0,0,0,0,14,7,0,6,0
17-04 11:24:49,7.379,3.308,73.028,16.285,0,668413952,3909681152,150454272,3504168960,14479,2160,0,6586368,0,541,3072,5193,1.210,0.810,0.580,3,0,0,0,0,14,7,0,6,0
17-04 11:24:50,9.045,2.261,71.357,17.085,0.251,669462528,3907973120,150618112,3504644096,7412,2106,0,3657728,0,295,2611,6101,1.270,0.830,0.580,2,0,0,0,0,14,7,0,6,0
17-04 11:24:51,6.329,2.785,70.633,20.253,0,669732864,3907338240,150761472,3504857088,10302,2202,0,2658304,0,225,1741,3353,1.270,0.830,0.580,3,0,2,0,0,14,7,0,6,0
17-04 11:24:52,5.793,4.786,69.270,20.151,0,670232576,3906543616,150953984,3504951296,8178,2214,0,2523136,0,197,1453,3129,1.270,0.830,0.580,3,0,0,0,0,14,7,0,6,0
17-04 11:24:53,4.822,1.523,72.843,20.558,0.254,670949376,3905437696,151175168,3505102848,9652,2160,0,2842624,0,205,1584,3130,1.270,0.830,0.580,1,1,0,0,0,14,7,0,6,0
17-04 11:24:54,4.557,2.532,72.152,20.759,0,671490048,3904159744,151404544,3505590272,8962,2160,0,3141632,0,236,1771,3724,1.270,0.830,0.580,1,1,0,0,0,14,7,0,6,0
17-04 11:24:55,5.556,4.545,69.192,20.707,0,671948800,3903307776,151699456,3505684480,7898,2160,0,3506176,0,309,1877,3499,1.330,0.850,0.590,2,1,0,0,0,14,7,0,6,0
17-04 11:24:56,6.061,3.030,72.727,17.929,0.253,673443840,3901333504,151953408,3505889280,21813,2052,0,6344704,0,425,2647,4775,1.330,0.850,0.590,2,1,0,0,0,14,7,0,6,0
17-04 11:24:57,12.250,3.250,72,12.500,0,674942976,3898671104,152113152,3506872320,11777,2160,0,5537792,0,377,3883,8023,1.330,0.850,0.590,4,0,0,0,0,14,7,0,6,0
17-04 11:24:58,18.687,4.545,68.939,7.576,0.253,676286464,3895971840,152440832,3507847168,9339,2052,0,7221248,0,510,5706,10473,1.330,0.850,0.590,2,0,0,0,0,14,7,0,6,0
