"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000154",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","03 Apr 2020 13:51:29 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
03-04 13:51:29,0.690,0.237,98.953,0.080,0.040,442130432,4685901824,151265280,2839392256,0,0,16254.565,431192.546,0.583,3.804,295.060,342.414,1.080,0.790,0.560,2,0,3.011,0,0,12,3,0,4,0
03-04 13:51:30,8.740,21.851,69.152,0,0.257,441577472,4685656064,151273472,2839789568,6155,1932,24576,65536,1,7,2792,5075,1.080,0.790,0.560,1,0,492,0,0,12,3,0,4,0
03-04 13:51:31,12.658,18.481,64.051,4.557,0.253,441458688,4685426688,151273472,2840137728,16007,2214,0,364544,0,55,2744,4863,1.080,0.790,0.560,0,2,323,0,0,12,3,0,4,0
03-04 13:51:32,9.415,10.178,71.756,8.651,0,573210624,4553015296,151273472,2968399872,5620,2160,0,6205440,0,194,3267,4671,1.240,0.830,0.570,0,0,104,0,0,14,3,0,4,0
03-04 13:51:33,12.846,13.854,73.048,0,0.252,585555968,4540522496,151273472,2968498176,8670,2160,0,0,0,0,2178,3585,1.240,0.830,0.570,1,0,295,0,0,14,5,0,6,0
03-04 13:51:34,22.500,1.750,73.500,2,0.250,628031488,4497641472,151277568,2968899584,10071,2160,122880,0,7,0,797,909,1.240,0.830,0.570,1,0,2,0,0,14,5,0,7,0
03-04 13:51:35,15.539,4.261,71.679,8.521,0,659656704,4463353856,151613440,2971332608,10311,2160,86016,8384512,7,557,3079,5290,1.240,0.830,0.570,0,1,0,0,0,14,7,0,6,0
03-04 13:51:36,10.579,6.549,70.781,11.839,0.252,665141248,4387155968,152248320,3039805440,7014,2160,0,78766080,0,1017,4821,9681,1.240,0.830,0.570,0,1,0,0,0,14,7,0,6,0
03-04 13:51:37,14,6.250,66.500,13.250,0,667893760,4383367168,152887296,3040112640,9540,2160,0,64192512,0,1206,5919,12175,1.460,0.880,0.590,2,0,0,0,0,14,7,0,6,0
