"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000254",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","14 Apr 2020 12:17:25 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
14-04 12:17:25,1.433,0.491,97.861,0.170,0.045,441339904,4666716160,150990848,2857492480,0,0,33836.202,877044.173,1.218,7.798,415.638,570.402,0.610,0.680,0.520,3,0,6.226,0,0,12,3,0,4,0
14-04 12:17:26,10.101,20.707,68.939,0,0.253,440934400,4666441728,150990848,2857816064,10136,2160,24576,98304,1,7,2821,4896,0.610,0.680,0.520,3,0,467,0,0,12,3,0,4,0
14-04 12:17:27,12.658,21.266,66.076,0,0,439873536,4667092992,150990848,2858180608,7672,2052,0,32768,0,8,3150,5258,0.610,0.680,0.520,2,0,361,0,0,12,3,0,4,0
14-04 12:17:28,10.302,9.548,79.899,0,0.251,571527168,4534898688,150990848,2986377216,8283,2160,0,0,0,0,3152,4964,0.610,0.680,0.520,1,0,96,0,0,14,3,0,4,0
14-04 12:17:29,7.071,15.657,77.020,0,0.253,579874816,4526477312,150994944,2986409984,14361,2106,0,0,0,0,2054,3552,0.610,0.680,0.520,2,0,295,0,0,14,5,0,6,0
14-04 12:17:30,22.807,2.757,73.935,0.251,0.251,615751680,4490452992,150994944,2986545152,6933,2106,98304,0,4,0,669,711,0.640,0.680,0.520,2,0,0,0,0,14,5,0,6,0
14-04 12:17:31,20.603,3.015,72.111,4.271,0,654721024,4449800192,151048192,2988130304,5926,2202,110592,5890048,10,200,1832,2709,0.640,0.680,0.520,1,1,0,0,0,14,7,0,6,0
14-04 12:17:32,6.484,4.988,72.319,15.960,0.249,658800640,4444069888,151539712,2989178880,5257,2106,0,8753152,0,758,3974,5584,0.640,0.680,0.520,1,1,0,0,0,14,7,0,6,0
14-04 12:17:33,8.376,4.569,72.843,13.959,0.254,662212608,4370817024,151810048,3057225728,8811,2214,0,74162176,0,597,3314,6875,0.640,0.680,0.520,2,0,0,0,0,14,7,0,6,0
14-04 12:17:34,9.924,3.562,71.756,14.758,0,664707072,4367020032,152293376,3057971200,6860,2160,0,8343552,0,680,3444,7430,0.640,0.680,0.520,2,0,2,0,0,14,7,0,6,0
14-04 12:17:35,14.975,5.584,68.528,10.660,0.254,666828800,4363739136,152784896,3058606080,15585,2160,0,7892992,0,647,5374,11786,0.670,0.690,0.530,5,0,0,0,0,14,7,0,6,0
14-04 12:17:36,9.367,4.304,68.861,17.215,0.253,668254208,4361007104,153227264,3059380224,8535,2052,0,16044032,0,667,4104,7486,0.670,0.690,0.530,1,2,0,0,0,14,7,0,6,0
14-04 12:17:37,6.853,4.315,64.467,24.112,0.254,669954048,4358803456,153583616,3059466240,7330,2160,0,83451904,0,1014,3476,5906,0.670,0.690,0.530,2,0,0,0,0,14,7,0,6,0
14-04 12:17:38,15.816,4.592,69.388,10.204,0,672206848,4354584576,154062848,3060871168,7709,2106,0,8130560,0,615,6472,13833,0.670,0.690,0.530,2,0,0,0,0,14,7,0,6,0
14-04 12:17:39,19.395,5.038,67.254,8.060,0.252,673226752,4351868928,154480640,3062063104,7632,2106,0,7606272,0,544,7146,15871,0.670,0.690,0.530,2,0,0,0,0,14,7,0,6,0
14-04 12:17:40,13.433,6.468,68.905,11.194,0,673804288,4350660608,154902528,3062329344,8424,2160,0,9248768,0,713,5539,12877,0.700,0.700,0.530,2,0,0,0,0,14,7,0,6,0
14-04 12:17:41,19.799,6.266,73.183,0.501,0.251,626352128,4398022656,154947584,3062362112,8029,2160,0,651264,0,39,1480,2646,0.700,0.700,0.530,2,0,78,0,0,14,5,0,7,0
14-04 12:17:42,22.166,3.778,73.552,0.504,0,607277056,4416528384,154996736,3062865920,7224,2160,0,7000064,0,77,897,1238,0.700,0.700,0.530,3,0,11,0,0,14,5,0,7,0
