"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000265",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","15 Apr 2020 08:38:58 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
15-04 08:38:58,1.970,0.665,97.053,0.262,0.049,442257408,4613701632,151568384,2910244864,0,0,49390.543,1303487.775,1.778,11.671,506.108,754.793,0.580,0.700,0.480,2,0,8.252,0,0,12,3,0,4,0
15-04 08:38:59,10.486,18.670,70.588,0,0.256,442683392,4612456448,151572480,2910703616,7910,2160,24576,262144,1,8,2444,4981,0.610,0.700,0.480,2,0,434,0,0,12,3,0,4,0
15-04 08:39:00,11.735,20.408,67.857,0,0,442593280,4612157440,151572480,2911084544,7834,2160,0,28672,0,7,2844,5732,0.610,0.700,0.480,2,0,348,0,0,12,3,0,4,0
15-04 08:39:01,11.196,13.740,74.809,0,0.254,573947904,4480307200,151572480,3039191040,15367,2160,0,8192,0,2,3369,5447,0.610,0.700,0.480,0,0,147,0,0,14,3,0,4,0
15-04 08:39:02,2.750,6.250,90.750,0,0.250,574644224,4479578112,151572480,3039191040,7337,2200,0,0,0,0,1142,1881,0.610,0.700,0.480,1,0,127,0,0,14,5,0,4,0
15-04 08:39:03,17.380,9.572,72.796,0,0.252,607461376,4446638080,151576576,3039293440,11278,2214,0,0,0,0,1503,2292,0.610,0.700,0.480,1,0,171,0,0,14,5,0,6,0
15-04 08:39:04,20.907,2.267,74.055,2.771,0,640155648,4412997632,151576576,3040305152,17980,2160,196608,3612672,13,109,1001,873,0.640,0.710,0.480,2,0,0,0,0,14,5,0,6,0
15-04 08:39:05,11.083,4.030,73.300,11.335,0.252,659988480,4390801408,151977984,3042205696,9418,2160,12288,9261056,1,658,3136,6494,0.640,0.710,0.480,1,0,0,0,0,14,7,0,6,0
15-04 08:39:06,9.596,6.566,71.970,11.616,0.253,664952832,4315430912,152514560,3110518784,9535,2106,0,77357056,0,886,4829,8537,0.640,0.710,0.480,1,0,0,0,0,14,7,0,6,0
15-04 08:39:07,11.307,5.025,70.352,13.317,0,667332608,4312055808,153047040,3110887424,8544,2214,0,8966144,0,778,4500,9209,0.640,0.710,0.480,0,1,0,0,0,14,7,0,6,0
15-04 08:39:08,15.365,3.778,69.018,11.587,0.252,668758016,4309323776,153616384,3111579648,8570,1944,0,7417856,0,624,4594,11552,0.640,0.710,0.480,1,0,0,0,0,14,7,0,6,0
15-04 08:39:09,9.114,5.823,68.101,16.962,0,670605312,4305969152,154075136,3112538112,9266,2160,0,89632768,0,985,3289,6846,0.830,0.750,0.500,1,0,0,0,0,14,7,0,6,0
15-04 08:39:10,12.343,7.053,70.781,9.572,0.252,673587200,4301824000,154771456,3112960000,7517,2160,0,11702272,0,918,5533,11121,0.830,0.750,0.500,2,0,0,0,0,14,7,0,6,0
