-- Logs begin at Tue 2020-03-10 15:05:46 UTC, end at Tue 2020-03-10 16:28:34 UTC. --
Mar 10 15:57:34 cloud-provider1-0000013003 systemd[1]: Started Devstack devstack@dstat.service.
Mar 10 15:57:34 cloud-provider1-0000013003 dstat.sh[30237]: [286B blob data]
Mar 10 15:57:34 cloud-provider1-0000013003 dstat.sh[30237]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 10 15:57:34 cloud-provider1-0000013003 dstat.sh[30237]: 10-03 15:57:34|  5   2  93   1   0| 419M 4084M  166M 3046M|   0     0 |  97k 3044k|3.69  27.8 | 910  1510 |0.95 0.74 0.54|1.0   0  20|   0     0 |systemd              1    0.1%   0    0 |bash                 1903 2378k2089k0.1%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 10 15:57:35 cloud-provider1-0000013003 dstat.sh[30237]: 10-03 15:57:35| 10  20  70   0   0| 419M 4083M  166M 3046M|8751B 2160B|   0    84k|   0  6.00 |2768  5310 |0.95 0.74 0.54|1.0   0 509|   0     0 |bash                 1903 3.5%1832k  32k|bash                 1903 1832k  32k3.5%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 10 15:57:36 cloud-provider1-0000013003 dstat.sh[30237]: 10-03 15:57:36| 14  21  64   0   0| 420M 4083M  166M 3047M|8117B 2160B|   0    32k|   0  8.00 |3999  6835 |0.95 0.74 0.54|1.0   0 376|   0     0 |systemd              1    4.8%   0    0 |bash                 1903 2853k  23k2.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 10 15:57:37 cloud-provider1-0000013003 dstat.sh[30237]: 10-03 15:57:37|  8  11  81   0   0| 545M 3957M  166M 3169M|7464B 2202B|   0  3392k|   0  12.0 |3570  5891 |0.95 0.74 0.54|2.0   0 167|   0     0 |systemd              1    4.2%   0    0 |bash                 1903  505k6850B0.8%|mysqld       173M|   0     0 |  14    5    0    3    0
Mar 10 15:57:38 cloud-provider1-0000013003 dstat.sh[30237]: 10-03 15:57:38| 17  10  72   0   0| 573M 3928M  166M 3169M|5853B 2160B|   0     0 |   0     0 |1580  2507 |0.95 0.74 0.54|1.0   0 188|   0     0 |keystone-manage      31544 16%6786k 125k|keystone-manage      315446786k 125k 16%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 10 15:57:39 cloud-provider1-0000013003 dstat.sh[30237]: 10-03 15:57:39| 21   3  74   1   0| 616M 3884M  166M 3170M|6433B 2160B| 160k    0 |13.0     0 | 762  1044 |0.95 0.75 0.55|1.0   0 1.0|   0     0 |keystone-manage      31544 23%  10M 600k|keystone-manage      31544  10M 600k 23%|mysqld       175M|   0     0 |  14    7    0    5    0
Mar 10 15:57:40 cloud-provider1-0000013003 dstat.sh[30237]: 10-03 15:57:40|  9   4  72  15   0| 631M 3867M  166M 3172M|5477B 1944B|   0    10M|   0   744 |4103  7201 |0.95 0.75 0.55|  0 1.0   0|   0     0 |keystone-manage      315444.8%  40k 115k|python               5813   90k 187k0.5%|mysqld       189M|   0     0 |  14    7    0    5    0
Mar 10 15:57:41 cloud-provider1-0000013003 dstat.sh[30237]: 10-03 15:57:41| 10   6  72  12   0| 636M 3795M  167M 3237M|6378B 2160B|   0    75M|   0   957 |4625  9635 |0.95 0.75 0.55|  0 1.0   0|   0     0 |mysqld               295097.5%   0    0 |keystone-manage      31544  36k  22k5.5%|mysqld       193M|   0     0 |  14    7    0    5    0
Mar 10 15:57:42 cloud-provider1-0000013003 dstat.sh[30237]: 10-03 15:57:42| 12   3  67  17   0| 638M 3792M  167M 3237M|5677B 2160B|   0    14M|   0  1065 |4154  7893 |0.95 0.75 0.55|  0 1.0   0|   0     0 |keystone-manage      315446.5%  31k  18k|keystone-manage      31544  31k  18k6.5%|mysqld       195M|   0     0 |  14    7    0    5    0
Mar 10 15:57:43 cloud-provider1-0000013003 dstat.sh[30237]: 10-03 15:57:43| 14   5  71  10   0| 639M 3789M  168M 3238M|5359B 2202B|   0  6948k|   0   591 |4412    11k|0.95 0.75 0.55|  0 1.0   0|   0     0 |keystone-manage      315449.2%  39k 309k|python               5813  291k 605k1.2%|mysqld       196M|   0     0 |  14    7    0    5    0
