"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000014689",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","12 Mar 2020 14:33:10 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
12-03 14:33:10,0.900,0.286,98.684,0.096,0.035,441753600,4338216960,174202880,3137576960,0,0,17703.049,506555.350,0.635,4.613,284.300,352.664,0.600,0.610,0.470,2,0,3.341,0,0,12,3,0,3,0
12-03 14:33:11,9,21.250,69.500,0.250,0,441884672,4337614848,174206976,3137753088,13732,2160,0,61440,0,6,2617,5922,0.600,0.610,0.470,3,0,508,0,0,12,3,0,3,0
12-03 14:33:12,11.839,20.655,67.506,0,0,441417728,4337676288,174206976,3138314240,10624,2160,0,32768,0,8,3047,8522,0.870,0.670,0.490,4,0,360,0,0,12,3,0,3,0
12-03 14:33:13,9.114,9.620,81.266,0,0,573091840,4205428736,174206976,3266314240,6219,2160,0,0,0,0,2784,4151,0.870,0.670,0.490,2,0,102,0,0,14,5,0,3,0
12-03 14:33:14,15.038,12.782,71.930,0,0.251,588910592,4189396992,174206976,3266473984,7395,2160,0,0,0,0,1944,3523,0.870,0.670,0.490,3,0,284,0,0,14,5,0,6,0
12-03 14:33:15,21.750,3.250,73.750,1,0.250,628310016,4149485568,174211072,3266949120,5632,2160,102400,3104768,5,11,772,889,0.870,0.670,0.490,2,0,3,0,0,14,5,0,6,0
12-03 14:33:16,17.544,3.509,72.932,6.015,0,661803008,4114063360,174342144,3268513792,5765,2160,61440,4476928,8,195,1680,3158,0.870,0.670,0.490,1,1,0,0,0,14,7,0,5,0
12-03 14:33:17,7.769,5.263,71.679,15.288,0,666542080,4107632640,174862336,3269566464,16258,2160,0,10547200,0,888,4758,7377,0.800,0.660,0.480,1,1,0,0,0,14,7,0,5,0
12-03 14:33:18,8.376,4.061,73.858,13.452,0.254,669962240,4033806336,175357952,3337932800,6578,2160,0,75350016,0,731,4312,7507,0.800,0.660,0.480,1,1,0,0,0,14,7,0,5,0
