"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000160",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","03 Apr 2020 17:51:28 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
03-04 17:51:28,2.401,0.845,96.369,0.335,0.051,440549376,4669865984,149815296,2862329856,0,0,60609.132,1624642.542,2.189,14.122,548.398,888.752,0.740,0.810,0.570,2,0,10.229,0,0,12,3,0,4,0
03-04 17:51:29,10.076,20.403,69.270,0,0.252,440516608,4669227008,149823488,2862600192,6283,2160,24576,102400,1,7,2546,4844,0.740,0.810,0.570,2,0,438,0,0,12,3,0,4,0
03-04 17:51:30,12.219,21.945,65.586,0,0.249,440614912,4668641280,149823488,2862977024,6123,2160,0,32768,0,8,2897,5067,0.740,0.810,0.570,3,0,377,0,0,12,3,0,4,0
03-04 17:51:31,10.406,11.929,77.665,0,0,573071360,4535648256,149823488,2991128576,7387,2160,0,0,0,0,3047,5365,0.740,0.810,0.570,3,0,155,0,0,14,5,0,4,0
03-04 17:51:32,16.667,10.606,72.475,0,0.253,590880768,4517707776,149823488,2991226880,6197,2160,0,0,0,0,1842,2847,0.740,0.810,0.570,2,0,228,0,0,14,5,0,6,0
03-04 17:51:33,21.608,3.518,74.121,0.754,0,637140992,4470661120,149831680,2992005120,17334,2106,196608,0,13,0,736,737,0.760,0.810,0.570,2,0,0,0,0,14,5,0,6,0
03-04 17:51:34,13.716,5.237,71.072,9.975,0,659197952,4445745152,150376448,2994282496,8327,2214,12288,13053952,1,915,4722,9352,0.760,0.810,0.570,3,0,0,0,0,14,7,0,6,0
03-04 17:51:35,9.254,4.370,73.265,12.853,0.257,663326720,4371251200,150900736,3062501376,7374,2160,0,76578816,0,810,4494,6977,0.760,0.810,0.570,1,1,0,0,0,14,7,0,6,0
03-04 17:51:36,14.214,5.237,69.077,11.222,0.249,665772032,4367630336,151527424,3062980608,11437,2160,0,10506240,0,883,5134,9384,0.760,0.810,0.570,3,0,0,0,0,14,7,0,6,0
03-04 17:51:37,12.500,4.337,71.173,11.990,0,668090368,4363489280,152219648,3064033280,9986,1890,0,9334784,0,732,4898,10697,0.760,0.810,0.570,2,0,0,0,0,14,7,0,6,0
03-04 17:51:38,12.879,4.798,70.455,11.616,0.253,670994432,4359389184,152858624,3064528896,19424,2160,0,11522048,0,911,5323,10180,0.860,0.830,0.580,2,0,0,0,0,14,7,0,6,0
03-04 17:51:39,14.504,6.107,68.957,10.433,0,672460800,4356706304,152973312,3065552896,7493,2214,0,86802432,0,684,3687,8579,0.860,0.830,0.580,4,0,0,0,0,14,7,0,6,0
03-04 17:51:40,18.546,6.266,67.419,7.519,0.251,673755136,4353626112,153493504,3066744832,8392,2160,0,8749056,0,669,5565,13384,0.860,0.830,0.580,2,0,0,0,0,14,7,0,6,0
03-04 17:51:41,16.332,4.774,70.603,8.291,0,674332672,4352323584,153960448,3066966016,9454,2160,0,7909376,0,581,4643,11101,0.860,0.830,0.580,2,0,0,0,0,14,7,0,6,0
03-04 17:51:42,18.687,7.323,73.737,0,0.253,643489792,4383166464,153960448,3066966016,7384,2106,0,0,0,0,959,1438,0.860,0.830,0.580,2,0,80,0,0,14,5,0,7,0
03-04 17:51:43,23.192,3.242,73.067,0.499,0,611954688,4414099456,154009600,3067510784,7196,2214,0,7196672,0,71,996,1333,0.870,0.830,0.580,2,0,11,0,0,14,5,0,7,0
03-04 17:51:44,23.116,3.266,73.116,0.503,0,654684160,4370792448,154058752,3068039168,18812,2160,0,11120640,0,135,1126,1274,0.870,0.830,0.580,2,0,0,0,0,14,5,0,7,0
03-04 17:51:45,15,14.250,69.750,0.750,0.250,603017216,4421218304,154144768,3069251584,6292,2160,0,6778880,0,137,2568,4133,0.870,0.830,0.580,3,0,285,0,0,14,5,0,7,0
03-04 17:51:46,14.031,20.408,65.561,0,0,602619904,4420067328,154157056,3070652416,8594,2160,0,368640,0,23,3096,5994,0.870,0.830,0.580,2,0,415,0,0,14,5,0,7,0
03-04 17:51:47,36.616,13.889,49.242,0,0.253,669241344,4353183744,154157056,3071229952,5870,1944,0,0,0,0,2643,3893,0.870,0.830,0.580,3,0,172,0,0,14,7,0,7,0
03-04 17:51:48,46.384,3.491,49.127,0.998,0,754917376,4266483712,154165248,3072172032,7764,2160,151552,118784,5,17,945,772,0.960,0.850,0.590,3,0,0,0,0,14,7,0,7,0
03-04 17:51:49,33.166,12.563,54.020,0,0.251,779624448,4239585280,154165248,3073847296,6266,2160,0,4161536,0,178,2804,8052,0.960,0.850,0.590,2,0,172,0,0,14,5,0,8,0
03-04 17:51:50,23.367,2.261,74.372,0,0,826941440,4192329728,154165248,3073855488,7106,2202,0,0,0,0,693,755,0.960,0.850,0.590,2,0,0,0,0,14,5,0,8,0
03-04 17:51:51,20.352,3.769,72.864,2.764,0.251,856342528,4162826240,154206208,3073884160,7782,2160,0,2908160,0,250,1596,2136,0.960,0.850,0.590,2,0,2,0,0,14,5,0,11,0
03-04 17:51:52,22.055,5.013,72.682,0.251,0,817672192,4201488384,154214400,3073884160,19374,2148,0,2678784,0,72,1109,1497,0.960,0.850,0.590,2,0,55,0,0,14,5,0,11,0
03-04 17:51:53,22.807,2.506,72.932,1.754,0,837718016,4181270528,154214400,3073982464,9442,2214,73728,4096,18,1,1247,1866,0.970,0.860,0.590,2,0,1,0,0,14,29,0,16,0
03-04 17:51:54,22,5.250,72.500,0,0.250,824041472,4194942976,154214400,3073982464,8300,2160,0,0,0,0,1048,1327,0.970,0.860,0.590,2,0,61,0,0,14,29,0,16,0
03-04 17:51:55,22.750,5.750,69.250,2.250,0,800374784,4218433536,154222592,3074146304,9507,2160,0,10153984,0,183,1492,2242,0.970,0.860,0.590,2,0,99,0,0,14,29,0,21,0
03-04 17:51:56,22.306,4.010,73.434,0,0.251,835358720,4183433216,154222592,3074146304,10225,1998,0,0,0,0,740,810,0.970,0.860,0.590,2,0,1,0,0,14,29,0,21,0
03-04 17:51:57,22.362,4.271,73.367,0,0,812445696,4206088192,154222592,3074383872,18396,2106,0,0,0,0,1318,1967,0.970,0.860,0.590,2,0,22,0,0,14,29,0,29,0
03-04 17:51:58,23.559,3.258,72.932,0,0.251,839061504,4179451904,154222592,3074404352,10251,2160,0,598016,0,9,1254,1764,0.970,0.860,0.590,2,0,0,0,0,14,31,0,36,0
03-04 17:51:59,22.922,4.534,72.544,0,0,822837248,4195643392,154222592,3074416640,7068,2160,0,258048,0,6,1021,1430,0.970,0.860,0.590,2,0,74,0,0,14,29,0,37,0
03-04 17:52:00,24.937,2.015,71.285,1.763,0,844660736,4173582336,154234880,3074637824,7634,2160,0,7471104,0,349,1859,1844,0.970,0.860,0.590,2,0,0,0,0,14,29,0,45,0
03-04 17:52:01,19.298,7.769,72.431,0.251,0.251,829530112,4188684288,154251264,3074650112,7768,2160,0,614400,0,16,1288,1691,0.970,0.860,0.590,2,0,101,0,0,14,29,0,45,0
03-04 17:52:02,21.357,5.528,73.116,0,0,805867520,4212334592,154259456,3074654208,5169,2160,0,65536,0,6,1326,1990,0.970,0.860,0.590,2,0,70,0,0,14,29,0,50,0
03-04 17:52:03,23.367,2.764,73.869,0,0,845053952,4173000704,154259456,3074801664,7352,2160,0,307200,0,3,959,1515,0.970,0.860,0.600,2,0,3,0,0,14,31,0,55,0
03-04 17:52:04,20.301,5.764,73.684,0,0.251,827801600,4190208000,154259456,3074826240,7713,2160,0,0,0,0,1031,1451,0.970,0.860,0.600,2,0,69,0,0,14,29,0,56,0
03-04 17:52:05,20.960,5.808,72.980,0.253,0,803299328,4214677504,154271744,3074842624,7319,2160,0,1773568,0,74,1292,1863,0.970,0.860,0.600,2,0,68,0,0,14,29,0,60,0
