-- Logs begin at Fri 2020-04-03 16:19:18 UTC, end at Fri 2020-04-03 18:22:46 UTC. --
Apr 03 17:51:28 cloud-provider-iscsi-0000000160 systemd[1]: Started Devstack devstack@dstat.service.
Apr 03 17:51:28 cloud-provider-iscsi-0000000160 dstat.sh[24245]: [286B blob data]
Apr 03 17:51:28 cloud-provider-iscsi-0000000160 dstat.sh[24245]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 03 17:51:28 cloud-provider-iscsi-0000000160 dstat.sh[24245]: 03-04 17:51:28|  2   1  96   0   0| 420M 4454M  143M 2730M|   0     0 |  59k 1587k|2.19  14.1 | 548   889 |0.74 0.81 0.57|2.0   0  10|   0     0 |systemd              1    0.1%   0    0 |bash                 2154 1083k1021k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 03 17:51:29 cloud-provider-iscsi-0000000160 dstat.sh[24245]: 03-04 17:51:29| 10  21  70   0   0| 420M 4453M  143M 2730M|6223B 2160B|  24k   96k|1.00  6.00 |2543  4830 |0.74 0.81 0.57|1.0   0 437|   0     0 |bash                 2154 4.0%1646k  28k|bash                 2154 1646k  28k4.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 03 17:51:30 cloud-provider-iscsi-0000000160 dstat.sh[24245]: 03-04 17:51:30| 12  22  66   0   0| 420M 4453M  143M 2730M|6183B 2160B|   0    36k|   0  9.00 |2901  5071 |0.74 0.81 0.57|1.0   0 376|   0     0 |systemd              1    2.5%   0    0 |bash                 2154 2988k  25k2.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 03 17:51:31 cloud-provider-iscsi-0000000160 dstat.sh[24245]: 03-04 17:51:31| 11  12  78   0   0| 546M 4326M  143M 2853M|7387B 2160B|   0     0 |   0     0 |3044  5364 |0.74 0.81 0.57|1.0   0 155|   0     0 |systemd              1    6.0%   0    0 |bash                 2154  470k5196B0.5%|mysqld       173M|   0     0 |  14    5    0    4    0
Apr 03 17:51:32 cloud-provider-iscsi-0000000160 dstat.sh[24245]: 03-04 17:51:32| 16  11  72   0   0| 563M 4309M  143M 2853M|6137B 2160B|   0     0 |   0     0 |1846  2862 |0.74 0.81 0.57|1.0   0 230|   0     0 |keystone-manage      25553 13%4448k  79k|keystone-manage      255534448k  79k 13%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 03 17:51:33 cloud-provider-iscsi-0000000160 dstat.sh[24245]: 03-04 17:51:33| 22   3  74   1   0| 607M 4265M  143M 2853M|  17k 2106B| 192k    0 |13.0     0 | 738   739 |0.76 0.81 0.57|1.0   0   0|   0     0 |keystone-manage      25553 24%  11M 476k|keystone-manage      25553  11M 476k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 03 17:51:34 cloud-provider-iscsi-0000000160 dstat.sh[24245]: 03-04 17:51:34| 13   6  71  10   0| 629M 4240M  143M 2856M|8327B 2214B|  12k   12M|1.00   912 |4681  9271 |0.76 0.81 0.57|1.0   0   0|   0     0 |keystone-manage      255537.8%1144k 230k|keystone-manage      255531144k 230k7.8%|mysqld       190M|   0     0 |  14    7    0    6    0
Apr 03 17:51:35 cloud-provider-iscsi-0000000160 dstat.sh[24245]: 03-04 17:51:35| 10   4  73  13   0| 633M 4169M  144M 2921M|7374B 2160B|   0    73M|   0   809 |4520  7038 |0.76 0.81 0.57|  0 1.0   0|   0     0 |mysqld               235267.5%   0    0 |keystone-manage      25553  27k  17k4.5%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 03 17:51:36 cloud-provider-iscsi-0000000160 dstat.sh[24245]: 03-04 17:51:36| 14   5  69  11   0| 635M 4165M  145M 2921M|  11k 2160B|   0    10M|   0   887 |5129  9330 |0.76 0.81 0.57|1.0   0   0|   0     0 |mysqld               235268.2%   0    0 |python3.6            5904   88k 183k0.8%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 03 17:51:37 cloud-provider-iscsi-0000000160 dstat.sh[24245]: 03-04 17:51:37| 13   4  71  12   0| 637M 4161M  145M 2922M|  10k 1890B|   0  9020k|   0   718 |4879    11k|0.76 0.81 0.57|  0 1.0   0|   0     0 |keystone-manage      255537.5%  44k 207k|python3.6            5904  189k 395k1.0%|mysqld       197M|   0     0 |  14    7    0    6    0
