-- Logs begin at Fri 2020-04-03 20:36:22 UTC, end at Sat 2020-04-04 18:01:45 UTC. --
Apr 04 17:30:43 cloud-provider-iscsi-0000000166 systemd[1]: Started Devstack devstack@dstat.service.
Apr 04 17:30:43 cloud-provider-iscsi-0000000166 dstat.sh[30454]: [286B blob data]
Apr 04 17:30:43 cloud-provider-iscsi-0000000166 dstat.sh[30454]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 04 17:30:43 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:43|  0   0 100   0   0| 426M 4409M  162M 2734M|   0     0 |4730B  117k|0.22  1.08 | 207   195 |0.75 0.77 0.56|2.0   0 0.8|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2962   83k  77k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 04 17:30:44 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:44|  9  22  69   0   0| 427M 4407M  162M 2734M|6459B 2160B|  24k   84k|1.00  7.00 |2741  4903 |0.75 0.77 0.56|2.0   0 486|   0     0 |bash                 2962 3.8%1712k  31k|bash                 2962 1712k  31k3.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 04 17:30:45 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:45| 14  19  66   0   0| 426M 4407M  162M 2735M|6888B 2052B|   0    32k|   0  8.00 |2907  5324 |0.75 0.77 0.56|1.0   0 345|   0     0 |systemd              1    3.8%   0    0 |bash                 2962 2945k  23k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 04 17:30:46 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:46| 13   9  78   0   0| 551M 4282M  162M 2857M|  11k 2160B|   0     0 |   0     0 |3290  5414 |0.75 0.77 0.56|1.0   0  98|   0     0 |systemd              1    8.5%   0    0 |bash                 2962  254k1113B0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 04 17:30:47 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:47| 13  14  73   0   0| 562M 4271M  162M 2857M|8859B 2160B|   0   396k|   0  20.0 |2352  3666 |0.77 0.77 0.56|2.0   0 299|   0     0 |keystone-manage      317726.0%2151k  79k|keystone-manage      317722151k  79k6.0%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 04 17:30:48 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:48| 23   3  74   0   0| 596M 4237M  162M 2857M|6732B 2160B|  96k    0 |4.00     0 | 600   710 |0.77 0.77 0.56|1.0   0   0|   0     0 |keystone-manage      31772 25%8997k  81k|keystone-manage      317728997k  81k 25%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 04 17:30:49 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:49| 18   3  72   7   0| 631M 4199M  162M 2859M|  14k 2160B| 108k 5076k|10.0   254 |1673  3220 |0.77 0.77 0.56|1.0 1.0   0|   0     0 |keystone-manage      31772 15%5447k 621k|keystone-manage      317725447k 621k 15%|mysqld       187M|   0     0 |  14    7    0    6    0
Apr 04 17:30:50 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:50|  9   7  71  13   0| 637M 4127M  162M 2924M|7168B 2180B|   0    73M|   0   905 |3868  8593 |0.77 0.77 0.56|1.0 1.0   0|   0     0 |mysqld               297358.2%   0    0 |keystone-manage      31772  20k  11k4.2%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 04 17:30:51 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:51|  9   4  71  16   0| 638M 4123M  163M 2925M|7748B 2214B|   0  7764k|   0   634 |3412  6179 |0.77 0.77 0.56|1.0 1.0   0|   0     0 |mysqld               297355.0%   0    0 |keystone-manage      31772  20k  12k3.8%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 04 17:30:52 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:52|  9   5  67  19   0| 641M 4120M  163M 2925M|6907B 2160B|   0    78M|   0   973 |3451  7050 |0.79 0.77 0.56|1.0 1.0   0|   0     0 |mysqld               297356.0%   0    0 |keystone-manage      31772  26k  14k4.5%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 04 17:30:53 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:53| 14   5  70  12   0| 642M 4118M  164M 2926M|  17k 2146B|   0    10M|   0   629 |3680    11k|0.79 0.77 0.56|2.0   0   0|   0     0 |keystone-manage      317728.5%  40k 290k|python3.6            6715  272k 567k1.5%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 04 17:30:54 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:54| 10   6  70  14   0| 644M 4115M  164M 2927M|5172B 2052B|   0  9548k|   0   765 |3554  8673 |0.79 0.77 0.56|1.0   0   0|   0     0 |mysqld               297357.0%   0    0 |keystone-manage      31772  28k  17k5.5%|mysqld       198M|   0     0 |  14    7    0    6    0
Apr 04 17:30:55 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:55| 13   5  70  12   0| 646M 4111M  165M 2927M|5922B 2160B|   0  7372k|   0   575 |3724  9111 |0.79 0.77 0.56|2.0   0 2.0|   0     0 |keystone-manage      317727.5%  27k 154k|python3.6            6715  142k 297k1.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 04 17:30:56 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:56| 21   5  68   7   0| 648M 4108M  165M 2929M|7118B 2160B|   0  5008k|   0   340 |6997    15k|0.79 0.77 0.56|2.0   0   0|   0     0 |keystone-manage      31772 15%  74k 556k|python3.6            6715  531k1106k3.0%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 04 17:30:57 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:57| 13   4  72  12   0| 648M 4107M  165M 2929M|6619B 2160B|   0  9200k|   0   746 |4276    13k|0.97 0.81 0.58|1.0   0   0|   0     0 |keystone-manage      317727.8%  48k  32k|keystone-manage      31772  48k  32k7.8%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 04 17:30:58 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:58| 16   7  72   5   0| 590M 4165M  165M 2929M|6018B 2160B|   0    12M|   0   300 |2264  5371 |0.97 0.81 0.58|2.0   0  78|   0     0 |keystone-manage      318527.0%2228k  37k|bash                 2962   17M1881k0.8%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 04 17:30:59 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:30:59| 23   3  72   2   0| 638M 4116M  165M 2929M|7366B 2160B|   0  6700k|   0  74.0 | 893  1221 |0.97 0.81 0.58|2.0   0   0|   0     0 |keystone-manage      31852 25%  13M   0 |keystone-manage      31852  13M   0  25%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 04 17:31:00 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:31:00| 23   4  72   1   0| 613M 4140M  166M 2930M|7291B 2160B|   0  6840k|   0  67.0 | 975  1345 |0.97 0.81 0.58|3.0   0  11|   0     0 |keystone-manage      31863 18%8455k  37k|bash                 2962   16M  39k0.2%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 04 17:31:01 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:31:01| 21   5  72   1   0| 580M 4173M  166M 2931M|6058B 2160B|   0  6400k|   0   136 |1410  2111 |0.97 0.81 0.58|2.0   0  79|   0     0 |bash                 2962 0.8%  16M  43k|bash                 2962   16M  43k0.8%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 04 17:31:02 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:31:02| 11  21  68   0   0| 580M 4172M  166M 2932M|6304B 2052B|   0   120k|   0  14.0 |2751  6146 |0.97 0.81 0.58|1.0   0 467|   0     0 |bash                 2962 3.2%3117k  30k|bash                 2962 3117k  30k3.2%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 04 17:31:03 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:31:03| 22  18  58   2   0| 606M 4145M  166M 2933M|  14k 2052B|   0  3880k|   0   170 |3711  6014 |0.97 0.81 0.58|3.0   0 304|   0     0 |systemd              1    6.8%   0    0 |uwsgi                326061999k   0 4.2%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 04 17:31:04 cloud-provider-iscsi-0000000166 dstat.sh[30454]: 04-04 17:31:04| 47   5  48   0   0| 687M 4063M  166M 2933M|6784B 2160B| 128k    0 |1.00     0 |1065  1020 |0.97 0.81 0.58|3.0   0  23|   0     0 |uwsgi                32607 25%9911k  37k|uwsgi                32606  11M  37k 25%|mysqld       201M|   0     0 |  14    7    0    7    0
