-- Logs begin at Fri 2020-04-17 18:09:15 UTC, end at Mon 2020-04-20 10:13:42 UTC. --
Apr 20 09:42:22 cloud-provider-iscsi-0000000325 systemd[1]: Started Devstack devstack@dstat.service.
Apr 20 09:42:22 cloud-provider-iscsi-0000000325 dstat.sh[32297]: [286B blob data]
Apr 20 09:42:22 cloud-provider-iscsi-0000000325 dstat.sh[32297]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 20 09:42:22 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:22|  0   0 100   0   0| 427M 3974M  162M 3155M|   0     0 |1556B   40k|0.07  0.40 | 184   151 |0.81 0.63 0.46|2.0   0 0.3|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 5136   32k  31k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 20 09:42:23 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:23|  9  21  69   0   0| 427M 3972M  162M 3156M|8030B 2160B|  24k  100k|1.00  12.0 |2735  5000 |0.81 0.63 0.46|2.0   0 479|   0     0 |bash                 5136 4.0%1796k  31k|bash                 5136 1796k  31k4.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 20 09:42:24 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:24| 13  20  67   0   0| 430M 3970M  162M 3156M|7554B 2160B|   0    32k|   0  8.00 |3238  6013 |0.74 0.62 0.45|2.0   0 376|   0     0 |systemd              1    3.8%   0    0 |bash                 5136 2849k  23k1.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 20 09:42:25 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:25| 14  16  70   0   0| 556M 3843M  162M 3278M|7070B 2160B|   0     0 |   0     0 |3876  7070 |0.74 0.62 0.45|3.0   0 360|   0     0 |systemd              1    4.8%   0    0 |bash                 5136  854k  19k2.0%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 20 09:42:26 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:26| 22   3  74   0   0| 599M 3800M  162M 3279M|9584B 2160B| 112k    0 |6.00     0 | 787   819 |0.74 0.62 0.45|  0 1.0 1.0|   0     0 |keystone-manage      1185  24%  10M 118k|keystone-manage      1185   10M 118k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 20 09:42:27 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:27| 13   2  74  11   0| 619M 3779M  162M 3280M|7285B 1944B|  92k    0 |8.00     0 | 583   677 |0.74 0.62 0.45|2.0   0   0|   0     0 |keystone-manage      1185  14%5307k 487k|keystone-manage      1185 5307k 487k 14%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 20 09:42:28 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:28|  9   5  71  15   0| 635M 3761M  163M 3281M|7199B 2160B|   0    15M|   0   852 |3986  6238 |0.74 0.62 0.45|3.0   0   0|   0     0 |keystone-manage      1185 5.5% 167k 136k|python3.6            8889  111k 231k0.8%|mysqld       188M|   0     0 |  14    7    0    6    0
Apr 20 09:42:29 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:29|  8   5  73  15   0| 639M 3691M  163M 3346M|  11k 2160B|   0    72M|   0   719 |4076  6015 |0.84 0.64 0.46|1.0 1.0   0|   0     0 |mysqld               315766.5%   0    0 |keystone-manage      1185   23k  13k3.2%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 20 09:42:30 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:30|  9   3  73  15   0| 641M 3688M  163M 3347M|9357B 2106B|   0  8652k|   0   761 |4550  7683 |0.84 0.64 0.46|2.0   0   0|   0     0 |mysqld               315766.2%   0    0 |keystone-manage      1185   25k  15k4.2%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 20 09:42:31 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:31| 15   6  68  10   0| 643M 3684M  164M 3347M|  17k 2214B|   0  7780k|   0   654 |4521    10k|0.84 0.64 0.46|1.0   0 2.0|   0     0 |keystone-manage      1185 9.5%  43k 291k|python3.6            8889  274k 571k1.8%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 20 09:42:32 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:32| 10   3  72  15   0| 645M 3680M  164M 3348M|7784B 2160B|   0  8252k|   0   650 |4030  8252 |0.84 0.64 0.46|1.0 1.0   0|   0     0 |mysqld               315765.5%   0    0 |keystone-manage      1185   31k  21k5.2%|mysqld       197M|   0     0 |  14    7    0    6    0
Apr 20 09:42:33 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:33|  9   5  64  22   0| 646M 3678M  165M 3348M|8251B 2160B|   0    86M|   0  1095 |3310  7003 |0.84 0.64 0.46|2.0   0   0|   0     0 |mysqld               315765.0%   0    0 |keystone-manage      1185   20k  13k3.8%|mysqld       198M|   0     0 |  14    7    0    6    0
Apr 20 09:42:34 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:34| 16   5  69  10   0| 649M 3675M  165M 3349M|9470B 2160B|   0  5984k|   0   468 |3784    11k|0.94 0.66 0.47|1.0   0   0|   0     0 |keystone-manage      1185  11%  32k 347k|python3.6            8889  337k 701k1.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 20 09:42:35 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:35| 19   4  70   7   0| 649M 3673M  165M 3350M|  14k 2160B|   0  4384k|   0   287 |3929    11k|0.94 0.66 0.47|2.0   0   0|   0     0 |keystone-manage      1185  14%  62k 366k|python3.6            8889  342k 714k2.2%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 20 09:42:36 cloud-provider-iscsi-0000000325 dstat.sh[32297]: 20-04 09:42:36| 13   5  69  12   0| 650M 3672M  166M 3351M|7037B 2160B|   0  8712k|   0   713 |4841  9458 |0.94 0.66 0.47|2.0   0   0|   0     0 |mysqld               315767.5%   0    0 |keystone-manage      1185   36k  24k6.8%|mysqld       200M|   0     0 |  14    7    0    6    0
