-- Logs begin at Thu 2020-03-12 02:51:06 UTC, end at Thu 2020-03-12 06:35:04 UTC. --
Mar 12 06:03:55 cloud-provider1-0000014311 systemd[1]: Started Devstack devstack@dstat.service.
Mar 12 06:03:56 cloud-provider1-0000014311 dstat.sh[30328]: [286B blob data]
Mar 12 06:03:56 cloud-provider1-0000014311 dstat.sh[30328]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 12 06:03:56 cloud-provider1-0000014311 dstat.sh[30328]: 12-03 06:03:55|  1   0  98   0   0| 421M 4138M  166M 2992M|   0     0 |  28k  802k|1.02  7.49 | 353   492 |0.82 0.75 0.54|1.0   0 5.4|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 1941  630k 549k0.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 12 06:03:57 cloud-provider1-0000014311 dstat.sh[30328]: 12-03 06:03:56| 11  20  69   0   0| 421M 4137M  166M 2992M|4753B 1986B|   0    84k|   0  7.00 |2766  5601 |0.75 0.74 0.54|2.0   0 525|   0     0 |bash                 1941 3.5%2040k  33k|bash                 1941 2040k  33k3.5%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 12 06:03:58 cloud-provider1-0000014311 dstat.sh[30328]: 12-03 06:03:57| 14  21  65   0   0| 422M 4136M  166M 2993M|6830B 2160B|   0    28k|   0  7.00 |3721  6516 |0.75 0.74 0.54|1.0   0 345|   0     0 |systemd              1    4.0%   0    0 |bash                 1941 2618k  20k1.5%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 12 06:03:59 cloud-provider1-0000014311 dstat.sh[30328]: 12-03 06:03:58| 12  16  72   0   0| 547M 4011M  166M 3115M|8149B 1944B|   0  3392k|   0  13.0 |4172  6096 |0.75 0.74 0.54|2.0   0 266|   0     0 |systemd              1    6.8%   0    0 |bash                 1941  623k  12k2.0%|mysqld       173M|   0     0 |  14    5    0    3    0
Mar 12 06:04:00 cloud-provider1-0000014311 dstat.sh[30328]: 12-03 06:03:59| 20   7  74   0   0| 581M 3977M  166M 3115M|6153B 2106B|  72k    0 |1.00     0 |1203  1730 |0.75 0.74 0.54|  0 1.0  91|   0     0 |keystone-manage      31642 20%8154k 162k|keystone-manage      316428154k 162k 20%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 12 06:04:01 cloud-provider1-0000014311 dstat.sh[30328]: 12-03 06:04:00| 21   3  74   2   0| 617M 3939M  166M 3116M|5836B 2256B|  88k    0 |12.0     0 | 679   721 |0.75 0.74 0.54|1.0   0   0|   0     0 |keystone-manage      31642 23%9254k 558k|keystone-manage      316429254k 558k 23%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 12 06:04:02 cloud-provider1-0000014311 dstat.sh[30328]: 12-03 06:04:01| 10   4  73  13   0| 634M 3920M  167M 3118M|7834B 2160B|   0    10M|   0   738 |3830  7901 |0.77 0.74 0.54|  0 1.0   0|   0     0 |mysqld               295975.0%   0    0 |python               5862  104k 216k0.8%|mysqld       189M|   0     0 |  14    7    0    5    0
Mar 12 06:04:03 cloud-provider1-0000014311 dstat.sh[30328]: 12-03 06:04:02|  8   6  73  13   0| 638M 3849M  167M 3183M|6411B 2160B|   0    73M|   0   794 |3439  7657 |0.77 0.74 0.54|1.0   0   0|   0     0 |mysqld               295976.8%   0    0 |keystone-manage      31642  30k  18k4.8%|mysqld       193M|   0     0 |  14    7    0    5    0
Mar 12 06:04:04 cloud-provider1-0000014311 dstat.sh[30328]: 12-03 06:04:03| 16   5  71   8   0| 641M 3845M  168M 3183M|8725B 2160B|   0    12M|   0  1015 |5348    12k|0.77 0.74 0.54|3.0   0   0|   0     0 |keystone-manage      31642 10%  44k 160k|python               5862  130k 271k0.8%|mysqld       195M|   0     0 |  14    7    0    5    0
Mar 12 06:04:05 cloud-provider1-0000014311 dstat.sh[30328]: 12-03 06:04:04| 16   5  69  11   0| 643M 3841M  169M 3184M|6498B 2160B|   0  9628k|   0   778 |4464    11k|0.77 0.74 0.54|  0 1.0   0|   0     0 |keystone-manage      316428.0%  47k 180k|python               5862  168k 350k0.5%|mysqld       197M|   0     0 |  14    7    0    5    0
