"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000191",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","07 Apr 2020 20:46:57 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
07-04 20:46:57,0.657,0.227,98.998,0.077,0.042,446775296,4681916416,151928832,2840629248,0,0,16441.310,441951.376,0.583,3.883,295.596,347.762,0.630,0.650,0.460,3,0,2.760,0,0,12,3,0,4,0
07-04 20:46:58,9,21.500,68,1.250,0.250,447295488,4680757248,151928832,2841018368,8684,2160,0,2498560,0,148,2893,5356,0.630,0.650,0.460,2,0,462,0,0,12,3,0,4,0
07-04 20:46:59,12.944,19.797,67.005,0,0.254,446853120,4680892416,151932928,2841456640,6870,2052,0,151552,0,11,3405,6106,0.630,0.650,0.460,3,0,355,0,0,12,3,0,4,0
07-04 20:47:00,19.899,13.098,65.491,1.511,0,457355264,4669939712,151937024,2841640960,7855,2160,0,2998272,0,232,4449,6562,0.630,0.650,0.460,2,0,169,0,0,12,3,0,4,0
07-04 20:47:01,10.633,9.620,74.684,4.810,0.253,452468736,4673744896,151953408,2842804224,8409,2160,651264,1884160,17,229,3452,4698,0.630,0.650,0.460,2,0,104,0,0,12,3,0,4,0
07-04 20:47:02,2.757,3.258,93.985,0,0,413798400,4712529920,151953408,2842738688,27690,2262014,0,856064,0,4,579,521,0.820,0.690,0.470,1,0,10,0,0,12,3,0,4,0
07-04 20:47:03,0.504,0,99.496,0,0,413859840,4712464384,151953408,2842742784,7593,2160,0,0,0,0,209,172,0.820,0.690,0.470,1,0,0,0,0,12,3,0,4,0
07-04 20:47:04,1.003,0.251,98.747,0,0,413794304,4712529920,151953408,2842742784,6725,2106,0,0,0,0,217,228,0.820,0.690,0.470,1,0,2,0,0,12,3,0,4,0
07-04 20:47:05,0.503,1.508,97.236,0.754,0,414117888,4712206336,151953408,2842742784,7879,2106,0,56086528,0,261,529,242,0.820,0.690,0.470,1,0,0,0,0,12,3,0,4,0
07-04 20:47:06,0.752,0.251,98.997,0,0,413986816,4712337408,151953408,2842742784,6288,2052,0,0,0,0,187,163,0.820,0.690,0.470,1,0,0,0,0,12,3,0,4,0
07-04 20:47:07,0.499,0.499,98.504,0.249,0.249,413921280,4712398848,151957504,2842742784,15979,2160,0,925696,0,3,214,152,0.750,0.670,0.470,1,0,0,0,0,12,3,0,4,0
07-04 20:47:08,0.752,0.251,98.997,0,0,413790208,4712529920,151957504,2842742784,5393,2160,0,0,0,0,174,159,0.750,0.670,0.470,1,0,0,0,0,12,3,0,4,0
07-04 20:47:09,0.752,0.251,98.997,0,0,413855744,4712464384,151957504,2842742784,5471,2160,0,0,0,0,172,138,0.750,0.670,0.470,1,0,0,0,0,12,3,0,4,0
