-- Logs begin at Tue 2020-04-07 15:07:29 UTC, end at Tue 2020-04-07 20:47:39 UTC. --
Apr 07 20:46:56 cloud-provider-iscsi-0000000191 systemd[1]: Started Devstack devstack@dstat.service.
Apr 07 20:46:57 cloud-provider-iscsi-0000000191 dstat.sh[23856]: [286B blob data]
Apr 07 20:46:57 cloud-provider-iscsi-0000000191 dstat.sh[23856]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 07 20:46:57 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:46:57|  1   0  99   0   0| 427M 4464M  145M 2709M|   0     0 |  16k  432k|0.58  3.88 | 296   348 |0.63 0.65 0.46|3.0   0 2.8|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2003  292k 275k0.0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:46:58 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:46:58|  9  21  68   1   0| 427M 4463M  145M 2709M|8536B 2052B|  24k 2440k|1.00   148 |2892  5370 |0.63 0.65 0.46|1.0   0 466|   0     0 |bash                 2003 3.5%1657k  29k|bash                 2003 1657k  29k3.5%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:46:59 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:46:59| 12  20  67   0   0| 426M 4464M  145M 2710M|6790B 2160B|   0   148k|   0  11.0 |3236  5562 |0.63 0.65 0.46|2.0   0 358|   0     0 |systemd              1    3.0%   0    0 |bash                 2003 2980k  24k2.0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:00 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:00| 20  13  65   2   0| 436M 4454M  145M 2710M|8083B 2160B|   0  2928k|   0   232 |4638  7154 |0.63 0.65 0.46|1.0   0 169|   0     0 |generate-subuni      249489.0%2055k   0 |generate-subuni      249482055k   0 9.0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:01 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:01| 10  10  75   5   0| 432M 4457M  145M 2711M|8073B 2160B| 636k 1840k|17.0   229 |3438  4690 |0.63 0.65 0.46|1.0   0 103|   0     0 |python3.6            249826.0%2218k  25k|bash                 2003 3659k 550B  0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:02 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:02|  3   3  94   0   0| 395M 4494M  145M 2711M|  27k 2209k|   0   836k|   0  4.00 | 597   528 |0.82 0.69 0.47|  0   0  11|   0     0 |sshd                 1510 0.8%   0    0 |python2              23929  17k 487B  0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:03 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:03|  1   1  99   0   0| 395M 4494M  145M 2711M|7445B 2052B|   0     0 |   0     0 | 205   167 |0.82 0.69 0.47|  0   0   0|   0     0 |beam.smp             165620.2%   0    0 |python2              23929  18k 452B  0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:04 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:04|  1   0  99   0   0| 395M 4494M  145M 2711M|7015B 2160B|   0     0 |   0     0 | 221   233 |0.82 0.69 0.47|  0   0 2.0|   0     0 |beam.smp             165620.5%   0    0 |python2              239294595B 414B0.5%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:05 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:05|  1   2  97   1   0| 395M 4494M  145M 2711M|7745B 2052B|   0    53M|   0   261 | 527   242 |0.82 0.69 0.47|  0   0   0|   0     0 |kworker/u8:0         1995 1.2%   0    0 |python2              23929  21k 424B  0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:06 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:06|  1   0  99   0   0| 395M 4494M  145M 2711M|6436B 2160B|   0     0 |   0     0 | 189   164 |0.82 0.69 0.47|  0   0   0|   0     0 |beam.smp             165620.2%   0    0 |python2              23929  13k 455B  0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:07 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:07|  0   0  99   0   0| 395M 4494M  145M 2711M|  16k 2160B|   0   904k|   0  3.00 | 213   152 |0.75 0.67 0.47|  0   0   0|   0     0 |beam.smp             165620.2%   0    0 |python2              23929  13k 418B0.2%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:08 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:08|  1   0  99   0   0| 395M 4494M  145M 2711M|5393B 2160B|   0     0 |   0     0 | 173   153 |0.75 0.67 0.47|  0   0   0|   0     0 |                                        |python2              23929  13k 438B  0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:09 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:09|  1   0  99   0   0| 395M 4494M  145M 2711M|5471B 2160B|   0     0 |   0     0 | 172   141 |0.75 0.67 0.47|  0   0   0|   0     0 |python2              239290.2%  10k 418B|python2              23929  10k 418B0.2%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:10 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:10|  1   0  99   0   0| 395M 4494M  145M 2711M|5091B 2160B|   0  7404k|   0  39.0 | 202   141 |0.75 0.67 0.47|  0 1.0   0|   0     0 |kworker/u8:3         103670.5%   0    0 |python2              23929  10k 418B  0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:11 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:11|  1   1  98   1   0| 395M 4494M  145M 2711M|6347B 2160B|   0    18M|   0   135 | 327   221 |0.75 0.67 0.47|  0   0   0|   0     0 |kworker/u8:3         103670.2%   0    0 |python2              23929  21k 901B  0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:12 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:12|  1   0  99   0   0| 395M 4494M  145M 2711M|8592B 2052B|   0     0 |   0     0 | 229   193 |0.69 0.66 0.46|  0   0   0|   0     0 |rcu_sched            8    0.2%   0    0 |python2              239299616B   0   0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:13 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:13|  1   0  99   0   0| 395M 4494M  145M 2711M|6541B 2052B|   0   488k|   0  2.00 | 218   211 |0.69 0.66 0.46|  0   0   0|   0     0 |beam.smp             165620.2%   0    0 |python2              23929  10k 418B0.2%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:14 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:14|  0   1  99   0   0| 395M 4494M  145M 2711M|  18k 2160B|   0     0 |   0     0 | 279   263 |0.69 0.66 0.46|  0   0 2.0|   0     0 |accounts-daemon      855  0.2%   0    0 |python2              23929  15k 439B0.2%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:15 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:15|  1   0  99   0   0| 395M 4494M  145M 2711M|6680B 2160B|   0     0 |   0     0 | 193   155 |0.69 0.66 0.46|  0   0   0|   0     0 |                                        |python2              23929  10k 429B  0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:16 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:16|  1   0  99   0   0| 395M 4494M  145M 2711M|8652B 2160B|   0  1416k|   0   128 | 346   208 |0.69 0.66 0.46|  0   0   0|   0     0 |beam.smp             165620.2%   0    0 |python2              239299748B 418B0.2%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:17 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:17|  1   0  99   0   0| 395M 4494M  145M 2711M|  12k 2160B|   0     0 |   0     0 | 208   158 |0.64 0.65 0.46|  0   0   0|   0     0 |                                        |python2              23929  21k 857B  0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 07 20:47:18 cloud-provider-iscsi-0000000191 dstat.sh[23856]: 07-04 20:47:18|  1   0  99   0   0| 395M 4494M  145M 2711M|6768B 2160B|   0    68k|   0  2.00 | 190   169 |0.64 0.65 0.46|  0   0   0|   0     0 |beam.smp             165620.5%   0    0 |python2              239299616B   0   0%|mysqld       174M|   0     0 |  12    3    0    4    0
