-- Logs begin at Tue 2020-03-10 10:12:36 UTC, end at Tue 2020-03-10 10:58:41 UTC. --
Mar 10 10:56:21 cloud-provider1-0000012634 systemd[1]: Started Devstack devstack@dstat.service.
Mar 10 10:56:21 cloud-provider1-0000012634 dstat.sh[30373]: [286B blob data]
Mar 10 10:56:21 cloud-provider1-0000012634 dstat.sh[30373]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 10 10:56:21 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:21|  6   2  91   1   0| 423M 4154M  164M 2976M|   0     0 | 123k 3570k|4.46  32.7 |1056  1751 |0.72 0.76 0.55|2.0   0  24|   0     0 |systemd              1    0.1%   0    0 |bash                 2062 2758k2398k0.1%|mysqld       174M|   0     0 |  12    4    0    3    0
Mar 10 10:56:22 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:22|  9  20  70   0   0| 425M 4152M  164M 2977M|9717B 2160B|   0   112k|   0  12.0 |2692  5089 |0.72 0.76 0.55|5.0   0 499|   0     0 |bash                 2062 3.8%1711k  31k|bash                 2062 1711k  31k3.8%|mysqld       174M|   0     0 |  12    4    0    3    0
Mar 10 10:56:23 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:23| 13  18  64   5   0| 424M 4153M  164M 2977M|7083B 2214B|   0  8400k|   0   243 |3011  5517 |0.72 0.76 0.55|6.0   0 358|   0     0 |systemd              1    2.8%   0    0 |bash                 2062 2988k  24k2.0%|mysqld       174M|   0     0 |  12    4    0    3    0
Mar 10 10:56:24 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:24|  8   9  83   0   0| 549M 4027M  164M 3099M|6786B 2160B|   0     0 |   0     0 |3121  4788 |0.66 0.75 0.55|1.0   0  91|   0     0 |systemd              1    5.5%   0    0 |bash                 2062  247k 656B  0%|mysqld       174M|   0     0 |  14    4    0    3    0
Mar 10 10:56:25 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:25| 10  13  77   0   0| 556M 4020M  164M 3099M|8479B 2160B|   0     0 |   0     0 |2104  3534 |0.66 0.75 0.55|2.0   0 295|   0     0 |keystone-manage      316853.2%1564k  79k|keystone-manage      316851564k  79k3.2%|mysqld       174M|   0     0 |  14    6    0    5    0
Mar 10 10:56:26 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:26| 22   3  74   1   0| 593M 3983M  164M 3099M|6829B 1944B|  76k    0 |2.00     0 | 700   741 |0.66 0.75 0.55|1.0   0 1.0|   0     0 |keystone-manage      31685 24%8741k  83k|keystone-manage      316858741k  83k 24%|mysqld       174M|   0     0 |  14    6    0    5    0
Mar 10 10:56:27 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:27| 20   3  72   4   0| 634M 3940M  164M 3101M|  13k 2160B|  84k 3820k|11.0   153 |1506  2325 |0.66 0.75 0.55|1.0 1.0   0|   0     0 |keystone-manage      31685 19%7269k 679k|keystone-manage      316857269k 679k 19%|mysqld       186M|   0     0 |  14    8    0    5    0
Mar 10 10:56:28 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:28|  7   3  74  16   0| 638M 3934M  165M 3102M|5968B 2160B|   0    10M|   0   904 |4419  7759 |0.66 0.75 0.55|1.0 1.0   0|   0     0 |mysqld               296506.0%   0    0 |keystone-manage      31685  16k  10k3.5%|mysqld       191M|   0     0 |  14    8    0    5    0
Mar 10 10:56:29 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:29|  7   4  73  15   0| 641M 3864M  165M 3167M|5289B 2160B|   0    71M|   0   679 |3729  6178 |0.69 0.76 0.55|3.0   0   0|   0     0 |mysqld               296505.5%   0    0 |keystone-manage      31685  23k  14k4.0%|mysqld       193M|   0     0 |  14    8    0    5    0
Mar 10 10:56:30 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:30| 12   6  70  13   0| 643M 3861M  166M 3168M|5376B 2160B|   0  9120k|   0   755 |3988  8127 |0.69 0.76 0.55|2.0   0   0|   0     0 |mysqld               296507.2%   0    0 |keystone-manage      31685  28k  17k6.5%|mysqld       195M|   0     0 |  14    8    0    6    0
Mar 10 10:56:31 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:31| 16   5  70   9   0| 645M 3858M  166M 3169M|6078B 2160B|   0  7112k|   0   604 |4716    11k|0.69 0.76 0.55|3.0   0 2.0|   0     0 |keystone-manage      316859.8%  44k 312k|python               5991  293k 608k1.2%|mysqld       197M|   0     0 |  14    8    0    5    0
Mar 10 10:56:32 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:32| 10   4  71  15   0| 647M 3855M  167M 3169M|6699B 2160B|   0  8984k|   0   733 |3808  7590 |0.69 0.76 0.55|5.0   0   0|   0     0 |mysqld               296506.5%   0    0 |keystone-manage      31685  25k  16k5.0%|mysqld       198M|   0     0 |  14    8    0    5    0
Mar 10 10:56:33 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:33| 15   6  70   9   0| 650M 3850M  167M 3170M|7444B 2160B|   0  6624k|   0   520 |5774    11k|0.69 0.76 0.55|2.0   0   0|   0     0 |keystone-manage      31685 11%  41k 373k|python               5991  357k 741k1.8%|mysqld       199M|   0     0 |  14    8    0    5    0
Mar 10 10:56:34 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:34| 18   4  71   7   0| 651M 3848M  167M 3171M|8836B 2160B|   0  9664k|   0   475 |5940    12k|0.79 0.78 0.56|2.0   0   0|   0     0 |keystone-manage      31685 13%  61k 384k|python               5991  362k 754k1.5%|mysqld       200M|   0     0 |  14    8    0    5    0
Mar 10 10:56:35 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:35| 15   6  69  10   0| 651M 3847M  168M 3172M|6799B 2202B|   0  8304k|   0   648 |5173    12k|0.79 0.78 0.56|2.0   0   0|   0     0 |keystone-manage      316858.8%  48k  34k|keystone-manage      31685  48k  34k8.8%|mysqld       200M|   0     0 |  14    8    0    5    0
Mar 10 10:56:36 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:36| 18   6  73   3   0| 588M 3910M  168M 3172M|5829B 1890B|   0  1892k|   0   148 |1928  3414 |0.79 0.78 0.56|3.0   0  78|   0     0 |keystone-manage      317669.5%2761k  37k|bash                 2062   18M2010k1.0%|mysqld       201M|   0     0 |  14    6    0    6    0
Mar 10 10:56:37 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:37| 23   3  74   0   0| 642M 3856M  168M 3172M|7731B 2214B|   0  2540k|   0  25.0 | 858   995 |0.79 0.78 0.56|2.0 1.0 1.0|   0     0 |keystone-manage      31766 25%  13M  37k|keystone-manage      31766  13M  37k 25%|mysqld       201M|   0     0 |  14    6    0    6    0
Mar 10 10:56:38 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:38| 23   3  73   1   0| 601M 3895M  168M 3173M|  14k 2106B|   0  9960k|   0  81.0 |1180  1492 |0.79 0.78 0.56|2.0   0  11|   0     0 |keystone-manage      31778 16%5978k  37k|bash                 2062   17M  76k0.2%|mysqld       201M|   0     0 |  14    6    0    6    0
Mar 10 10:56:39 cloud-provider1-0000012634 dstat.sh[30373]: 10-03 10:56:39| 23   4  70   2   0| 648M 3848M  168M 3174M|  10k 2214B|   0    67M|   0   795 |1923   906 |0.81 0.78 0.56|4.0   0 1.0|   0     0 |keystone-manage      31778 24%  11M  38k|keystone-manage      31778  11M  38k 24%|mysqld       201M|   0     0 |  14    6    0    6    0
