"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000012721",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","10 Mar 2020 11:49:42 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
10-03 11:49:42,5.606,1.788,91.970,0.579,0.057,443244544,4354871296,173477888,3121258496,0,0,112531.043,3268514.117,3.978,29.267,952.305,1604.207,0.640,0.660,0.490,3,0,21.327,0,0,12,4,0,3,0
10-03 11:49:43,9.160,21.120,69.466,0,0.254,443437056,4354179072,173477888,3121512448,8508,12752,0,86016,0,6,2921,5175,0.640,0.660,0.490,1,0,484,0,0,12,4,0,3,0
10-03 11:49:44,13.283,20.802,65.664,0,0.251,443031552,4354162688,173477888,3121999872,6769,23102,0,32768,0,8,3195,5932,0.640,0.660,0.490,4,0,358,0,0,12,4,0,3,0
10-03 11:49:45,9.367,7.595,83.038,0,0,573902848,4222722048,173477888,3249938432,5504,11018,0,3125248,0,13,3249,6109,0.640,0.660,0.490,1,0,85,0,0,14,4,0,3,0
10-03 11:49:46,12.879,15.152,71.970,0,0,586203136,4210266112,173477888,3250094080,15099,2934,0,0,0,0,2116,3664,0.590,0.650,0.480,1,0,295,0,0,14,6,0,5,0
10-03 11:49:47,21.805,3.509,73.684,0.752,0.251,629170176,4166774784,173486080,3250548736,5685,15328,102400,0,5,0,624,829,0.590,0.650,0.480,1,0,1,0,0,14,6,0,5,0
10-03 11:49:48,16.373,4.786,73.552,5.290,0,663515136,4129509376,173883392,3252776960,6787,2160,61440,7372800,8,422,3271,4946,0.590,0.650,0.480,2,0,0,0,0,14,8,0,5,0
10-03 11:49:49,9.774,6.015,71.178,13.033,0,669683712,4052725760,174575616,3321315328,7490,138948,0,79372288,0,1071,3637,10812,0.590,0.650,0.480,0,1,0,0,0,14,8,0,5,0
10-03 11:49:50,11.809,3.769,71.106,13.065,0.251,671850496,4049534976,175083520,3321782272,14955,8044,0,9531392,0,762,2765,9069,0.590,0.650,0.480,2,1,0,0,0,14,8,0,5,0
10-03 11:49:51,14.322,5.276,69.095,11.307,0,674181120,4045815808,175599616,3322634240,6542,7492,0,8536064,0,706,4056,13201,0.620,0.650,0.490,1,0,0,0,0,14,8,0,5,0
10-03 11:49:52,10.633,4.557,71.139,13.418,0.253,676687872,4041957376,176271360,3323248640,13849,337204,0,9588736,0,744,3721,10992,0.620,0.650,0.490,2,0,2,0,0,14,8,0,5,0
10-03 11:49:53,16.373,4.786,69.521,9.068,0.252,678883328,4038070272,176668672,3324469248,5737,9808,0,7520256,0,587,4488,12564,0.620,0.650,0.490,1,0,0,0,0,14,8,0,5,0
10-03 11:49:54,19.647,6.045,67.254,7.053,0,680472576,4034609152,177090560,3325751296,8576,406216,0,7778304,0,559,6890,20446,0.620,0.650,0.490,1,0,0,0,0,14,8,0,5,0
10-03 11:49:55,12.782,6.767,67.669,12.531,0.251,681160704,4033273856,177471488,3325984768,8448,413462,0,45801472,0,1010,5442,9825,0.620,0.650,0.490,3,0,0,0,0,14,8,0,5,0
10-03 11:49:56,16.667,7.071,72.475,3.788,0,614764544,4099624960,177590272,3325915136,5296,16668,0,4825088,0,346,2295,3969,0.730,0.680,0.500,2,0,78,0,0,14,6,0,6,0
10-03 11:49:57,23.308,3.008,71.679,1.754,0.251,676220928,4037529600,177610752,3326521344,13650,9030,0,6922240,0,72,1203,1573,0.730,0.680,0.500,1,0,1,0,0,14,6,0,6,0
10-03 11:49:58,23.174,3.275,71.788,1.763,0,647933952,4065271808,177627136,3327049728,6656,3974,0,6975488,0,72,1113,1542,0.730,0.680,0.500,1,0,12,0,0,14,6,0,6,0
10-03 11:49:59,21.106,6.030,69.849,3.015,0,603586560,4108091392,177737728,3328417792,5876,2768,0,6377472,0,122,1630,2410,0.730,0.680,0.500,3,1,94,0,0,14,6,0,6,0
10-03 11:50:00,9.799,23.367,65.578,1.005,0.251,605618176,4104916992,177750016,3329527808,7535,10434,0,20111360,0,442,3220,5995,0.730,0.680,0.500,2,0,476,0,0,14,6,0,6,0
