-- Logs begin at Tue 2020-03-10 11:00:48 UTC, end at Tue 2020-03-10 11:52:01 UTC. --
Mar 10 11:49:42 cloud-provider1-0000012721 systemd[1]: Started Devstack devstack@dstat.service.
Mar 10 11:49:42 cloud-provider1-0000012721 dstat.sh[30331]: [286B blob data]
Mar 10 11:49:42 cloud-provider1-0000012721 dstat.sh[30331]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 10 11:49:42 cloud-provider1-0000012721 dstat.sh[30331]: 10-03 11:49:42|  6   2  92   1   0| 423M 4153M  165M 2977M|   0     0 | 110k 3192k|3.98  29.3 | 952  1604 |0.64 0.66 0.49|1.0   0  21|   0     0 |systemd              1    0.1%   0    0 |bash                 1937 2467k2145k0.1%|mysqld       174M|   0     0 |  12    4    0    3    0
Mar 10 11:49:43 cloud-provider1-0000012721 dstat.sh[30331]: 10-03 11:49:43|  9  21  70   0   0| 423M 4152M  165M 2977M|8508B   12k|   0    84k|   0  6.00 |2920  5167 |0.64 0.66 0.49|1.0   0 483|   0     0 |bash                 1937 4.0%1710k  31k|bash                 1937 1710k  31k4.0%|mysqld       174M|   0     0 |  12    4    0    3    0
Mar 10 11:49:44 cloud-provider1-0000012721 dstat.sh[30331]: 10-03 11:49:44| 13  21  66   0   0| 422M 4153M  165M 2977M|6769B   23k|   0    32k|   0  8.00 |3216  5975 |0.64 0.66 0.49|2.0   0 357|   0     0 |systemd              1    4.0%   0    0 |bash                 1937 2961k  23k2.2%|mysqld       174M|   0     0 |  12    4    0    3    0
Mar 10 11:49:45 cloud-provider1-0000012721 dstat.sh[30331]: 10-03 11:49:45|  9   8  83   0   0| 547M 4027M  165M 3099M|5504B   11k|   0  3052k|   0  13.0 |3222  6060 |0.64 0.66 0.49|1.0   0  85|   0     0 |systemd              1    5.8%   0    0 |bash                 1937  247k 656B  0%|mysqld       174M|   0     0 |  14    4    0    3    0
Mar 10 11:49:46 cloud-provider1-0000012721 dstat.sh[30331]: 10-03 11:49:46| 13  15  72   0   0| 559M 4015M  165M 3100M|  15k 2934B|   0     0 |   0     0 |2117  3665 |0.59 0.65 0.48|1.0   0 295|   0     0 |keystone-manage      316477.5%2152k  79k|keystone-manage      316472152k  79k7.5%|mysqld       174M|   0     0 |  14    6    0    5    0
Mar 10 11:49:47 cloud-provider1-0000012721 dstat.sh[30331]: 10-03 11:49:47| 22   3  74   1   0| 600M 3974M  165M 3100M|5817B   15k| 100k    0 |5.00     0 | 625   829 |0.59 0.65 0.48|1.0   0 1.0|   0     0 |keystone-manage      31647 24%  10M 190k|keystone-manage      31647  10M 190k 24%|mysqld       174M|   0     0 |  14    6    0    5    0
Mar 10 11:49:48 cloud-provider1-0000012721 dstat.sh[30331]: 10-03 11:49:48| 16   5  74   5   0| 633M 3938M  166M 3102M|6655B 2160B|  60k 7200k|8.00   422 |3278  4988 |0.59 0.65 0.48|1.0   0   0|   0     0 |keystone-manage      31647 15%4977k 571k|keystone-manage      316474977k 571k 15%|mysqld       188M|   0     0 |  14    8    0    5    0
Mar 10 11:49:49 cloud-provider1-0000012721 dstat.sh[30331]: 10-03 11:49:49| 10   6  71  13   0| 639M 3865M  166M 3167M|7490B  136k|   0    76M|   0  1071 |3631    11k|0.59 0.65 0.48|1.0 1.0   0|   0     0 |mysqld               295987.8%   0    0 |tail                 25365 129k 129k  0%|mysqld       193M|   0     0 |  14    8    0    5    0
Mar 10 11:49:50 cloud-provider1-0000012721 dstat.sh[30331]: 10-03 11:49:50| 12   4  71  13   0| 641M 3862M  167M 3168M|  15k 8044B|   0  9352k|   0   770 |2780  9139 |0.59 0.65 0.48|  0 1.0   0|   0     0 |mysqld               295987.0%   0    0 |keystone-manage      31647  35k  20k6.8%|mysqld       195M|   0     0 |  14    8    0    5    0
Mar 10 11:49:51 cloud-provider1-0000012721 dstat.sh[30331]: 10-03 11:49:51| 14   5  69  11   0| 643M 3858M  167M 3169M|6542B 7492B|   0  8292k|   0   698 |4046    13k|0.62 0.65 0.49|1.0   0   0|   0     0 |keystone-manage      316478.8%  42k 311k|python               5848  292k 607k1.2%|mysqld       196M|   0     0 |  14    8    0    5    0
Mar 10 11:49:52 cloud-provider1-0000012721 dstat.sh[30331]: 10-03 11:49:52| 11   5  71  13   0| 645M 3855M  168M 3169M|  14k  329k|   0  9368k|   0   745 |3718    11k|0.62 0.65 0.49|2.0   0 2.0|   0     0 |mysqld               295986.8%   0    0 |tail                 25365 315k 315k  0%|mysqld       198M|   0     0 |  14    8    0    5    0
