"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000012858",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","10 Mar 2020 14:32:11 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
10-03 14:32:11,5.825,1.883,91.649,0.583,0.060,441032704,4275961856,177618944,3194822656,0,0,108408.404,3419827.470,4.032,30.626,999.504,1667.330,0.680,0.670,0.500,2,0,21.999,0,0,12,4,0,3,0
10-03 14:32:12,8.586,21.465,69.697,0,0.253,441806848,4274540544,177618944,3195142144,15341,14128,0,3436544,0,16,2694,4787,0.680,0.670,0.500,3,0,448,0,0,12,4,0,3,0
10-03 14:32:13,10.230,22.251,67.263,0,0.256,441659392,4274421760,177618944,3195367424,7844,21720,0,32768,0,8,3240,5820,0.680,0.670,0.500,1,0,386,0,0,12,4,0,3,0
10-03 14:32:14,8.838,13.889,77.273,0,0,573546496,4141920256,177618944,3323641856,5313,11612,0,4096,0,1,3432,5490,0.680,0.670,0.500,2,0,163,0,0,14,6,0,3,0
10-03 14:32:15,15.250,13.250,71.250,0,0.250,591601664,4123516928,177618944,3323813888,8314,7304,0,0,0,0,1924,3094,0.710,0.670,0.500,1,0,244,0,0,14,6,0,5,0
10-03 14:32:16,22.111,3.015,74.121,0.754,0,641495040,4072976384,177627136,3324276736,7539,11346,147456,0,11,0,665,754,0.710,0.670,0.500,1,0,1,0,0,14,6,0,5,0
10-03 14:32:17,11.750,4.250,72.750,11,0.250,662257664,4049600512,177889280,3326496768,6604,2160,16384,6959104,2,371,2210,3855,0.710,0.670,0.500,0,1,1,0,0,14,8,0,5,0
10-03 14:32:18,8.543,5.276,71.357,14.573,0.251,667594752,3974930432,178286592,3394072576,10409,138474,0,75952128,0,836,2836,8862,0.710,0.670,0.500,0,1,0,0,0,14,8,0,5,0
10-03 14:32:19,11.750,4.500,71.750,12,0,670564352,3969765376,179019776,3395391488,13637,6746,0,11522048,0,962,3791,9846,0.710,0.670,0.500,0,1,2,0,0,14,8,0,5,0
10-03 14:32:20,15.960,5.486,67.830,10.723,0,672284672,3966992384,179376128,3396022272,5723,7484,0,6103040,0,484,4125,9439,0.810,0.700,0.510,0,1,0,0,0,14,8,0,5,0
10-03 14:32:21,14.035,5.514,70.677,9.524,0.251,674664448,3962818560,180129792,3397001216,11982,332818,0,10723328,0,839,4530,13868,0.810,0.700,0.510,0,1,0,0,0,14,8,0,5,0
10-03 14:32:22,14.106,7.053,68.514,10.076,0.252,677367808,3958501376,180711424,3397992448,6163,13182,0,10723328,0,856,4836,12788,0.810,0.700,0.510,1,0,0,0,0,14,8,0,5,0
