-- Logs begin at Tue 2020-03-10 13:44:42 UTC, end at Tue 2020-03-10 15:03:18 UTC. --
Mar 10 14:32:11 cloud-provider1-0000012858 systemd[1]: Started Devstack devstack@dstat.service.
Mar 10 14:32:11 cloud-provider1-0000012858 dstat.sh[30445]: [286B blob data]
Mar 10 14:32:11 cloud-provider1-0000012858 dstat.sh[30445]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 10 14:32:11 cloud-provider1-0000012858 dstat.sh[30445]: 10-03 14:32:11|  6   2  92   1   0| 421M 4078M  169M 3047M|   0     0 | 106k 3340k|4.03  30.6 |1000  1667 |0.68 0.67 0.50|1.0   0  22|   0     0 |systemd              1    0.1%   0    0 |bash                 1958 2594k2279k0.1%|mysqld       173M|   0     0 |  12    4    0    3    0
Mar 10 14:32:12 cloud-provider1-0000012858 dstat.sh[30445]: 10-03 14:32:12|  8  22  70   0   0| 422M 4076M  169M 3047M|  15k   14k|   0  3356k|   0  16.0 |2689  4775 |0.68 0.67 0.50|2.0   0 447|   0     0 |bash                 1958 4.0%1363k  28k|bash                 1958 1363k  28k4.0%|mysqld       173M|   0     0 |  12    4    0    3    0
Mar 10 14:32:13 cloud-provider1-0000012858 dstat.sh[30445]: 10-03 14:32:13| 10  22  67   0   0| 421M 4077M  169M 3047M|7918B   21k|   0    32k|   0  8.00 |3234  5810 |0.68 0.67 0.50|3.0   0 383|   0     0 |systemd              1    2.8%   0    0 |bash                 1958 3309k  26k2.2%|mysqld       173M|   0     0 |  12    4    0    3    0
Mar 10 14:32:14 cloud-provider1-0000012858 dstat.sh[30445]: 10-03 14:32:14|  9  14  77   0   0| 547M 3950M  169M 3170M|5239B   11k|   0  4096B|   0  1.00 |3448  5515 |0.68 0.67 0.50|1.0   0 164|   0     0 |systemd              1    6.2%   0    0 |bash                 1958  478k5558B0.8%|mysqld       173M|   0     0 |  14    6    0    3    0
Mar 10 14:32:15 cloud-provider1-0000012858 dstat.sh[30445]: 10-03 14:32:15| 15  13  71   0   0| 564M 3932M  169M 3170M|8314B 7304B|   0     0 |   0     0 |1915  3075 |0.71 0.67 0.50|1.0   0 243|   0     0 |keystone-manage      31759 11%4311k  79k|keystone-manage      317594311k  79k 11%|mysqld       173M|   0     0 |  14    6    0    5    0
Mar 10 14:32:16 cloud-provider1-0000012858 dstat.sh[30445]: 10-03 14:32:16| 22   3  74   1   0| 612M 3884M  169M 3170M|7539B   11k| 144k    0 |11.0     0 | 661   758 |0.71 0.67 0.50|2.0   0 1.0|   0     0 |keystone-manage      31759 24%  11M 311k|keystone-manage      31759  11M 311k 24%|mysqld       173M|   0     0 |  14    6    0    5    0
Mar 10 14:32:17 cloud-provider1-0000012858 dstat.sh[30445]: 10-03 14:32:17| 12   4  73  11   0| 632M 3862M  170M 3172M|6604B 2160B|  16k 6796k|2.00   371 |2220  3873 |0.71 0.67 0.50|  0 1.0 1.0|   0     0 |keystone-manage      31759 11%1823k 450k|keystone-manage      317591823k 450k 11%|mysqld       187M|   0     0 |  14    8    0    5    0
Mar 10 14:32:18 cloud-provider1-0000012858 dstat.sh[30445]: 10-03 14:32:18|  9   5  71  15   0| 637M 3791M  170M 3237M|  10k  135k|   0    72M|   0   836 |2826  8839 |0.71 0.67 0.50|  0 1.0   0|   0     0 |mysqld               297177.2%   0    0 |tail                 18652 129k 129k  0%|mysqld       192M|   0     0 |  14    8    0    5    0
Mar 10 14:32:19 cloud-provider1-0000012858 dstat.sh[30445]: 10-03 14:32:19| 12   5  72  12   0| 640M 3786M  171M 3238M|  14k 6908B|   0    11M|   0   962 |3795  9847 |0.71 0.67 0.50|  0 1.0 2.0|   0     0 |mysqld               297176.5%   0    0 |keystone-manage      31759  31k  18k6.2%|mysqld       194M|   0     0 |  14    8    0    5    0
Mar 10 14:32:20 cloud-provider1-0000012858 dstat.sh[30445]: 10-03 14:32:20| 16   5  68  11   0| 641M 3783M  171M 3239M|5501B 7322B|   0  6032k|   0   490 |4140  9489 |0.81 0.70 0.51|1.0 1.0   0|   0     0 |keystone-manage      31759 10%  33k 302k|python               5869  290k 602k1.5%|mysqld       195M|   0     0 |  14    8    0    5    0
