"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000011589",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","09 Mar 2020 19:18:51 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
09-03 19:18:51,0.874,0.276,98.715,0.105,0.030,442900480,4344684544,172376064,3132506112,0,0,17348.655,506900.124,0.619,4.596,271.711,349.239,0.690,0.680,0.560,3,0,3.298,0,0,12,3,0,3,0
09-03 19:18:52,9.045,21.859,68.593,0.251,0.251,443367424,4343894016,172380160,3132547072,5757,2160,0,94208,0,6,2652,5010,0.690,0.680,0.560,1,0,472,0,0,12,3,0,3,0
09-03 19:18:53,12.152,21.266,66.329,0,0.253,443052032,4343676928,172380160,3133059072,4877,2160,0,32768,0,8,3239,6518,0.690,0.680,0.560,3,0,378,0,0,12,3,0,3,0
09-03 19:18:54,8.906,10.433,80.662,0,0,575238144,4210900992,172380160,3261198336,6188,1998,0,0,0,0,3631,5671,0.690,0.680,0.560,1,0,130,0,0,14,5,0,3,0
09-03 19:18:55,16.250,11.250,72.250,0,0.250,595030016,4190941184,172380160,3261366272,5886,2322,0,823296,0,7,1809,2727,0.690,0.680,0.560,1,0,249,0,0,14,5,0,5,0
09-03 19:18:56,22.362,2.764,74.121,0.754,0,641064960,4144140288,172388352,3261947904,6310,2254,106496,0,7,0,767,808,0.720,0.690,0.560,0,1,1,0,0,14,5,0,5,0
09-03 19:18:57,12.030,3.759,72.932,11.278,0,664436736,4118183936,172724224,3263967232,5698,1998,57344,7315456,6,415,2935,4757,0.720,0.690,0.560,1,0,0,0,0,14,7,0,5,0
09-03 19:18:58,9.799,6.533,70.603,12.814,0.251,669929472,4042977280,173207552,3331854336,6724,2052,0,76476416,0,880,4769,8835,0.720,0.690,0.560,1,0,2,0,0,14,7,0,5,0
09-03 19:18:59,8.883,3.299,72.589,14.975,0.254,671854592,4039512064,173674496,3332829184,6236,2160,0,7843840,0,656,3707,7250,0.720,0.690,0.560,3,0,0,0,0,14,7,0,5,0
09-03 19:19:00,13.486,4.071,71.501,10.941,0,674258944,4035698688,174211072,3333677056,14191,2160,0,8450048,0,691,5076,12251,0.720,0.690,0.560,1,0,0,0,0,14,7,0,5,0
09-03 19:19:01,8.861,3.544,68.608,18.734,0.253,675545088,4033335296,174727168,3334156288,6460,2214,0,16302080,0,923,3539,8317,0.820,0.710,0.570,0,1,0,0,0,14,7,0,5,0
09-03 19:19:02,9.320,4.534,72.040,13.854,0.252,678019072,4029874176,175443968,3334561792,4629,2160,0,9404416,0,752,4130,7064,0.820,0.710,0.570,0,1,0,0,0,14,7,0,5,0
09-03 19:19:03,17.092,4.337,70.663,7.908,0,679792640,4026368000,175751168,3335938048,5152,2160,0,7237632,0,537,6511,11801,0.820,0.710,0.570,1,0,0,0,0,14,7,0,5,0
09-03 19:19:04,17.128,4.534,69.270,8.816,0.252,681373696,4023173120,176164864,3337035776,5286,2052,0,7237632,0,547,6289,11290,0.820,0.710,0.570,0,1,0,0,0,14,7,0,5,0
09-03 19:19:05,14.824,4.774,70.352,9.799,0.251,681426944,4022415360,176594944,3337265152,5568,2268,0,8364032,0,630,4476,9496,0.820,0.710,0.570,1,0,0,0,0,14,7,0,5,0
09-03 19:19:06,20.101,7.286,71.106,1.508,0,629866496,4073934848,176603136,3337297920,6639,1890,0,54603776,0,550,2088,1664,0.910,0.730,0.580,1,0,78,0,0,14,5,0,6,0
09-03 19:19:07,23.750,3,72.750,0.250,0.250,677597184,4025589760,176664576,3337805824,5300,2214,0,7999488,0,70,1032,1356,0.910,0.730,0.580,1,0,1,0,0,14,5,0,7,0
09-03 19:19:08,23.750,3,71.500,1.750,0,648785920,4053831680,176697344,3338326016,7137,2160,0,6868992,0,69,1115,1507,0.910,0.730,0.580,1,0,14,0,0,14,5,0,6,0
09-03 19:19:09,18.434,9.343,70.455,1.515,0.253,604254208,4097019904,176824320,3339542528,7473,2160,0,6524928,0,134,2429,3829,0.910,0.730,0.580,2,0,249,0,0,14,5,0,6,0
09-03 19:19:10,12.563,20.854,66.332,0,0.251,605347840,4094410752,176828416,3341103104,16602,2160,0,135168,0,17,3284,6714,0.910,0.730,0.580,4,0,424,0,0,14,5,0,6,0
09-03 19:19:11,35.354,15.909,48.232,0.505,0,658186240,4041322496,176828416,3341463552,8159,2106,0,12697600,0,288,3483,4843,1.080,0.770,0.590,2,0,199,0,0,14,7,0,6,0
09-03 19:19:12,43.860,4.762,49.624,1.754,0,747552768,3951669248,176844800,3341668352,7484,2106,151552,57344,6,4,990,810,1.080,0.770,0.590,2,0,2,0,0,14,7,0,6,0
09-03 19:19:13,40.250,10.250,49.250,0,0.250,781365248,3915407360,176885760,3343847424,7958,2268,0,417792,0,63,2750,6010,1.080,0.770,0.590,2,0,120,0,0,14,5,0,7,0
09-03 19:19:14,23.174,5.793,70.781,0,0.252,825049088,3871100928,176885760,3344134144,24166,1890,0,0,0,0,1678,1702,1.080,0.770,0.590,1,0,52,0,0,14,5,0,7,0
09-03 19:19:15,23.750,2.750,73.250,0.250,0,866660352,3829481472,176885760,3344142336,7284,2214,0,1241088,0,7,843,1003,1.080,0.770,0.590,1,0,0,0,0,14,7,0,7,0
