-- Logs begin at Mon 2020-03-09 14:02:07 UTC, end at Mon 2020-03-09 19:21:11 UTC. --
Mar 09 19:18:51 cloud-provider1-0000011589 systemd[1]: Started Devstack devstack@dstat.service.
Mar 09 19:18:51 cloud-provider1-0000011589 dstat.sh[30365]: [286B blob data]
Mar 09 19:18:51 cloud-provider1-0000011589 dstat.sh[30365]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 09 19:18:51 cloud-provider1-0000011589 dstat.sh[30365]: 09-03 19:18:51|  1   0  99   0   0| 423M 4143M  164M 2987M|   0     0 |  17k  495k|0.62  4.60 | 272   349 |0.69 0.68 0.56|1.0   0 3.3|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2060  383k 334k0.0%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 09 19:18:52 cloud-provider1-0000011589 dstat.sh[30365]: 09-03 19:18:52|  9  22  69   0   0| 423M 4142M  164M 2988M|5757B 2160B|   0    92k|   0  6.00 |2645  4979 |0.69 0.68 0.56|2.0   0 469|   0     0 |bash                 2060 3.8%1679k  29k|bash                 2060 1679k  29k3.8%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 09 19:18:53 cloud-provider1-0000011589 dstat.sh[30365]: 09-03 19:18:53| 12  22  66   0   0| 423M 4142M  164M 2988M|4877B 2160B|   0    32k|   0  8.00 |3232  6547 |0.69 0.68 0.56|6.0   0 375|   0     0 |systemd              1    2.8%   0    0 |bash                 2060 2981k  25k2.2%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 09 19:18:54 cloud-provider1-0000011589 dstat.sh[30365]: 09-03 19:18:54|  9  10  81   0   0| 549M 4016M  164M 3110M|6188B 1998B|   0     0 |   0     0 |3642  5647 |0.69 0.68 0.56|1.0   0 133|   0     0 |systemd              1    5.2%   0    0 |bash                 2060  450k4383B0.2%|mysqld       174M|   0     0 |  14    5    0    3    0
Mar 09 19:18:55 cloud-provider1-0000011589 dstat.sh[30365]: 09-03 19:18:55| 16  11  72   0   0| 567M 3997M  164M 3110M|5886B 2322B|   0   804k|   0  7.00 |1803  2706 |0.69 0.68 0.56|1.0   0 246|   0     0 |keystone-manage      31677 12%4778k  79k|keystone-manage      316774778k  79k 12%|mysqld       174M|   0     0 |  14    5    0    5    0
Mar 09 19:18:56 cloud-provider1-0000011589 dstat.sh[30365]: 09-03 19:18:56| 22   3  74   1   0| 611M 3952M  164M 3111M|6310B 2254B| 144k    0 |11.0     0 | 763   800 |0.72 0.69 0.56|1.0   0 1.0|   0     0 |keystone-manage      31677 24%  11M 260k|keystone-manage      31677  11M 260k 24%|mysqld       174M|   0     0 |  14    5    0    5    0
Mar 09 19:18:57 cloud-provider1-0000011589 dstat.sh[30365]: 09-03 19:18:57| 12   4  73  11   0| 634M 3927M  165M 3113M|5920B 2160B|  16k 7288k|2.00   432 |2992  4853 |0.72 0.69 0.56|1.0   0   0|   0     0 |keystone-manage      316779.5%1911k 502k|keystone-manage      316771911k 502k9.5%|mysqld       188M|   0     0 |  14    7    0    5    0
Mar 09 19:18:58 cloud-provider1-0000011589 dstat.sh[30365]: 09-03 19:18:58| 10   6  71  13   0| 639M 3856M  165M 3178M|6562B 1890B|   0    73M|   0   864 |4716  8749 |0.72 0.69 0.56|  0 1.0 2.0|   0     0 |mysqld               296459.0%   0    0 |keystone-manage      31677  23k  14k4.0%|mysqld       192M|   0     0 |  14    7    0    5    0
Mar 09 19:18:59 cloud-provider1-0000011589 dstat.sh[30365]: 09-03 19:18:59|  9   4  73  15   0| 641M 3852M  166M 3178M|6176B 2160B|   0  7808k|   0   661 |3725  7315 |0.72 0.69 0.56|  0 1.0   0|   0     0 |mysqld               296455.5%   0    0 |keystone-manage      31677  18k  12k5.2%|mysqld       194M|   0     0 |  14    7    0    5    0
Mar 09 19:19:00 cloud-provider1-0000011589 dstat.sh[30365]: 09-03 19:19:00| 14   4  72  11   0| 643M 3849M  166M 3179M|  14k 2160B|   0  8232k|   0   704 |5101    12k|0.72 0.69 0.56|3.0   0   0|   0     0 |keystone-manage      316778.5%  41k 306k|python               5971  290k 603k1.2%|mysqld       196M|   0     0 |  14    7    0    5    0
