"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000014828",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","12 Mar 2020 15:59:55 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
12-03 15:59:55,3.802,1.197,94.500,0.458,0.042,442970112,4337135616,174501888,3137400832,0,0,76659.076,2185887.843,2.748,19.880,687.928,1103.461,0.740,0.710,0.520,3,0,14.485,0,0,12,3,0,3,0
12-03 15:59:56,9.572,20.151,69.773,0,0.504,443707392,4335763456,174501888,3137753088,6525,2052,0,3420160,0,18,2520,5672,0.740,0.710,0.520,3,0,482,0,0,12,3,0,3,0
12-03 15:59:57,10.579,22.670,66.499,0,0.252,442953728,4336005120,174501888,3138334720,13173,2268,0,32768,0,8,2749,6468,0.740,0.710,0.520,4,0,369,0,0,12,3,0,3,0
12-03 15:59:58,10.633,14.430,74.937,0,0,574234624,4204179456,174501888,3266330624,5736,2106,0,0,0,0,3102,5909,0.740,0.710,0.520,2,0,201,0,0,14,5,0,3,0
12-03 15:59:59,17.794,10.025,71.930,0,0.251,602435584,4175712256,174501888,3266564096,5481,2106,0,0,0,0,1617,2488,0.740,0.710,0.520,3,0,178,0,0,14,5,0,5,0
12-03 16:00:00,21.303,3.008,74.185,1.504,0,646094848,4130824192,174514176,3267559424,5942,2106,151552,0,12,0,688,747,0.760,0.720,0.530,2,0,1,0,0,14,5,0,5,0
12-03 16:00:01,8.883,3.553,73.858,13.452,0.254,665313280,4109430784,174809088,3269292032,6304,2106,12288,9248768,1,624,3054,6781,0.760,0.720,0.530,2,0,0,0,0,14,7,0,5,0
12-03 16:00:02,8.586,4.545,72.980,13.889,0,669212672,4035760128,175235072,3337261056,7117,2160,0,75354112,0,712,3641,7198,0.760,0.720,0.530,1,1,0,0,0,14,7,0,5,0
12-03 16:00:03,10.804,4.020,71.106,14.070,0,671371264,4032303104,175763456,3337965568,7614,2160,0,8040448,0,678,3619,6469,0.760,0.720,0.530,2,0,0,0,0,14,7,0,5,0
12-03 16:00:04,15.013,3.817,71.247,9.669,0.254,673538048,4028882944,176168960,3338747904,17673,2160,0,6856704,0,554,4136,9764,0.760,0.720,0.530,4,0,0,0,0,14,7,0,6,0
12-03 16:00:05,12.091,4.534,71.285,12.091,0,675778560,4025200640,176693248,3339587584,5807,2106,0,9891840,0,788,4493,9160,0.860,0.740,0.540,2,0,2,0,0,14,7,0,6,0
12-03 16:00:06,12,4.750,70.500,12.500,0.250,677928960,4022071296,177364992,3339821056,7007,2160,0,9822208,0,761,4734,8435,0.860,0.740,0.540,3,0,0,0,0,14,7,0,5,0
