"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000016259",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","16 Mar 2020 16:17:34 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
16-03 16:17:34,2.026,0.655,97.067,0.205,0.047,441753600,4338167808,173510656,3138080768,0,0,40571.416,1163819.694,1.456,10.562,444.640,650.014,0.680,0.600,0.450,3,0,7.675,0,0,12,3,0,3,0
16-03 16:17:35,9.848,19.949,70.202,0,0,441876480,4337451008,173510656,3138351104,7093,2214,0,73728,0,5,2450,5242,0.680,0.600,0.450,1,0,474,0,0,12,3,0,3,0
16-03 16:17:36,11.646,21.266,66.835,0,0.253,442847232,4335820800,173510656,3138990080,6930,2160,0,32768,0,8,2815,5341,0.700,0.600,0.450,3,0,352,0,0,12,3,0,3,0
16-03 16:17:37,8.838,10.354,80.556,0,0.253,573497344,4204777472,173510656,3267051520,7400,2160,0,4096,0,1,3503,6042,0.700,0.600,0.450,1,0,122,0,0,14,3,0,3,0
16-03 16:17:38,12.091,13.854,74.055,0,0,585482240,4192641024,173510656,3267104768,7643,2160,0,815104,0,7,2010,3402,0.700,0.600,0.450,4,0,295,0,0,14,5,0,5,0
16-03 16:17:39,21.805,3.759,73.684,0.501,0.251,624451584,4153339904,173510656,3267436544,9753,2160,90112,0,4,0,693,758,0.700,0.600,0.450,3,0,1,0,0,14,5,0,5,0
16-03 16:17:40,15.829,3.518,73.116,7.538,0,661983232,4112998400,173703168,3269709824,7158,2106,73728,6299648,9,329,2231,3726,0.700,0.600,0.450,1,0,0,0,0,14,7,0,5,0
16-03 16:17:41,8.816,5.542,71.788,13.602,0.252,668372992,4036595712,174272512,3337834496,14592,1998,0,77344768,0,930,4284,8070,0.730,0.610,0.450,0,1,0,0,0,14,7,0,5,0
16-03 16:17:42,12.405,4.810,71.899,10.633,0.253,670879744,4032425984,175017984,3338633216,9844,2106,0,11628544,0,981,5219,8570,0.730,0.610,0.450,5,1,0,0,0,14,7,0,5,0
16-03 16:17:43,16.209,5.237,67.830,10.723,0,672980992,4028821504,175521792,3339554816,17793,2214,0,10616832,0,695,4761,9174,0.730,0.610,0.450,1,0,0,0,0,14,7,0,5,0
16-03 16:17:44,12.750,6,70.750,10.250,0.250,676134912,4024090624,176259072,3340378112,8975,2160,0,11694080,0,936,5182,8789,0.730,0.610,0.450,4,0,2,0,0,14,7,0,5,0
16-03 16:17:45,18.481,5.063,70.127,6.076,0.253,678178816,4020105216,176721920,3341705216,6976,1944,0,7622656,0,552,5441,15302,0.730,0.610,0.450,1,0,0,0,0,14,7,0,5,0
16-03 16:17:46,16.667,5.556,69.949,7.828,0,680017920,4016766976,177061888,3342798848,14186,2160,0,6823936,0,512,4545,12408,0.750,0.620,0.460,2,0,0,0,0,14,7,0,5,0
16-03 16:17:47,13.165,5.570,71.139,9.873,0.253,680898560,4015120384,177565696,3343024128,7600,2160,0,10506240,0,778,4674,10928,0.750,0.620,0.460,2,0,0,0,0,14,7,0,5,0
16-03 16:17:48,20.655,6.801,71.033,1.259,0.252,625102848,4070875136,177569792,3343060992,5890,2106,0,53661696,0,940,2882,1730,0.750,0.620,0.460,2,0,78,0,0,14,5,0,6,0
16-03 16:17:49,24.060,2.506,72.932,0.501,0,675598336,4019884032,177586176,3343544320,5587,2214,0,7684096,0,75,897,1368,0.750,0.620,0.460,1,0,1,0,0,14,5,0,6,0
16-03 16:17:50,23.192,3.491,72.569,0.499,0.249,630181888,4064735232,177623040,3344060416,7109,2160,0,6950912,0,68,1026,1444,0.750,0.620,0.460,2,0,11,0,0,14,5,0,6,0
16-03 16:17:51,23.618,2.764,73.116,0.503,0,676089856,4017377280,177733632,3345350656,7006,2160,0,6463488,0,136,1055,1526,0.850,0.640,0.470,1,0,1,0,0,14,5,0,6,0
16-03 16:17:52,11.646,17.975,70.127,0,0.253,602619904,4089851904,177745920,3346313216,14071,1944,0,102400,0,9,2438,4465,0.850,0.640,0.470,1,0,377,0,0,14,5,0,6,0
16-03 16:17:53,14.394,20.960,64.394,0,0.253,604069888,4087812096,177745920,3346804736,8420,2106,0,32768,0,8,3691,6735,0.850,0.640,0.470,4,0,356,0,0,14,5,0,6,0
16-03 16:17:54,43.719,11.558,44.724,0,0,687845376,4003983360,177745920,3347173376,7700,2214,0,17494016,0,185,2116,2327,0.850,0.640,0.470,6,0,142,0,0,14,7,0,6,0
16-03 16:17:55,45.363,5.263,48.622,0.752,0,768221184,3922681856,177754112,3347939328,6704,2160,151552,253952,5,30,1035,832,0.850,0.640,0.470,5,0,1,0,0,14,7,0,6,0
16-03 16:17:56,31.899,11.899,55.949,0,0.253,791523328,3897008128,177758208,3349872640,9511,2160,0,0,0,0,2602,8218,0.860,0.650,0.470,2,0,168,0,0,14,5,0,7,0
