"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000016698",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Mar 2020 03:45:17 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-03 03:45:17,0.793,0.250,98.832,0.092,0.034,439500800,4351160320,173920256,3127803904,0,0,15884.866,461361.790,0.568,4.183,263.713,325.343,0.670,0.670,0.510,2,0,3.002,0,0,12,3,0,3,0
17-03 03:45:18,8.142,21.374,69.975,0.254,0.254,439377920,4350853120,173924352,3127902208,6019,2160,0,81920,0,5,2719,4826,0.670,0.670,0.510,3,0,461,0,0,12,3,0,3,0
17-03 03:45:19,12.343,22.166,65.239,0,0.252,439291904,4350517248,173924352,3128270848,6469,1890,0,3506176,0,20,3265,5550,0.780,0.690,0.520,2,0,367,0,0,12,3,0,3,0
17-03 03:45:20,11.168,12.183,76.650,0,0,571273216,4217970688,173924352,3256451072,6583,2214,0,4096,0,1,3633,5780,0.780,0.690,0.520,1,0,107,0,0,14,3,0,3,0
17-03 03:45:21,5.303,11.616,82.828,0,0.253,571797504,4217311232,173924352,3256586240,8532,2160,0,0,0,0,1915,3124,0.780,0.690,0.520,3,0,258,0,0,14,7,0,3,0
17-03 03:45:22,20.960,4.545,74.242,0.253,0,606105600,4182720512,173932544,3256811520,9676,2160,73728,0,1,0,941,1167,0.780,0.690,0.520,2,0,39,0,0,14,5,0,5,0
17-03 03:45:23,21,2.750,74,2,0.250,645554176,4142034944,173973504,3257790464,7683,2160,77824,675840,11,3,655,696,0.780,0.690,0.520,1,1,0,0,0,14,5,0,5,0
17-03 03:45:24,9.873,4.557,72.152,13.418,0,662884352,4122161152,174383104,3259715584,8337,2160,12288,10764288,1,839,4955,8627,0.800,0.700,0.530,3,0,0,0,0,14,7,0,5,0
17-03 03:45:25,8.250,4.250,72,15.250,0.250,666664960,4049072128,174690304,3327373312,7367,2106,0,73027584,0,503,2853,5171,0.800,0.700,0.530,2,0,2,0,0,14,7,0,5,0
17-03 03:45:26,11.750,4.500,71.250,12.500,0,668975104,4044890112,175378432,3328405504,8868,1998,0,10113024,0,844,4114,9009,0.800,0.700,0.530,1,1,0,0,0,14,7,0,5,0
17-03 03:45:27,17,5.750,68.500,8.500,0.250,670949376,4041379840,175910912,3329351680,16257,2106,0,9699328,0,795,6317,14342,0.800,0.700,0.530,3,0,0,0,0,14,7,0,5,0
17-03 03:45:28,10.633,4.304,70.886,13.924,0.253,672997376,4038082560,176545792,3329888256,6408,2214,0,8871936,0,684,3692,8750,0.800,0.700,0.530,4,0,0,0,0,14,7,0,5,0
17-03 03:45:29,13.098,6.549,64.232,16.121,0,675422208,4034850816,177012736,3330285568,7180,2160,0,20545536,0,1101,4368,7429,0.810,0.700,0.530,1,1,0,0,0,14,7,0,5,0
17-03 03:45:30,22.564,4.359,68.205,4.872,0,676241408,4031713280,177283072,3332276224,6145,2052,0,5144576,0,338,7517,18290,0.810,0.700,0.530,1,1,0,0,0,14,7,0,5,0
17-03 03:45:31,13.232,5.089,71.247,10.178,0.254,678248448,4028784640,177868800,3332595712,9305,2268,0,10170368,0,791,4385,12514,0.810,0.700,0.530,3,0,0,0,0,14,7,0,5,0
17-03 03:45:32,16.919,7.323,72.980,2.525,0.253,611790848,4094906368,178057216,3332710400,7953,2160,0,2990080,0,212,2309,5025,0.810,0.700,0.530,2,0,78,0,0,14,5,0,6,0
17-03 03:45:33,21.914,4.282,73.552,0.252,0,669884416,4036280320,178106368,3333193728,8144,2160,0,6848512,0,74,948,1214,0.810,0.700,0.530,2,0,1,0,0,14,5,0,6,0
17-03 03:45:34,23.116,3.769,72.111,1.005,0,647020544,4058554368,178139136,3333730304,8798,1998,0,34619392,0,282,1271,1467,0.830,0.710,0.530,2,1,12,0,0,14,5,0,6,0
17-03 03:45:35,17.424,11.111,69.697,1.768,0,600481792,4103749632,178221056,3334987776,6132,2106,0,43311104,0,454,2304,3488,0.830,0.710,0.530,3,0,190,0,0,14,5,0,6,0
17-03 03:45:36,14.106,19.144,66.247,0,0.504,601268224,4101783552,178221056,3336052736,6818,2160,0,135168,0,16,2656,5556,0.830,0.710,0.530,3,0,475,0,0,14,5,0,6,0
17-03 03:45:37,31.980,15.736,52.284,0,0,633536512,4069093376,178221056,3336691712,16636,2214,0,4096,0,1,4121,7940,0.830,0.710,0.530,3,0,208,0,0,14,7,0,6,0
17-03 03:45:38,45.226,5.779,48.492,0.251,0.251,721969152,3980398592,178221056,3336937472,8998,2136,131072,0,1,0,930,766,0.830,0.710,0.530,3,0,4,0,0,14,7,0,6,0
17-03 03:45:39,46.750,6.500,45.750,1,0,777269248,3922382848,178270208,3339268096,7482,2160,20480,491520,4,69,1152,5341,0.920,0.730,0.540,3,0,0,0,0,14,7,0,6,0
