-- Logs begin at Mon 2020-03-16 21:57:01 UTC, end at Tue 2020-03-17 04:17:17 UTC. --
Mar 17 03:45:17 cloud-provider1-0000016698 systemd[1]: Started Devstack devstack@dstat.service.
Mar 17 03:45:17 cloud-provider1-0000016698 dstat.sh[30404]: [286B blob data]
Mar 17 03:45:17 cloud-provider1-0000016698 dstat.sh[30404]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 17 03:45:17 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:17|  1   0  99   0   0| 419M 4149M  166M 2983M|   0     0 |  16k  451k|0.57  4.18 | 264   325 |0.67 0.67 0.51|4.0   0 3.0|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2051  348k 303k0.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 17 03:45:18 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:18|  8  22  70   0   0| 419M 4150M  166M 2983M|5723B 1890B|   0    80k|   0  5.00 |2723  4837 |0.67 0.67 0.51|3.0   0 462|   0     0 |bash                 2051 4.0%1485k  29k|bash                 2051 1485k  29k4.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 17 03:45:19 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:19| 12  22  65   0   0| 419M 4149M  166M 2983M|6825B 2160B|   0  3424k|   0  20.0 |3269  5552 |0.78 0.69 0.52|1.0   0 368|   0     0 |systemd              1    3.0%   0    0 |bash                 2051 2964k  24k2.2%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 17 03:45:20 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:20| 11  12  76   0   0| 545M 4023M  166M 3106M|6583B 2214B|   0  4096B|   0  1.00 |3634  5780 |0.78 0.69 0.52|  0   0 107|   0     0 |systemd              1    8.8%   0    0 |bash                 2051  471k2344B0.5%|mysqld       173M|   0     0 |  14    3    0    3    0
Mar 17 03:45:21 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:21|  5  12  83   0   0| 545M 4022M  166M 3106M|8532B 2160B|   0     0 |   0     0 |1910  3119 |0.78 0.69 0.52|1.0   0 258|   0     0 |bash                 2051 2.2% 505k  15k|bash                 2051  505k  15k2.2%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 17 03:45:22 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:22| 21   5  74   0   0| 578M 3989M  166M 3106M|9556B 2160B|  72k    0 |1.00     0 | 944  1172 |0.78 0.69 0.52|1.0   0  39|   0     0 |keystone-manage      31714 22%7618k 162k|keystone-manage      317147618k 162k 22%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 17 03:45:23 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:23| 21   3  74   2   0| 615M 3950M  166M 3107M|7803B 2160B|  76k  660k|11.0  3.00 | 656   693 |0.78 0.69 0.52|1.0   0   0|   0     0 |keystone-manage      31714 23%9811k 533k|keystone-manage      317149811k 533k 23%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 17 03:45:24 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:24| 10   5  72  13   0| 632M 3931M  166M 3109M|8180B 2160B|  12k   10M|1.00   834 |4937  8597 |0.80 0.70 0.53|1.0 1.0   0|   0     0 |mysqld               296795.5%   0    0 |python               5970  120k 249k0.5%|mysqld       189M|   0     0 |  14    7    0    5    0
Mar 17 03:45:25 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:25|  8   4  72  15   0| 636M 3861M  167M 3173M|7524B 2106B|   0    70M|   0   508 |2871  5202 |0.80 0.70 0.53|1.0   0 2.0|   0     0 |mysqld               296796.0%   0    0 |keystone-manage      31714  23k  14k3.8%|mysqld       192M|   0     0 |  14    7    0    5    0
Mar 17 03:45:26 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:26| 12   5  71  13   0| 638M 3858M  167M 3174M|8868B 1998B|   0  9876k|   0   844 |4114  9009 |0.80 0.70 0.53|  0 1.0   0|   0     0 |mysqld               296796.2%   0    0 |keystone-manage      31714  28k  17k6.2%|mysqld       194M|   0     0 |  14    7    0    5    0
Mar 17 03:45:27 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:27| 17   6  69   9   0| 640M 3854M  168M 3175M|  16k 2106B|   0  9472k|   0   795 |6316    14k|0.80 0.70 0.53|1.0   0   0|   0     0 |keystone-manage      317149.8%  54k 317k|python               5970  293k 610k1.2%|mysqld       196M|   0     0 |  14    7    0    5    0
Mar 17 03:45:28 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:28| 11   4  71  14   0| 642M 3851M  168M 3176M|6408B 2214B|   0  8612k|   0   681 |3679  8731 |0.80 0.70 0.53|3.0   0   0|   0     0 |mysqld               296797.0%   0    0 |keystone-manage      31714  29k  20k5.8%|mysqld       198M|   0     0 |  14    7    0    5    0
Mar 17 03:45:29 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:29| 13   7  64  16   0| 644M 3848M  169M 3176M|7180B 2160B|   0    20M|   0  1104 |4384  7450 |0.81 0.70 0.53|  0 1.0   0|   0     0 |mysqld               29679 12%   0    0 |keystone-manage      31714  18k  13k4.2%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 17 03:45:30 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:30| 23   4  68   5   0| 645M 3845M  169M 3178M|6145B 2052B|   0  5020k|   0   337 |7507    18k|0.81 0.70 0.53|  0 1.0   0|   0     0 |keystone-manage      31714 16%  81k 741k|python               5970  713k1483k3.2%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 17 03:45:31 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:31| 13   5  71  10   0| 647M 3842M  170M 3178M|9305B 2268B|   0  9936k|   0   792 |4393    13k|0.81 0.70 0.53|1.0   0   0|   0     0 |mysqld               296798.0%   0    0 |keystone-manage      31714  47k  33k8.0%|mysqld       200M|   0     0 |  14    7    0    5    0
Mar 17 03:45:32 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:32| 17   7  73   3   0| 583M 3905M  170M 3178M|7953B 2160B|   0  2920k|   0   212 |2309  5023 |0.81 0.70 0.53|1.0   0  78|   0     0 |keystone-manage      317957.8%2255k  37k|bash                 2051   18M2010k1.0%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 17 03:45:33 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:33| 22   4  74   0   0| 639M 3850M  170M 3179M|8144B 2160B|   0  6688k|   0  74.0 | 948  1214 |0.81 0.70 0.53|1.0   0 1.0|   0     0 |keystone-manage      31795 25%  14M  37k|keystone-manage      31795  14M  37k 25%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 17 03:45:34 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:34| 23   4  72   1   0| 617M 3871M  170M 3179M|8724B 1944B|   0    31M|   0   272 |1262  1467 |0.83 0.71 0.53|1.0 1.0  12|   0     0 |keystone-manage      31807 19%  10M  73k|bash                 2051   17M  76k0.2%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 17 03:45:35 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:35| 17  11  70   2   0| 573M 3914M  170M 3180M|6206B 2160B|   0    44M|   0   464 |2313  3490 |0.83 0.71 0.53|1.0   0 190|   0     0 |bash                 2051 1.8%  17M  88k|bash                 2051   17M  88k1.8%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 17 03:45:36 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:36| 14  19  66   0   1| 573M 3912M  170M 3182M|6818B 2160B|   0   128k|   0  15.0 |2650  5542 |0.83 0.71 0.53|2.0   0 472|   0     0 |bash                 2051 2.8%3897k  30k|bash                 2051 3897k  30k2.8%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 17 03:45:37 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:37| 32  16  52   0   0| 604M 3881M  170M 3182M|  16k 2214B|   0  8192B|   0  2.00 |4123  7940 |0.83 0.71 0.53|2.0   0 211|   0     0 |uwsgi                32554 11%2125k   0 |uwsgi                325532419k   0  11%|mysqld       200M|   0     0 |  14    7    0    6    0
Mar 17 03:45:38 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:38| 45   6  49   0   0| 689M 3796M  170M 3182M|8998B 2136B| 128k    0 |1.00     0 | 929   765 |0.83 0.71 0.53|2.0   0 4.0|   0     0 |uwsgi                32553 25%  10M  73k|uwsgi                32554  11M  73k 25%|mysqld       200M|   0     0 |  14    7    0    6    0
Mar 17 03:45:39 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:39| 47   7  46   1   0| 741M 3741M  170M 3185M|7482B 2160B|  20k  480k|4.00  69.0 |1155  5301 |0.92 0.73 0.54|3.0   0   0|   0     0 |uwsgi                32553 25%5520k 508k|uwsgi                325545394k 745k 24%|mysqld       200M|   0     0 |  14    7    0    6    0
Mar 17 03:45:40 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:40| 21  11  68   0   0| 777M 3705M  170M 3185M|  10k 2160B|   0    20k|   0  2.00 |2150  3244 |0.92 0.73 0.54|1.0   0 170|   0     0 |keystone-manage      363   15%8814k  73k|keystone-manage      363  8814k  73k 15%|mysqld       200M|   0     0 |  14    5    0    7    0
Mar 17 03:45:41 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:41| 24   2  74   0   0| 828M 3654M  170M 3185M|6896B 2214B|   0   868k|   0  4.00 | 739   902 |0.92 0.73 0.54|1.0   0 2.0|   0     0 |keystone-manage      363   25%  10M  10k|keystone-manage      363    10M  10k 25%|mysqld       202M|   0     0 |  14    7    0    7    0
Mar 17 03:45:42 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:42| 21   6  73   1   0| 762M 3720M  170M 3185M|6009B 1944B|   0   472k|   0  56.0 |1424  2339 |0.92 0.73 0.54|2.0   0  53|   0     0 |openstack            457  8.8%3003k  37k|bash                 2051   19M  89k0.2%|mysqld       202M|   0     0 |  14    5    0   10    0
Mar 17 03:45:43 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:43| 23   3  74   0   0| 796M 3685M  170M 3185M|5957B 2160B|   0  2332k|   0  64.0 | 909  1142 |0.92 0.73 0.54|1.0   0 1.0|   0     0 |openstack            457   24%8385k  37k|openstack            457  8385k  37k 24%|mysqld       203M|   0     0 |  14   13    0   11    0
Mar 17 03:45:44 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:44| 20   4  73   3   0| 766M 3715M  170M 3185M|7497B 2160B|  68k  144k|17.0  6.00 |1526  2232 |0.93 0.73 0.54|1.0   0  61|   0     0 |uwsgi                325537.5%  13k8624B|bash                 2051   11M  76k0.2%|mysqld       205M|   0     0 |  14   29    0   15    0
Mar 17 03:45:45 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:45| 23   4  73   0   0| 805M 3676M  170M 3185M|8200B 2160B|   0  9912k|   0   133 | 966   974 |0.93 0.73 0.54|1.0   0 4.0|   0     0 |openstack            522   25%9692k  73k|openstack            522  9692k  73k 25%|mysqld       205M|   0     0 |  14   29    0   15    0
Mar 17 03:45:46 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:46| 22   6  72   0   0| 784M 3696M  170M 3185M|  10k 2160B|   0  1044k|   0  8.00 |1376  2088 |0.93 0.73 0.54|1.0   0 101|   0     0 |openstack            628   12%4665k  73k|bash                 2051   11M  77k0.2%|mysqld       205M|   0     0 |  14   29    0   20    0
Mar 17 03:45:47 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:47| 23   3  74   0   0| 812M 3668M  170M 3185M|  15k 2106B|   0     0 |   0     0 |1120  1646 |0.93 0.73 0.54|1.0   0   0|   0     0 |openstack            628   19%6713k   1B|openstack            628  6713k   1B 19%|mysqld       205M|   0     0 |  14   29    0   28    0
Mar 17 03:45:48 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:48| 23   4  74   0   0| 802M 3678M  170M 3185M|6881B 2214B|   0     0 |   0     0 | 837  1072 |0.93 0.73 0.54|1.0   0  23|   0     0 |openstack            652   23%9825k  73k|bash                 2051   11M  78k  0%|mysqld       205M|   0     0 |  14   29    0   28    0
Mar 17 03:45:49 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:49| 24   4  72   0   0| 779M 3702M  170M 3185M|6455B 2106B|   0   156k|   0  13.0 |1531  2554 |0.85 0.72 0.54|1.0   0  73|   0     0 |uwsgi                325538.0% 835k  16k|bash                 2051   11M  73k  0%|mysqld       205M|   0     0 |  14   29    0   36    0
Mar 17 03:45:50 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:50| 23   3  73   1   0| 816M 3665M  170M 3185M|6592B 2092B|   0  5952k|   0   201 |1246  1146 |0.85 0.72 0.54|1.0   0 2.0|   0     0 |openstack            727   23%9404k  73k|openstack            727  9404k  73k 23%|mysqld       205M|   0     0 |  14   31    0   37    0
Mar 17 03:45:51 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:51| 21   7  72   0   0| 779M 3701M  170M 3186M|6316B 2160B|   0     0 |   0     0 |1528  2524 |0.85 0.72 0.54|1.0   0 100|   0     0 |openstack            834  9.8%2509k   0 |bash                 2051   11M  81k  0%|mysqld       205M|   0     0 |  14   29    0   44    0
Mar 17 03:45:52 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:52| 24   2  74   0   0| 815M 3665M  170M 3186M|5754B 2106B|   0     0 |   0     0 | 845  1108 |0.85 0.72 0.54|1.0   0 2.0|   0     0 |openstack            834   23%8869k  73k|openstack            834  8869k  73k 23%|mysqld       205M|   0     0 |  14   31    0   47    0
Mar 17 03:45:53 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:53| 20   7  73   0   0| 799M 3681M  170M 3186M|5114B 2160B|   0     0 |   0     0 |1127  1586 |0.85 0.72 0.54|1.0   0  70|   0     0 |openstack            910   18%8020k  73k|bash                 2051   11M  77k0.5%|mysqld       205M|   0     0 |  14   29    0   49    0
Mar 17 03:45:54 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:54| 23   4  73   0   0| 770M 3710M  170M 3186M|  15k 2214B|   0    52k|   0  3.00 |1199  1776 |0.87 0.73 0.54|1.0   0  30|   0     0 |uwsgi                325547.2% 834k  12k|bash                 2051   11M  77k  0%|mysqld       205M|   0     0 |  14   29    0   55    0
Mar 17 03:45:55 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:55| 22   5  73   0   0| 810M 3670M  170M 3186M|  21k 2160B|   0  1440k|   0  63.0 |1058  1272 |0.87 0.73 0.54|1.0   0  44|   0     0 |openstack            985   23%9629k  73k|openstack            985  9629k  73k 23%|mysqld       205M|   0     0 |  14   29    0   55    0
Mar 17 03:45:56 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:56| 21   6  73   0   0| 781M 3699M  170M 3186M|6681B 2160B|   0   180k|   0  20.0 |1194  1906 |0.87 0.73 0.54|1.0   0  68|   0     0 |uwsgi                325545.2%2535B8072B|bash                 2051   11M  77k0.2%|mysqld       205M|   0     0 |  14   29    0   59    0
Mar 17 03:45:57 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:57| 22   4  74   0   0| 815M 3665M  170M 3186M|6022B 1890B|   0   304k|   0  14.0 | 769   877 |0.87 0.73 0.54|1.0   0 2.0|   0     0 |openstack            1063  25%8962k  73k|openstack            1063 8962k  73k 25%|mysqld       205M|   0     0 |  14   29    0   59    0
Mar 17 03:45:58 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:58| 20   7  73   0   0| 798M 3682M  170M 3186M|8072B 2214B|   0    64k|   0  9.00 |1208  1824 |0.87 0.73 0.54|1.0   0  74|   0     0 |openstack            1138  15%6143k  73k|bash                 2051   11M  77k0.2%|mysqld       205M|   0     0 |  14   29    0   63    0
Mar 17 03:45:59 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:45:59| 21   6  73   0   0| 775M 3706M  170M 3186M|6671B 2160B|   0    48k|   0  3.00 |1218  1759 |0.88 0.73 0.55|2.0   0  77|   0     0 |uwsgi                325541.8%2539B7591B|bash                 2051   11M  76k  0%|mysqld       205M|   0     0 |  14   29    0   67    0
Mar 17 03:46:00 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:00| 23   4  73   1   0| 807M 3673M  170M 3186M|6420B 2160B|   0  6184k|   0   356 |1453   878 |0.88 0.73 0.55|1.0   0 2.0|   0     0 |openstack            1218  25%8338k  73k|openstack            1218 8338k  73k 25%|mysqld       205M|   0     0 |  14   29    0   67    0
Mar 17 03:46:01 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:01| 21   6  73   0   0| 783M 3697M  170M 3186M|9086B 2160B|   0    76k|   0  9.00 |1378  2137 |0.88 0.73 0.55|1.0   0  85|   0     0 |openstack            1305 6.5%2045k   0 |bash                 2051   11M  77k  0%|mysqld       205M|   0     0 |  14   29    0   72    0
Mar 17 03:46:02 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:02| 24   2  74   0   0| 819M 3660M  170M 3186M|9428B 2160B|   0   232k|   0  15.0 |1001  1317 |0.88 0.73 0.55|1.0   0 2.0|   0     0 |openstack            1305  22%9347k  73k|openstack            1305 9347k  73k 22%|mysqld       205M|   0     0 |  14   29    0   76    0
Mar 17 03:46:03 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:03| 22   5  73   0   0| 806M 3674M  170M 3186M|7975B 2106B|   0    32k|   0  3.00 |1195  1901 |0.88 0.73 0.55|1.0   0  99|   0     0 |openstack            1405  16%8020k  73k|bash                 2051   11M  77k0.2%|mysqld       205M|   0     0 |  14   29    0   77    0
Mar 17 03:46:04 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:04| 23   5  72   0   0| 772M 3708M  170M 3186M|  16k 2214B|   0   240k|   0  18.0 |1285  2196 |0.89 0.74 0.55|4.0   0  84|   0     0 |uwsgi                325542.0%2483B7596B|bash                 2051   11M  80k  0%|mysqld       205M|   0     0 |  14   29    0   82    0
Mar 17 03:46:05 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:05| 23   5  72   0   0| 815M 3665M  170M 3186M|6931B 1944B|   0  1216k|   0  28.0 | 943  1416 |0.89 0.74 0.55|1.0   0  64|   0     0 |openstack            1554  24%  10M  73k|openstack            1554   10M  73k 24%|mysqld       205M|   0     0 |  14   29    0   82    0
Mar 17 03:46:06 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:06| 23   4  73   0   0| 782M 3698M  170M 3186M|8578B 2106B|   0    28k|   0  5.00 |1252  2013 |0.89 0.74 0.55|4.0   0  21|   0     0 |openstack            1580 9.0%2433k   0 |bash                 2051   11M  78k0.2%|mysqld       205M|   0     0 |  14   29    0   91    0
Mar 17 03:46:07 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:07| 23   4  74   0   0| 819M 3661M  170M 3186M|6653B 2160B|   0     0 |   0     0 | 933  1259 |0.89 0.74 0.55|1.0   0 2.0|   0     0 |openstack            1580  21%8936k  73k|openstack            1580 8936k  73k 21%|mysqld       205M|   0     0 |  14   31    0   96    0
Mar 17 03:46:08 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:08| 23   5  72   0   0| 803M 3677M  170M 3186M|8341B 2214B|   0    48k|   0  3.00 |1086  1707 |0.89 0.74 0.55|1.0   0  73|   0     0 |openstack            1658  17%7048k  73k|bash                 2051   11M  73k  0%|mysqld       205M|   0     0 |  14   29    0   99    0
Mar 17 03:46:09 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:09| 21   6  73   0   0| 772M 3707M  170M 3186M|7034B 2160B|   0    48k|   0  5.00 |1446  2690 |0.90 0.74 0.55|3.0   0  93|   0     0 |uwsgi                325532.8%6165B  20k|bash                 2051   11M  83k0.5%|mysqld       205M|   0     0 |  14   29    0  108    0
Mar 17 03:46:10 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:10| 23   5  72   0   0| 810M 3670M  170M 3186M|  16k 2160B|   0  1208k|   0  33.0 | 952  1366 |0.90 0.74 0.55|1.0   0  77|   0     0 |openstack            1828  23%8723k  73k|openstack            1828 8723k  73k 23%|mysqld       205M|   0     0 |  14   29    0  108    0
Mar 17 03:46:11 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:11| 22   5  73   0   0| 782M 3697M  170M 3186M|  15k 2160B|   0    40k|   0  6.00 |1366  2106 |0.90 0.74 0.55|1.0   0  21|   0     0 |openstack            1851 5.8%2045k   0 |bash                 2051   11M  78k  0%|mysqld       205M|   0     0 |  14   29    0  117    0
Mar 17 03:46:12 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:12| 23   3  74   0   0| 819M 3660M  170M 3186M|  11k 1944B|   0     0 |   0     0 | 827   972 |0.90 0.74 0.55|1.0   0 2.0|   0     0 |openstack            1851  24%9324k  73k|openstack            1851 9324k  73k 24%|mysqld       205M|   0     0 |  14   31    0  119    0
Mar 17 03:46:13 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:13| 23   5  72   0   0| 797M 3682M  170M 3186M|7700B 2160B|   0   144k|   0  13.0 |1464  2358 |0.90 0.74 0.55|2.0   0  73|   0     0 |openstack            1924  14%5250k  73k|bash                 2051   11M  73k  0%|mysqld       205M|   0     0 |  14   29    0  123    0
Mar 17 03:46:14 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:14| 25   2  73   0   0| 821M 3658M  170M 3186M|7458B 2052B|   0     0 |   0     0 |1139  1716 |0.90 0.75 0.55|1.0   0   0|   0     0 |openstack            1924  18%6127k   0 |openstack            1924 6127k   0  18%|mysqld       205M|   0     0 |  14   29    0  132    0
Mar 17 03:46:15 cloud-provider1-0000016698 dstat.sh[30404]: 17-03 03:46:15| 20   9  71   0   0| 803M 3676M  170M 3187M|  16k 2268B|   0  4096B|   0  1.00 |1432  2314 |0.90 0.75 0.55|1.0   0 172|   0     0 |openstack            2095  15%6843k  73k|bash                 2051   11M  83k0.5%|mysqld       205M|   0     0 |  14   29    0  132    0
