"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000016943",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Mar 2020 07:21:19 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-03 07:21:19,1.563,0.508,97.680,0.201,0.049,445468672,4311777280,192348160,3131113472,0,0,32514.120,895925.480,1.486,8.084,447.082,556.310,0.660,0.630,0.470,3,0,5.823,0,0,12,4,0,3,0
17-03 07:21:20,9.415,20.865,69.720,0,0,445349888,4311212032,192348160,3131514880,12254,26066,0,86016,0,6,3016,5479,0.690,0.640,0.470,1,0,515,0,0,12,4,0,3,0
17-03 07:21:21,12.626,21.212,65.909,0,0.253,447123456,4309012480,192348160,3132059648,12838,12596,0,32768,0,8,3876,7625,0.690,0.640,0.470,1,0,373,0,0,12,4,0,3,0
17-03 07:21:22,8.543,7.789,82.915,0.754,0,577191936,4178546688,192348160,3259932672,9598,3662,0,8658944,0,235,3364,4303,0.690,0.640,0.470,1,0,57,0,0,14,4,0,3,0
17-03 07:21:23,10.750,13,76.250,0,0,584765440,4170743808,192348160,3260096512,12134,14810,0,0,0,0,2195,3705,0.690,0.640,0.470,2,0,297,0,0,14,6,0,5,0
17-03 07:21:24,21.357,4.020,73.869,0.503,0.251,622903296,4132392960,192356352,3260301312,13447,2860,77824,0,2,0,811,843,0.690,0.640,0.470,1,0,1,0,0,14,6,0,5,0
17-03 07:21:25,20.101,3.266,72.362,4.020,0.251,665665536,4087660544,192430080,3261931520,15835,104540,77824,3158016,9,100,1478,2454,0.710,0.650,0.470,2,0,0,0,0,14,8,0,5,0
17-03 07:21:26,9.848,5.808,70.455,13.889,0,671916032,4011061248,193036288,3330437120,12087,40274,0,79278080,0,1097,5321,10019,0.710,0.650,0.470,1,0,0,0,0,14,8,0,5,0
17-03 07:21:27,9.068,3.275,72.544,14.861,0.252,674029568,4007469056,193540096,3331371008,11374,3804,0,7217152,0,576,3434,5786,0.710,0.650,0.470,1,1,0,0,0,14,8,0,5,0
17-03 07:21:28,11.529,4.511,70.426,13.283,0.251,676257792,4004216832,194076672,3331768320,21574,7270,0,9400320,0,758,4766,8975,0.710,0.650,0.470,1,0,0,0,0,14,8,0,5,0
17-03 07:21:29,15.152,5.051,68.687,11.111,0,678117376,4000878592,194629632,3332632576,13068,330890,0,8069120,0,652,4698,13028,0.710,0.650,0.470,1,0,2,0,0,14,8,0,5,0
17-03 07:21:30,9.343,4.798,71.465,14.141,0.253,680103936,3997609984,195166208,3333332992,11297,9180,0,9551872,0,753,2919,8217,0.740,0.650,0.470,1,1,0,0,0,14,8,0,5,0
17-03 07:21:31,17.632,5.290,69.018,8.060,0,682201088,3993812992,195493888,3334619136,14698,404182,0,6438912,0,485,3835,12014,0.740,0.650,0.470,1,0,0,0,0,14,8,0,5,0
17-03 07:21:32,18.953,5.237,68.080,7.481,0.249,683372544,3991179264,195821568,3335700480,14588,415764,0,44548096,0,732,5895,10841,0.740,0.650,0.470,0,1,0,0,0,14,8,0,5,0
17-03 07:21:33,13.819,4.774,71.357,9.799,0.251,684019712,3989811200,196390912,3335815168,12429,15002,0,8568832,0,665,4082,9582,0.740,0.650,0.470,2,0,0,0,0,14,8,0,5,0
17-03 07:21:34,18.204,6.983,72.319,2.494,0,617664512,4055781376,196530176,3336044544,14294,13520,0,2527232,0,187,2066,4892,0.740,0.650,0.470,2,0,78,0,0,14,6,0,6,0
17-03 07:21:35,23.500,3.500,72.500,0.250,0.250,680280064,3992588288,196571136,3336564736,18653,2160,0,6864896,0,65,1016,1345,0.760,0.660,0.480,1,0,1,0,0,14,6,0,6,0
