-- Logs begin at Tue 2020-03-17 04:20:55 UTC, end at Tue 2020-03-17 07:51:57 UTC. --
Mar 17 07:21:18 cloud-provider1-0000016943 systemd[1]: Started Devstack devstack@dstat.service.
Mar 17 07:21:19 cloud-provider1-0000016943 dstat.sh[30730]: [286B blob data]
Mar 17 07:21:19 cloud-provider1-0000016943 dstat.sh[30730]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 17 07:21:19 cloud-provider1-0000016943 dstat.sh[30730]: 17-03 07:21:19|  2   1  98   0   0| 425M 4112M  183M 2986M|   0     0 |  32k  875k|1.49  8.08 | 447   556 |0.66 0.63 0.47|1.0   0 5.8|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2245  673k 585k0.0%|mysqld       173M|   0     0 |  12    4    0    3    0
Mar 17 07:21:20 cloud-provider1-0000016943 dstat.sh[30730]: 17-03 07:21:20|  9  21  70   0   0| 425M 4111M  183M 2986M|  12k   25k|   0    84k|   0  6.00 |3020  5479 |0.69 0.64 0.47|1.0   0 515|   0     0 |bash                 2245 3.5%1942k  32k|bash                 2245 1942k  32k3.5%|mysqld       173M|   0     0 |  12    4    0    3    0
Mar 17 07:21:21 cloud-provider1-0000016943 dstat.sh[30730]: 17-03 07:21:21| 13  21  66   0   0| 426M 4109M  183M 2987M|  13k   12k|   0    32k|   0  8.00 |3873  7611 |0.69 0.64 0.47|3.0   0 372|   0     0 |systemd              1    4.0%   0    0 |bash                 2245 2757k  23k2.2%|mysqld       173M|   0     0 |  12    4    0    3    0
Mar 17 07:21:22 cloud-provider1-0000016943 dstat.sh[30730]: 17-03 07:21:22|  9   8  83   1   0| 550M 3985M  183M 3109M|9598B 3662B|   0  8456k|   0   235 |3363  4303 |0.69 0.64 0.47|  0   0  57|   0     0 |systemd              1    6.5%   0    0 |bash                 2245  247k 656B  0%|mysqld       173M|   0     0 |  14    4    0    3    0
Mar 17 07:21:23 cloud-provider1-0000016943 dstat.sh[30730]: 17-03 07:21:23| 11  13  76   0   0| 558M 3978M  183M 3109M|  12k   14k|   0     0 |   0     0 |2194  3704 |0.69 0.64 0.47|2.0   0 297|   0     0 |keystone-manage      320444.0%1475k  79k|keystone-manage      320441475k  79k4.0%|mysqld       173M|   0     0 |  14    6    0    5    0
Mar 17 07:21:24 cloud-provider1-0000016943 dstat.sh[30730]: 17-03 07:21:24| 21   4  74   1   0| 594M 3941M  183M 3109M|  13k 2860B|  76k    0 |2.00     0 | 813   844 |0.69 0.64 0.47|2.0   0 1.0|   0     0 |keystone-manage      32044 24%8854k  83k|keystone-manage      320448854k  83k 24%|mysqld       173M|   0     0 |  14    6    0    5    0
Mar 17 07:21:25 cloud-provider1-0000016943 dstat.sh[30730]: 17-03 07:21:25| 20   3  72   4   0| 635M 3898M  184M 3111M|  15k  102k|  76k 3116k|9.00   101 |1478  2453 |0.71 0.65 0.47|2.0   0   0|   0     0 |keystone-manage      32044 20%7269k 679k|keystone-manage      320447269k 679k 20%|mysqld       186M|   0     0 |  14    8    0    5    0
Mar 17 07:21:26 cloud-provider1-0000016943 dstat.sh[30730]: 17-03 07:21:26| 10   6  70  14   0| 641M 3825M  184M 3176M|  12k   39k|   0    76M|   0  1096 |5321    10k|0.71 0.65 0.47|2.0   0   0|   0     0 |mysqld               300108.0%   0    0 |tail                 19958  36k  36k  0%|mysqld       191M|   0     0 |  14    8    0    5    0
Mar 17 07:21:27 cloud-provider1-0000016943 dstat.sh[30730]: 17-03 07:21:27|  9   3  73  15   0| 643M 3822M  185M 3177M|  11k 3804B|   0  7068k|   0   581 |3452  5801 |0.71 0.65 0.47|1.0   0   0|   0     0 |keystone-manage      320445.5%  20k  12k|keystone-manage      32044  20k  12k5.5%|mysqld       193M|   0     0 |  14    8    0    5    0
Mar 17 07:21:28 cloud-provider1-0000016943 dstat.sh[30730]: 17-03 07:21:28| 12   5  70  13   0| 645M 3819M  185M 3177M|  21k 7270B|   0  9172k|   0   755 |4753  8970 |0.71 0.65 0.47|3.0 1.0   0|   0     0 |mysqld               300107.2%   0    0 |keystone-manage      32044  28k  17k4.8%|mysqld       195M|   0     0 |  14    8    0    5    0
