"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000255",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","14 Apr 2020 16:02:43 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
14-04 16:02:43,0.688,0.231,98.954,0.085,0.041,443502592,4660903936,153444352,2858090496,0,0,16100.955,415592.050,0.578,3.714,292.097,348.189,0.570,0.630,0.460,3,0,2.964,0,0,12,3,0,4,0
14-04 16:02:44,9.896,21.615,67.969,0.260,0.260,444121088,4659376128,153448448,2858692608,8329,2160,24576,454656,1,31,2581,4850,0.570,0.630,0.460,1,0,463,0,0,12,3,0,4,0
14-04 16:02:45,15.212,20.449,64.339,0,0,444665856,4658651136,153448448,2858954752,10150,2160,0,20480,0,5,4007,6864,0.570,0.630,0.460,2,0,288,0,0,12,3,0,4,0
14-04 16:02:46,3.526,3.526,92.947,0,0,574054400,4528726016,153448448,2986917888,10244,2202,0,0,0,0,1517,1940,0.570,0.630,0.460,1,0,26,0,0,14,3,0,4,0
14-04 16:02:47,9.391,14.721,75.635,0,0.254,586121216,4516438016,153452544,2987065344,8421,2160,0,0,0,0,2155,3460,0.570,0.630,0.460,2,0,297,0,0,14,5,0,6,0
14-04 16:02:48,16.541,3.008,73.434,7.018,0,617656320,4484759552,153452544,2987208704,7830,1998,98304,0,4,0,690,795,0.610,0.630,0.460,2,0,2,0,0,14,5,0,6,0
14-04 16:02:49,10.302,1.005,74.372,14.322,0,631693312,4470231040,153464832,2987671552,14861,2160,24576,700416,3,4,479,618,0.610,0.630,0.460,1,2,0,0,0,14,5,0,6,0
14-04 16:02:50,2.005,1.253,73.684,22.807,0.251,634294272,4467630080,153464832,2987671552,14962,2146,36864,12103680,2,210,817,1168,0.610,0.630,0.460,0,2,0,0,0,14,5,0,6,0
14-04 16:02:51,4.523,2.513,74.121,18.844,0,643727360,4457594880,153464832,2988273664,7089,2214,36864,63905792,4,536,1522,2121,0.610,0.630,0.460,1,1,0,0,0,14,5,0,6,0
14-04 16:02:52,7.360,3.046,74.112,15.482,0,658907136,4440772608,153751552,2989522944,6767,2160,12288,6606848,1,338,2391,3979,0.610,0.630,0.460,1,1,0,0,0,14,7,0,6,0
14-04 16:02:53,7.557,4.030,69.018,19.144,0.252,663830528,4376403968,154107904,3047522304,6578,2160,0,8466432,0,751,3293,7937,0.720,0.660,0.470,1,0,0,0,0,14,7,0,6,0
14-04 16:02:54,3.266,1.759,73.869,21.106,0,664915968,4364193792,154210304,3058126848,8607,2160,0,70553600,0,332,1651,2962,0.720,0.660,0.470,1,1,0,0,0,14,7,0,6,0
14-04 16:02:55,3.015,2.261,68.593,26.131,0,665296896,4363354112,154353664,3058409472,10983,2160,0,2400256,0,203,1333,2616,0.720,0.660,0.470,1,1,0,0,0,14,7,0,6,0
14-04 16:02:56,5.237,3.741,67.082,23.691,0.249,666869760,4361527296,154587136,3058569216,6687,2160,0,18862080,0,817,2760,4171,0.720,0.660,0.470,1,0,0,0,0,14,7,0,6,0
14-04 16:02:57,6.281,3.015,71.357,19.347,0,668221440,4359561216,155045888,3058749440,6210,2052,0,5226496,0,415,2541,5478,0.720,0.660,0.470,1,0,0,0,0,14,7,0,6,0
14-04 16:02:58,9.572,4.786,70.025,15.365,0.252,668962816,4358135808,155234304,3059232768,8580,2052,0,3211264,0,253,2934,6765,0.900,0.690,0.480,0,1,2,0,0,14,7,0,6,0
14-04 16:02:59,5.542,1.511,73.552,19.395,0,669626368,4356833280,155492352,3059605504,6968,2160,0,4055040,0,357,2564,3924,0.900,0.690,0.480,1,1,0,0,0,14,7,0,6,0
14-04 16:03:00,3.759,1.003,65.915,29.323,0,670171136,4356288512,155615232,3059482624,6431,2160,0,1855488,0,142,1297,1896,0.900,0.690,0.480,0,1,0,0,0,14,7,0,6,0
14-04 16:03:01,2.764,1.759,73.367,22.111,0,670924800,4354637824,155811840,3060129792,16150,2160,0,2764800,0,208,1549,2220,0.900,0.690,0.480,1,1,0,0,0,14,7,0,6,0
14-04 16:03:02,3.778,1.008,73.300,21.662,0.252,671531008,4353974272,155947008,3060047872,9794,2160,0,5332992,0,309,1666,2886,0.900,0.690,0.480,1,0,0,0,0,14,7,0,6,0
14-04 16:03:03,6.853,3.046,73.096,17.005,0,672956416,4351610880,156381184,3060535296,8439,2160,0,6844416,0,550,2977,6142,0.910,0.700,0.480,1,1,0,0,0,14,7,0,6,0
14-04 16:03:04,4,1.500,72,22.500,0,673775616,4350656512,156561408,3060490240,9006,2160,0,2801664,0,222,1321,2835,0.910,0.700,0.480,0,1,0,0,0,14,7,0,6,0
14-04 16:03:05,6.266,5.764,63.158,24.561,0.251,673845248,4350414848,156577792,3060617216,8809,2160,0,147456,0,18,482,599,0.910,0.700,0.480,1,1,0,0,0,14,7,0,6,0
14-04 16:03:06,4.511,4.261,68.170,23.058,0,673878016,4350287872,156594176,3060695040,16766,2160,0,397312,0,26,534,697,0.910,0.700,0.480,1,1,0,0,0,14,7,0,6,0
14-04 16:03:07,4.786,1.008,58.438,35.768,0,674795520,4349030400,156663808,3060965376,7733,1944,0,1626112,0,123,1085,2877,0.910,0.700,0.480,2,0,0,0,0,14,7,0,6,0
14-04 16:03:08,20.918,5.357,70.153,3.316,0.255,675356672,4346884096,156856320,3062263808,8434,2160,0,3756032,0,230,4269,12352,0.920,0.710,0.490,2,0,2,0,0,14,7,0,6,0
14-04 16:03:09,13.232,3.053,70.738,12.977,0,675938304,4345397248,157147136,3062837248,6961,2160,0,7880704,0,627,4351,8888,0.920,0.710,0.490,2,0,0,0,0,14,7,0,6,0
14-04 16:03:10,10.714,4.337,71.429,13.265,0.255,677031936,4343812096,157556736,3062886400,10407,2106,0,6410240,0,461,4296,8933,0.920,0.710,0.490,1,1,0,0,0,14,7,0,6,0
14-04 16:03:11,15.920,5.473,72.886,5.721,0,615055360,4405592064,157589504,3063050240,7551,2214,0,507904,0,30,1289,2096,0.920,0.710,0.490,3,0,78,0,0,14,5,0,7,0
14-04 16:03:12,23.500,3.250,63.500,9.500,0.250,666374144,4353740800,157646848,3063525376,7035,2160,0,16814080,0,228,1205,1456,0.920,0.710,0.490,1,0,0,0,0,14,5,0,7,0
14-04 16:03:13,23.367,2.764,72.111,1.759,0,642809856,4376662016,157683712,3064102912,15383,2160,0,7020544,0,70,1082,1513,0.920,0.710,0.490,1,0,11,0,0,14,5,0,7,0
14-04 16:03:14,21.197,6.484,69.825,2.244,0.249,603938816,4414222336,157753344,3065344000,6124,2160,0,6586368,0,140,1775,2555,0.920,0.710,0.490,2,0,99,0,0,14,5,0,7,0
14-04 16:03:15,12.183,20.305,67.513,0,0,604086272,4413014016,157753344,3066331136,6406,2160,0,122880,0,14,2718,5543,0.920,0.710,0.490,3,0,479,0,0,14,5,0,7,0
14-04 16:03:16,25.505,19.949,54.293,0,0.253,636407808,4380176384,157753344,3067215872,6422,2160,0,12288,0,3,4369,7701,0.920,0.710,0.490,2,0,295,0,0,14,7,0,7,0
14-04 16:03:17,46.750,3.500,49,0.500,0.250,726089728,4290404352,157753344,3067326464,15028,1986,131072,409600,1,56,1108,827,0.920,0.710,0.490,2,0,2,0,0,14,7,0,7,0
14-04 16:03:18,42.532,9.367,47.848,0.253,0,771743744,4242210816,157761536,3069546496,9068,2106,20480,241664,4,25,2301,8255,1.010,0.730,0.500,2,0,85,0,0,14,5,0,8,0
14-04 16:03:19,22.556,7.769,69.424,0,0.251,814878720,4198514688,157761536,3069878272,6432,2160,0,0,0,0,1703,2011,1.010,0.730,0.500,2,0,90,0,0,14,5,0,8,0
14-04 16:03:20,23.426,2.771,73.552,0.252,0,859971584,4153397248,157786112,3069878272,7357,2214,0,1073152,0,30,1050,1463,1.010,0.730,0.500,2,0,2,0,0,14,11,0,8,0
14-04 16:03:21,21.465,4.798,73.232,0.505,0,793645056,4219633664,157810688,3069911040,5753,2106,0,585728,0,51,1260,1773,1.010,0.730,0.500,2,0,53,0,0,14,5,0,11,0
14-04 16:03:22,23.308,3.008,73.434,0.251,0,834732032,4178501632,157810688,3069915136,6686,2214,0,3149824,0,81,986,1330,1.010,0.730,0.500,1,1,0,0,0,14,17,0,13,0
14-04 16:03:23,18.797,5.514,72.682,2.757,0.251,804511744,4208615424,157810688,3070021632,6967,2160,73728,0,18,0,1154,1743,1.010,0.740,0.500,2,0,61,0,0,14,29,0,16,0
14-04 16:03:24,23.559,2.256,73.935,0.251,0,842731520,4170391552,157822976,3070009344,6731,2106,0,880640,0,7,877,1208,1.010,0.740,0.500,1,0,1,0,0,14,31,0,19,0
14-04 16:03:25,22.111,6.030,71.608,0,0.251,826368000,4186648576,157822976,3070111744,9998,2214,0,0,0,0,1129,1652,1.010,0.740,0.500,1,0,100,0,0,14,29,0,21,0
14-04 16:03:26,23.174,3.023,73.804,0,0,795402240,4217245696,157822976,3070476288,19312,2106,0,0,0,0,1084,1750,1.010,0.740,0.500,2,0,5,0,0,14,29,0,29,0
14-04 16:03:27,22.418,3.526,73.048,1.008,0,832159744,4180484096,157827072,3070476288,7603,1998,0,4866048,0,266,1390,1049,1.010,0.740,0.500,2,0,17,0,0,14,29,0,30,0
14-04 16:03:28,22.922,4.786,71.788,0.252,0.252,802709504,4209799168,157835264,3070603264,8986,2160,0,86016,0,9,1489,2346,1.010,0.740,0.500,1,0,75,0,0,14,29,0,37,0
14-04 16:03:29,22.613,3.266,74.121,0,0,843866112,4168572928,157843456,3070644224,8202,2160,0,102400,0,11,726,718,1.010,0.740,0.500,2,0,1,0,0,14,29,0,37,0
14-04 16:03:30,20.854,6.533,72.362,0,0.251,808939520,4203458560,157843456,3070681088,7182,2160,0,0,0,0,1510,2608,1.010,0.740,0.500,1,0,100,0,0,14,29,0,45,0
14-04 16:03:31,23.058,3.008,73.935,0,0,843059200,4169334784,157843456,3070685184,6871,2160,0,0,0,0,745,789,1.010,0.740,0.500,3,0,1,0,0,14,29,0,45,0
14-04 16:03:32,21.772,4.557,73.671,0,0,824389632,4187987968,157843456,3070701568,13132,2160,0,200704,0,1,1189,1899,1.010,0.740,0.500,3,0,69,0,0,14,29,0,50,0
14-04 16:03:33,23.559,2.256,73.935,0,0.251,847253504,4165107712,157851648,3070709760,6847,2160,0,352256,0,14,866,1245,1.010,0.750,0.510,1,0,0,0,0,14,29,0,54,0
14-04 16:03:34,21.357,5.025,73.367,0.251,0,819953664,4192223232,157855744,3070865408,6059,2160,0,32768,0,3,1082,1756,1.010,0.750,0.510,2,0,71,0,0,14,29,0,56,0
14-04 16:03:35,23.441,2.993,73.317,0,0.249,851488768,4160688128,157863936,3070857216,7821,2160,0,270336,0,22,1081,1409,1.010,0.750,0.510,1,0,0,0,0,14,29,0,60,0
14-04 16:03:36,21.608,5.025,73.367,0,0,840601600,4171546624,157863936,3070885888,7138,2052,0,73728,0,5,928,1286,1.010,0.750,0.510,2,0,69,0,0,14,29,0,60,0
14-04 16:03:37,19.849,6.281,73.367,0.251,0.251,817139712,4194983936,157876224,3070898176,15895,2052,0,253952,0,10,1195,1801,1.010,0.750,0.510,1,0,73,0,0,14,29,0,64,0
14-04 16:03:38,22.864,3.518,73.618,0,0,851132416,4160974848,157888512,3070902272,8287,2202,0,372736,0,19,909,1152,1.010,0.750,0.510,2,0,2,0,0,14,31,0,67,0
14-04 16:03:39,21.212,4.798,73.737,0,0.253,837824512,4174266368,157888512,3070918656,10007,2106,0,32768,0,3,1105,1498,1.010,0.750,0.510,1,0,78,0,0,14,29,0,67,0
14-04 16:03:40,21.662,5.038,73.048,0.252,0,805408768,4206657536,157892608,3070939136,6823,2214,0,188416,0,12,1385,1993,1.010,0.750,0.510,3,0,85,0,0,14,29,0,72,0
14-04 16:03:41,23.559,2.256,73.935,0,0.251,841457664,4170608640,157892608,3070939136,6843,2160,0,49152,0,5,696,772,1.010,0.750,0.510,1,0,1,0,0,14,29,0,70,0
14-04 16:03:42,20.352,6.784,72.864,0,0,813588480,4198461440,157892608,3070955520,7744,2160,0,36864,0,3,1346,2119,1.010,0.750,0.510,4,0,97,0,0,14,29,0,75,0
