-- Logs begin at Thu 2020-04-02 07:17:17 UTC, end at Thu 2020-04-02 11:20:13 UTC. --
Apr 02 10:48:10 cloud-provider-iscsi-0000000142 systemd[1]: Started Devstack devstack@dstat.service.
Apr 02 10:48:10 cloud-provider-iscsi-0000000142 dstat.sh[29864]: [286B blob data]
Apr 02 10:48:10 cloud-provider-iscsi-0000000142 dstat.sh[29864]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 02 10:48:10 cloud-provider-iscsi-0000000142 dstat.sh[29864]: 02-04 10:48:10|  1   0  98   0   0| 423M 4447M  144M 2728M|   0     0 |  26k  674k|0.96  6.06 | 368   480 |0.58 0.65 0.49|1.0   0 4.9|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2392  491k 456k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 02 10:48:11 cloud-provider-iscsi-0000000142 dstat.sh[29864]: 02-04 10:48:11| 10  21  69   0   0| 422M 4446M  144M 2728M|7330B 2106B|   0    68k|   0  7.00 |2753  4791 |0.58 0.65 0.49|2.0   0 465|   0     0 |bash                 2392 3.5%1666k  29k|bash                 2392 1666k  29k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 02 10:48:12 cloud-provider-iscsi-0000000142 dstat.sh[29864]: 02-04 10:48:12| 12  21  67   0   0| 423M 4446M  144M 2728M|8944B 2160B|   0    32k|   0  8.00 |3587  6238 |0.58 0.65 0.49|2.0   0 361|   0     0 |systemd              1    2.8%   0    0 |bash                 2392 2980k  24k2.2%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 02 10:48:13 cloud-provider-iscsi-0000000142 dstat.sh[29864]: 02-04 10:48:13| 10   9  81   0   0| 548M 4320M  144M 2851M|8168B 2214B|   0     0 |   0     0 |2824  5151 |0.61 0.66 0.49|  0   0  85|   0     0 |systemd              1    6.5%   0    0 |bash                 2392  246k 656B0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 02 10:48:14 cloud-provider-iscsi-0000000142 dstat.sh[29864]: 02-04 10:48:14| 10  13  77   0   0| 559M 4309M  144M 2851M|7661B 2052B|   0     0 |   0     0 |1969  3611 |0.61 0.66 0.49|1.0   0 296|   0     0 |keystone-manage      311664.0%2151k  79k|keystone-manage      311662151k  79k4.0%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 02 10:48:15 cloud-provider-iscsi-0000000142 dstat.sh[29864]: 02-04 10:48:15| 22   3  74   1   0| 600M 4268M  144M 2851M|  15k 2160B| 120k    0 |7.00     0 | 712   758 |0.61 0.66 0.49|1.0   0   0|   0     0 |keystone-manage      31166 25%  11M 153k|keystone-manage      31166  11M 153k 25%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 02 10:48:16 cloud-provider-iscsi-0000000142 dstat.sh[29864]: 02-04 10:48:16| 14   4  73   9   0| 629M 4236M  145M 2853M|6254B 2052B|  84k 8076k|7.00   495 |2305  5501 |0.61 0.66 0.49|  0 1.0   0|   0     0 |keystone-manage      31166 12%3532k 548k|keystone-manage      311663532k 548k 12%|mysqld       188M|   0     0 |  14    7    0    6    0
Apr 02 10:48:17 cloud-provider-iscsi-0000000142 dstat.sh[29864]: 02-04 10:48:17|  6   5  72  16   0| 633M 4165M  145M 2918M|  16k 2160B|   0    71M|   0   714 |3197  7350 |0.61 0.66 0.49|  0 1.0   0|   0     0 |mysqld               291456.0%   0    0 |keystone-manage      31166  20k  11k3.0%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 02 10:48:18 cloud-provider-iscsi-0000000142 dstat.sh[29864]: 02-04 10:48:18|  8   3  73  16   0| 635M 4162M  146M 2919M|9638B 2160B|   0  7720k|   0   651 |3372  7287 |0.80 0.70 0.50|  0 1.0 2.0|   0     0 |mysqld               291454.5%   0    0 |keystone-manage      31166  21k  13k3.8%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 02 10:48:19 cloud-provider-iscsi-0000000142 dstat.sh[29864]: 02-04 10:48:19| 15   4  71  11   0| 638M 4159M  146M 2919M|8484B 2160B|   0  8208k|   0   693 |4043    10k|0.80 0.70 0.50|4.0   0   0|   0     0 |keystone-manage      311667.8%  35k 192k|python3.6            6146  174k 362k1.8%|mysqld       195M|   0     0 |  14    7    0    6    0
