-- Logs begin at Mon 2020-04-20 10:22:03 UTC, end at Mon 2020-04-20 11:32:25 UTC. --
Apr 20 11:20:40 cloud-provider-iscsi-0000000330 systemd[1]: Started Devstack devstack@dstat.service.
Apr 20 11:20:40 cloud-provider-iscsi-0000000330 dstat.sh[29922]: [286B blob data]
Apr 20 11:20:40 cloud-provider-iscsi-0000000330 dstat.sh[29922]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 20 11:20:40 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:40|  4   1  94   1   0| 428M 4008M  145M 3151M|   0     0 |  93k 2606k|3.37  22.2 | 832  1163 |0.69 0.68 0.49|3.0   0  18|   0     0 |systemd              1    0.1%   0    0 |bash                 2790 2134k2002k0.1%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 20 11:20:41 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:41| 11  21  68   0   0| 428M 4007M  145M 3152M|8283B 2160B|  24k  100k|1.00  10.0 |2655  5531 |0.69 0.68 0.49|3.0   0 489|   0     0 |bash                 2790 3.8%2188k  31k|bash                 2790 2188k  31k3.8%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 20 11:20:42 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:42| 13  21  67   0   0| 428M 4006M  145M 3152M|7949B 2160B|   0    28k|   0  7.00 |4340  8258 |0.69 0.68 0.49|1.0   0 340|   0     0 |systemd              1    5.2%   0    0 |bash                 2790 2538k  20k1.8%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 20 11:20:43 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:43|  6  13  81   0   0| 554M 3880M  145M 3274M|9872B 2106B|   0     0 |   0     0 |2903  4448 |0.69 0.68 0.49|2.0   0 254|   0     0 |systemd              1    3.0%   0    0 |bash                 2790  501k  12k1.5%|mysqld       173M|   0     0 |  14    6    0    4    0
Apr 20 11:20:44 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:44| 17   8  60  15   0| 588M 3845M  145M 3274M|6150B 1998B|  88k   68M|3.00   439 |1387  1746 |0.69 0.68 0.49|  0 1.0  94|   0     0 |keystone-manage      31241 17%8129k 126k|keystone-manage      312418129k 126k 17%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 20 11:20:45 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:45| 20   3  73   3   0| 620M 3812M  145M 3275M|5986B 2106B| 116k    0 |11.0     0 | 600   763 |0.72 0.69 0.49|1.0   0   0|   0     0 |keystone-manage      31241 23%8461k 549k|keystone-manage      312418461k 549k 23%|mysqld       173M|   0     0 |  14    8    0    6    0
Apr 20 11:20:46 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:46|  7   3  72  18   0| 634M 3797M  145M 3276M|7290B 2214B|   0  6052k|   0   279 |1552  3139 |0.72 0.69 0.49|  0 1.0   0|   0     0 |keystone-manage      312413.2%  44k 109k|python3.6            6551   87k 182k0.5%|mysqld       187M|   0     0 |  14    8    0    6    0
Apr 20 11:20:47 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:47|  4   3  73  21   0| 636M 3794M  145M 3277M|8925B 2160B|   0  4668k|   0   441 |2188  4140 |0.72 0.69 0.49|  0 1.0   0|   0     0 |mysqld               291934.0%   0    0 |python2              30022  14k 461B  0%|mysqld       189M|   0     0 |  14    8    0    6    0
Apr 20 11:20:48 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:48|  6   5  70  20   0| 638M 3792M  145M 3277M|5747B 2160B|   0  4676k|   0   381 |2219  4473 |0.72 0.69 0.49|1.0   0   0|   0     0 |mysqld               291936.8%   0    0 |keystone-manage      31241  11k6122B1.8%|mysqld       191M|   0     0 |  14    8    0    6    0
Apr 20 11:20:49 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:49|  3   3  71  23   0| 640M 3724M  145M 3341M|  16k 2160B|   0    78M|   0   359 |1204  2326 |0.72 0.69 0.49|1.0   0   0|   0     0 |mysqld               291932.8%   0    0 |python2              30022  14k 459B  0%|mysqld       192M|   0     0 |  14    8    0    6    0
Apr 20 11:20:50 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:50|  4   2  74  20   0| 640M 3723M  146M 3342M|9809B 2160B|   0  3628k|   0   286 |1575  3520 |0.82 0.71 0.50|  0 1.0   0|   0     0 |mysqld               291932.5%   0    0 |keystone-manage      31241  10k6386B1.8%|mysqld       193M|   0     0 |  14    8    0    6    0
Apr 20 11:20:51 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:51|  6   4  72  18   0| 642M 3720M  146M 3342M|6903B 2160B|   0  5616k|   0   485 |2498  5088 |0.82 0.71 0.50|  0 1.0 2.0|   0     0 |mysqld               291936.0%   0    0 |keystone-manage      31241  16k8991B3.0%|mysqld       194M|   0     0 |  14    8    0    6    0
Apr 20 11:20:52 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:52| 14   5  68  12   0| 644M 3717M  147M 3343M|6502B 2106B|   0  9012k|   0   769 |3969    11k|0.82 0.71 0.50|1.0   0   0|   0     0 |keystone-manage      312417.8%  45k 293k|python3.6            6551  275k 573k1.5%|mysqld       195M|   0     0 |  14    8    0    6    0
Apr 20 11:20:53 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:53|  9   4  71  16   0| 646M 3714M  147M 3344M|6350B 2214B|   0  7920k|   0   619 |3620  7684 |0.82 0.71 0.50|  0 1.0   0|   0     0 |mysqld               291935.8%   0    0 |keystone-manage      31241  30k  20k4.8%|mysqld       197M|   0     0 |  14    8    0    6    0
Apr 20 11:20:54 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:54|  8   4  71  17   0| 647M 3712M  148M 3344M|6357B 2052B|   0  6180k|   0   510 |3123  6847 |0.82 0.71 0.50|  0 1.0   0|   0     0 |mysqld               291936.2%   0    0 |keystone-manage      31241  18k  11k3.8%|mysqld       198M|   0     0 |  14    8    0    6    0
Apr 20 11:20:55 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:55| 12   4  67  16   0| 649M 3709M  148M 3345M|6341B 2052B|   0  9720k|   0   659 |2694  7850 |1.00 0.75 0.51|2.0   0   0|   0     0 |keystone-manage      312416.8%  27k 250k|python3.6            6551  233k 486k1.2%|mysqld       199M|   0     0 |  14    8    0    6    0
Apr 20 11:20:56 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:56| 20   6  70   4   0| 650M 3707M  148M 3346M|6214B 2160B|   0  4468k|   0   296 |6288    15k|1.00 0.75 0.51|2.0   0   0|   0     0 |keystone-manage      31241 15%  68k 466k|python3.6            6551  448k 934k3.0%|mysqld       200M|   0     0 |  14    8    0    6    0
Apr 20 11:20:57 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:57| 13   5  71  11   0| 651M 3705M  148M 3347M|9323B 2160B|   0  9352k|   0   746 |5111    11k|1.00 0.75 0.51|  0 1.0   0|   0     0 |mysqld               291937.8%   0    0 |keystone-manage      31241  46k  30k7.8%|mysqld       200M|   0     0 |  14    8    0    6    0
Apr 20 11:20:58 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:58| 18   7  72   4   0| 592M 3763M  149M 3347M|8463B 2106B|   0  3692k|   0   281 |2723  5803 |1.00 0.75 0.51|1.0   0  78|   0     0 |keystone-manage      313215.2%2229k  37k|bash                 2790   17M1898k0.8%|mysqld       200M|   0     0 |  14    6    0    7    0
Apr 20 11:20:59 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:20:59| 24   3  73   1   0| 647M 3708M  149M 3347M|8232B 2160B|   0  7932k|   0   164 | 917  1280 |1.00 0.75 0.51|1.0   0   0|   0     0 |keystone-manage      31321 25%  14M1338B|keystone-manage      31321  14M1338B 25%|mysqld       200M|   0     0 |  14    6    0    7    0
Apr 20 11:21:00 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:00| 23   4  72   1   0| 622M 3732M  149M 3348M|7019B 2214B|   0  6752k|   0  70.0 | 964  1460 |1.08 0.77 0.52|1.0   0  11|   0     0 |keystone-manage      31332 21%9791k  37k|bash                 2790   16M  39k  0%|mysqld       200M|   0     0 |  14    6    0    7    0
Apr 20 11:21:01 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:01| 19   9  71   1   0| 581M 3772M  149M 3349M|7912B 2160B|   0  6528k|   0   134 |1750  2972 |1.08 0.77 0.52|1.0   0 154|   0     0 |bash                 2790 1.5%  16M  48k|bash                 2790   16M  48k1.5%|mysqld       200M|   0     0 |  14    6    0    7    0
Apr 20 11:21:02 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:02| 12  21  67   0   0| 581M 3771M  149M 3350M|8561B 2160B|   0   132k|   0  20.0 |2652  5158 |1.08 0.77 0.52|1.0   0 429|   0     0 |bash                 2790 3.0%3379k  28k|bash                 2790 3379k  28k3.0%|mysqld       200M|   0     0 |  14    6    0    7    0
Apr 20 11:21:03 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:03| 27  19  54   0   0| 613M 3739M  149M 3351M|9998B 2202B|   0  8192B|   0  2.00 |4225  6642 |1.08 0.77 0.52|2.0   0 289|   0     0 |uwsgi                320768.2%2182k   0 |uwsgi                320772468k   0 8.2%|mysqld       200M|   0     0 |  14    8    0    7    0
Apr 20 11:21:04 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:04| 46   5  49   0   0| 703M 3648M  149M 3351M|9652B 2160B| 148k    0 |5.00     0 |1000   771 |1.08 0.77 0.52|2.0   0 2.0|   0     0 |uwsgi                32076 25%  11M  37k|uwsgi                32077  12M  91k 25%|mysqld       200M|   0     0 |  14    8    0    7    0
Apr 20 11:21:05 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:05| 40  10  50   0   0| 742M 3607M  149M 3353M|7248B 1944B|   0  2780k|   0   211 |2051  6590 |1.23 0.80 0.54|3.0   0 126|   0     0 |uwsgi                32077 20%2956k 510k|uwsgi                320763798k 415k 19%|mysqld       200M|   0     0 |  14    6    0    8    0
Apr 20 11:21:06 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:06| 23   6  72   0   0| 783M 3565M  149M 3353M|9717B 2160B|   0     0 |   0     0 |1472  1515 |1.23 0.80 0.54|1.0   0  48|   0     0 |keystone-manage      32351 24%9791k  37k|keystone-manage      323519791k  37k 24%|mysqld       200M|   0     0 |  14    6    0    8    0
Apr 20 11:21:07 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:07| 23   3  74   0   0| 824M 3524M  149M 3353M|  16k 2160B|   0   848k|   0  8.00 | 820   983 |1.23 0.80 0.54|1.0   0 2.0|   0     0 |keystone-manage      32351 24%8195k9706B|keystone-manage      323518195k9706B 24%|mysqld       203M|   0     0 |  14   12    0    8    0
Apr 20 11:21:08 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:08| 21   5  73   1   0| 767M 3581M  149M 3353M|8936B 2160B|   0   488k|   0  63.0 |1445  2270 |1.23 0.80 0.54|1.0   0  53|   0     0 |openstack            32435 10%4540k  37k|bash                 2790   18M  50k0.2%|mysqld       203M|   0     0 |  14    6    0   11    0
Apr 20 11:21:09 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:09| 24   2  74   1   0| 805M 3543M  149M 3353M|  10k 2160B|  72k  700k|18.0  10.0 |1084  1424 |1.23 0.80 0.54|1.0   0 1.0|   0     0 |openstack            32435 17%6708k   0 |openstack            324356708k   0  17%|mysqld       205M|   0     0 |  14   26    0   13    0
Apr 20 11:21:10 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:10| 23   5  72   0   0| 783M 3565M  149M 3353M|  11k 2160B|   0  9792k|   0   140 |1259  1795 |1.29 0.82 0.54|1.0   0  61|   0     0 |openstack            32497 13%5220k  37k|bash                 2790   11M  40k  0%|mysqld       205M|   0     0 |  14   30    0   16    0
Apr 20 11:21:11 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:11| 24   2  74   0   0| 809M 3539M  149M 3353M|9039B 2160B|   0     0 |   0     0 | 988  1370 |1.29 0.82 0.54|1.0   0 2.0|   0     0 |openstack            32497 21%6019k  33B|openstack            324976019k  33B 21%|mysqld       205M|   0     0 |  14   30    0   21    0
Apr 20 11:21:12 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:12| 21   6  73   0   0| 801M 3547M  149M 3353M|9870B 2160B|   0   852k|   0  7.00 | 954  1525 |1.29 0.82 0.54|2.0   0 100|   0     0 |openstack            32599 21%8886k  37k|bash                 2790   11M  41k0.5%|mysqld       205M|   0     0 |  14   30    0   21    0
Apr 20 11:21:13 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:13| 23   4  73   0   0| 773M 3575M  149M 3354M|  16k 2160B|   0   288k|   0  18.0 |1342  2211 |1.29 0.82 0.54|1.0   0  21|   0     0 |openstack            326217.2%2037k   0 |bash                 2790   11M  41k  0%|mysqld       205M|   0     0 |  14   30    0   29    0
Apr 20 11:21:14 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:14| 22   4  73   0   0| 809M 3539M  149M 3354M|  11k 2160B|   0  1692k|   0  53.0 |1097  1499 |1.29 0.82 0.54|  0   0 1.0|   0     0 |openstack            32621 22%9187k  37k|openstack            326219187k  37k 22%|mysqld       205M|   0     0 |  14   32    0   34    0
Apr 20 11:21:15 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:15| 23   5  72   0   0| 798M 3550M  149M 3354M|  11k 1944B|   0  2848k|   0  56.0 |1317  2061 |1.35 0.84 0.55|1.0   0  74|   0     0 |openstack            32695 15%7476k  37k|bash                 2790   11M  37k  0%|mysqld       205M|   0     0 |  14   30    0   37    0
Apr 20 11:21:16 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:16| 23   4  73   0   0| 766M 3581M  149M 3354M|8294B 2160B|   0     0 |   0     0 |1509  2428 |1.35 0.84 0.55|1.0   0  47|   0     0 |uwsgi                320774.0%5041B  16k|bash                 2790   11M  44k0.2%|mysqld       205M|   0     0 |  14   30    0   45    0
Apr 20 11:21:17 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:17| 22   5  73   0   0| 807M 3541M  149M 3354M|6558B 2160B|   0   352k|   0  20.0 | 878  1188 |1.35 0.84 0.55|1.0   0  54|   0     0 |openstack            330   23%9962k  37k|openstack            330  9962k  37k 23%|mysqld       205M|   0     0 |  14   30    0   45    0
Apr 20 11:21:18 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:18| 21   6  73   0   0| 795M 3552M  149M 3354M|7812B 2202B|   0     0 |   0     0 |1126  1929 |1.35 0.84 0.55|1.0   0  69|   0     0 |openstack            402   12%6660k  37k|bash                 2790   11M  40k  0%|mysqld       205M|   0     0 |  14   30    0   50    0
Apr 20 11:21:19 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:19| 22   5  73   0   0| 771M 3576M  149M 3354M|6568B 2160B|   0    48k|   0  3.00 |1057  1890 |1.35 0.84 0.55|3.0   0  51|   0     0 |uwsgi                320765.5% 684k  12k|bash                 2790   11M  40k0.5%|mysqld       205M|   0     0 |  14   30    0   56    0
Apr 20 11:21:20 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:20| 23   3  74   0   0| 809M 3538M  149M 3354M|6729B 2106B|   0  3360k|   0  42.0 | 768   897 |1.24 0.83 0.55|1.0   0  20|   0     0 |openstack            482   24%9679k  37k|openstack            482  9679k  37k 24%|mysqld       205M|   0     0 |  14   30    0   56    0
Apr 20 11:21:21 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:21| 22   6  72   0   0| 780M 3567M  149M 3354M|7874B 2214B|   0   136k|   0  13.0 |1129  1910 |1.24 0.83 0.55|1.0   0  70|   0     0 |openstack            553  7.5%2388k   0 |bash                 2790   11M  40k  0%|mysqld       205M|   0     0 |  14   30    0   60    0
Apr 20 11:21:22 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:22| 24   2  74   0   0| 817M 3530M  149M 3354M|  14k 2160B|   0   332k|   0  17.0 | 875  1168 |1.24 0.83 0.55|1.0   0 1.0|   0     0 |openstack            553   23%8850k  37k|openstack            553  8850k  37k 23%|mysqld       205M|   0     0 |  14   30    0   64    0
Apr 20 11:21:23 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:23| 22   5  73   0   0| 804M 3543M  149M 3354M|6951B 2160B|   0    64k|   0  6.00 |1004  1449 |1.24 0.83 0.55|1.0   0  73|   0     0 |openstack            629   20%7853k  37k|bash                 2790   11M  41k0.2%|mysqld       205M|   0     0 |  14   30    0   64    0
Apr 20 11:21:24 cloud-provider-iscsi-0000000330 dstat.sh[29922]: 20-04 11:21:24| 21   5  74   0   0| 781M 3566M  149M 3354M|7270B 2160B|   0    36k|   0  3.00 |1058  1761 |1.24 0.83 0.55|1.0   0  77|   0     0 |openstack            708  5.5%2056k   0 |bash                 2790   11M  40k  0%|mysqld       205M|   0     0 |  14   30    0   68    0
