-- Logs begin at Thu 2020-04-16 12:18:06 UTC, end at Thu 2020-04-16 14:43:27 UTC. --
Apr 16 14:12:35 cloud-provider-iscsi-0000000291 systemd[1]: Started Devstack devstack@dstat.service.
Apr 16 14:12:35 cloud-provider-iscsi-0000000291 dstat.sh[29663]: [286B blob data]
Apr 16 14:12:35 cloud-provider-iscsi-0000000291 dstat.sh[29663]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 16 14:12:35 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:35|  2   1  97   0   0| 424M 4456M  143M 2720M|   0     0 |  48k 1239k|1.74  11.0 | 523   770 |0.71 0.71 0.51|2.0   0 9.0|   0     0 |systemd              1    0.0%   0    0 |bash                 2538  888k 826k0.0%|mysqld       174M|   0     0 |  12    4    0    4    0
Apr 16 14:12:36 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:36|  9  22  68   0   0| 425M 4454M  143M 2720M|8194B   13k|  24k   96k|1.00  6.00 |2874  5057 |0.71 0.71 0.51|2.0   0 460|   0     0 |bash                 2538 4.0%1684k  29k|bash                 2538 1684k  29k4.0%|mysqld       174M|   0     0 |  12    4    0    5    0
Apr 16 14:12:37 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:37| 13  21  67   0   0| 425M 4454M  143M 2720M|7654B   22k|   0    80k|   0  11.0 |3151  5217 |0.74 0.72 0.51|2.0   0 376|   0     0 |systemd              1    4.0%   0    0 |bash                 2538 2995k  25k2.2%|mysqld       174M|   0     0 |  12    4    0    5    0
Apr 16 14:12:38 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:38| 10   9  81   0   0| 550M 4328M  143M 2843M|7111B   10k|   0     0 |   0     0 |3491  6561 |0.74 0.72 0.51|2.0   0  93|   0     0 |systemd              1    6.5%   0    0 |bash                 2538  250k 859B  0%|mysqld       174M|   0     0 |  14    4    0    4    0
Apr 16 14:12:39 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:39| 13  12  74   0   0| 562M 4316M  143M 2843M|  16k 2952B|   0     0 |   0     0 |2142  3572 |0.74 0.72 0.51|1.0   0 296|   0     0 |keystone-manage      309748.5%3044k  79k|keystone-manage      309743044k  79k8.5%|mysqld       174M|   0     0 |  14    6    0    6    0
Apr 16 14:12:40 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:40| 22   3  74   1   0| 606M 4272M  143M 2843M|8312B   17k| 152k    0 |8.00     0 | 715  1412 |0.74 0.72 0.51|3.0   0   0|   0     0 |keystone-manage      30974 24%  11M 221k|keystone-manage      30974  11M 221k 24%|mysqld       174M|   0     0 |  14    6    0    6    0
Apr 16 14:12:41 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:41| 13   2  73  12   0| 630M 4246M  144M 2845M|  14k 2160B|  52k 4976k|6.00   254 |1934  3217 |0.74 0.72 0.51|1.0 1.0   0|   0     0 |keystone-manage      30974 10%2585k 484k|keystone-manage      309742585k 484k 10%|mysqld       187M|   0     0 |  14    8    0    6    0
Apr 16 14:12:42 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:42| 10   7  65  19   0| 633M 4242M  144M 2846M|8457B  127k|   0    30M|   0  1078 |4109  5937 |1.00 0.77 0.53|6.0   0   0|   0     0 |mysqld               28944 13%   0    0 |tail                 27898 120k 120k  0%|mysqld       190M|   0     0 |  14    8    0    6    0
Apr 16 14:12:43 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:43|  8   5  73  15   0| 637M 4172M  144M 2910M|6200B 3678B|   0    72M|   0   679 |3645  7368 |1.00 0.77 0.53|1.0 1.0   0|   0     0 |mysqld               289445.8%   0    0 |keystone-manage      30974  30k  18k3.8%|mysqld       193M|   0     0 |  14    8    0    6    0
Apr 16 14:12:44 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:44| 10   4  72  14   0| 640M 4167M  145M 2911M|6359B 5566B|   0    11M|   0  1001 |4237    12k|1.00 0.77 0.53|3.0   0   0|   0     0 |mysqld               289446.5%   0    0 |keystone-manage      30974  39k  22k5.0%|mysqld       195M|   0     0 |  14    8    0    6    0
Apr 16 14:12:45 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:45| 18   5  69   8   0| 643M 4162M  146M 2912M|  17k  125k|   0    11M|   0   966 |5513    17k|1.00 0.77 0.53|2.0   0   0|   0     0 |keystone-manage      30974 10%  60k 306k|python3.6            6293  278k 580k1.5%|mysqld       197M|   0     0 |  14    8    0    6    0
Apr 16 14:12:46 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:46| 14   5  69  13   0| 645M 4158M  146M 2913M|  16k  200k|   0    10M|   0   857 |5346    12k|1.00 0.77 0.53|2.0   0 2.0|   0     0 |mysqld               289447.2%   0    0 |python3.6            6293  146k 306k0.8%|mysqld       199M|   0     0 |  14    8    0    6    0
Apr 16 14:12:47 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:47| 21   6  67   6   0| 647M 4155M  147M 2915M|  12k  326k|   0    68M|   0   630 |3849    18k|1.00 0.77 0.54|2.0   0   0|   0     0 |keystone-manage      30974 16%  71k 551k|python3.6            6293  536k1117k3.5%|mysqld       199M|   0     0 |  14    8    0    6    0
Apr 16 14:12:48 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:48| 12   5  71  12   0| 647M 4154M  147M 2915M|  13k  439k|   0  9204k|   0   756 |4123    10k|1.00 0.77 0.54|2.0   0   0|   0     0 |mysqld               289447.0%   0    0 |tail                 27898 426k 426k0.2%|mysqld       200M|   0     0 |  14    8    0    6    0
Apr 16 14:12:49 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:49| 16   6  72   5   0| 584M 4216M  147M 2915M|9968B   13k|   0  4400k|   0   324 |3033  6840 |1.00 0.77 0.54|2.0   0  78|   0     0 |mysqld               289443.5%   0    0 |bash                 2538   17M1898k0.8%|mysqld       200M|   0     0 |  14    6    0    7    0
Apr 16 14:12:50 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:50| 24   3  72   1   0| 629M 4171M  147M 2916M|9753B   13k|   0  6652k|   0  69.0 | 852  1269 |1.00 0.77 0.54|2.0   0   0|   0     0 |keystone-manage      31054 25%  11M   0 |keystone-manage      31054  11M   0  25%|mysqld       200M|   0     0 |  14    6    0    7    0
Apr 16 14:12:51 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:51| 24   3  72   1   0| 602M 4198M  147M 2916M|6312B 2106B|   0  6848k|   0  67.0 | 921  1480 |1.00 0.77 0.54|2.0   0  11|   0     0 |keystone-manage      31065 12%5896k  37k|bash                 2538   16M  39k  0%|mysqld       200M|   0     0 |  14    6    0    7    0
Apr 16 14:12:52 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:52| 23   5  70   3   0| 578M 4220M  147M 2917M|7213B 4364B|   0  6412k|   0   138 |1346  2079 |1.00 0.78 0.54|3.0   0  47|   0     0 |bash                 2538 0.5%  16M  41k|bash                 2538   16M  41k0.5%|mysqld       200M|   0     0 |  14    6    0    7    0
Apr 16 14:12:53 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:53| 10  22  68   1   0| 578M 4219M  147M 2918M|  16k   10k|   0  3196k|   0   149 |3129  6086 |1.00 0.78 0.54|2.0   0 490|   0     0 |bash                 2538 3.2%3065k  32k|bash                 2538 3065k  32k3.2%|mysqld       200M|   0     0 |  14    6    0    7    0
Apr 16 14:12:54 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:54| 25  21  54   0   0| 610M 4187M  147M 2919M|6827B   19k|   0   132k|   0  10.0 |4661  9819 |1.00 0.78 0.54|3.0   0 342|   0     0 |uwsgi                318166.5%2163k   0 |uwsgi                318162163k   0 6.5%|mysqld       200M|   0     0 |  14    8    0    7    0
Apr 16 14:12:55 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:55| 45   5  49   1   0| 691M 4106M  147M 2919M|8637B   11k| 128k    0 |1.00     0 |1023   828 |1.00 0.78 0.54|3.0   0 2.0|   0     0 |uwsgi                31816 25%  10M  37k|uwsgi                31817  11M  37k 24%|mysqld       200M|   0     0 |  14    8    0    7    0
Apr 16 14:12:56 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:56| 46   7  47   0   0| 739M 4055M  147M 2922M|  16k 2052B|  20k    0 |4.00     0 |2047  6887 |1.00 0.78 0.54|2.0   0  38|   0     0 |uwsgi                31817 23%3744k 817k|uwsgi                318165061k 111k 23%|mysqld       200M|   0     0 |  14    6    0    8    0
Apr 16 14:12:57 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:57| 20   9  71   0   0| 780M 4014M  147M 2922M|8028B 7754B|   0     0 |   0     0 |1910  2334 |1.00 0.78 0.54|1.0   0 135|   0     0 |keystone-manage      32093 19%9791k  37k|keystone-manage      320939791k  37k 19%|mysqld       200M|   0     0 |  14    6    0    8    0
Apr 16 14:12:58 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:58| 23   3  74   0   0| 819M 3975M  147M 2922M|7398B 3804B|   0   784k|   0  4.00 | 805   988 |1.00 0.78 0.54|2.0   0 2.0|   0     0 |keystone-manage      32093 25%8195k9706B|keystone-manage      320938195k9706B 25%|mysqld       203M|   0     0 |  14   12    0    8    0
Apr 16 14:12:59 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:12:59| 23   4  72   1   0| 761M 4033M  147M 2922M|9188B   15k|   0   496k|   0  55.0 |1552  2367 |1.00 0.78 0.54|1.0   0  53|   0     0 |openstack            32174 11%3940k  37k|bash                 2538   18M  50k  0%|mysqld       203M|   0     0 |  14    6    0   11    0
Apr 16 14:13:00 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:13:00| 23   3  74   0   0| 796M 3998M  147M 2922M|6638B 5504B|   0  2488k|   0  65.0 | 998  1488 |1.00 0.78 0.54|2.0   0   0|   0     0 |openstack            32174 18%7304k   0 |openstack            321747304k   0  18%|mysqld       203M|   0     0 |  14   18    0   13    0
Apr 16 14:13:01 cloud-provider-iscsi-0000000291 dstat.sh[29663]: 16-04 14:13:01| 19   5  73   3   0| 769M 4025M  147M 2922M|6275B 2160B|  72k    0 |18.0     0 |1306  1847 |1.00 0.78 0.54|3.0   0  61|   0     0 |openstack            322368.0%2037k   0 |bash                 2538   11M  39k  0%|mysqld       205M|   0     0 |  14   30    0   16    0
