"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000319",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Apr 2020 14:24:11 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-04 14:24:11,2.788,0.904,95.873,0.392,0.043,441344000,4210163712,151445504,3303292928,0,0,62284.768,1702511.569,2.212,14.343,622.806,816.486,0.700,0.680,0.520,2,0,11.527,0,0,12,3,0,4,0
17-04 14:24:12,8.696,21.228,62.660,7.161,0.256,442359808,4208435200,151449600,3303690240,6263,1998,24576,6733824,1,255,3249,5070,0.700,0.680,0.520,2,0,487,0,0,12,3,0,4,0
17-04 14:24:13,13.602,19.647,66.751,0,0,442597376,4207886336,151449600,3304009728,5934,2160,0,32768,0,8,3205,7406,0.700,0.680,0.520,1,0,366,0,0,12,3,0,4,0
17-04 14:24:14,10.486,17.136,72.123,0,0.256,574013440,4075679744,151449600,3432370176,23677,2202,0,0,0,0,4439,7132,0.700,0.680,0.520,1,0,283,0,0,14,5,0,4,0
17-04 14:24:15,19.395,6.549,73.804,0.252,0,614637568,4034830336,151449600,3432595456,10618,2106,98304,0,4,0,1078,1710,0.700,0.680,0.520,1,0,96,0,0,14,5,0,6,0
17-04 14:24:16,21.411,3.526,73.552,1.511,0,655470592,3992821760,151465984,3433893888,8536,2214,110592,1798144,10,28,1545,2512,0.720,0.680,0.520,0,1,0,0,0,14,7,0,6,0
17-04 14:24:17,6.030,4.020,72.613,17.085,0.251,661213184,3984945152,152010752,3435364352,11072,2106,0,15728640,0,957,4224,7682,0.720,0.680,0.520,1,0,0,0,0,14,7,0,6,0
17-04 14:24:18,7.576,4.040,73.232,15.152,0,664752128,3911319552,152223744,3503714304,7868,2214,0,75386880,0,700,3729,7084,0.720,0.680,0.520,1,0,0,0,0,14,7,0,6,0
17-04 14:24:19,11.335,3.778,71.285,13.602,0,667078656,3907919872,152883200,3504046080,6942,2160,0,9551872,0,786,4703,9705,0.720,0.680,0.520,0,1,2,0,0,14,7,0,6,0
17-04 14:24:20,15.423,5.224,68.408,10.697,0.249,668700672,3904909312,153423872,3504869376,8436,2106,0,6942720,0,572,4737,11110,0.720,0.680,0.520,1,0,0,0,0,14,7,0,6,0
17-04 14:24:21,10.433,3.053,72.519,13.995,0,671068160,3901161472,153964544,3505676288,7732,1998,0,9314304,0,725,4332,8959,0.670,0.670,0.520,3,0,0,0,0,14,7,0,6,0
17-04 14:24:22,8.397,4.835,73.028,13.740,0,674721792,3896414208,154509312,3506212864,9052,2254,0,51892224,0,880,4317,6874,0.670,0.670,0.520,0,2,0,0,0,14,7,0,6,0
17-04 14:24:23,17.632,5.542,69.270,7.305,0.252,673935360,3895672832,154714112,3507499008,8524,2160,0,41385984,0,574,3279,10302,0.670,0.670,0.520,1,0,0,0,0,14,7,0,6,0
17-04 14:24:24,13.452,4.315,70.812,11.421,0,675086336,3893497856,155033600,3508170752,7639,2160,0,8404992,0,669,4241,11911,0.670,0.670,0.520,1,0,0,0,0,14,7,0,6,0
17-04 14:24:25,15.578,6.030,71.357,6.784,0.251,602501120,3965472768,155426816,3508330496,8650,2160,0,6103040,0,430,4005,8823,0.670,0.670,0.520,1,0,59,0,0,14,5,0,7,0
17-04 14:24:26,23.869,2.764,71.106,2.261,0,650039296,3917426688,155435008,3508830208,8030,2160,0,6778880,0,76,1204,1624,0.690,0.680,0.520,1,0,19,0,0,14,5,0,7,0
17-04 14:24:27,22.306,4.261,72.682,0.752,0,636235776,3930636288,155475968,3509383168,6516,2160,0,7028736,0,68,1004,1486,0.690,0.680,0.520,1,0,11,0,0,14,5,0,7,0
17-04 14:24:28,23.308,3.759,71.178,1.504,0.251,602591232,3962753024,155594752,3510771712,15562,2160,0,6873088,0,152,1487,2442,0.690,0.680,0.520,1,0,51,0,0,14,5,0,7,0
17-04 14:24:29,11.139,20.759,68.101,0,0,603475968,3961061376,155602944,3511582720,7731,2106,0,159744,0,12,2835,5871,0.690,0.680,0.520,3,0,444,0,0,14,5,0,7,0
17-04 14:24:30,17.929,20.202,61.616,0,0.253,625102848,3938967552,155602944,3512406016,7782,2214,0,20480,0,5,3806,8730,0.690,0.680,0.520,3,0,289,0,0,14,5,0,7,0
17-04 14:24:31,46.348,8.816,44.584,0.252,0,717910016,3845701632,155602944,3512696832,16464,1944,131072,0,1,0,1268,1658,0.800,0.700,0.530,2,0,90,0,0,14,7,0,7,0
17-04 14:24:32,45.113,6.015,45.865,3.008,0,768978944,3792150528,155615232,3514716160,7770,2160,20480,208896,4,24,1086,5314,0.800,0.700,0.530,3,0,0,0,0,14,7,0,7,0
17-04 14:24:33,23.426,10.327,65.743,0.252,0.252,805289984,3755388928,155615232,3515064320,6523,2160,0,4034560,0,178,2570,3796,0.800,0.700,0.530,1,0,168,0,0,14,5,0,8,0
17-04 14:24:34,25.313,1.003,73.684,0,0,847417344,3713236992,155619328,3515076608,7428,2160,0,851968,0,3,769,916,0.800,0.700,0.530,1,0,0,0,0,14,5,0,8,0
17-04 14:24:35,20.960,5.051,73.232,0.758,0,785276928,3775315968,155664384,3515092992,6240,2106,0,557056,0,64,1664,2400,0.800,0.700,0.530,1,0,54,0,0,14,5,0,11,0
17-04 14:24:36,22.055,3.509,73.183,1.253,0,826884096,3733688320,155680768,3515097088,6779,2214,0,3579904,0,259,1260,1239,0.810,0.700,0.530,1,0,1,0,0,14,11,0,12,0
17-04 14:24:37,21.092,4.715,72.208,1.737,0.248,802607104,3757867008,155680768,3515199488,8093,2160,73728,0,18,0,1525,2292,0.810,0.700,0.530,1,0,61,0,0,14,29,0,16,0
17-04 14:24:38,23.308,3.008,73.434,0.251,0,841777152,3718692864,155680768,3515203584,6808,2160,0,9416704,0,131,1048,1175,0.810,0.700,0.530,1,0,1,0,0,14,29,0,18,2
17-04 14:24:39,20.603,7.286,72.111,0,0,829657088,3730661376,155680768,3515355136,8081,2160,0,0,0,0,1233,1869,0.810,0.700,0.530,1,0,102,0,0,14,29,0,21,0
17-04 14:24:40,23.485,2.778,73.737,0,0,804446208,3755855872,155684864,3515359232,8780,2160,0,1015808,0,7,1320,1895,0.810,0.700,0.530,2,0,21,0,0,14,29,0,29,0
17-04 14:24:41,23.618,3.015,73.116,0,0.251,842571776,3717492736,155684864,3515596800,6442,1998,0,0,0,0,1000,1373,0.830,0.710,0.540,1,0,1,0,0,14,31,0,34,0
17-04 14:24:42,23.810,4.010,71.930,0.251,0,826720256,3733127168,155697152,3515760640,6199,2106,0,532480,0,26,1319,1963,0.830,0.710,0.540,1,0,74,0,0,14,29,0,37,0
17-04 14:24:43,23.038,3.291,73.418,0.253,0,798568448,3761106944,155701248,3515920384,9234,2160,0,3416064,0,40,1441,2193,0.830,0.710,0.540,2,0,30,0,0,14,29,0,45,0
17-04 14:24:44,20.500,6.500,72.750,0.250,0,833101824,3726565376,155713536,3515916288,6554,2160,0,401408,0,21,1069,1440,0.830,0.710,0.540,1,0,71,0,0,14,29,0,45,0
17-04 14:24:45,21.662,5.038,73.048,0,0.252,808521728,3751104512,155721728,3515949056,8775,2160,0,319488,0,6,1299,1737,0.830,0.710,0.540,1,0,68,0,0,14,29,0,50,0
17-04 14:24:46,23.500,3,73.250,0.250,0,847360000,3712249856,155734016,3515953152,7989,2160,0,2351104,0,47,920,1103,0.840,0.710,0.540,1,0,1,0,0,14,29,0,52,0
17-04 14:24:47,21.805,4.762,73.183,0,0.251,818110464,3741474816,155734016,3515973632,8050,2202,0,32768,0,3,1304,2007,0.840,0.710,0.540,1,0,71,0,0,14,29,0,56,0
17-04 14:24:48,22.980,3.283,72.475,1.263,0,801017856,3758501888,155742208,3516116992,7053,2160,0,4808704,0,318,1586,1513,0.840,0.710,0.540,1,0,15,0,0,14,29,0,60,0
17-04 14:24:49,23.250,4,72.750,0,0,841977856,3717533696,155750400,3516116992,7488,2106,0,110592,0,11,1007,1337,0.840,0.710,0.540,1,0,56,0,0,14,29,0,60,0
17-04 14:24:50,20.603,6.030,73.367,0,0,814194688,3745280000,155758592,3516145664,6536,2160,0,122880,0,9,1210,1815,0.840,0.710,0.540,1,0,73,0,0,14,29,0,64,0
17-04 14:24:51,23.192,3.242,73.067,0.249,0.249,851173376,3708289024,155770880,3516145664,15362,1998,0,483328,0,21,954,1245,0.860,0.720,0.540,1,0,0,0,0,14,29,0,68,0
17-04 14:24:52,20.907,5.542,73.552,0,0,840032256,3719421952,155774976,3516149760,8898,2106,0,65536,0,6,1013,1370,0.860,0.720,0.540,1,0,78,0,0,14,29,0,68,0
17-04 14:24:53,21.662,4.282,74.055,0,0,813461504,3745959936,155774976,3516182528,8495,2214,0,2416640,0,10,1170,1909,0.860,0.720,0.540,1,0,85,0,0,14,29,0,73,0
17-04 14:24:54,23.174,3.023,73.552,0.252,0,851861504,3707547648,155779072,3516190720,7073,2160,0,417792,0,19,882,1100,0.860,0.720,0.540,1,0,1,0,0,14,31,0,74,0
17-04 14:24:55,21.446,5.486,72.569,0.249,0.249,830656512,3728740352,155779072,3516203008,5864,2160,0,32768,0,3,1339,1897,0.860,0.720,0.540,1,0,98,0,0,14,29,0,78,0
17-04 14:24:56,21.159,7.305,71.537,0,0,804376576,3754856448,155787264,3516354560,8782,2202,0,221184,0,22,1409,2562,0.870,0.720,0.550,1,0,142,0,0,14,29,0,83,0
17-04 14:24:57,22.055,3.759,73.935,0.251,0,841216000,3717996544,155795456,3516366848,10244,2106,0,884736,0,33,806,939,0.870,0.720,0.550,1,0,3,0,0,14,29,0,83,0
17-04 14:24:58,23.559,3.008,73.434,0,0,812306432,3746902016,155795456,3516370944,9405,2214,0,380928,0,4,1314,2007,0.870,0.720,0.550,1,0,21,0,0,14,29,0,92,0
17-04 14:24:59,23.367,2.764,73.618,0,0.251,851038208,3708125184,155795456,3516411904,10793,2160,0,0,0,0,857,1303,0.870,0.720,0.550,1,0,3,0,0,14,31,0,96,0
17-04 14:25:00,22.670,4.534,72.544,0.252,0,835768320,3723223040,155799552,3516575744,16042,2160,0,110592,0,3,1106,1724,0.870,0.720,0.550,1,0,72,0,0,14,29,0,100,0
17-04 14:25:01,23.929,2.519,73.300,0.252,0,804028416,3754926080,155803648,3516604416,10534,1890,0,61440,0,6,1389,2080,0.880,0.730,0.550,2,0,8,0,0,14,29,0,109,0
17-04 14:25:02,20.352,7.286,72.362,0,0,840060928,3718877184,155803648,3516620800,18993,2214,0,0,0,0,1188,1981,0.880,0.730,0.550,1,0,161,0,0,14,29,0,109,0
17-04 14:25:03,23.810,2.757,73.183,0,0.251,812015616,3746881536,155803648,3516661760,6930,2160,0,0,0,0,1309,2053,0.880,0.730,0.550,1,0,21,0,0,14,29,0,118,0
17-04 14:25:04,23.678,2.771,73.552,0,0,850350080,3708538880,155807744,3516665856,6774,2160,0,1232896,0,35,866,963,0.880,0.730,0.550,2,0,1,0,0,14,30,0,119,0
17-04 14:25:05,23.367,4.523,72.111,0,0,835788800,3722932224,155807744,3516829696,7711,2160,0,126976,0,12,1325,2173,0.880,0.730,0.550,1,0,72,0,0,14,29,0,126,0
17-04 14:25:06,23.232,4.040,72.727,0,0,803188736,3755499520,155807744,3516862464,6096,2160,0,0,0,0,1569,2469,0.890,0.730,0.550,2,0,73,0,0,14,29,0,135,0
17-04 14:25:07,21.554,5.263,72.932,0,0.251,847712256,3710963712,155820032,3516862464,6082,2160,0,65536,0,6,1033,1455,0.890,0.730,0.550,1,0,96,0,0,14,29,0,135,0
17-04 14:25:08,23.232,3.283,73.485,0,0,812982272,3745513472,155820032,3517042688,6559,2160,0,0,0,0,1404,2139,0.890,0.730,0.550,1,0,21,0,0,14,29,0,141,0
17-04 14:25:09,23.308,3.008,73.434,0.251,0,847446016,3711037440,155828224,3517046784,6333,2160,0,847872,0,25,877,1053,0.890,0.730,0.550,1,0,3,0,0,14,29,0,141,0
17-04 14:25:10,23.232,4.293,72.222,0,0.253,826175488,3732271104,155828224,3517079552,8586,2160,0,36864,0,3,1451,2298,0.890,0.730,0.550,1,0,72,0,0,14,29,0,149,0
17-04 14:25:11,23.116,3.266,73.618,0,0,853893120,3704549376,155828224,3517083648,12282,1890,0,0,0,0,1128,1492,0.900,0.740,0.550,1,0,0,0,0,14,31,0,153,0
17-04 14:25:12,20.907,7.305,71.537,0,0.252,819302400,3738963968,155828224,3517255680,6625,2214,0,0,0,0,1641,2813,0.900,0.740,0.550,1,0,169,0,0,14,29,0,158,0
17-04 14:25:13,23.367,3.015,73.618,0,0,854540288,3703693312,155828224,3517284352,9086,2202,0,0,0,0,1155,1714,0.900,0.740,0.550,1,0,0,0,0,14,29,0,167,0
17-04 14:25:14,22.166,4.030,73.552,0.252,0,838803456,3719413760,155828224,3517300736,9305,2160,0,2232320,0,54,1119,1269,0.900,0.740,0.550,1,0,22,0,0,14,29,0,167,0
17-04 14:25:15,21.662,6.297,72.040,0,0,815292416,3742740480,155848704,3517464576,19746,2160,0,221184,0,20,1495,2403,0.900,0.740,0.550,1,0,71,0,0,14,29,0,175,0
17-04 14:25:16,23.367,2.764,73.869,0,0,853536768,3704487936,155852800,3517468672,11102,2106,0,344064,0,16,877,1117,0.910,0.740,0.560,1,0,1,0,0,14,31,0,174,0
17-04 14:25:17,20.960,6.313,72.475,0,0.253,816750592,3741233152,155852800,3517505536,19631,2214,0,0,0,0,1528,2643,0.910,0.740,0.560,1,0,109,0,0,14,29,0,182,0
17-04 14:25:18,23.810,2.256,73.684,0.251,0,853372928,3704598528,155852800,3517517824,6044,2160,0,49152,0,3,921,1273,0.910,0.740,0.560,1,0,1,0,0,14,29,0,187,0
17-04 14:25:19,20,7.250,72.500,0,0.250,833642496,3724316672,155860992,3517521920,7837,2106,0,331776,0,24,1137,1627,0.910,0.740,0.560,1,0,100,0,0,14,29,0,187,0
17-04 14:25:20,21.717,4.293,73.990,0,0,803360768,3754577920,155869184,3517550592,6500,2214,0,106496,0,9,1180,1888,0.910,0.740,0.560,1,0,70,0,0,14,29,0,192,0
17-04 14:25:21,22.222,4.545,73.232,0,0,845873152,3712045056,155881472,3517554688,8035,1890,0,557056,0,25,822,1335,0.910,0.750,0.560,1,0,75,0,0,14,29,0,192,0
17-04 14:25:22,23.632,3.731,72.388,0,0.249,813506560,3744239616,155881472,3517722624,7874,2308,0,0,0,0,1340,2077,0.910,0.750,0.560,1,0,21,0,0,14,29,0,201,0
17-04 14:25:23,23.367,2.764,73.869,0,0,851947520,3705790464,155885568,3517726720,7365,2160,0,65536,0,6,751,829,0.910,0.750,0.560,1,0,1,0,0,14,31,0,202,0
17-04 14:25:24,23.559,4.261,71.930,0.251,0,834297856,3723403264,155885568,3517763584,5900,2160,0,36864,0,3,1242,2100,0.910,0.750,0.560,1,0,72,0,0,14,29,0,209,0
17-04 14:25:25,23.618,2.764,73.367,0,0.251,854630400,3702894592,155889664,3517935616,5641,2160,0,131072,0,11,1167,1944,0.910,0.750,0.560,1,0,0,0,0,14,29,0,218,0
17-04 14:25:26,20.907,6.801,72.292,0,0,843694080,3713818624,155889664,3517943808,6893,2160,0,0,0,0,1253,2168,0.920,0.750,0.560,1,0,169,0,0,14,29,0,218,0
17-04 14:25:27,23.058,4.010,72.932,0,0,814342144,3743125504,155893760,3517984768,7442,2160,0,53248,0,5,1217,1903,0.920,0.750,0.560,1,0,21,0,0,14,29,0,226,0
17-04 14:25:28,23.810,2.506,73.434,0,0.251,851955712,3705511936,155893760,3517984768,6530,2160,0,323584,0,15,708,1018,0.920,0.750,0.560,1,0,1,0,0,14,31,0,229,0
17-04 14:25:29,21.772,5.823,72.405,0,0,840085504,3717214208,155893760,3518152704,7368,2160,0,172032,0,5,1274,1902,0.920,0.750,0.560,1,0,74,0,0,14,29,0,234,0
17-04 14:25:30,23.250,4,72.500,0.250,0,803823616,3753439232,155893760,3518185472,6984,2106,0,77824,0,6,1475,2335,0.920,0.750,0.560,1,0,51,0,0,14,29,0,243,0
17-04 14:25:31,22,5.750,72,0,0.250,843173888,3714068480,155901952,3518197760,12926,1944,0,155648,0,9,1096,1743,0.930,0.760,0.560,1,0,118,0,0,14,29,0,243,0
17-04 14:25:32,23.485,3.030,73.485,0,0,815910912,3741159424,155901952,3518369792,15855,2214,0,24576,0,5,1260,2012,0.930,0.760,0.560,1,0,21,0,0,14,29,0,252,0
17-04 14:25:33,23.308,3.258,73.434,0,0,852361216,3704684544,155901952,3518394368,7966,2160,0,0,0,0,1019,1487,0.930,0.760,0.560,1,0,1,0,0,14,31,0,258,0
17-04 14:25:34,22.922,4.786,72.292,0,0,840224768,3716804608,155906048,3518402560,8096,2160,0,49152,0,3,1095,1492,0.930,0.760,0.560,1,0,72,0,0,14,29,0,259,0
17-04 14:25:35,23.810,3.008,72.932,0,0.251,804560896,3752423424,155914240,3518435328,7101,2160,0,135168,0,11,1395,2182,0.930,0.760,0.560,1,0,13,0,0,14,29,0,268,0
17-04 14:25:36,21.197,6.234,72.569,0,0,842698752,3714277376,155914240,3518443520,6604,2106,0,0,0,0,1065,1638,0.930,0.760,0.570,1,0,103,0,0,14,29,0,268,0
17-04 14:25:37,21.411,5.290,73.300,0,0,818020352,3738591232,155938816,3518779392,8486,2214,0,172032,0,14,1349,2026,0.930,0.760,0.570,2,0,92,0,0,14,29,0,268,0
17-04 14:25:38,23.192,3.491,72.818,0.249,0.249,804438016,3751854080,155951104,3519070208,16092,2160,0,118784,0,13,1066,1414,0.930,0.760,0.570,1,0,10,0,0,14,29,0,273,0
17-04 14:25:39,21.662,4.786,73.552,0,0,847597568,3708682240,155955200,3519078400,7739,2160,0,106496,0,7,1018,1388,0.930,0.760,0.570,1,0,69,0,0,14,29,0,265,0
17-04 14:25:40,23.308,3.509,73.183,0,0,814288896,3741466624,155955200,3519602688,8014,2160,0,135168,0,12,1282,2029,0.930,0.760,0.570,1,0,21,0,0,14,29,0,274,0
17-04 14:25:41,23.500,3.250,73.250,0,0,852606976,3703144448,155955200,3519602688,8148,1890,0,442368,0,15,890,1165,0.940,0.770,0.570,1,0,1,0,0,14,29,0,270,0
17-04 14:25:42,21.250,5.500,73,0,0.250,830615552,3724914688,155959296,3519819776,6789,2214,0,36864,0,3,1090,1647,0.940,0.770,0.570,1,0,45,0,0,14,29,0,274,0
17-04 14:25:43,23.426,3.275,73.300,0,0,853893120,3701473280,155959296,3519979520,7887,2160,0,0,0,0,1194,1776,0.940,0.770,0.570,1,0,0,0,0,14,29,0,275,0
17-04 14:25:44,21.500,5.750,72.750,0,0,839712768,3715629056,155963392,3520000000,15249,2106,0,49152,0,5,1004,1416,0.940,0.770,0.570,1,0,69,0,0,14,29,0,275,0
17-04 14:25:45,22.922,3.526,72.796,0.504,0.252,814346240,3740950528,155971584,3520036864,6851,2214,0,3137536,0,97,1443,1978,0.940,0.770,0.570,1,0,21,0,0,14,29,0,271,0
17-04 14:25:46,23.810,2.256,73.935,0,0,848691200,3706601472,155971584,3520036864,6153,2160,0,192512,0,9,582,757,0.940,0.770,0.570,1,0,1,0,0,14,29,0,271,0
17-04 14:25:47,22.250,5.500,72.250,0,0,822169600,3732955136,155975680,3520200704,7291,2202,0,57344,0,8,1352,2080,0.940,0.770,0.570,1,0,45,0,0,14,29,0,273,0
17-04 14:25:48,22.922,3.023,73.804,0,0.252,853204992,3701915648,155975680,3520204800,7850,2160,0,0,0,0,983,1359,0.940,0.770,0.570,1,0,0,0,0,14,31,0,278,0
17-04 14:25:49,23.058,4.261,72.682,0,0,831107072,3723976704,155975680,3520241664,8857,2160,0,0,0,0,1295,1943,0.940,0.770,0.570,1,0,71,0,0,14,29,0,278,0
17-04 14:25:50,23.869,3.266,72.864,0,0,803758080,3751157760,155975680,3520409600,7160,1998,0,57344,0,13,1248,1918,0.940,0.770,0.570,1,0,14,0,0,14,29,0,287,0
17-04 14:25:51,21.357,4.774,73.869,0,0,845168640,3709743104,155975680,3520413696,9306,2106,0,65536,0,6,783,864,0.950,0.770,0.570,1,0,8,0,0,14,29,0,283,0
17-04 14:25:52,23.691,3.741,72.319,0,0.249,814944256,3739967488,155983872,3520405504,6845,2160,0,126976,0,13,1403,2164,0.950,0.770,0.570,1,0,44,0,0,14,29,0,291,0
17-04 14:25:53,22.556,3.509,73.684,0.251,0,854241280,3700609024,155992064,3520458752,6902,2160,0,352256,0,15,963,1473,0.950,0.770,0.570,1,0,1,0,0,14,31,0,287,0
17-04 14:25:54,21.554,5.514,72.932,0,0,832495616,3722326016,155992064,3520487424,10456,2160,0,0,0,0,1265,1810,0.950,0.770,0.570,1,0,69,0,0,14,29,0,291,0
17-04 14:25:55,23.750,3,73,0,0.250,803819520,3750830080,155992064,3520655360,7239,2160,0,0,0,0,1219,1917,0.950,0.770,0.570,1,0,21,0,0,14,29,0,295,0
