-- Logs begin at Fri 2020-04-17 12:54:27 UTC, end at Fri 2020-04-17 14:55:54 UTC. --
Apr 17 14:24:11 cloud-provider-iscsi-0000000319 systemd[1]: Started Devstack devstack@dstat.service.
Apr 17 14:24:11 cloud-provider-iscsi-0000000319 dstat.sh[29790]: [286B blob data]
Apr 17 14:24:11 cloud-provider-iscsi-0000000319 dstat.sh[29790]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 17 14:24:11 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:11|  3   1  96   0   0| 421M 4015M  144M 3150M|   0     0 |  61k 1663k|2.21  14.3 | 623   816 |0.70 0.68 0.52|1.0   0  12|   0     0 |systemd              1    0.1%   0    0 |bash                 2689 1377k1298k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 17 14:24:12 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:12|  8  21  63   7   0| 422M 4013M  144M 3151M|6263B 1998B|  24k 6576k|1.00   255 |3274  5124 |0.70 0.68 0.52|2.0   0 491|   0     0 |bash                 2689 4.2%1720k  31k|bash                 2689 1720k  31k4.2%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 17 14:24:13 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:13| 14  19  67   0   0| 422M 4013M  144M 3151M|5994B 2160B|   0    32k|   0  8.00 |3193  7375 |0.70 0.68 0.52|2.0   0 363|   0     0 |systemd              1    4.0%   0    0 |bash                 2689 2956k  23k1.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 17 14:24:14 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:14| 10  17  72   0   0| 547M 3887M  144M 3273M|  23k 2202B|   0     0 |   0     0 |4445  7149 |0.70 0.68 0.52|1.0   0 286|   0     0 |systemd              1    5.8%   0    0 |bash                 2689  623k  12k2.0%|mysqld       173M|   0     0 |  14    5    0    4    0
Apr 17 14:24:15 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:15| 19   6  74   0   0| 587M 3847M  144M 3274M|  10k 2106B|  96k    0 |4.00     0 |1063  1671 |0.70 0.68 0.52|1.0   0  92|   0     0 |keystone-manage      31106 20%9808k 126k|keystone-manage      311069808k 126k 20%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 17 14:24:16 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:16| 21   4  73   2   0| 626M 3807M  144M 3275M|8536B 2214B| 108k 1772k|10.0  31.0 |1568  2543 |0.72 0.68 0.52|1.0   0   0|   0     0 |keystone-manage      31106 22%6825k 658k|keystone-manage      311066825k 658k 22%|mysqld       186M|   0     0 |  14    7    0    6    0
Apr 17 14:24:17 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:17|  6   4  73  17   0| 631M 3800M  145M 3276M|  11k 2106B|   0    15M|   0   957 |4245  7746 |0.72 0.68 0.52|3.0 1.0   0|   0     0 |mysqld               290695.0%   0    0 |python2              29849  14k 463B0.2%|mysqld       190M|   0     0 |  14    7    0    6    0
Apr 17 14:24:18 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:18|  7   4  73  15   0| 634M 3730M  145M 3341M|7868B 2214B|   0    72M|   0   711 |3726  7117 |0.72 0.68 0.52|2.0   0   0|   0     0 |mysqld               290696.0%   0    0 |keystone-manage      31106  23k  14k3.8%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 17 14:24:19 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:19| 12   4  71  14   0| 636M 3727M  146M 3342M|6942B 2160B|   0  9356k|   0   786 |4724  9681 |0.72 0.68 0.52|2.0   0 2.0|   0     0 |mysqld               290697.5%   0    0 |keystone-manage      31106  35k  20k5.2%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 17 14:24:20 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:20| 15   5  69  11   0| 638M 3724M  146M 3343M|8436B 2106B|   0  6656k|   0   558 |4680    11k|0.72 0.68 0.52|1.0   0   0|   0     0 |keystone-manage      311068.8%  38k 291k|python3.6            6444  274k 572k2.2%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 17 14:24:21 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:21| 10   3  72  14   0| 640M 3720M  147M 3343M|8028B 2214B|   0  9236k|   0   739 |4389  9097 |0.67 0.67 0.52|1.0   0   0|   0     0 |mysqld               290696.2%   0    0 |keystone-manage      31106  29k  18k5.2%|mysqld       198M|   0     0 |  14    7    0    6    0
Apr 17 14:24:22 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:22|  8   5  73  14   0| 643M 3717M  147M 3344M|8756B 2038B|   0    50M|   0   879 |4261  6732 |0.67 0.67 0.52|1.0 1.0   0|   0     0 |mysqld               290695.5%   0    0 |keystone-manage      31106  25k  16k4.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 17 14:24:23 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:23| 18   6  69   7   0| 643M 3715M  148M 3345M|8584B 2160B|   0    38M|   0   561 |3274    10k|0.67 0.67 0.52|1.0   0   0|   0     0 |keystone-manage      31106 13%  68k 513k|python3.6            6444  483k1006k2.5%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 17 14:24:24 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:24| 13   4  71  11   0| 644M 3713M  148M 3346M|7579B 2160B|   0  8304k|   0   674 |4289    12k|0.67 0.67 0.52|1.0   0   0|   0     0 |keystone-manage      311068.0%  39k 211k|python3.6            6444  200k 418k1.2%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 17 14:24:25 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:25| 16   6  71   7   0| 575M 3781M  148M 3346M|8650B 2160B|   0  5864k|   0   425 |3974  8614 |0.67 0.67 0.52|1.0   0  62|   0     0 |mysqld               290695.0%   0    0 |bash                 2689   17M1897k0.8%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 17 14:24:26 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:26| 24   3  71   2   0| 620M 3735M  148M 3346M|8030B 2160B|   0  6620k|   0  76.0 |1185  1598 |0.69 0.68 0.52|1.0   0  16|   0     0 |keystone-manage      31186 24%  11M  37k|keystone-manage      31186  11M  37k 24%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 17 14:24:27 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:27| 22   4  73   1   0| 607M 3748M  148M 3347M|6576B 2160B|   0  6864k|   0  68.0 |1005  1486 |0.69 0.68 0.52|1.0   0  11|   0     0 |keystone-manage      31197 14%7958k  37k|bash                 2689   16M  39k  0%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 17 14:24:28 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:28| 23   4  71   2   0| 575M 3779M  148M 3348M|  15k 2160B|   0  6712k|   0   152 |1505  2490 |0.69 0.68 0.52|1.0   0  56|   0     0 |bash                 2689 0.5%  16M  42k|bash                 2689   16M  42k0.5%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 17 14:24:29 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:29| 11  21  68   0   0| 575M 3778M  148M 3349M|7859B 2106B|   0   156k|   0  12.0 |2831  5866 |0.69 0.68 0.52|1.0   0 442|   0     0 |bash                 2689 3.2%2600k  29k|bash                 2689 2600k  29k3.2%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 17 14:24:30 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:30| 18  20  61   0   0| 598M 3755M  148M 3350M|7654B 2214B|   0    20k|   0  5.00 |3815  8737 |0.69 0.68 0.52|3.0   0 292|   0     0 |systemd              1    6.5%   0    0 |bash                 2689 2106k  15k1.5%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 17 14:24:31 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:31| 46   9  45   0   0| 686M 3667M  148M 3350M|  16k 2160B| 128k    0 |1.00     0 |1249  1614 |0.80 0.70 0.53|2.0   0  84|   0     0 |uwsgi                31941 25%  11M  37k|uwsgi                31942  11M  37k 24%|mysqld       200M|   0     0 |  14    7    0    7    0
Apr 17 14:24:32 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:32| 45   6  46   3   0| 733M 3616M  148M 3352M|7474B 1944B|  20k  204k|4.00  24.0 |1088  5315 |0.80 0.70 0.53|3.0   0   0|   0     0 |uwsgi                31941 24%4951k 703k|uwsgi                319414951k 703k 24%|mysqld       200M|   0     0 |  14    7    0    7    0
Apr 17 14:24:33 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:33| 23  11  66   0   0| 768M 3581M  148M 3352M|6583B 2160B|   0  3940k|   0   178 |2564  3789 |0.80 0.70 0.53|1.0   0 168|   0     0 |keystone-manage      32217 15%7943k  37k|keystone-manage      322177943k  37k 15%|mysqld       200M|   0     0 |  14    5    0    8    0
Apr 17 14:24:34 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:34| 25   1  74   0   0| 808M 3541M  148M 3352M|7368B 2160B|   0   832k|   0  3.00 | 770   916 |0.80 0.70 0.53|1.0   0   0|   0     0 |keystone-manage      32217 25%9361k9143B|keystone-manage      322179361k9143B 25%|mysqld       203M|   0     0 |  14    7    0    8    0
Apr 17 14:24:35 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:35| 21   5  73   1   0| 749M 3600M  148M 3352M|6240B 2106B|   0   544k|   0  64.0 |1663  2402 |0.80 0.70 0.53|1.0   0  54|   0     0 |openstack            322944.0%1917k   0 |bash                 2689   18M  50k  0%|mysqld       203M|   0     0 |  14    5    0   11    0
Apr 17 14:24:36 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:36| 22   4  73   1   0| 789M 3560M  148M 3352M|6779B 2214B|   0  3496k|   0   259 |1263  1237 |0.81 0.70 0.53|1.0   0 1.0|   0     0 |openstack            32294 24%9328k  37k|openstack            322949328k  37k 24%|mysqld       203M|   0     0 |  14   13    0   12    0
Apr 17 14:24:37 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:37| 21   5  72   2   0| 765M 3584M  148M 3352M|8093B 2160B|  72k    0 |18.0     0 |1523  2296 |0.81 0.70 0.53|1.0   0  61|   0     0 |uwsgi                319426.0%6839B8816B|bash                 2689   11M  40k  0%|mysqld       205M|   0     0 |  14   29    0   16    0
Apr 17 14:24:38 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:38| 23   3  74   0   0| 803M 3546M  148M 3352M|6808B 2160B|   0  9196k|   0   131 |1055  1182 |0.81 0.70 0.53|1.0   0 1.0|   0     0 |openstack            32356 23%9201k  37k|openstack            323569201k  37k 23%|mysqld       205M|   0     0 |  14   31    0   19    0
Apr 17 14:24:39 cloud-provider-iscsi-0000000319 dstat.sh[29790]: 17-04 14:24:39| 21   7  72   0   0| 791M 3558M  148M 3353M|8081B 2160B|   0     0 |   0     0 |1225  1860 |0.81 0.70 0.53|1.0   0 102|   0     0 |openstack            32456 18%7743k  37k|bash                 2689   11M  41k0.5%|mysqld       205M|   0     0 |  14   29    0   21    0
