"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000333",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","20 Apr 2020 12:56:23 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
20-04 12:56:23,4.381,1.451,93.611,0.496,0.060,441479168,4211003392,150777856,3303673856,0,0,97734.590,2720328.103,3.462,22.562,844.208,1181.192,0.660,0.650,0.490,2,0,18.131,0,0,12,3,0,4,0
20-04 12:56:24,10.886,20.253,68.608,0,0.253,442122240,4209451008,150777856,3304202240,15259,2160,24576,106496,1,7,2779,5096,0.680,0.650,0.490,1,0,495,0,0,12,3,0,4,0
20-04 12:56:25,14.796,17.602,67.347,0,0.255,442187776,4208926720,150777856,3304751104,8317,2160,0,49152,0,9,3685,7442,0.680,0.650,0.490,5,0,355,0,0,12,3,0,4,0
20-04 12:56:26,7.576,8.333,84.091,0,0,573284352,4077355008,150777856,3432689664,7248,2106,0,0,0,0,2846,3881,0.680,0.650,0.490,3,0,83,0,0,14,3,0,4,0
20-04 12:56:27,6.566,11.869,81.313,0,0.253,574554112,4076044288,150777856,3432697856,7692,2214,0,0,0,0,1875,3290,0.680,0.650,0.490,1,0,290,0,0,14,5,0,6,0
20-04 12:56:28,21.805,4.511,73.434,0.251,0,620482560,4030025728,150777856,3432787968,7192,2106,98304,0,4,0,806,910,0.680,0.650,0.490,1,0,6,0,0,14,5,0,6,0
20-04 12:56:29,18,3.250,74,4.500,0.250,658329600,3989110784,151072768,3435495424,7022,1944,110592,6746112,10,383,2264,4328,0.710,0.660,0.500,0,0,0,0,0,14,7,0,6,0
20-04 12:56:30,7.557,5.290,71.285,15.869,0,664567808,3913437184,151482368,3503046656,9042,2214,0,79765504,0,901,4014,7867,0.710,0.660,0.500,0,3,0,0,0,14,7,0,6,0
20-04 12:56:31,8.838,4.545,71.465,14.899,0.253,665964544,3910295552,152039424,3504128000,7147,2160,0,32604160,0,974,4941,8412,0.710,0.660,0.500,3,1,0,0,0,14,7,0,6,0
20-04 12:56:32,14.937,5.823,68.861,10.127,0.253,668356608,3906326528,152686592,3505004544,9837,2160,0,9338880,0,755,5371,12900,0.710,0.660,0.500,1,1,0,0,0,14,7,0,6,0
20-04 12:56:33,10.687,3.817,72.519,12.977,0,670220288,3903156224,153251840,3505704960,6776,2160,0,8765440,0,687,4309,8786,0.710,0.660,0.500,0,1,0,0,0,14,7,0,6,0
20-04 12:56:34,11.869,3.535,70.707,13.889,0,672874496,3899293696,153866240,3506229248,9299,2160,0,10797056,0,862,4368,10793,0.810,0.680,0.510,0,1,0,0,0,14,7,0,6,0
20-04 12:56:35,23.929,4.534,67.003,4.282,0.252,674811904,3894882304,154177536,3508314112,17470,2160,0,5672960,0,370,6060,18301,0.810,0.680,0.510,1,0,2,0,0,14,7,0,6,0
20-04 12:56:36,9.799,7.286,62.312,20.603,0,675704832,3893567488,154382336,3508494336,8562,2160,0,73195520,0,1163,3645,6246,0.810,0.680,0.510,0,1,0,0,0,14,7,0,6,0
20-04 12:56:37,14.937,3.544,70.380,11.139,0,676171776,3892613120,154898432,3508568064,8187,2160,0,8495104,0,637,4090,12703,0.810,0.680,0.510,1,0,0,0,0,14,7,0,6,0
