-- Logs begin at Mon 2020-04-20 11:59:20 UTC, end at Mon 2020-04-20 13:27:47 UTC. --
Apr 20 12:56:23 cloud-provider-iscsi-0000000333 systemd[1]: Started Devstack devstack@dstat.service.
Apr 20 12:56:23 cloud-provider-iscsi-0000000333 dstat.sh[29800]: [286B blob data]
Apr 20 12:56:23 cloud-provider-iscsi-0000000333 dstat.sh[29800]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 20 12:56:23 cloud-provider-iscsi-0000000333 dstat.sh[29800]: 20-04 12:56:23|  4   1  94   0   0| 421M 4016M  144M 3151M|   0     0 |  95k 2657k|3.46  22.6 | 844  1181 |0.66 0.65 0.49|2.0   0  18|   0     0 |bash                 2718 0.1%2165k2037k|bash                 2718 2165k2037k0.1%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 20 12:56:24 cloud-provider-iscsi-0000000333 dstat.sh[29800]: 20-04 12:56:24| 11  20  69   0   0| 422M 4014M  144M 3151M|  15k 2160B|  24k  104k|1.00  7.00 |2780  5097 |0.68 0.65 0.49|3.0   0 495|   0     0 |bash                 2718 4.0%1821k  32k|bash                 2718 1821k  32k4.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 20 12:56:25 cloud-provider-iscsi-0000000333 dstat.sh[29800]: 20-04 12:56:25| 15  18  67   0   0| 422M 4014M  144M 3152M|8317B 2160B|   0    48k|   0  9.00 |3685  7443 |0.68 0.65 0.49|5.0   0 356|   0     0 |systemd              1    4.2%   0    0 |bash                 2718 2849k  23k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 20 12:56:26 cloud-provider-iscsi-0000000333 dstat.sh[29800]: 20-04 12:56:26|  8   8  84   0   0| 547M 3888M  144M 3274M|7248B 2106B|   0     0 |   0     0 |2849  3888 |0.68 0.65 0.49|  0   0  82|   0     0 |systemd              1    5.0%   0    0 |bash                 2718  246k 656B0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 20 12:56:27 cloud-provider-iscsi-0000000333 dstat.sh[29800]: 20-04 12:56:27|  6  12  81   0   0| 548M 3888M  144M 3274M|7692B 2214B|   0     0 |   0     0 |1883  3302 |0.68 0.65 0.49|1.0   0 291|   0     0 |bash                 2718 2.2% 608k  18k|bash                 2718  608k  18k2.2%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 20 12:56:28 cloud-provider-iscsi-0000000333 dstat.sh[29800]: 20-04 12:56:28| 22   4  73   0   0| 592M 3843M  144M 3274M|7192B 2106B|  96k    0 |4.00     0 | 800   898 |0.68 0.65 0.49|1.0   0 5.0|   0     0 |keystone-manage      31115 24%  11M 126k|keystone-manage      31115  10M 126k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 20 12:56:29 cloud-provider-iscsi-0000000333 dstat.sh[29800]: 20-04 12:56:29| 18   3  74   4   0| 628M 3804M  144M 3276M|7022B 1944B| 108k 6604k|10.0   386 |2275  4347 |0.71 0.66 0.50|1.0   0   0|   0     0 |keystone-manage      31115 16%5814k 658k|keystone-manage      311155814k 658k 16%|mysqld       187M|   0     0 |  14    7    0    6    0
Apr 20 12:56:30 cloud-provider-iscsi-0000000333 dstat.sh[29800]: 20-04 12:56:30|  7   5  71  16   0| 633M 3733M  144M 3341M|9042B 2214B|   0    77M|   0   924 |4043  7838 |0.71 0.66 0.50|  0 3.0   0|   0     0 |mysqld               290707.0%   0    0 |keystone-manage      31115  20k  11k2.8%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 20 12:56:31 cloud-provider-iscsi-0000000333 dstat.sh[29800]: 20-04 12:56:31|  9   5  71  15   0| 635M 3729M  145M 3342M|7147B 2160B|   0    30M|   0   953 |4986  8649 |0.71 0.66 0.50|1.0 1.0   0|   0     0 |mysqld               290706.2%   0    0 |keystone-manage      31115  26k  15k4.5%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 20 12:56:32 cloud-provider-iscsi-0000000333 dstat.sh[29800]: 20-04 12:56:32| 15   6  69  10   0| 637M 3725M  146M 3343M|9837B 2160B|   0  9084k|   0   755 |5306    13k|0.71 0.66 0.50|1.0   0   0|   0     0 |keystone-manage      311158.2%  42k 291k|python3.6            6469  275k 572k1.2%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 20 12:56:33 cloud-provider-iscsi-0000000333 dstat.sh[29800]: 20-04 12:56:33| 11   4  72  13   0| 639M 3722M  146M 3343M|6776B 2160B|   0  8544k|   0   683 |4290  8749 |0.71 0.66 0.50|1.0   0   0|   0     0 |mysqld               290706.8%   0    0 |keystone-manage      31115  33k  22k6.2%|mysqld       197M|   0     0 |  14    7    0    6    0
Apr 20 12:56:34 cloud-provider-iscsi-0000000333 dstat.sh[29800]: 20-04 12:56:34| 12   4  71  14   0| 642M 3719M  147M 3344M|9359B 2160B|   0    10M|   0   869 |4395    11k|0.81 0.68 0.51|1.0 1.0   0|   0     0 |mysqld               290707.2%   0    0 |keystone-manage      31115  32k  20k6.0%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 20 12:56:35 cloud-provider-iscsi-0000000333 dstat.sh[29800]: 20-04 12:56:35| 24   5  67   4   0| 644M 3714M  147M 3346M|  17k 2160B|   0  5468k|   0   362 |6039    18k|0.81 0.68 0.51|1.0   0 2.0|   0     0 |keystone-manage      31115 16%  82k 707k|python3.6            6469  679k1415k3.5%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 20 12:56:36 cloud-provider-iscsi-0000000333 dstat.sh[29800]: 20-04 12:56:36| 10   7  63  21   0| 644M 3713M  147M 3346M|8435B 2160B|   0    70M|   0  1169 |3651  6257 |0.81 0.68 0.51|  0 1.0   0|   0     0 |mysqld               290709.8%   0    0 |keystone-manage      31115  16k  10k3.8%|mysqld       200M|   0     0 |  14    7    0    6    0
