"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000012363",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","10 Mar 2020 05:45:59 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
10-03 05:45:59,0.576,0.181,99.148,0.061,0.034,438194176,4349509632,172118016,3132739584,0,0,11279.364,329237.113,0.400,2.977,225.171,266.625,0.850,0.720,0.530,2,0,2.145,0,0,12,3,0,3,0
10-03 05:46:00,8.816,22.166,69.018,0,0,438116352,4349284352,172118016,3132776448,9312,1944,0,90112,0,5,2768,4967,0.850,0.720,0.530,2,0,477,0,0,12,3,0,3,0
10-03 05:46:01,13.165,20,66.582,0,0.253,438284288,4348616704,172118016,3133255680,15422,2202,0,36864,0,9,3525,6287,0.850,0.720,0.530,2,0,382,0,0,12,3,0,3,0
10-03 05:46:02,9.023,8.271,82.707,0,0,570232832,4216160256,172118016,3261353984,6547,2160,0,0,0,0,2537,3632,0.850,0.720,0.530,1,0,103,0,0,14,5,0,3,0
10-03 05:46:03,15.657,12.121,71.970,0,0.253,582529024,4203675648,172118016,3261526016,5489,2160,0,3125248,0,14,2075,3370,0.850,0.720,0.530,1,0,284,0,0,14,5,0,5,0
10-03 05:46:04,21.357,3.015,74.372,1.256,0,623046656,4162842624,172118016,3261812736,7302,2160,90112,0,4,0,594,740,0.860,0.730,0.530,1,0,1,0,0,14,5,0,5,0
10-03 05:46:05,19.554,4.455,71.782,4.208,0,659640320,4123754496,172339200,3263832064,6763,2160,73728,6541312,9,345,2691,4258,0.860,0.730,0.530,0,1,0,0,0,14,7,0,5,0
10-03 05:46:06,9.091,6.566,70.960,13.131,0.253,664399872,4048703488,172924928,3332132864,6719,2202,0,76689408,0,882,4631,8250,0.860,0.730,0.530,0,1,0,0,0,14,7,0,5,0
10-03 05:46:07,10.152,4.061,72.081,13.452,0.254,667230208,4044308480,173498368,3333062656,8785,2106,0,8998912,0,749,4374,6613,0.860,0.730,0.530,0,1,0,0,0,14,7,0,5,0
