-- Logs begin at Mon 2020-03-09 21:39:10 UTC, end at Tue 2020-03-10 05:48:18 UTC. --
Mar 10 05:45:59 cloud-provider1-0000012363 systemd[1]: Started Devstack devstack@dstat.service.
Mar 10 05:45:59 cloud-provider1-0000012363 dstat.sh[30332]: [286B blob data]
Mar 10 05:45:59 cloud-provider1-0000012363 dstat.sh[30332]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 10 05:45:59 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:45:59|  1   0  99   0   0| 418M 4148M  164M 2988M|   0     0 |  11k  322k|0.40  2.98 | 225   267 |0.85 0.72 0.53|1.0   0 2.1|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2099  249k 217k0.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 10 05:46:00 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:00|  9  22  69   0   0| 418M 4148M  164M 2988M|9654B 1944B|   0    92k|   0  6.00 |2755  4947 |0.85 0.72 0.53|2.0   0 473|   0     0 |bash                 2099 3.8%1690k  30k|bash                 2099 1690k  30k3.8%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 10 05:46:01 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:01| 13  20  66   0   0| 420M 4145M  164M 2988M|  15k 2202B|   0    32k|   0  8.00 |3557  6371 |0.85 0.72 0.53| 10   0 393|   0     0 |systemd              1    3.2%   0    0 |bash                 2099 2987k  25k2.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 10 05:46:02 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:02|  9   8  83   0   0| 544M 4020M  164M 3110M|6547B 2160B|   0     0 |   0     0 |2510  3541 |0.85 0.72 0.53|3.0   0  98|   0     0 |systemd              1    5.2%   0    0 |bash                 2099  398k2132B0.2%|mysqld       173M|   0     0 |  14    5    0    3    0
Mar 10 05:46:03 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:03| 16  12  72   0   0| 557M 4007M  164M 3110M|5489B 2160B|   0  3052k|   0  14.0 |2052  3339 |0.85 0.72 0.53|1.0   0 276|   0     0 |keystone-manage      31652 10%2873k  79k|keystone-manage      316522873k  79k 10%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 10 05:46:04 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:04| 22   3  74   2   0| 594M 3970M  164M 3111M|7302B 2160B|  88k    0 |4.00     0 | 594   741 |0.86 0.73 0.53|  0 1.0 1.0|   0     0 |keystone-manage      31652 23%9194k 190k|keystone-manage      316529194k 190k 23%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 10 05:46:05 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:05| 19   4  72   4   0| 629M 3932M  164M 3113M|6763B 2160B|  72k 6620k|9.00   363 |2753  4351 |0.86 0.73 0.53|1.0   0   0|   0     0 |keystone-manage      31652 19%5506k 571k|keystone-manage      316525506k 571k 19%|mysqld       187M|   0     0 |  14    7    0    5    0
Mar 10 05:46:06 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:06|  9   7  71  13   0| 634M 3861M  165M 3178M|6719B 2202B|   0    73M|   0   865 |4577  8162 |0.86 0.73 0.53|1.0   0   0|   0     0 |mysqld               296118.8%   0    0 |keystone-manage      31652  20k  12k4.0%|mysqld       192M|   0     0 |  14    7    0    5    0
Mar 10 05:46:07 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:07| 10   4  72  14   0| 636M 3857M  165M 3179M|8895B 2106B|   0  8820k|   0   754 |4401  6650 |0.86 0.73 0.53|2.0   0   0|   0     0 |mysqld               296116.2%   0    0 |keystone-manage      31652  26k  16k6.0%|mysqld       194M|   0     0 |  14    7    0    5    0
Mar 10 05:46:08 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:08| 12   6  70  12   0| 638M 3854M  166M 3179M|8551B 2214B|   0  7740k|   0   605 |4436    10k|0.86 0.73 0.53|4.0   0   0|   0     0 |keystone-manage      316528.2%  32k 300k|python               6010  289k 601k1.2%|mysqld       196M|   0     0 |  14    7    0    5    0
Mar 10 05:46:09 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:09| 12   4  70  14   0| 640M 3851M  167M 3180M|7351B 1944B|   0  8748k|   0   707 |3720  9203 |0.95 0.75 0.54|  0 1.0   0|   0     0 |mysqld               296116.5%   0    0 |keystone-manage      31652  40k  29k6.0%|mysqld       197M|   0     0 |  14    7    0    5    0
Mar 10 05:46:10 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:10| 15   5  70  11   0| 643M 3847M  167M 3180M|7370B 2160B|   0    11M|   0   903 |5146    10k|0.95 0.75 0.54|1.0   0   0|   0     0 |mysqld               296118.8%   0    0 |keystone-manage      31652  33k  23k7.2%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 10 05:46:11 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:11| 23   5  67   5   0| 644M 3843M  167M 3182M|  13k 2160B|   0  5804k|   0   398 |8878    18k|0.95 0.75 0.54|1.0   0   0|   0     0 |keystone-manage      31652 16%  80k 741k|python               6010  713k1483k3.0%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 10 05:46:12 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:12| 12   7  70  11   0| 645M 3841M  168M 3183M|5461B 2106B|   0  8876k|   0   729 |4742  9970 |0.95 0.75 0.54|1.0   0   0|   0     0 |mysqld               296117.8%   0    0 |keystone-manage      31652  37k  26k7.2%|mysqld       200M|   0     0 |  14    7    0    5    0
Mar 10 05:46:13 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:13| 13   4  64  19   0| 571M 3915M  168M 3183M|  15k 2214B|   0    47M|   0   775 |3270  7094 |0.95 0.75 0.54|1.0   0 6.0|   0     0 |mysqld               296113.8%   0    0 |bash                 2099   17M2006k  0%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 05:46:14 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:14| 21   6  72   1   0| 614M 3872M  168M 3183M|8940B 2052B|   0  6632k|   0  69.0 |1251  2067 |0.95 0.76 0.55|1.0   0  75|   0     0 |keystone-manage      31733 21%  10M  73k|keystone-manage      31733  10M  73k 21%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 05:46:15 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:15| 23   4  73   1   0| 582M 3903M  168M 3184M|9272B 2268B|   0  6920k|   0  67.0 | 993  1442 |0.95 0.76 0.55|1.0   0  11|   0     0 |keystone-manage      317458.2%2212k  37k|bash                 2099   17M  76k  0%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 05:46:16 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:16| 23   4  72   1   0| 634M 3849M  168M 3185M|7568B 1998B|   0  6252k|   0   141 |1048  1559 |0.95 0.76 0.55|1.0   0 1.0|   0     0 |keystone-manage      31745 25%  13M  37k|keystone-manage      31745  13M  37k 25%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 05:46:17 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:17| 15  15  70   0   0| 572M 3911M  168M 3185M|6679B 2106B|   0   132k|   0  8.00 |2349  4117 |0.95 0.76 0.55|2.0   0 337|   0     0 |bash                 2099 3.2%  18M  97k|bash                 2099   18M  97k3.2%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 05:46:18 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:18| 12  22  65   1   0| 572M 3911M  168M 3186M|5726B 2160B|   0    25M|   0   363 |3979  6300 |0.95 0.76 0.55|  0   0 369|   0     0 |systemd              1    3.0%   0    0 |bash                 2099 3163k  22k2.2%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 05:46:19 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:19| 41  12  47   0   0| 650M 3833M  168M 3187M|5087B 2160B|   0     0 |   0     0 |1846  2757 |0.95 0.76 0.55|2.0   0 166|   0     0 |uwsgi                32488 19%8621k  37k|uwsgi                324888621k  37k 19%|mysqld       200M|   0     0 |  14    7    0    6    0
Mar 10 05:46:20 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:20| 44   5  49   1   0| 725M 3756M  168M 3188M|  10k 2254B| 148k  120k|5.00  13.0 | 888   780 |1.04 0.78 0.55|2.0   0 2.0|   0     0 |uwsgi                32488 24%8851k 146k|uwsgi                324898982k 416k 24%|mysqld       200M|   0     0 |  14    7    0    6    0
Mar 10 05:46:21 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:21| 36  13  51   0   0| 751M 3728M  168M 3189M|5751B 2160B|   0     0 |   0     0 |2751  9234 |1.04 0.78 0.55|1.0   0 170|   0     0 |uwsgi                32489 15%1143k 121k|keystone-manage      327632110k  37k3.2%|mysqld       200M|   0     0 |  14    5    0    7    0
Mar 10 05:46:22 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:22| 24   3  73   0   0| 790M 3689M  168M 3189M|6111B 2160B|   0  1008k|   0  3.00 | 768   914 |1.04 0.78 0.55|3.0   0 1.0|   0     0 |keystone-manage      32763 25%  10M  37k|keystone-manage      32763  10M  37k 25%|mysqld       200M|   0     0 |  14    5    0    7    0
Mar 10 05:46:23 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:23| 23   3  73   0   0| 829M 3650M  168M 3189M|6934B 2160B|   0  2476k|   0  81.0 | 907  1297 |1.04 0.78 0.55|1.0   0 4.0|   0     0 |keystone-manage      32763 24%6597k  11k|keystone-manage      327636597k  11k 24%|mysqld       203M|   0     0 |  14   11    0    7    0
Mar 10 05:46:24 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:24| 21   5  73   0   0| 761M 3718M  168M 3189M|5815B 2160B|   0   376k|   0  44.0 |1373  2147 |1.04 0.78 0.55|1.0   0  53|   0     0 |openstack            384   12%3007k  37k|bash                 2099   19M  89k  0%|mysqld       203M|   0     0 |  14    5    0   10    0
Mar 10 05:46:25 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:25| 18   3  79   0   0| 794M 3684M  168M 3189M|  14k 2336B|   0  2388k|   0  73.0 | 883  1054 |1.04 0.78 0.56|  0   0 1.0|   0     0 |openstack            384   19%8356k  37k|openstack            384  8356k  37k 19%|mysqld       203M|   0     0 |  14    6    0   10    0
Mar 10 05:46:26 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:26|  1   1  98   0   0| 794M 3684M  168M 3189M|6855B 2214B|   0   100k|   0  20.0 | 386   531 |1.04 0.78 0.56|  0   0   0|   0     0 |kworker/u8:0         7754 0.2%   0    0 |python2              30382  14k 435B  0%|mysqld       203M|   0     0 |  14    6    0   10    0
Mar 10 05:46:27 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:27|  1   0  99   0   0| 794M 3684M  168M 3189M|5915B 2160B|   0     0 |   0     0 | 323   478 |1.04 0.78 0.56|  0   0   0|   0     0 |beam.smp             215780.5%   0    0 |python2              30382  14k 413B0.2%|mysqld       203M|   0     0 |  14    6    0   10    0
Mar 10 05:46:28 cloud-provider1-0000012363 dstat.sh[30332]: 10-03 05:46:28|  1   1  97   1   0| 794M 3684M  168M 3189M|7442B 2106B|   0    11M|   0   317 | 762   581 |1.04 0.78 0.56|  0 1.0   0|   0     0 |kworker/u8:0         7754 1.0%   0    0 |python2              30382  14k 460B  0%|mysqld       203M|   0     0 |  14    6    0   10    0
