"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000013615",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","11 Mar 2020 09:53:40 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
11-03 09:53:40,4.954,1.594,92.874,0.525,0.053,443781120,4338401280,172314624,3137830912,0,0,100708.214,2930900.150,3.628,26.123,854.599,1447.977,0.710,0.610,0.470,1,0,18.995,0,0,12,4,0,3,0
11-03 09:53:41,9.524,21.053,69.173,0,0.251,444051456,4337664000,172314624,3138236416,7694,31404,0,12288,0,3,2562,5910,0.710,0.610,0.470,3,0,453,0,0,12,4,0,3,0
11-03 09:53:42,11.480,22.704,65.816,0,0,443904000,4337332224,172314624,3138674688,14064,13792,0,32768,0,8,3390,6460,0.710,0.610,0.470,2,0,383,0,0,12,4,0,3,0
11-03 09:53:43,8.418,13.776,77.551,0,0.255,576061440,4204707840,172314624,3266732032,8671,5254,0,3473408,0,12,3524,4489,0.710,0.610,0.470,1,0,189,0,0,14,6,0,3,0
11-03 09:53:44,16.625,10.327,72.796,0,0.252,603906048,4176670720,172314624,3266891776,6882,16788,0,0,0,0,1567,3144,0.730,0.620,0.470,1,0,190,0,0,14,6,0,5,0
11-03 09:53:45,21.303,3.258,73.684,1.754,0,647122944,4132102144,172326912,3267956736,6491,2160,151552,1032192,12,3,670,723,0.730,0.620,0.470,2,0,1,0,0,14,6,0,5,0
11-03 09:53:46,11.250,4.250,72,12.250,0.250,666583040,4110430208,172699648,3269648384,16606,138042,12288,7573504,1,554,3481,6564,0.730,0.620,0.470,1,0,0,0,0,14,8,0,5,0
11-03 09:53:47,8.696,4.859,72.634,13.555,0.256,670818304,4035936256,173260800,3337846784,6309,6758,0,76828672,0,871,4717,8545,0.730,0.620,0.470,2,0,0,0,0,14,8,0,5,0
11-03 09:53:48,12.250,4,71,12.750,0,673673216,4031696896,173944832,3338481664,6277,5204,0,9449472,0,800,4146,8511,0.730,0.620,0.470,1,0,0,0,0,14,8,0,5,0
11-03 09:53:49,17.337,5.528,69.347,7.538,0.251,675872768,4027981824,174477312,3339431936,11436,331504,0,9326592,0,752,5920,13813,0.760,0.620,0.470,3,0,0,0,0,14,8,0,5,0
11-03 09:53:50,10.354,4.798,71.212,13.384,0.253,677945344,4024475648,175091712,3340152832,6108,12122,0,9797632,0,796,3265,8003,0.760,0.620,0.470,1,0,0,0,0,14,8,0,5,0
11-03 09:53:51,14.963,5.237,69.825,9.975,0,680181760,4020412416,175607808,3341373440,13927,202672,0,7835648,0,601,4621,13103,0.760,0.620,0.470,5,0,0,0,0,14,8,0,5,0
11-03 09:53:52,16.583,5.528,70.101,7.538,0.251,682463232,4016500736,175992832,3342557184,11872,617570,0,7430144,0,528,5198,16506,0.760,0.620,0.470,0,1,2,0,0,14,8,0,5,0
11-03 09:53:53,12.911,5.570,69.620,11.899,0,683147264,4015013888,176455680,3342880768,7308,16904,0,45252608,0,1032,4333,11891,0.760,0.620,0.470,0,1,0,0,0,14,8,0,5,0
11-03 09:53:54,19.298,6.266,73.183,1.003,0.251,616591360,4081524736,176504832,3342872576,7761,11830,0,843776,0,63,1454,2647,0.780,0.630,0.480,1,0,78,0,0,14,6,0,6,0
11-03 09:53:55,23.559,3.008,72.932,0.501,0,679043072,4018573312,176545792,3343323136,6489,2052,0,6868992,0,76,873,1278,0.780,0.630,0.480,2,0,1,0,0,14,6,0,6,0
11-03 09:53:56,23.058,3.509,72.682,0.752,0,638685184,4058345472,176599040,3343851520,8468,4418,0,7004160,0,66,944,1465,0.780,0.630,0.480,2,0,12,0,0,14,6,0,6,0
11-03 09:53:57,22.418,4.282,72.544,0.756,0,605814784,4089769984,176685056,3345162240,14954,3944,0,6488064,0,142,1313,2103,0.780,0.630,0.480,2,0,63,0,0,14,6,0,6,0
11-03 09:53:58,9.799,23.116,65.829,1.005,0.251,605802496,4088758272,176685056,3346178048,7337,21926,0,35676160,0,426,3263,6031,0.780,0.630,0.480,2,0,517,0,0,14,6,0,6,0
11-03 09:53:59,28.463,18.136,53.149,0,0.252,637329408,4056657920,176685056,3346993152,7385,12146,0,12288,0,3,3922,6499,0.950,0.670,0.490,2,0,294,0,0,14,8,0,6,0
11-03 09:54:00,44.862,5.764,49.123,0.251,0,725569536,3968315392,176685056,3347103744,5921,6516,131072,0,1,0,890,912,0.950,0.670,0.490,3,0,4,0,0,14,8,0,6,0
