-- Logs begin at Wed 2020-03-11 08:58:36 UTC, end at Wed 2020-03-11 10:04:59 UTC. --
Mar 11 09:53:40 cloud-provider1-0000013615 systemd[1]: Started Devstack devstack@dstat.service.
Mar 11 09:53:40 cloud-provider1-0000013615 dstat.sh[30500]: [286B blob data]
Mar 11 09:53:40 cloud-provider1-0000013615 dstat.sh[30500]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 11 09:53:40 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:40|  5   2  93   1   0| 427M 4134M  164M 2992M|   0     0 |  98k 2862k|3.63  26.1 | 855  1448 |0.71 0.61 0.47|2.0   0  19|   0     0 |systemd              1    0.1%   0    0 |bash                 2118 2203k1918k0.1%|mysqld       173M|   0     0 |  12    4    0    3    0
Mar 11 09:53:41 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:41| 10  21  69   0   0| 423M 4137M  164M 2993M|7994B   31k|   0    80k|   0  5.00 |2601  5969 |0.71 0.61 0.47|1.0   0 464|   0     0 |bash                 2118 3.5%1588k  29k|bash                 2118 1588k  29k3.5%|mysqld       173M|   0     0 |  12    4    0    3    0
Mar 11 09:53:42 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:42| 11  23  65   0   0| 423M 4136M  164M 2993M|  14k   13k|   0    36k|   0  9.00 |3296  6300 |0.71 0.61 0.47|  0   0 386|   0     0 |systemd              1    3.5%   0    0 |bash                 2118 3099k  25k2.2%|mysqld       173M|   0     0 |  12    4    0    3    0
Mar 11 09:53:43 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:43|  8  13  78   0   0| 550M 4010M  164M 3115M|8561B 5254B|   0  3392k|   0  12.0 |3588  4656 |0.71 0.61 0.47|1.0   0 179|   0     0 |systemd              1    5.8%   0    0 |bash                 2118  493k6249B0.8%|mysqld       173M|   0     0 |  14    6    0    3    0
Mar 11 09:53:44 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:44| 17  10  73   0   0| 574M 3985M  164M 3116M|6992B   16k|   0     0 |   0     0 |1604  3205 |0.73 0.62 0.47|1.0   0 200|   0     0 |keystone-manage      31815 14%6117k  79k|keystone-manage      318156117k  79k 14%|mysqld       173M|   0     0 |  14    6    0    5    0
Mar 11 09:53:45 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:45| 21   3  74   2   0| 617M 3941M  164M 3117M|6201B 2106B| 148k    0 |12.0     0 | 661   720 |0.73 0.62 0.47|1.0   0 1.0|   0     0 |keystone-manage      31815 23%  10M 520k|keystone-manage      31815  10M 520k 23%|mysqld       173M|   0     0 |  14    6    0    5    0
Mar 11 09:53:46 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:46| 11   4  72  12   0| 635M 3920M  165M 3118M|  16k  135k|  12k 8076k|1.00   520 |3326  6213 |0.73 0.62 0.47|2.0   0   0|   0     0 |keystone-manage      318158.0%1138k 242k|keystone-manage      318151138k 242k8.0%|mysqld       188M|   0     0 |  14    8    0    5    0
Mar 11 09:53:47 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:47|  9   5  73  14   0| 640M 3849M  165M 3183M|6605B 6974B|   0    73M|   0   885 |4782  8698 |0.73 0.62 0.47|  0 1.0   0|   0     0 |mysqld               297748.0%   0    0 |keystone-manage      31815  25k  15k4.0%|mysqld       192M|   0     0 |  14    8    0    5    0
Mar 11 09:53:48 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:48| 11   4  71  13   0| 642M 3845M  166M 3184M|6277B 5204B|   0  9256k|   0   801 |4118  8472 |0.73 0.62 0.47|2.0 1.0   0|   0     0 |keystone-manage      318156.5%  26k  15k|keystone-manage      31815  26k  15k6.5%|mysqld       195M|   0     0 |  14    8    0    5    0
Mar 11 09:53:49 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:49| 18   6  69   8   0| 645M 3841M  166M 3185M|  11k  324k|   0  9072k|   0   763 |6001    14k|0.76 0.62 0.47|1.0   0   0|   0     0 |keystone-manage      31815 11%  54k 318k|python               6043  294k 611k1.2%|mysqld       196M|   0     0 |  14    8    0    5    0
Mar 11 09:53:50 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:50| 10   5  71  13   0| 646M 3838M  167M 3186M|5979B   12k|   0  9608k|   0   791 |3237  7992 |0.76 0.62 0.47|  0 1.0   0|   0     0 |mysqld               297747.0%   0    0 |keystone-manage      31815  29k  19k6.0%|mysqld       198M|   0     0 |  14    8    0    5    0
Mar 11 09:53:51 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:51| 15   5  70  10   0| 649M 3834M  167M 3187M|  13k  198k|   0  7640k|   0   608 |4628    13k|0.76 0.62 0.47|1.0   0   0|   0     0 |keystone-manage      318159.0%  36k 368k|python               6043  355k 738k1.5%|mysqld       199M|   0     0 |  14    8    0    5    0
Mar 11 09:53:52 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:52| 17   6  70   7   0| 651M 3830M  168M 3188M|  12k  603k|   0  7100k|   0   521 |5216    17k|0.76 0.62 0.47|1.0   0 2.0|   0     0 |keystone-manage      31815 12%  71k 392k|tail                 9023  585k 585k0.2%|mysqld       200M|   0     0 |  14    8    0    5    0
Mar 11 09:53:53 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:53| 13   6  69  12   0| 651M 3829M  168M 3188M|7944B   17k|   0    43M|   0  1012 |4292    12k|0.76 0.62 0.47|  0 1.0   0|   0     0 |keystone-manage      318158.2%  47k  33k|keystone-manage      31815  47k  33k8.2%|mysqld       200M|   0     0 |  14    8    0    5    0
Mar 11 09:53:54 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:54| 19   6  74   1   0| 588M 3893M  168M 3188M|7465B   11k|   0  1192k|   0  99.0 |1553  2931 |0.78 0.63 0.48|1.0   0  78|   0     0 |keystone-manage      318969.5%2352k  37k|bash                 2118   18M2010k0.8%|mysqld       201M|   0     0 |  14    6    0    6    0
Mar 11 09:53:55 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:55| 24   3  73   1   0| 648M 3832M  168M 3188M|6367B 2106B|   0  6708k|   0  76.0 | 872  1280 |0.78 0.63 0.48|1.0   0 1.0|   0     0 |keystone-manage      31896 25%  14M  38k|keystone-manage      31896  14M  38k 25%|mysqld       201M|   0     0 |  14    6    0    6    0
Mar 11 09:53:56 cloud-provider1-0000013615 dstat.sh[30500]: 11-03 09:53:56| 23   4  73   1   0| 608M 3871M  168M 3189M|8794B 4580B|   0  6840k|   0  66.0 | 949  1468 |0.78 0.63 0.48|1.0   0  12|   0     0 |keystone-manage      31908 20%7595k  73k|bash                 2118   17M  76k  0%|mysqld       201M|   0     0 |  14    6    0    6    0
