"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000307",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Apr 2020 02:13:41 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-04 02:13:41,0.785,0.259,98.818,0.096,0.041,444575744,4211822592,152113152,3302232064,0,0,17465.714,484496.801,0.621,4.197,303.402,338.892,0.510,0.530,0.340,3,0,2.950,0,0,12,3,0,4,0
17-04 02:13:42,9.848,21.212,68.687,0,0.253,445665280,4209991680,152117248,3302621184,6131,2160,24576,163840,1,9,2639,4796,0.630,0.560,0.350,3,0,476,0,0,12,3,0,4,0
17-04 02:13:43,12.690,19.797,67.259,0,0.254,444768256,4210470912,152117248,3302977536,8450,2160,0,32768,0,8,2903,5056,0.630,0.560,0.350,1,0,354,0,0,12,3,0,4,0
17-04 02:13:44,11.839,19.647,68.262,0,0.252,577998848,4076752896,152117248,3431165952,9069,2106,0,0,0,0,4328,6770,0.630,0.560,0.350,1,0,310,0,0,14,5,0,4,0
17-04 02:13:45,19.347,6.281,73.869,0.503,0,619642880,4034863104,152117248,3431395328,13957,1998,98304,487424,4,3,1128,1490,0.630,0.560,0.350,1,0,71,0,0,14,5,0,6,0
17-04 02:13:46,22.333,3.226,73.201,1.241,0,659378176,3993677824,152145920,3432816640,6907,2106,110592,2416640,10,35,853,2061,0.630,0.560,0.350,2,1,0,0,0,14,7,0,6,0
17-04 02:13:47,4.884,3.599,74.293,16.967,0.257,663810048,3987116032,152629248,3434340352,7531,2214,0,10100736,0,844,4116,6802,0.740,0.580,0.360,1,0,0,0,0,14,7,0,6,0
17-04 02:13:48,7.342,4.810,73.165,14.684,0,666849280,3913871360,153292800,3502317568,15922,2160,0,73764864,0,559,3268,5198,0.740,0.580,0.360,0,1,0,0,0,14,7,0,6,0
17-04 02:13:49,9.320,4.786,70.781,14.861,0.252,669360128,3910078464,153944064,3502866432,8312,2160,0,8982528,0,750,4220,7020,0.740,0.580,0.360,0,1,2,0,0,14,7,0,6,0
17-04 02:13:50,9.572,5.290,61.461,23.426,0.252,670527488,3908050944,154296320,3503321088,7654,2160,0,87793664,0,955,3465,6394,0.740,0.580,0.360,3,0,0,0,0,14,7,0,6,0
17-04 02:13:51,11.028,5.514,69.674,13.784,0,672485376,3904540672,154816512,3504246784,13214,2160,0,8687616,0,685,4829,8076,0.740,0.580,0.360,0,1,0,0,0,14,7,0,6,0
17-04 02:13:52,11.471,4.489,70.574,13.217,0.249,674316288,3901816832,155320320,3504615424,10271,2160,0,9457664,0,744,4255,8050,0.840,0.610,0.370,1,0,0,0,0,14,7,0,6,0
17-04 02:13:53,16.794,4.071,70.992,7.888,0.254,676216832,3898339328,155545600,3505930240,10997,2160,0,6447104,0,486,3824,12268,0.840,0.610,0.370,1,0,0,0,0,14,7,0,6,0
