-- Logs begin at Fri 2020-03-27 17:54:10 UTC, end at Fri 2020-03-27 23:26:37 UTC. --
Mar 27 22:54:22 cloud-provider-iscsi-0000000056 systemd[1]: Started Devstack devstack@dstat.service.
Mar 27 22:54:22 cloud-provider-iscsi-0000000056 dstat.sh[24876]: [286B blob data]
Mar 27 22:54:22 cloud-provider-iscsi-0000000056 dstat.sh[24876]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 27 22:54:22 cloud-provider-iscsi-0000000056 dstat.sh[24876]: 27-03 22:54:22|  1   0  99   0   0| 421M 4233M  170M 2902M|   0     0 |  18k  516k|0.68  4.79 | 316   384 |0.67 0.58 0.42|2.0   0 3.2|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2365  379k 332k0.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 27 22:54:23 cloud-provider-iscsi-0000000056 dstat.sh[24876]: 27-03 22:54:23|  9  22  69   0   0| 421M 4232M  170M 2902M|8009B 2160B|   0   156k|   0  6.00 |2452  5000 |0.67 0.58 0.42|1.0   0 462|   0     0 |bash                 2365 3.5%1677k  29k|bash                 2365 1677k  29k3.5%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 27 22:54:24 cloud-provider-iscsi-0000000056 dstat.sh[24876]: 27-03 22:54:24| 14  20  65   0   0| 428M 4225M  170M 2903M|8819B 2160B|   0  3064k|   0  18.0 |4105  8475 |0.67 0.58 0.42|8.0   0 401|   0     0 |systemd              1    3.8%   0    0 |bash                 2365 2983k  24k2.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 27 22:54:25 cloud-provider-iscsi-0000000056 dstat.sh[24876]: 27-03 22:54:25|  8   7  85   0   0| 546M 4106M  170M 3025M|8433B 2202B|   0     0 |   0     0 |2385  2925 |0.62 0.57 0.42|  0   0  61|   0     0 |systemd              1    5.5%   0    0 |bash                 2365  246k 656B  0%|mysqld       173M|   0     0 |  14    3    0    3    0
Mar 27 22:54:26 cloud-provider-iscsi-0000000056 dstat.sh[24876]: 27-03 22:54:26| 11  13  76   0   0| 558M 4094M  170M 3025M|7278B 2052B|   0     0 |   0     0 |1875  3673 |0.62 0.57 0.42|1.0   0 296|   0     0 |keystone-manage      261875.2%2175k  79k|keystone-manage      261872175k  79k5.2%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 27 22:54:27 cloud-provider-iscsi-0000000056 dstat.sh[24876]: 27-03 22:54:27| 22   4  74   1   0| 596M 4056M  170M 3025M|7028B 2214B|  88k    0 |4.00     0 | 740   776 |0.62 0.57 0.42|1.0   0 3.0|   0     0 |keystone-manage      26187 24%9639k 175k|keystone-manage      261879639k 175k 24%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 27 22:54:28 cloud-provider-iscsi-0000000056 dstat.sh[24876]: 27-03 22:54:28| 17   4  74   5   0| 631M 4019M  170M 3027M|5847B 2052B|  72k 3776k|9.00   120 |1545  3011 |0.62 0.57 0.42|1.0 1.0   0|   0     0 |keystone-manage      26187 17%5783k 586k|keystone-manage      261875783k 586k 17%|mysqld       186M|   0     0 |  14    7    0    5    0
Mar 27 22:54:29 cloud-provider-iscsi-0000000056 dstat.sh[24876]: 27-03 22:54:29|  9   7  73  10   0| 637M 3946M  170M 3092M|5990B 2160B|   0    43M|   0  1027 |5055  9615 |0.62 0.57 0.42|1.0 1.0   0|   0     0 |mysqld               241539.8%   0    0 |keystone-manage      26187  20k  12k4.5%|mysqld       192M|   0     0 |  14    7    0    5    0
Mar 27 22:54:30 cloud-provider-iscsi-0000000056 dstat.sh[24876]: 27-03 22:54:30| 10   3  73  14   0| 639M 3942M  171M 3093M|6653B 2106B|   0    40M|   0   583 |2930  5418 |0.65 0.57 0.42|3.0   0   0|   0     0 |keystone-manage      261875.5%  16k  10k|keystone-manage      26187  16k  10k5.5%|mysqld       193M|   0     0 |  14    7    0    5    0
Mar 27 22:54:31 cloud-provider-iscsi-0000000056 dstat.sh[24876]: 27-03 22:54:31| 10   5  71  14   0| 641M 3940M  171M 3093M|6566B 2160B|   0  8524k|   0   699 |4008  7703 |0.65 0.57 0.42|2.0   0   0|   0     0 |mysqld               241537.8%   0    0 |keystone-manage      26187  31k  18k5.2%|mysqld       195M|   0     0 |  14    7    0    5    0
Mar 27 22:54:32 cloud-provider-iscsi-0000000056 dstat.sh[24876]: 27-03 22:54:32| 14   5  70  11   0| 642M 3937M  172M 3094M|  17k 2160B|   0  7120k|   0   599 |4841    11k|0.65 0.57 0.42|1.0 1.0   0|   0     0 |keystone-manage      261878.5%  39k 309k|python               5423  291k 605k1.2%|mysqld       196M|   0     0 |  14    7    0    5    0
