"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000196",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","08 Apr 2020 10:21:20 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
08-04 10:21:20,3.700,1.261,94.500,0.488,0.051,443772928,4658143232,150888448,2864988160,0,0,87689.129,2327846.474,3.129,20.112,780.096,1255.402,0.820,0.720,0.520,2,0,16.233,0,0,12,3,0,4,0
08-04 10:21:21,10.327,20.403,69.270,0,0,442478592,4658765824,150896640,2865262592,8977,2160,24576,77824,1,7,2557,4691,0.820,0.720,0.520,3,0,464,0,0,12,3,0,4,0
08-04 10:21:22,13.671,20.253,66.076,0,0,446369792,4654575616,150896640,2865729536,9645,2160,0,32768,0,8,3367,6270,0.820,0.720,0.520,4,0,368,0,0,12,3,0,4,0
08-04 10:21:23,8.081,6.313,85.606,0,0,574869504,4525555712,150896640,2993676288,13640,2160,0,0,0,0,2163,3830,0.820,0.720,0.520,1,0,63,0,0,14,3,0,4,0
08-04 10:21:24,11.307,12.563,76.131,0,0,586424320,4513812480,150900736,2993774592,7498,2160,0,0,0,0,1934,3271,0.830,0.720,0.520,5,0,297,0,0,14,5,0,6,0
08-04 10:21:25,22.362,2.764,74.121,0.503,0.251,628916224,4470829056,150900736,2994266112,15798,1836,122880,0,7,0,680,740,0.830,0.720,0.520,2,0,0,0,0,14,5,0,6,0
08-04 10:21:26,11.675,3.807,71.574,12.944,0,658898944,4438999040,151007232,2995986432,8016,2268,86016,11620352,7,325,2262,3747,0.830,0.720,0.520,2,0,0,0,0,14,7,0,6,0
08-04 10:21:27,8.500,3.750,72,15.750,0,663322624,4433096704,151547904,2996842496,14723,2106,0,9416704,0,838,4208,8959,0.830,0.720,0.520,4,0,0,0,0,14,7,0,6,0
08-04 10:21:28,4.786,4.282,73.552,17.380,0,665370624,4361179136,151851008,3064893440,11331,2214,0,72364032,0,454,2402,4177,0.830,0.720,0.520,1,1,0,0,0,14,7,0,6,0
08-04 10:21:29,9.572,4.786,71.537,13.854,0.252,667475968,4358000640,152379392,3065368576,14032,2160,0,8912896,0,756,4522,8600,0.850,0.730,0.530,1,1,0,0,0,14,7,0,6,0
08-04 10:21:30,14.677,4.726,69.652,10.945,0,669257728,4354703360,152969216,3066257408,6126,2254,0,8339456,0,688,5317,12649,0.850,0.730,0.530,2,0,0,0,0,14,7,0,6,0
08-04 10:21:31,8.861,3.797,72.152,15.190,0,671576064,4351303680,153391104,3066908672,7074,2106,0,8151040,0,623,3468,7959,0.850,0.730,0.530,1,1,0,0,0,14,7,0,6,0
08-04 10:21:32,5.852,7.888,62.595,23.664,0,672161792,4350251008,153706496,3067039744,8304,2214,0,82350080,0,658,2178,3616,0.850,0.730,0.530,2,0,0,0,0,14,7,0,6,0
08-04 10:21:33,13.930,3.980,70.149,11.692,0.249,674078720,4346949632,154152960,3067932672,7423,2160,0,6094848,0,471,3821,9545,0.850,0.730,0.530,4,0,0,0,0,14,7,0,6,0
08-04 10:21:34,18.926,3.836,71.355,5.882,0,674689024,4345167872,154361856,3068862464,8605,2160,0,3649536,0,219,4929,13083,0.940,0.750,0.540,2,0,2,0,0,14,7,0,6,0
08-04 10:21:35,13.111,4.627,70.951,11.054,0.257,675799040,4343123968,154750976,3069345792,7382,2168,0,8495104,0,682,4569,10907,0.940,0.750,0.540,2,0,0,0,0,14,7,0,6,0
08-04 10:21:36,16.919,3.788,70.960,8.333,0,676020224,4342321152,155078656,3069583360,6249,2052,0,5885952,0,421,3678,8618,0.940,0.750,0.540,2,0,0,0,0,14,5,0,7,0
08-04 10:21:37,20.960,5.808,67.929,5.051,0.253,645316608,4372488192,155115520,3070083072,5694,2160,0,14827520,0,533,2086,2070,0.940,0.750,0.540,2,0,78,0,0,14,5,0,7,0
08-04 10:21:38,23.929,3.023,72.544,0.504,0,606224384,4411027456,155176960,3070636032,7473,2160,0,7032832,0,66,913,1323,0.940,0.750,0.540,2,0,10,0,0,14,5,0,7,0
08-04 10:21:39,23.559,3.008,71.679,1.504,0.251,650387456,4365553664,155230208,3071893504,23305,2106,0,6381568,0,137,1119,1728,1.020,0.770,0.540,2,0,1,0,0,14,5,0,7,0
08-04 10:21:40,18.892,8.312,72.796,0,0,603541504,4412280832,155234304,3071971328,10293,2214,0,86016,0,6,1455,2287,1.020,0.770,0.540,2,0,168,0,0,14,5,0,7,0
08-04 10:21:41,11.168,21.574,67.259,0,0,604053504,4410675200,155234304,3073019904,9065,2160,0,40960,0,10,2816,5758,1.020,0.770,0.540,3,0,491,0,0,14,5,0,7,0
08-04 10:21:42,32.080,17.043,50.627,0,0.251,647806976,4366340096,155234304,3073966080,7810,2160,0,4096,0,1,3210,6294,1.020,0.770,0.540,3,0,215,0,0,14,7,0,7,0
08-04 10:21:43,46.851,3.275,49.622,0.252,0,737333248,4276355072,155242496,3074359296,11675,2160,151552,0,5,0,994,805,1.020,0.770,0.540,3,0,0,0,0,14,7,0,7,0
08-04 10:21:44,39.702,11.663,48.635,0,0,775757824,4235395072,155242496,3076493312,5983,2160,0,0,0,0,2267,7892,0.940,0.760,0.540,2,0,156,0,0,13,5,0,8,0
08-04 10:21:45,24.372,3.518,72.111,0,0,825479168,4185579520,155242496,3076464640,7098,2160,0,0,0,0,929,988,0.940,0.760,0.540,2,0,15,0,0,14,5,0,8,0
08-04 10:21:46,23.058,3.509,72.431,0.752,0.251,859430912,4151570432,155291648,3076448256,5558,1944,0,1347584,0,61,1203,1901,0.940,0.760,0.540,2,0,2,0,0,14,11,0,8,0
08-04 10:21:47,23.174,3.526,73.300,0,0,803987456,4206956544,155295744,3076501504,6863,2160,0,9113600,0,124,1081,1230,0.940,0.760,0.540,2,0,53,0,0,14,5,0,11,0
08-04 10:21:48,21.053,3.509,73.684,1.754,0,834002944,4176863232,155295744,3076509696,6482,2106,32768,335872,8,1,949,1297,0.940,0.760,0.540,1,1,0,0,0,14,17,0,13,0
08-04 10:21:49,18.136,3.778,72.796,5.290,0,802512896,4208222208,155312128,3076603904,6718,2214,40960,1425408,10,15,1254,1748,1.110,0.800,0.550,2,0,61,0,0,14,29,0,16,0
08-04 10:21:50,23.618,2.261,73.618,0.251,0.251,841814016,4168785920,155316224,3076734976,6464,2160,0,1933312,0,60,965,1353,1.110,0.800,0.550,2,0,1,0,0,14,31,0,19,0
08-04 10:21:51,21.914,5.793,72.292,0,0,827068416,4183506944,155316224,3076759552,7343,2160,0,0,0,0,1154,1693,1.110,0.800,0.550,2,0,100,0,0,14,29,0,21,0
08-04 10:21:52,23.500,3.250,73.250,0,0,803020800,4207185920,155316224,3077124096,6437,2160,0,0,0,0,1304,1940,1.110,0.800,0.550,4,0,21,0,0,14,29,0,29,0
08-04 10:21:53,22.750,3.250,73.750,0,0.250,842010624,4168183808,155320320,3077132288,6703,2160,0,3043328,0,38,763,1008,1.110,0.800,0.550,2,0,1,0,0,14,29,0,31,0
08-04 10:21:54,23.058,5.514,71.178,0.251,0,819232768,4190887936,155336704,3077152768,13318,2160,0,147456,0,14,1400,2270,1.100,0.800,0.560,2,0,76,0,0,14,29,0,37,0
08-04 10:21:55,23.426,2.519,74.055,0,0,847749120,4162351104,155336704,3077169152,5923,2160,0,0,0,0,967,1335,1.100,0.800,0.560,2,0,0,0,0,14,31,0,42,0
08-04 10:21:56,20.050,7.018,72.682,0,0.251,825405440,4184530944,155336704,3077332992,5687,1944,0,0,0,0,1282,1921,1.100,0.800,0.560,2,0,101,0,0,14,29,0,45,0
08-04 10:21:57,23.174,3.023,73.804,0,0,797065216,4212871168,155336704,3077332992,6412,2106,0,0,0,0,953,1207,1.100,0.800,0.560,2,0,16,0,0,14,29,0,50,0
08-04 10:21:58,22.055,4.511,73.183,0,0.251,837197824,4172709888,155340800,3077353472,14956,2160,0,1560576,0,83,1097,1240,1.100,0.800,0.560,2,0,53,0,0,14,29,0,50,0
08-04 10:21:59,22.556,4.261,72.932,0.251,0,808923136,4200935424,155344896,3077378048,5672,2214,0,36864,0,3,1291,1941,1.010,0.790,0.550,2,0,70,0,0,14,29,0,56,0
08-04 10:22:00,22.864,3.266,73.869,0,0,851099648,4158754816,155348992,3077378048,6459,2160,0,241664,0,15,728,853,1.010,0.790,0.550,2,0,1,0,0,14,31,0,57,0
08-04 10:22:01,22.306,4.762,72.431,0.251,0.251,831320064,4178362368,155373568,3077525504,6458,2160,0,606208,0,29,1260,1873,1.010,0.790,0.550,2,0,69,0,0,14,29,0,60,0
08-04 10:22:02,18.342,2.261,66.332,13.065,0,851210240,4158455808,155381760,3077533696,7430,2160,0,2199552,0,140,1086,1110,1.010,0.790,0.550,2,0,2,0,0,14,29,0,64,0
08-04 10:22:03,21.106,5.779,72.362,0.754,0,836313088,4173340672,155385856,3077541888,14004,2160,0,2564096,0,16,1021,1318,1.010,0.790,0.550,3,1,73,0,0,14,29,0,64,0
08-04 10:22:04,21.053,6.266,72.180,0.251,0.251,812834816,4196790272,155389952,3077566464,7412,2202,0,421888,0,11,1229,1847,1.010,0.790,0.560,2,0,79,0,0,14,29,0,68,0
