-- Logs begin at Wed 2020-04-08 09:17:40 UTC, end at Wed 2020-04-08 10:52:48 UTC. --
Apr 08 10:21:19 cloud-provider-iscsi-0000000196 systemd[1]: Started Devstack devstack@dstat.service.
Apr 08 10:21:20 cloud-provider-iscsi-0000000196 dstat.sh[29695]: [286B blob data]
Apr 08 10:21:20 cloud-provider-iscsi-0000000196 dstat.sh[29695]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 08 10:21:20 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:20|  4   1  95   0   0| 423M 4442M  144M 2732M|   0     0 |  86k 2273k|3.13  20.1 | 780  1255 |0.82 0.72 0.52|2.0   0  16|   0     0 |systemd              1    0.1%   0    0 |bash                 2210 1626k1513k0.1%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 08 10:21:21 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:21| 10  20  69   0   0| 422M 4443M  144M 2733M|8977B 2160B|  24k   76k|1.00  7.00 |2553  4672 |0.82 0.72 0.52|1.0   0 464|   0     0 |bash                 2210 3.5%1970k  30k|bash                 2210 1970k  30k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 08 10:21:22 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:22| 13  20  66   0   0| 428M 4436M  144M 2733M|9645B 2160B|   0    32k|   0  8.00 |3372  6291 |0.82 0.72 0.52|1.0   0 369|   0     0 |systemd              1    3.0%   0    0 |bash                 2210 2649k  22k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 08 10:21:23 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:23|  8   6  85   0   0| 548M 4316M  144M 2855M|  13k 2160B|   0     0 |   0     0 |2161  3817 |0.82 0.72 0.52|  0   0  63|   0     0 |systemd              1    6.8%   0    0 |bash                 2210  246k 656B  0%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 08 10:21:24 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:24| 11  13  76   0   0| 559M 4305M  144M 2855M|7202B 1890B|   0     0 |   0     0 |1929  3279 |0.83 0.72 0.52|3.0   0 297|   0     0 |keystone-manage      310145.5%2151k  79k|keystone-manage      310142151k  79k5.5%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 08 10:21:25 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:25| 23   3  74   1   0| 600M 4264M  144M 2856M|  16k 2106B| 120k    0 |7.00     0 | 683   741 |0.83 0.72 0.52|1.0   0   0|   0     0 |keystone-manage      31014 24%  11M 153k|keystone-manage      31014  11M 153k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 08 10:21:26 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:26| 12   4  72  13   0| 628M 4233M  144M 2857M|7956B 2268B|  84k   11M|7.00   321 |2236  3708 |0.83 0.72 0.52|  0 1.0   0|   0     0 |keystone-manage      31014 11%3619k 548k|keystone-manage      310143619k 548k 11%|mysqld       187M|   0     0 |  14    7    0    6    0
Apr 08 10:21:27 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:27|  9   4  72  16   0| 633M 4228M  145M 2858M|  14k 2106B|   0  9204k|   0   840 |4208  8880 |0.83 0.72 0.52|1.0   0   0|   0     0 |mysqld               289665.8%   0    0 |keystone-manage      31014  16k9549B3.0%|mysqld       191M|   0     0 |  14    7    0    6    0
Apr 08 10:21:28 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:28|  5   4  74  17   0| 634M 4159M  145M 2923M|  11k 2214B|   0    69M|   0   451 |2412  4270 |0.83 0.72 0.52|2.0   0   0|   0     0 |mysqld               289664.8%   0    0 |keystone-manage      31014  13k8390B2.5%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 08 10:21:29 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:29| 10   5  71  14   0| 637M 4156M  145M 2923M|  14k 2160B|   0  8876k|   0   761 |4535  8617 |0.85 0.73 0.53|1.0   0   0|   0     0 |mysqld               289667.0%   0    0 |keystone-manage      31014  35k  19k5.0%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 08 10:21:30 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:30| 14   5  70  11   0| 638M 4153M  146M 2924M|6126B 2254B|   0  8084k|   0   678 |5290    13k|0.85 0.73 0.53|1.0   0   0|   0     0 |keystone-manage      310147.8%  41k 291k|python3.6            5963  272k 567k1.8%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 08 10:21:31 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:31|  9   4  72  15   0| 640M 4150M  146M 2925M|7074B 2106B|   0  8020k|   0   633 |3503  8067 |0.85 0.73 0.53|  0 1.0   0|   0     0 |mysqld               289665.8%   0    0 |keystone-manage      31014  28k  17k5.0%|mysqld       198M|   0     0 |  14    7    0    6    0
Apr 08 10:21:32 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:32|  6   8  63  24   0| 641M 4149M  147M 2925M|8304B 2214B|   0    79M|   0   658 |2160  3589 |0.85 0.73 0.53|2.0   0   0|   0     0 |mysqld               289668.5%   0    0 |python2              29786  14k 458B  0%|mysqld       198M|   0     0 |  14    7    0    6    0
Apr 08 10:21:33 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:33| 14   4  70  12   0| 643M 4146M  147M 2926M|7423B 2160B|   0  5952k|   0   471 |3835  9527 |0.85 0.73 0.53|3.0   0   0|   0     0 |keystone-manage      310147.8%  25k 271k|python3.6            5963  257k 534k2.2%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 08 10:21:34 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:34| 19   4  71   6   0| 643M 4144M  147M 2927M|8605B 2160B|   0  3564k|   0   219 |4928    13k|0.94 0.75 0.54|2.0   0 2.0|   0     0 |keystone-manage      31014 14%  63k 335k|python3.6            5963  278k 581k2.2%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 08 10:21:35 cloud-provider-iscsi-0000000196 dstat.sh[29695]: 08-04 10:21:35| 13   5  71  11   0| 644M 4142M  148M 2927M|7234B 2006B|   0  8296k|   0   681 |4559    11k|0.94 0.75 0.54|  0 1.0   0|   0     0 |keystone-manage      310147.8%  36k 120k|python3.6            5963  142k 297k0.8%|mysqld       200M|   0     0 |  14    7    0    6    0
