-- Logs begin at Mon 2020-03-16 19:56:30 UTC, end at Mon 2020-03-16 21:35:21 UTC. --
Mar 16 21:23:59 cloud-provider1-0000016591 systemd[1]: Started Devstack devstack@dstat.service.
Mar 16 21:23:59 cloud-provider1-0000016591 dstat.sh[30297]: [286B blob data]
Mar 16 21:23:59 cloud-provider1-0000016591 dstat.sh[30297]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 16 21:23:59 cloud-provider1-0000016591 dstat.sh[30297]: 16-03 21:23:59|  3   1  95   0   0| 418M 4138M  166M 2995M|   0     0 |  62k 1793k|2.27  16.3 | 600   931 |0.76 0.67 0.51|2.0   0  12|   0     0 |systemd              1    0.1%   0    0 |bash                 1961 1392k1213k0.1%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 16 21:24:00 cloud-provider1-0000016591 dstat.sh[30297]: 16-03 21:24:00| 10  21  69   0   0| 417M 4139M  166M 2995M|  10k 2160B|   0    72k|   0  6.00 |2764  5109 |0.76 0.67 0.51|1.0   0 496|   0     0 |bash                 1961 4.0%1709k  31k|bash                 1961 1709k  31k4.0%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 16 21:24:01 cloud-provider1-0000016591 dstat.sh[30297]: 16-03 21:24:01| 16  17  67   0   0| 418M 4137M  166M 2995M|6985B 2214B|   0    32k|   0  8.00 |3300  7017 |0.76 0.67 0.51|3.0   0 377|   0     0 |systemd              1    5.0%   0    0 |bash                 1961 3075k  23k1.8%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 16 21:24:02 cloud-provider1-0000016591 dstat.sh[30297]: 16-03 21:24:02|  7   8  85   0   0| 542M 4013M  166M 3117M|  16k 1944B|   0     0 |   0     0 |2690  5714 |0.76 0.67 0.51|2.0   0 129|   0     0 |systemd              1    3.2%   0    0 |bash                 1961  346k4932B0.8%|mysqld       174M|   0     0 |  14    5    0    3    0
Mar 16 21:24:03 cloud-provider1-0000016591 dstat.sh[30297]: 16-03 21:24:03| 15  12  73   0   0| 565M 3990M  166M 3117M|6917B 2160B|   0  8388k|   0   271 |2159  2764 |0.76 0.67 0.51|1.0   0 224|   0     0 |keystone-manage      31605 13%5272k  79k|keystone-manage      316055272k  79k 13%|mysqld       174M|   0     0 |  14    5    0    5    0
Mar 16 21:24:04 cloud-provider1-0000016591 dstat.sh[30297]: 16-03 21:24:04| 22   3  74   2   0| 608M 3946M  166M 3118M|7917B 2214B| 144k    0 |11.0     0 | 701   799 |0.78 0.67 0.51|1.0   0 1.0|   0     0 |keystone-manage      31605 23%  10M 311k|keystone-manage      31605  10M 311k 23%|mysqld       174M|   0     0 |  14    5    0    5    0
Mar 16 21:24:05 cloud-provider1-0000016591 dstat.sh[30297]: 16-03 21:24:05| 11   4  73  12   0| 629M 3923M  167M 3120M|5389B 2148B|  16k 7960k|2.00   509 |3091  4994 |0.78 0.67 0.51|1.0   0   0|   0     0 |keystone-manage      316059.2%1647k 450k|keystone-manage      316051647k 450k9.2%|mysqld       188M|   0     0 |  14    7    0    5    0
Mar 16 21:24:06 cloud-provider1-0000016591 dstat.sh[30297]: 16-03 21:24:06|  7   5  73  15   0| 633M 3852M  167M 3185M|6999B 2106B|   0    72M|   0   747 |3960  5914 |0.78 0.67 0.51|  0 1.0   0|   0     0 |mysqld               295766.8%   0    0 |keystone-manage      31605  23k  14k3.0%|mysqld       192M|   0     0 |  14    7    0    5    0
Mar 16 21:24:07 cloud-provider1-0000016591 dstat.sh[30297]: 16-03 21:24:07|  8   3  73  16   0| 635M 3848M  168M 3186M|5792B 2106B|   0  6836k|   0   584 |3074  5364 |0.78 0.67 0.51|  0 1.0   0|   0     0 |keystone-manage      316055.2%  18k  12k|keystone-manage      31605  18k  12k5.2%|mysqld       194M|   0     0 |  14    7    0    6    0
Mar 16 21:24:08 cloud-provider1-0000016591 dstat.sh[30297]: 16-03 21:24:08| 18   5  68   9   0| 638M 3844M  168M 3187M|6750B 2310B|   0    13M|   0   999 |5131    15k|0.78 0.67 0.51|1.0   0 2.0|   0     0 |keystone-manage      316059.8%  56k 317k|python               5878  293k 608k1.0%|mysqld       196M|   0     0 |  14    7    0    6    0
