-- Logs begin at Mon 2020-03-30 09:02:40 UTC, end at Mon 2020-03-30 16:19:41 UTC. --
Mar 30 15:49:36 cloud-provider-iscsi-0000000075 systemd[1]: Started Devstack devstack@dstat.service.
Mar 30 15:49:36 cloud-provider-iscsi-0000000075 dstat.sh[29623]: [286B blob data]
Mar 30 15:49:36 cloud-provider-iscsi-0000000075 dstat.sh[29623]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 30 15:49:36 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:36|  1   0  99   0   0| 422M 4475M  143M 2703M|   0     0 |  13k  350k|0.49  3.19 | 288   317 |0.74 0.70 0.51|2.0   0 2.5|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2458  252k 234k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 30 15:49:37 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:37|  9  22  69   0   0| 422M 4475M  143M 2704M|6422B 2160B|  24k  108k|1.00  9.00 |2917  5152 |0.74 0.70 0.51|2.0   0 487|   0     0 |bash                 2458 4.2%1807k  31k|bash                 2458 1807k  31k4.2%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 30 15:49:38 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:38| 13  20  67   0   0| 422M 4474M  143M 2704M|7398B 2160B|   0    32k|   0  8.00 |3172  5605 |0.74 0.70 0.51|  0   0 349|   0     0 |systemd              1    3.2%   0    0 |bash                 2458 2849k  23k1.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 30 15:49:39 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:39|  8   9  82   0   0| 547M 4348M  143M 2826M|6419B 2160B|   0     0 |   0     0 |2906  4309 |0.74 0.70 0.51|  0   0  82|   0     0 |systemd              1    6.2%   0    0 |bash                 2458  246k 656B0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 30 15:49:40 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:40| 11  14  75   0   0| 558M 4337M  143M 2826M|6202B 2160B|   0     0 |   0     0 |2220  3457 |0.68 0.69 0.51|1.0   0 296|   0     0 |keystone-manage      309345.2%2243k  79k|keystone-manage      309342243k  79k5.2%|mysqld       173M|   0     0 |  14    5    0    6    0
Mar 30 15:49:41 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:41| 22   3  74   1   0| 599M 4296M  143M 2827M|7919B 2160B| 120k  396k|7.00  19.0 | 751   784 |0.68 0.69 0.51|1.0   0 2.0|   0     0 |keystone-manage      30934 24%  10M 153k|keystone-manage      30934  10M 153k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Mar 30 15:49:42 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:42| 13   4  73  10   0| 627M 4265M  143M 2829M|  11k 2160B|  84k 5544k|7.00   299 |2075  4070 |0.68 0.69 0.51|1.0   0   0|   0     0 |keystone-manage      30934 12%3721k 548k|keystone-manage      309343721k 548k 12%|mysqld       187M|   0     0 |  14    7    0    6    0
Mar 30 15:49:43 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:43|  9   5  71  14   0| 633M 4193M  143M 2893M|  11k 2160B|   0    73M|   0   905 |3337  7969 |0.68 0.69 0.51|  0 1.0   0|   0     0 |mysqld               289058.2%   0    0 |keystone-manage      30934  20k  11k3.5%|mysqld       192M|   0     0 |  14    7    0    6    0
Mar 30 15:49:44 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:44|  7   3  73  17   0| 634M 4190M  144M 2894M|9769B 2052B|   0  7144k|   0   598 |3087  6233 |0.68 0.69 0.51|  0 1.0   0|   0     0 |mysqld               289054.0%   0    0 |keystone-manage      30934  20k  12k3.8%|mysqld       193M|   0     0 |  14    7    0    6    0
Mar 30 15:49:45 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:45| 18   5  69   9   0| 637M 4186M  144M 2895M|9287B 2106B|   0    11M|   0   962 |5570    15k|0.71 0.70 0.51|1.0   0   0|   0     0 |keystone-manage      30934 11%  52k 294k|python3.6            6208  273k 569k1.5%|mysqld       196M|   0     0 |  14    7    0    6    0
Mar 30 15:49:46 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:46|  7   5  64  24   0| 638M 4184M  144M 2896M|7002B 2106B|   0    83M|   0   843 |2810  5945 |0.71 0.70 0.51|  0 1.0   0|   0     0 |mysqld               289054.8%   0    0 |keystone-manage      30934  24k  17k3.8%|mysqld       197M|   0     0 |  14    7    0    6    0
Mar 30 15:49:47 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:47| 14   5  70  12   0| 641M 4180M  145M 2896M|8083B 2160B|   0    11M|   0   868 |5262    10k|0.71 0.70 0.51|2.0   0   0|   0     0 |mysqld               289058.2%   0    0 |keystone-manage      30934  32k  20k6.2%|mysqld       199M|   0     0 |  14    7    0    6    0
Mar 30 15:49:48 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:48| 17   6  70   7   0| 642M 4177M  145M 2897M|8743B 2160B|   0  5452k|   0   416 |4468    13k|0.71 0.70 0.51|1.0   0   0|   0     0 |keystone-manage      30934 12%  47k 354k|python3.6            6208  336k 701k2.5%|mysqld       199M|   0     0 |  14    7    0    6    0
Mar 30 15:49:49 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:49| 16   4  68  12   0| 644M 4174M  146M 2898M|7037B 2160B|   0  6976k|   0   512 |4996    13k|0.71 0.70 0.51|  0 1.0 2.0|   0     0 |keystone-manage      309349.2%  46k 352k|python3.6            6208  335k 699k1.8%|mysqld       200M|   0     0 |  14    7    0    6    0
Mar 30 15:49:50 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:50| 12   4  71  13   0| 643M 4174M  146M 2898M|8547B 2160B|   0  7908k|   0   591 |4293  8219 |0.73 0.70 0.52|1.0   0   0|   0     0 |keystone-manage      309346.8%  37k  24k|keystone-manage      30934  37k  24k6.8%|mysqld       200M|   0     0 |  14    7    0    6    0
Mar 30 15:49:51 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:51| 18   6  72   4   0| 585M 4232M  146M 2899M|7874B 2160B|   0  6892k|   0   282 |2847  4666 |0.73 0.70 0.52|1.0   0  80|   0     0 |keystone-manage      310166.2%2278k  37k|bash                 2458   17M1881k0.8%|mysqld       200M|   0     0 |  14    5    0    7    0
Mar 30 15:49:52 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:52| 23   3  72   1   0| 638M 4179M  146M 2899M|7402B 2160B|   0  7380k|   0   161 |1124  1387 |0.73 0.70 0.52|1.0   0   0|   0     0 |keystone-manage      31016 25%  14M   0 |keystone-manage      31016  14M   0  25%|mysqld       200M|   0     0 |  14    5    0    7    0
Mar 30 15:49:53 cloud-provider-iscsi-0000000075 dstat.sh[29623]: 30-03 15:49:53| 23   4  72   1   0| 620M 4197M  146M 2900M|  12k 2160B|   0  6852k|   0  69.0 |1052  1587 |0.73 0.70 0.52|1.0   0  11|   0     0 |keystone-manage      31029 21%  11M  37k|bash                 2458   16M  39k0.2%|mysqld       200M|   0     0 |  14    5    0    7    0
