-- Logs begin at Sat 2020-04-04 18:07:24 UTC, end at Mon 2020-04-06 10:54:00 UTC. --
Apr 06 10:23:02 cloud-provider-iscsi-0000000168 systemd[1]: Started Devstack devstack@dstat.service.
Apr 06 10:23:02 cloud-provider-iscsi-0000000168 dstat.sh[30942]: [286B blob data]
Apr 06 10:23:02 cloud-provider-iscsi-0000000168 dstat.sh[30942]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 06 10:23:02 cloud-provider-iscsi-0000000168 dstat.sh[30942]: 06-04 10:23:02|  0   0 100   0   0| 424M 4406M  164M 2734M|   0     0 |2454B   61k|0.11  0.60 | 201   169 |0.77 0.68 0.52|3.0   0 0.4|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 3407   43k  40k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 06 10:23:03 cloud-provider-iscsi-0000000168 dstat.sh[30942]: 06-04 10:23:03| 12  20  68   0   0| 425M 4404M  164M 2735M|8123B 2106B|  24k  100k|1.00  7.00 |2709  4935 |0.77 0.68 0.52|3.0   0 485|   0     0 |bash                 3407 3.8%1706k  31k|bash                 3407 1706k  31k3.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 06 10:23:04 cloud-provider-iscsi-0000000168 dstat.sh[30942]: 06-04 10:23:04| 11  22  66   0   0| 425M 4404M  164M 2735M|8714B 2052B|   0    32k|   0  8.00 |3145  5524 |0.77 0.68 0.52|3.0   0 351|   0     0 |systemd              1    2.8%   0    0 |bash                 3407 2956k  23k2.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 06 10:23:05 cloud-provider-iscsi-0000000168 dstat.sh[30942]: 06-04 10:23:05| 10  10  80   0   0| 550M 4278M  164M 2858M|6826B 2052B|   0     0 |   0     0 |3414  5206 |0.71 0.67 0.52|1.0   0  89|   0     0 |systemd              1    7.0%   0    0 |bash                 3407  246k 656B  0%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 06 10:23:06 cloud-provider-iscsi-0000000168 dstat.sh[30942]: 06-04 10:23:06|  7  13  80   0   0| 551M 4277M  164M 2858M|6108B 2214B|   0     0 |   0     0 |2008  3550 |0.71 0.67 0.52|2.0   0 296|   0     0 |bash                 3407 2.8% 608k  18k|bash                 3407  608k  18k2.8%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 06 10:23:07 cloud-provider-iscsi-0000000168 dstat.sh[30942]: 06-04 10:23:07| 23   3  74   1   0| 597M 4231M  164M 2858M|9360B 2160B|  96k    0 |4.00     0 | 732   773 |0.71 0.67 0.52|2.0   0 1.0|   0     0 |keystone-manage      32255 24%  11M 160k|keystone-manage      32255  11M 160k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 06 10:23:08 cloud-provider-iscsi-0000000168 dstat.sh[30942]: 06-04 10:23:08| 16   4  74   6   0| 631M 4196M  164M 2859M|  14k 2160B| 108k 4160k|10.0   178 |1531  3104 |0.71 0.67 0.52|1.0 1.0 2.0|   0     0 |keystone-manage      32255 17%5449k 621k|keystone-manage      322555449k 621k 17%|mysqld       186M|   0     0 |  14    7    0    6    0
Apr 06 10:23:09 cloud-provider-iscsi-0000000168 dstat.sh[30942]: 06-04 10:23:09|  8   4  72  15   0| 635M 4189M  165M 2861M|5947B 2202B|   0    10M|   0   897 |4078  8135 |0.71 0.67 0.52|4.0   0   0|   0     0 |mysqld               302206.5%   0    0 |keystone-manage      32255  12k7024B3.0%|mysqld       191M|   0     0 |  14    7    0    6    0
Apr 06 10:23:10 cloud-provider-iscsi-0000000168 dstat.sh[30942]: 06-04 10:23:10|  7   6  74  14   0| 638M 4120M  165M 2925M|5899B 2160B|   0    72M|   0   693 |3108  5979 |0.73 0.68 0.52|1.0 1.0   0|   0     0 |mysqld               302206.8%   0    0 |keystone-manage      32255  27k  16k4.0%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 06 10:23:11 cloud-provider-iscsi-0000000168 dstat.sh[30942]: 06-04 10:23:11| 11   5  70  13   0| 640M 4117M  166M 2926M|  15k 2160B|   0  9180k|   0   783 |4151  8632 |0.73 0.68 0.52|2.0 1.0   0|   0     0 |mysqld               302208.0%   0    0 |keystone-manage      32255  28k  16k5.0%|mysqld       195M|   0     0 |  14    7    0    6    0
