"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000127",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","01 Apr 2020 15:51:31 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-04 15:51:31,1.193,0.406,98.210,0.146,0.044,440885248,4696309760,150724608,2834898944,0,0,30029.033,784934.120,1.073,6.922,376.611,508.255,0.650,0.780,0.540,3,0,5.046,0,0,12,3,0,4,0
01-04 15:51:32,10.127,20,69.367,0,0.506,440954880,4695457792,150724608,2835243008,7522,2160,24576,274432,1,9,2680,4906,0.650,0.780,0.540,3,0,468,0,0,12,3,0,4,0
01-04 15:51:33,15.617,18.640,65.491,0,0.252,440406016,4695330816,150724608,2835820544,11667,2160,0,32768,0,8,3379,5831,0.650,0.780,0.540,2,0,356,0,0,12,3,0,4,0
01-04 15:51:34,9.391,11.168,79.442,0,0,571940864,4563226624,150724608,2963972096,6756,2160,0,0,0,0,3655,4979,0.680,0.780,0.540,1,0,101,0,0,14,3,0,4,0
01-04 15:51:35,10.777,13.534,75.439,0,0.251,584548352,4550582272,150728704,2963988480,5945,2160,0,0,0,0,2034,3470,0.680,0.780,0.540,2,0,296,0,0,14,5,0,6,0
01-04 15:51:36,22,3.250,73.500,1,0.250,620584960,4514189312,150728704,2964344832,7746,2160,122880,405504,7,21,728,797,0.680,0.780,0.540,2,0,0,0,0,14,5,0,6,0
01-04 15:51:37,15.578,3.266,72.864,8.291,0,656642048,4475981824,150904832,2966319104,6900,2160,86016,6537216,7,312,1757,3429,0.680,0.780,0.540,1,1,0,0,0,14,7,0,6,0
01-04 15:51:38,10.777,4.511,71.178,13.283,0.251,662659072,4399472640,151453696,3034628096,9706,2160,0,78368768,0,1027,5028,9523,0.680,0.780,0.540,2,0,0,0,0,14,7,0,6,0
01-04 15:51:39,11.959,5.852,70.483,11.705,0,666238976,4394016768,152281088,3035570176,15319,1944,0,12795904,0,1085,5940,11946,0.620,0.770,0.540,3,0,2,0,0,14,7,0,6,0
01-04 15:51:40,14.610,5.542,69.018,10.579,0.252,667820032,4390727680,152907776,3036614656,6721,2160,0,8327168,0,659,3912,11471,0.620,0.770,0.540,3,0,0,0,0,14,7,0,6,0
01-04 15:51:41,9.500,7.750,65.500,17,0.250,670167040,4386934784,153538560,3037396992,16072,2160,0,87805952,0,1194,4225,8509,0.620,0.770,0.540,3,0,0,0,0,14,7,0,6,0
01-04 15:51:42,18.342,4.271,67.839,9.548,0,672698368,4382908416,153989120,3038359552,8070,2106,0,8220672,0,626,4207,12256,0.620,0.770,0.540,4,0,0,0,0,14,7,0,6,0
01-04 15:51:43,20.308,5.656,68.380,5.398,0.257,674037760,4379840512,154456064,3039531008,7411,2214,0,6893568,0,482,4650,13758,0.620,0.770,0.540,2,0,0,0,0,14,7,0,6,0
01-04 15:51:44,15.617,4.030,70.025,10.327,0,674004992,4378935296,154877952,3040002048,8031,2160,0,8880128,0,661,4146,11579,0.730,0.790,0.550,1,1,0,0,0,14,7,0,6,0
01-04 15:51:45,18.500,6.250,72.500,2.500,0.250,619548672,4433412096,154996736,3039850496,7534,2202,0,2088960,0,157,2157,3571,0.730,0.790,0.550,2,0,78,0,0,14,5,0,7,0
01-04 15:51:46,20.403,2.771,67.758,9.068,0,654532608,4397887488,155017216,3040350208,8411,2160,0,13713408,0,181,1060,1229,0.730,0.790,0.550,2,1,0,0,0,14,5,0,7,0
01-04 15:51:47,23.559,2.757,73.183,0.251,0.251,635973632,4415885312,155037696,3040878592,8868,2160,0,7950336,0,72,1062,1309,0.730,0.790,0.550,2,0,11,0,0,14,5,0,7,0
01-04 15:51:48,20.301,7.519,71.429,0.752,0,601948160,4448481280,155115520,3042230272,8788,2160,0,6696960,0,148,1884,3055,0.730,0.790,0.550,2,0,157,0,0,14,5,0,7,0
01-04 15:51:49,11.196,21.120,67.684,0,0,601980928,4447617024,155115520,3043057664,4947,1944,0,196608,0,17,2891,6121,0.750,0.790,0.550,2,0,517,0,0,14,5,0,7,0
