-- Logs begin at Tue 2020-04-21 14:23:12 UTC, end at Wed 2020-04-22 07:42:20 UTC. --
Apr 22 07:10:58 cloud-provider-iscsi-0000000347 systemd[1]: Started Devstack devstack@dstat.service.
Apr 22 07:10:58 cloud-provider-iscsi-0000000347 dstat.sh[24804]: [286B blob data]
Apr 22 07:10:58 cloud-provider-iscsi-0000000347 dstat.sh[24804]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 22 07:10:58 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:10:58|  0   0 100   0   0| 425M 3979M  163M 3156M|   0     0 |5873B  152k|0.27  1.38 | 216   200 |0.63 0.55 0.37|2.0   0 0.9|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2862  120k 114k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 22 07:10:59 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:10:59| 10  21  69   0   0| 425M 3978M  163M 3157M|6349B 2214B|  24k  144k|1.00  6.00 |2684  4940 |0.63 0.55 0.37|1.0   0 455|   0     0 |bash                 2862 3.8%1571k  29k|bash                 2862 1571k  29k3.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 22 07:11:00 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:00| 12  23  65   0   0| 425M 3977M  163M 3158M|5843B 2160B|   0    36k|   0  9.00 |3180  5523 |0.63 0.55 0.37|5.0   0 395|   0     0 |systemd              1    3.5%   0    0 |bash                 2862 3091k  25k2.2%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 22 07:11:01 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:01|  7  10  82   0   0| 550M 3851M  163M 3280M|7272B 2106B|   0     0 |   0     0 |3011  3999 |0.66 0.55 0.37|1.0   0  83|   0     0 |systemd              1    5.5%   0    0 |bash                 2862  246k 656B  0%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 22 07:11:02 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:02| 10  14  76   0   0| 562M 3839M  163M 3280M|5988B 2214B|   0     0 |   0     0 |1980  3317 |0.66 0.55 0.37|2.0   0 295|   0     0 |keystone-manage      261274.5%2151k  79k|keystone-manage      261272151k  79k4.5%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 22 07:11:03 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:03| 23   3  74   1   0| 596M 3804M  163M 3280M|  16k 2160B| 120k  476k|7.00  3.00 | 729   785 |0.66 0.55 0.37|2.0   0 2.0|   0     0 |keystone-manage      26127 24%9172k 153k|keystone-manage      261279172k 153k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 22 07:11:04 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:04| 16   4  72   8   0| 631M 3768M  163M 3282M|  16k 1944B|  84k 5992k|7.00   292 |1826  3247 |0.66 0.55 0.37|1.0 1.0   0|   0     0 |keystone-manage      26127 15%5310k 551k|keystone-manage      261275310k 551k 15%|mysqld       187M|   0     0 |  14    7    0    6    0
Apr 22 07:11:05 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:05|  9   5  71  14   0| 636M 3761M  164M 3284M|7731B 2160B|   0  9108k|   0   792 |4408  7185 |0.66 0.55 0.37|2.0   0   0|   0     0 |mysqld               240807.0%   0    0 |keystone-manage      26127  20k  11k3.5%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 22 07:11:06 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:06|  4   3  73  19   0| 637M 3694M  164M 3347M|7449B 2160B|   0    68M|   0   368 |1851  3118 |0.69 0.56 0.38|3.0   0   0|   0     0 |mysqld               240803.0%   0    0 |python2              24872  14k 468B0.2%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 22 07:11:07 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:07|  9   4  73  14   0| 639M 3691M  165M 3348M|7565B 2160B|   0  8464k|   0   758 |3593  9047 |0.69 0.56 0.38|2.0   0   0|   0     0 |mysqld               240806.8%   0    0 |keystone-manage      26127  23k  13k4.5%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 22 07:11:08 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:08|  5   4  57  34   0| 640M 3690M  165M 3348M|8541B 2160B|   0    90M|   0  1100 |2015  2121 |0.69 0.56 0.38|1.0 1.0   0|   0     0 |mysqld               240802.5%   0    0 |keystone-manage      26127  14k8125B1.8%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 22 07:11:09 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:09| 15   5  69  11   0| 641M 3687M  165M 3349M|7346B 2160B|   0  7664k|   0   642 |3346    11k|0.69 0.56 0.38|2.0   0   0|   0     0 |keystone-manage      261278.5%  40k 293k|python3.6            6615  275k 572k1.8%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 22 07:11:10 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:10| 10   5  71  14   0| 644M 3684M  166M 3349M|  10k 2160B|   0  8820k|   0   704 |4090  6849 |0.69 0.56 0.38|1.0 1.0   0|   0     0 |mysqld               240806.0%   0    0 |keystone-manage      26127  29k  18k5.0%|mysqld       198M|   0     0 |  14    7    0    6    0
Apr 22 07:11:11 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:11| 12   4  72  12   0| 646M 3680M  166M 3350M|  11k 2160B|   0  8852k|   0   721 |4207    10k|0.79 0.59 0.38|3.0   0   0|   0     0 |keystone-manage      261277.2%  30k 163k|python3.6            6615  146k 305k1.0%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 22 07:11:12 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:12| 23   6  66   4   0| 647M 3677M  167M 3352M|9319B 2106B|   0  5676k|   0   401 |5089    17k|0.79 0.59 0.38|3.0   0   0|   0     0 |keystone-manage      26127 16%  75k 559k|python3.6            6615  537k1119k2.5%|mysqld       200M|   0     0 |  14    7    0    7    0
Apr 22 07:11:13 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:13| 14   6  72   9   0| 648M 3676M  167M 3352M|  16k 1944B|   0  8592k|   0   685 |3893    12k|0.79 0.59 0.38|3.0   0 2.0|   0     0 |keystone-manage      261278.8%  45k  30k|keystone-manage      26127  45k  30k8.8%|mysqld       200M|   0     0 |  14    7    0    7    0
Apr 22 07:11:14 cloud-provider-iscsi-0000000347 dstat.sh[24804]: 22-04 07:11:14| 17   8  71   4   0| 588M 3735M  167M 3352M|  10k 2160B|   0  6224k|   0   250 |2473  5580 |0.79 0.59 0.38|1.0   0  78|   0     0 |keystone-manage      262094.2%2118k  37k|bash                 2862   17M1898k1.0%|mysqld       200M|   0     0 |  14    5    0    7    0
