"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000079",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","31 Mar 2020 01:42:23 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
31-03 01:42:23,0.429,0.142,99.327,0.063,0.039,446300160,4665843712,151650304,2857672704,0,0,10479.248,279253.122,0.377,2.497,257.792,275.211,0.580,0.650,0.470,2,0,1.762,0,0,12,3,0,4,0
31-03 01:42:24,10.204,19.388,70.153,0,0.255,446185472,4665266176,151658496,2858000384,15646,2160,24576,266240,1,8,2517,5127,0.580,0.650,0.470,1,0,453,0,0,12,3,0,4,0
31-03 01:42:25,13.784,21.053,64.912,0,0.251,446775296,4664242176,151658496,2858381312,8179,2160,0,360448,0,30,3044,5787,0.580,0.650,0.470,2,0,385,0,0,12,3,0,4,0
31-03 01:42:26,9.898,9.645,80.457,0,0,578158592,4532019200,151658496,2986708992,6504,2160,0,0,0,0,3039,5740,0.580,0.650,0.470,1,0,97,0,0,14,3,0,4,0
31-03 01:42:27,9.824,11.587,78.589,0,0,587837440,4522246144,151662592,2986745856,9048,2160,0,0,0,0,2008,3573,0.580,0.650,0.470,2,0,296,0,0,14,5,0,6,0
31-03 01:42:28,21.106,2.010,74.121,2.764,0,626896896,4482691072,151670784,2987233280,8023,2160,122880,0,7,0,671,721,0.620,0.660,0.470,1,0,0,0,0,14,5,0,6,0
31-03 01:42:29,15.672,3.731,72.886,7.463,0.249,662417408,4445315072,151838720,2988916736,8287,2160,86016,5726208,7,257,1873,3321,0.620,0.660,0.470,0,1,0,0,0,14,7,0,6,0
31-03 01:42:30,7.018,4.762,70.677,17.544,0,666664960,4439642112,152285184,2989785088,8012,2160,0,54947840,0,1089,4174,8048,0.620,0.660,0.470,1,1,0,0,0,14,7,0,6,0
31-03 01:42:31,7.232,4.988,73.067,14.464,0.249,669212672,4366929920,152674304,3058008064,14638,2160,0,73986048,0,592,3205,5739,0.620,0.660,0.470,1,1,0,0,0,14,7,0,6,0
31-03 01:42:32,7.828,5.051,71.970,15.152,0,671150080,4364038144,153251840,3058352128,6260,2160,0,8237056,0,691,4103,8545,0.620,0.660,0.470,1,0,0,0,0,14,7,0,6,0
31-03 01:42:33,12.911,4.051,71.646,11.392,0,673124352,4360671232,153780224,3059154944,6877,1944,0,7122944,0,583,4298,11144,0.650,0.660,0.470,1,0,0,0,0,14,7,0,6,0
31-03 01:42:34,10.750,5,70.750,13.250,0.250,675168256,4357320704,154275840,3059892224,10535,2160,0,8728576,0,659,3910,9046,0.650,0.660,0.470,1,0,2,0,0,14,7,0,6,0
31-03 01:42:35,10.500,5.250,70,14.250,0,677863424,4353699840,154869760,3060191232,7055,2160,0,46833664,0,1030,4408,9367,0.650,0.660,0.470,0,1,0,0,0,14,7,0,6,0
31-03 01:42:36,22.418,5.038,68.262,4.030,0.252,678727680,4350877696,155062272,3061915648,9427,2160,0,4366336,0,281,5045,12937,0.650,0.660,0.470,1,0,0,0,0,14,7,0,6,0
31-03 01:42:37,11.335,5.542,71.285,11.839,0,679522304,4349050880,155586560,3062378496,16216,2202,0,7725056,0,623,4679,10479,0.650,0.660,0.470,0,1,0,0,0,14,7,0,6,0
31-03 01:42:38,16.877,3.023,71.788,8.060,0.252,680042496,4348039168,155869184,3062566912,8176,2160,0,6545408,0,473,3689,10231,0.760,0.690,0.480,2,0,0,0,0,14,5,0,7,0
31-03 01:42:39,22.166,4.282,73.552,0,0,650039296,4378030080,155869184,3062575104,7565,2160,0,0,0,0,1070,1496,0.760,0.690,0.480,2,0,78,0,0,14,5,0,7,0
31-03 01:42:40,22.750,4,72,1,0.250,630398976,4397137920,155918336,3063042048,9288,2106,0,8536064,0,144,1315,1500,0.760,0.690,0.480,2,0,11,0,0,14,5,0,7,0
31-03 01:42:41,23.116,3.266,71.608,2.010,0,676401152,4350513152,155951104,3063619584,7933,2160,0,10223616,0,213,1226,1415,0.760,0.690,0.480,2,0,0,0,0,14,5,0,7,0
31-03 01:42:42,9.367,20.253,66.076,4.051,0.253,609284096,4415467520,156037120,3065663488,6976,2214,0,7221248,0,173,3126,5680,0.760,0.690,0.480,3,0,403,0,0,14,5,0,7,0
31-03 01:42:43,11.929,19.289,66.751,2.030,0,609112064,4414988288,156037120,3066363904,7816,1998,0,1011712,0,127,3849,6909,0.780,0.690,0.480,1,0,332,0,0,14,5,0,7,0
