"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000181",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","07 Apr 2020 10:10:52 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
07-04 10:10:52,1.267,0.433,98.119,0.139,0.042,446119936,4681314304,150040576,2840436736,0,0,30012.775,798618.030,1.072,6.942,398.009,528.776,0.560,0.680,0.530,2,0,5.568,0,0,12,4,0,4,0
07-04 10:10:53,8.376,20.558,66.751,4.315,0,446013440,4680679424,150040576,2840854528,10024,26850,24576,786432,1,87,2603,5896,0.670,0.710,0.540,0,2,451,0,0,12,4,0,5,0
07-04 10:10:54,11.083,18.640,65.239,4.786,0.252,446414848,4679880704,150040576,2841174016,6550,9972,0,5730304,0,160,3046,6681,0.670,0.710,0.540,1,0,357,0,0,12,4,0,4,0
07-04 10:10:55,10.969,14.286,74.490,0,0.255,578183168,4547551232,150040576,2969321472,8819,6456,0,4096,0,1,3711,7583,0.670,0.710,0.540,1,0,193,0,0,14,6,0,4,0
07-04 10:10:56,17.085,10.302,72.613,0,0,608841728,4516749312,150044672,2969423872,17449,15208,0,0,0,0,1611,3486,0.670,0.710,0.540,2,0,210,0,0,14,6,0,6,0
07-04 10:10:57,21.945,2.743,73.566,1.496,0.249,654782464,4469551104,150061056,2970775552,10149,33966,208896,1703936,14,22,916,2113,0.670,0.710,0.540,1,0,0,0,0,14,8,0,6,0
07-04 10:10:58,8.750,4,72.250,15,0,665784320,4456321024,150724608,2972286976,11379,97672,0,10321920,0,880,4368,9493,0.700,0.710,0.540,1,0,0,0,0,14,8,0,6,0
07-04 10:10:59,8.081,5.808,71.717,14.141,0.253,669679616,4382220288,151158784,3040526336,10299,6864,0,82243584,0,848,4300,7699,0.700,0.710,0.540,2,0,0,0,0,14,8,0,6,0
07-04 10:11:00,16.919,5.303,68.687,8.838,0.253,672059392,4377980928,151760896,3041656832,9958,102548,0,10887168,0,899,6180,14688,0.700,0.710,0.540,2,0,0,0,0,14,8,0,6,0
