-- Logs begin at Tue 2020-04-07 07:04:44 UTC, end at Tue 2020-04-07 10:41:58 UTC. --
Apr 07 10:10:52 cloud-provider-iscsi-0000000181 systemd[1]: Started Devstack devstack@dstat.service.
Apr 07 10:10:52 cloud-provider-iscsi-0000000181 dstat.sh[29856]: [286B blob data]
Apr 07 10:10:52 cloud-provider-iscsi-0000000181 dstat.sh[29856]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 07 10:10:52 cloud-provider-iscsi-0000000181 dstat.sh[29856]: 07-04 10:10:52|  1   0  98   0   0| 425M 4464M  143M 2709M|   0     0 |  29k  780k|1.07  6.94 | 398   529 |0.56 0.68 0.53|2.0   0 5.6|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2314  551k 512k0.0%|mysqld       174M|   0     0 |  12    4    0    4    0
Apr 07 10:10:53 cloud-provider-iscsi-0000000181 dstat.sh[29856]: 07-04 10:10:53|  8  21  67   4   0| 425M 4464M  143M 2709M|  10k   26k|  24k  768k|1.00  87.0 |2600  5892 |0.67 0.71 0.54|  0 2.0 451|   0     0 |bash                 2314 3.5%1559k  28k|bash                 2314 1559k  28k3.5%|mysqld       174M|   0     0 |  12    4    0    5    0
Apr 07 10:10:54 cloud-provider-iscsi-0000000181 dstat.sh[29856]: 07-04 10:10:54| 11  19  65   5   0| 426M 4463M  143M 2710M|6550B 9972B|   0  5596k|   0   160 |3049  6685 |0.67 0.71 0.54|1.0   0 357|   0     0 |systemd              1    3.0%   0    0 |bash                 2314 2976k  24k1.8%|mysqld       174M|   0     0 |  12    4    0    4    0
Apr 07 10:10:55 cloud-provider-iscsi-0000000181 dstat.sh[29856]: 07-04 10:10:55| 11  14  74   0   0| 551M 4337M  143M 2832M|8819B 6456B|   0  4096B|   0  1.00 |3716  7610 |0.67 0.71 0.54|1.0   0 196|   0     0 |systemd              1    6.0%   0    0 |bash                 2314  618k7863B0.8%|mysqld       174M|   0     0 |  14    6    0    4    0
Apr 07 10:10:56 cloud-provider-iscsi-0000000181 dstat.sh[29856]: 07-04 10:10:56| 17  10  73   0   0| 581M 4307M  143M 2832M|  17k   15k|   0     0 |   0     0 |1604  3459 |0.67 0.71 0.54|1.0   0 207|   0     0 |keystone-manage      31169 15%7177k 125k|keystone-manage      311697177k 125k 15%|mysqld       174M|   0     0 |  14    6    0    6    0
Apr 07 10:10:57 cloud-provider-iscsi-0000000181 dstat.sh[29856]: 07-04 10:10:57| 22   3  74   2   0| 629M 4258M  143M 2833M|  10k   33k| 204k 1664k|14.0  22.0 | 916  2113 |0.67 0.71 0.54|2.0   0   0|   0     0 |keystone-manage      31169 22%9382k 605k|keystone-manage      311699382k 605k 22%|mysqld       184M|   0     0 |  14    8    0    6    0
Apr 07 10:10:58 cloud-provider-iscsi-0000000181 dstat.sh[29856]: 07-04 10:10:58|  9   4  72  15   0| 635M 4250M  144M 2835M|  11k   95k|   0    10M|   0   883 |4388  9594 |0.70 0.71 0.54|1.0   0   0|   0     0 |mysqld               291385.5%   0    0 |tail                 9109   90k  90k  0%|mysqld       190M|   0     0 |  14    8    0    6    0
Apr 07 10:10:59 cloud-provider-iscsi-0000000181 dstat.sh[29856]: 07-04 10:10:59|  8   6  72  14   0| 639M 4179M  144M 2900M|  10k 6864B|   0    78M|   0   846 |4286  7608 |0.70 0.71 0.54|1.0 1.0   0|   0     0 |mysqld               291387.0%   0    0 |keystone-manage      31169  23k  14k4.5%|mysqld       193M|   0     0 |  14    8    0    6    0
Apr 07 10:11:00 cloud-provider-iscsi-0000000181 dstat.sh[29856]: 07-04 10:11:00| 17   5  69   9   0| 641M 4175M  145M 2901M|9898B  100k|   0    10M|   0   898 |6177    15k|0.70 0.71 0.54|1.0   0   0|   0     0 |keystone-manage      31169 10%  47k 289k|python3.6            6147  271k 566k1.8%|mysqld       195M|   0     0 |  14    8    0    6    0
Apr 07 10:11:01 cloud-provider-iscsi-0000000181 dstat.sh[29856]: 07-04 10:11:01| 12   5  69  14   0| 643M 4172M  145M 2901M|  13k  214k|   0    12M|   0   939 |5583    10k|0.70 0.71 0.54|  0 1.0 2.0|   0     0 |mysqld               291387.0%   0    0 |tail                 9109  207k 207k0.2%|mysqld       197M|   0     0 |  14    8    0    6    0
