"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000275",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","16 Apr 2020 06:12:38 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
16-04 06:12:38,0.441,0.147,99.310,0.063,0.039,444305408,4676386816,151076864,2850766848,0,0,10794.869,284251.624,0.383,2.552,244.521,273.801,0.590,0.620,0.450,2,0,1.815,0,0,12,3,0,4,0
16-04 06:12:39,10.966,20.366,68.668,0,0,445128704,4675141632,151076864,2850930688,6132,2052,24576,425984,1,18,2495,4609,0.590,0.620,0.450,2,0,450,0,0,12,3,0,4,0
16-04 06:12:40,13.959,19.797,65.990,0,0.254,444674048,4675076096,151076864,2851364864,6633,2160,0,28672,0,7,3288,6188,0.620,0.620,0.450,2,0,358,0,0,12,3,0,5,0
16-04 06:12:41,12.405,10.127,77.468,0,0,576086016,4542861312,151076864,2979688448,8039,2160,0,4096,0,1,3755,6793,0.620,0.620,0.450,2,0,106,0,0,14,3,0,4,0
16-04 06:12:42,11.278,12.531,75.940,0,0.251,583499776,4535406592,151080960,2979708928,12574,2106,0,0,0,0,2009,3747,0.620,0.620,0.450,2,0,295,0,0,14,5,0,6,0
16-04 06:12:43,22.556,3.008,73.935,0.501,0,623697920,4494868480,151080960,2980048896,7351,2160,122880,0,7,0,658,787,0.620,0.620,0.450,2,0,0,0,0,14,5,0,6,0
16-04 06:12:44,17.293,2.757,71.429,8.271,0.251,659312640,4457598976,151257088,2981523456,8533,2160,86016,7118848,7,241,1476,2428,0.620,0.620,0.450,1,1,0,0,0,14,7,0,6,0
16-04 06:12:45,8.728,3.990,72.070,14.963,0.249,664256512,4450926592,151642112,2982756352,5141,2052,0,9150464,0,797,4291,7211,0.650,0.630,0.450,2,1,0,0,0,14,7,0,6,0
16-04 06:12:46,8.250,5.250,72.250,14.250,0,666927104,4377944064,152113152,3051114496,9208,2106,0,74477568,0,630,3408,6483,0.650,0.630,0.450,1,1,0,0,0,14,7,0,6,0
16-04 06:12:47,10.831,4.282,71.537,13.098,0.252,669892608,4373798912,152940544,3051421696,15244,2160,0,11018240,0,917,4181,10436,0.650,0.630,0.450,2,0,0,0,0,14,7,0,6,0
16-04 06:12:48,17.544,5.764,66.917,9.524,0.251,672526336,4368928768,153665536,3052900352,7383,2160,0,10817536,0,860,5064,12642,0.650,0.630,0.450,2,0,0,0,0,14,7,0,6,0
16-04 06:12:49,12.276,4.859,70.332,12.532,0,675094528,4365307904,154284032,3053244416,9778,2160,0,10948608,0,883,4919,10423,0.650,0.630,0.450,2,0,0,0,0,14,7,0,6,0
16-04 06:12:50,12.944,4.569,60.406,21.827,0.254,676073472,4362993664,154443776,3054350336,8086,2254,0,85987328,0,745,2905,7824,0.840,0.670,0.470,2,0,0,0,0,14,7,0,6,0
16-04 06:12:51,16.794,5.598,68.957,8.397,0.254,677957632,4359602176,154828800,3055370240,6704,2160,0,7417856,0,530,4343,12880,0.840,0.670,0.470,1,1,2,0,0,14,7,0,6,0
16-04 06:12:52,13.706,4.315,71.320,10.660,0,677851136,4359127040,155258880,3055517696,6409,2160,0,8675328,0,659,4650,10586,0.840,0.670,0.470,1,1,0,0,0,14,7,0,6,0
16-04 06:12:53,19.697,6.566,72.980,0.505,0.253,630128640,4406632448,155308032,3055665152,16104,2160,0,1052672,0,76,1772,3025,0.840,0.670,0.470,2,0,78,0,0,14,5,0,7,0
16-04 06:12:54,23.174,3.023,71.788,2.015,0,674467840,4361797632,155340800,3056193536,6539,1998,0,8327168,0,158,1071,1275,0.840,0.670,0.470,2,0,0,0,0,14,5,0,7,0
16-04 06:12:55,23.618,2.513,71.859,1.759,0.251,648089600,4387618816,155373568,3056717824,7031,2160,0,7168000,0,74,1051,1335,0.850,0.670,0.470,2,0,11,0,0,14,5,0,7,0
16-04 06:12:56,17.975,9.367,70.127,2.532,0,605425664,4428951552,155435008,3057963008,11051,2160,0,6774784,0,135,2289,3568,0.850,0.670,0.470,3,0,204,0,0,14,5,0,7,0
16-04 06:12:57,10.327,23.174,66.247,0,0.252,606019584,4427186176,155439104,3059052544,7729,2106,0,114688,0,17,2576,5985,0.850,0.670,0.470,4,0,461,0,0,14,5,0,7,0
16-04 06:12:58,31.646,16.203,51.899,0,0.253,647901184,4384854016,155447296,3059814400,7462,2160,0,176128,0,14,3874,6316,0.850,0.670,0.470,3,0,207,0,0,14,7,0,7,0
16-04 06:12:59,44.361,4.010,49.373,2.005,0.251,733216768,4299145216,155455488,3060121600,8397,2160,151552,0,5,0,856,785,0.850,0.670,0.470,3,0,1,0,0,14,7,0,7,0
16-04 06:13:00,42.065,8.816,49.118,0,0,775503872,4254240768,155455488,3062362112,6617,2160,0,4571136,0,235,1805,7072,0.950,0.700,0.480,3,0,97,0,0,14,5,0,8,0
16-04 06:13:01,21.859,7.538,70.603,0,0,817532928,4211957760,155455488,3062435840,6640,2160,0,0,0,0,1631,1821,0.950,0.700,0.480,2,0,77,0,0,14,5,0,8,0
16-04 06:13:02,22.864,2.513,73.618,0.754,0.251,862334976,4167069696,155475968,3062468608,10972,2160,0,2310144,0,157,1295,1616,0.950,0.700,0.480,1,1,2,0,0,14,11,0,8,0
16-04 06:13:03,19.849,6.784,72.864,0.503,0,805593088,4223774720,155508736,3062472704,18032,2106,0,241664,0,32,1288,1775,0.950,0.700,0.480,2,0,53,0,0,14,5,0,11,0
