-- Logs begin at Wed 2020-04-15 21:36:04 UTC, end at Thu 2020-04-16 06:43:22 UTC. --
Apr 16 06:12:38 cloud-provider-iscsi-0000000275 systemd[1]: Started Devstack devstack@dstat.service.
Apr 16 06:12:38 cloud-provider-iscsi-0000000275 dstat.sh[23890]: [286B blob data]
Apr 16 06:12:38 cloud-provider-iscsi-0000000275 dstat.sh[23890]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 16 06:12:38 cloud-provider-iscsi-0000000275 dstat.sh[23890]: 16-04 06:12:38|  0   0  99   0   0| 424M 4460M  144M 2719M|   0     0 |  11k  278k|0.38  2.55 | 245   274 |0.59 0.62 0.45|2.0   0 1.8|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2190  190k 179k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 16 06:12:39 cloud-provider-iscsi-0000000275 dstat.sh[23890]: 16-04 06:12:39| 11  20  69   0   0| 425M 4459M  144M 2719M|6132B 2052B|  24k  416k|1.00  18.0 |2502  4613 |0.59 0.62 0.45|2.0   0 450|   0     0 |bash                 2190 3.8%1663k  29k|bash                 2190 1663k  29k3.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 16 06:12:40 cloud-provider-iscsi-0000000275 dstat.sh[23890]: 16-04 06:12:40| 14  20  66   0   0| 424M 4459M  144M 2719M|6633B 2160B|   0    28k|   0  7.00 |3288  6188 |0.62 0.62 0.45|2.0   0 358|   0     0 |systemd              1    3.5%   0    0 |bash                 2190 2961k  24k2.0%|mysqld       173M|   0     0 |  12    3    0    5    0
Apr 16 06:12:41 cloud-provider-iscsi-0000000275 dstat.sh[23890]: 16-04 06:12:41| 12  10  77   0   0| 549M 4332M  144M 2842M|8039B 2160B|   0  4096B|   0  1.00 |3752  6793 |0.62 0.62 0.45|2.0   0 106|   0     0 |systemd              1    7.2%   0    0 |bash                 2190  265k1398B0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 16 06:12:42 cloud-provider-iscsi-0000000275 dstat.sh[23890]: 16-04 06:12:42| 11  13  76   0   0| 556M 4325M  144M 2842M|  12k 2106B|   0     0 |   0     0 |2011  3747 |0.62 0.62 0.45|2.0   0 295|   0     0 |keystone-manage      252043.5%1240k  79k|keystone-manage      252041240k  79k3.5%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 16 06:12:43 cloud-provider-iscsi-0000000275 dstat.sh[23890]: 16-04 06:12:43| 23   3  74   1   0| 595M 4287M  144M 2842M|7351B 2160B| 120k    0 |7.00     0 | 659   787 |0.62 0.62 0.45|2.0   0   0|   0     0 |keystone-manage      25204 24%9968k 121k|keystone-manage      252049968k 121k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 16 06:12:44 cloud-provider-iscsi-0000000275 dstat.sh[23890]: 16-04 06:12:44| 17   3  71   8   0| 629M 4251M  144M 2843M|8749B 2160B|  84k 6952k|7.00   241 |1476  2428 |0.62 0.62 0.45|1.0 1.0   0|   0     0 |keystone-manage      25204 16%5425k 584k|keystone-manage      252045425k 584k 16%|mysqld       186M|   0     0 |  14    7    0    6    0
Apr 16 06:12:45 cloud-provider-iscsi-0000000275 dstat.sh[23890]: 16-04 06:12:45|  9   4  72  15   0| 633M 4245M  145M 2845M|5141B 2052B|   0  8936k|   0   797 |4291  7211 |0.65 0.63 0.45|2.0 1.0   0|   0     0 |mysqld               231726.0%   0    0 |python2              23942  14k 467B0.2%|mysqld       190M|   0     0 |  14    7    0    6    0
Apr 16 06:12:46 cloud-provider-iscsi-0000000275 dstat.sh[23890]: 16-04 06:12:46|  8   5  72  14   0| 636M 4175M  145M 2910M|9208B 2106B|   0    71M|   0   630 |3408  6483 |0.65 0.63 0.45|1.0 1.0   0|   0     0 |mysqld               231726.2%   0    0 |keystone-manage      25204  21k  13k3.5%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 16 06:12:47 cloud-provider-iscsi-0000000275 dstat.sh[23890]: 16-04 06:12:47| 11   4  72  13   0| 639M 4171M  146M 2910M|  15k 2160B|   0    10M|   0   915 |4171    10k|0.65 0.63 0.45|1.0 1.0   0|   0     0 |mysqld               231727.5%   0    0 |keystone-manage      25204  38k  22k5.5%|mysqld       195M|   0     0 |  14    7    0    6    0
