"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000308",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Apr 2020 00:30:55 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-04 00:30:55,1.116,0.366,98.324,0.150,0.045,440430592,4216217600,151388160,3302715392,0,0,26058.293,722644.723,0.924,6.219,354.003,418.091,0.660,0.660,0.480,2,0,4.387,0,0,12,3,0,4,0
17-04 00:30:56,9.184,21.173,69.388,0,0.255,441634816,4214173696,151396352,3303120896,8782,2160,24576,286720,1,9,2731,4899,0.770,0.680,0.490,4,0,473,0,0,12,3,0,4,0
17-04 00:30:57,13.740,20.611,65.394,0,0.254,450322432,4205027328,151396352,3303682048,7707,2160,0,32768,0,8,3229,6284,0.770,0.680,0.490,10,0,388,0,0,12,3,0,4,0
17-04 00:30:58,9.439,11.224,79.337,0,0,573501440,4081246208,151396352,3431616512,8353,2052,0,0,0,0,3338,4667,0.770,0.680,0.490,2,0,167,0,0,14,5,0,4,0
17-04 00:30:59,16.709,10.127,72.911,0,0.253,596992000,4057489408,151396352,3431849984,7249,2052,0,0,0,0,1641,2465,0.770,0.680,0.490,2,0,186,0,0,14,5,0,6,0
17-04 00:31:00,21.303,3.258,73.935,1.504,0,642170880,4011102208,151396352,3433058304,15906,1890,196608,598016,13,5,697,754,0.770,0.680,0.490,2,0,0,0,0,14,5,0,6,0
17-04 00:31:01,8.354,2.785,72.658,15.949,0.253,658939904,3992264704,151797760,3434692608,17207,2160,12288,9170944,1,592,3150,5410,0.870,0.700,0.500,2,0,0,0,0,14,7,0,6,0
17-04 00:31:02,6.582,5.316,73.924,14.177,0,662790144,3918659584,152137728,3502632960,7075,2214,0,75243520,0,721,3590,7159,0.870,0.700,0.500,1,1,0,0,0,14,7,0,6,0
17-04 00:31:03,7.809,4.282,72.292,15.365,0.252,665182208,3914993664,152612864,3503280128,7458,2160,0,8802304,0,758,4273,6856,0.870,0.700,0.500,1,1,0,0,0,14,7,0,6,0
17-04 00:31:04,16.459,4.988,68.080,10.224,0.249,667013120,3911770112,153194496,3504058368,7249,2160,0,7974912,0,635,4145,8773,0.870,0.700,0.500,2,0,0,0,0,14,7,0,6,0
17-04 00:31:05,7.614,6.091,69.797,16.497,0,668282880,3909730304,153513984,3504431104,5729,2160,0,88723456,0,1078,3363,4972,0.870,0.700,0.500,1,1,2,0,0,14,7,0,6,0
17-04 00:31:06,9.873,3.544,72.658,13.924,0,671105024,3905761280,154034176,3504988160,6462,2160,0,9433088,0,745,4136,7577,0.960,0.730,0.510,1,1,0,0,0,14,7,0,6,0
17-04 00:31:07,14.646,5.051,68.687,11.364,0.253,673247232,3901972480,154480640,3506163712,8706,2160,0,7565312,0,587,4053,10609,0.960,0.730,0.510,3,0,0,0,0,14,7,0,6,0
17-04 00:31:08,17.975,4.557,70.127,7.089,0.253,674648064,3898859520,154828800,3507429376,6741,2160,0,7131136,0,504,4618,10769,0.960,0.730,0.510,2,0,0,0,0,14,7,0,6,0
17-04 00:31:09,13.924,3.797,71.646,10.633,0,674451456,3898433536,155189248,3507654656,6626,2160,0,8515584,0,661,4596,11750,0.960,0.730,0.510,2,0,0,0,0,14,7,0,6,0
