"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000311",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Apr 2020 09:19:04 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-04 09:19:04,1.046,0.338,98.417,0.156,0.042,444350464,4180463616,168001536,3305500672,0,0,25251.251,660028.136,1.154,5.671,352.501,400.231,0.610,0.630,0.500,2,0,4.025,0,0,12,3,0,4,0
17-04 09:19:05,9.250,22.750,67.500,0,0.500,446009344,4177965056,168001536,3306037248,8312,2160,24576,258048,1,8,2822,5165,0.610,0.630,0.500,2,0,498,0,0,12,3,0,4,0
17-04 09:19:06,15.578,19.347,64.824,0,0.251,446763008,4176850944,168001536,3306475520,7233,2160,0,28672,0,7,3009,6943,0.610,0.630,0.500,2,0,344,0,0,12,3,0,4,0
17-04 09:19:07,8.376,11.929,73.604,6.091,0,576393216,4046581760,168001536,3434549248,7084,2160,0,7319552,0,294,3816,5864,0.730,0.650,0.500,3,0,182,0,0,14,5,0,4,0
17-04 09:19:08,17.588,9.799,72.613,0,0,610209792,4012625920,168005632,3434635264,6061,2160,0,0,0,0,1588,2326,0.730,0.650,0.500,2,1,170,0,0,14,5,0,6,0
17-04 09:19:09,22.166,1.763,73.804,2.015,0.252,649437184,3972157440,168013824,3435868160,14273,1944,208896,0,14,0,923,1201,0.730,0.650,0.500,2,0,0,0,0,14,7,0,6,0
17-04 09:19:10,7.828,4.040,72.475,15.657,0,662695936,3956899840,168468480,3437510656,8692,2106,0,10125312,0,691,3110,6401,0.730,0.650,0.500,2,0,0,0,0,14,7,0,6,0
17-04 09:19:11,6.107,4.580,72.774,16.285,0.254,666521600,3883507712,168763392,3505205248,7742,2214,0,73928704,0,592,2092,6106,0.730,0.650,0.500,2,0,0,0,0,14,7,0,6,0
17-04 09:19:12,8.354,4.557,71.646,15.443,0,668418048,3880181760,169246720,3506077696,8973,2160,0,60600320,0,977,2787,7091,0.750,0.660,0.510,1,1,0,0,0,14,7,0,6,0
17-04 09:19:13,13.636,4.545,69.949,11.616,0.253,670871552,3876306944,169852928,3506843648,7539,2106,0,7962624,0,655,5443,11901,0.750,0.660,0.510,2,0,0,0,0,14,7,0,6,0
17-04 09:19:14,10.606,4.545,71.717,13.131,0,672972800,3873034240,170422272,3507412992,8931,2160,0,8482816,0,676,4009,9206,0.750,0.660,0.510,2,0,0,0,0,14,7,0,6,0
17-04 09:19:15,11.335,4.534,70.529,13.350,0.252,674873344,3869954048,170946560,3507998720,11905,2214,0,9396224,0,738,4069,8492,0.750,0.660,0.510,2,0,0,0,0,14,7,0,7,0
17-04 09:19:16,18.045,5.013,68.421,8.271,0.251,677359616,3865894912,171376640,3509116928,9481,2202,0,6361088,0,478,3701,12848,0.750,0.660,0.510,2,0,2,0,0,14,7,0,6,0
17-04 09:19:17,17.250,6.250,66,10.500,0,678682624,3863040000,171753472,3510226944,17549,2202,0,41177088,0,780,3747,12555,0.770,0.670,0.510,2,1,0,0,0,14,7,0,6,0
17-04 09:19:18,15.443,4.051,71.646,8.861,0,678932480,3862134784,172101632,3510517760,7679,2254,0,9129984,0,688,2943,12303,0.770,0.670,0.510,2,0,0,0,0,14,5,0,7,0
17-04 09:19:19,20.101,6.030,73.618,0,0.251,648052736,3893010432,172101632,3510521856,6689,2052,0,0,0,0,1130,1531,0.770,0.670,0.510,2,0,78,0,0,14,5,0,7,0
17-04 09:19:20,23.869,2.261,72.362,1.508,0,616222720,3924271104,172126208,3511029760,7421,1998,0,7163904,0,71,962,1286,0.770,0.670,0.510,2,0,11,0,0,14,5,0,7,0
17-04 09:19:21,23.308,3.008,73.434,0.251,0,656257024,3883642880,172167168,3511570432,15030,2214,0,7090176,0,70,943,1351,0.770,0.670,0.510,2,0,0,0,0,14,5,0,7,0
17-04 09:19:22,16.877,10.831,71.033,1.008,0.252,605413376,3932966912,172281856,3512987648,7658,2160,0,10080256,0,282,2610,3925,0.790,0.670,0.510,3,0,249,0,0,14,5,0,7,0
17-04 09:19:23,12.690,21.320,65.736,0.254,0,611233792,3925905408,172281856,3514310656,10707,2160,0,241664,0,17,3060,6121,0.790,0.670,0.510,2,0,451,0,0,14,5,0,7,0
17-04 09:19:24,35.606,14.141,50.253,0,0,675536896,3861204992,172281856,3514777600,6059,2106,0,0,0,0,3330,5236,0.790,0.670,0.510,3,0,178,0,0,14,7,0,7,0
17-04 09:19:25,43.609,4.762,49.123,2.256,0.251,751759360,3784450048,172281856,3515236352,7151,2214,143360,225280,3,39,959,766,0.790,0.670,0.510,3,0,0,0,0,14,7,0,7,0
17-04 09:19:26,38.442,10.553,51.005,0,0,779354112,3754475520,172285952,3517251584,8102,2160,0,315392,0,40,2524,8048,0.790,0.670,0.510,3,0,157,0,0,13,5,0,8,0
17-04 09:19:27,23.929,3.275,72.796,0,0,831639552,3701972992,172285952,3517407232,6007,2160,0,0,0,0,1079,1178,0.800,0.680,0.520,2,0,18,0,0,14,5,0,8,0
17-04 09:19:28,22.750,3.500,72.250,1.250,0.250,861863936,3671756800,172339200,3517353984,7240,2160,0,2895872,0,245,1730,2260,0.800,0.680,0.520,4,0,2,0,0,14,11,0,8,0
17-04 09:19:29,21.717,4.798,73.485,0,0,805466112,3728044032,172339200,3517431808,6053,2052,0,0,0,0,998,1218,0.800,0.680,0.520,3,0,53,0,0,14,5,0,11,0
17-04 09:19:30,23.250,3.250,73.250,0.250,0,831397888,3702108160,172339200,3517435904,7730,2052,0,2895872,0,71,916,1202,0.800,0.680,0.520,2,0,0,0,0,14,13,0,12,0
17-04 09:19:31,19.949,3.788,73.485,2.525,0.253,800747520,3732652032,172339200,3517542400,15199,2160,73728,0,18,0,1407,2111,0.800,0.680,0.520,2,0,61,0,0,14,29,0,16,0
17-04 09:19:32,22.475,3.283,74.242,0,0,840867840,3692519424,172351488,3517542400,15734,2106,0,860160,0,12,693,839,0.820,0.680,0.520,3,0,1,0,0,14,29,0,16,0
17-04 09:19:33,21.106,7.035,71.608,0.251,0,816234496,3716997120,172351488,3517693952,7047,2214,0,10031104,0,126,1399,2034,0.820,0.680,0.520,2,0,100,0,0,14,29,0,21,0
17-04 09:19:34,23.058,3.258,73.434,0,0.251,846274560,3686666240,172351488,3517964288,6906,2106,0,0,0,0,982,1488,0.820,0.680,0.520,3,0,0,0,0,14,31,0,27,0
17-04 09:19:35,22.922,3.778,73.300,0,0,827211776,3705626624,172351488,3518062592,9577,2214,0,0,0,0,1034,1398,0.820,0.680,0.520,2,0,22,0,0,14,29,0,29,0
17-04 09:19:36,23.367,3.015,73.367,0,0.251,848273408,3684528128,172355584,3518095360,9622,2106,0,659456,0,7,1264,2052,0.820,0.680,0.520,2,0,4,0,0,14,31,0,36,0
17-04 09:19:37,22.306,5.514,72.180,0,0,836108288,3696652288,172355584,3518103552,8053,2214,0,278528,0,6,956,1305,0.830,0.690,0.520,2,0,72,0,0,14,29,0,37,0
17-04 09:19:38,22.693,5.486,71.820,0,0,799653888,3732934656,172359680,3518263296,7841,2106,0,2392064,0,28,1542,2623,0.830,0.690,0.520,3,0,63,0,0,14,29,0,45,0
17-04 09:19:39,22.500,3.750,73.250,0.250,0.250,841895936,3690680320,172363776,3518267392,6677,2052,0,335872,0,6,818,1060,0.830,0.690,0.520,2,0,38,0,0,14,29,0,45,0
17-04 09:19:40,20.948,6.733,72.319,0,0,818036736,3714510848,172363776,3518291968,8582,2052,0,0,0,0,1307,2022,0.830,0.690,0.520,3,0,69,0,0,14,29,0,50,0
17-04 09:19:41,23.929,2.267,73.552,0,0.252,849600512,3682926592,172371968,3518304256,16533,2160,0,585728,0,14,1088,1520,0.830,0.690,0.520,2,0,0,0,0,14,31,0,54,0
17-04 09:19:42,20.151,6.549,73.300,0,0,829317120,3703197696,172371968,3518312448,7755,2214,0,176128,0,3,1131,1732,0.850,0.690,0.520,3,0,71,0,0,14,29,0,56,0
17-04 09:19:43,23.174,3.023,72.796,1.008,0,852705280,3679666176,172376064,3518455808,9140,2106,0,5558272,0,348,1317,1551,0.850,0.690,0.520,2,0,0,0,0,14,29,0,60,0
17-04 09:19:44,20.403,6.045,73.300,0,0.252,838213632,3694145536,172376064,3518468096,6796,2214,0,266240,0,6,1040,1329,0.850,0.690,0.520,3,0,69,0,0,14,29,0,60,0
