-- Logs begin at Wed 2020-04-01 15:24:31 UTC, end at Wed 2020-04-01 16:24:12 UTC. --
Apr 01 15:58:04 cloud-provider-iscsi-0000000130 systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 15:58:04 cloud-provider-iscsi-0000000130 dstat.sh[24104]: [286B blob data]
Apr 01 15:58:04 cloud-provider-iscsi-0000000130 dstat.sh[24104]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 15:58:04 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:04|  7   2  90   1   0| 421M 4455M  144M 2725M|   0     0 | 162k 4260k|6.04  38.1 |1207  2231 |0.64 0.66 0.47|2.0   0  28|   0     0 |systemd              1    0.1%   0    0 |bash                 2009 2970k2801k0.1%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 01 15:58:05 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:05| 10  21  70   0   0| 421M 4454M  144M 2726M|6848B 2160B|  24k  588k|1.00  20.0 |3234  5811 |0.64 0.66 0.47|1.0   0 529|   0     0 |bash                 2009 3.5%2345k  34k|bash                 2009 2345k  34k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 01 15:58:06 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:06| 15  19  66   0   0| 421M 4454M  144M 2726M|6237B 2160B|   0    28k|   0  7.00 |3748  6497 |0.64 0.66 0.47|1.0   0 337|   0     0 |systemd              1    6.0%   0    0 |bash                 2009 2427k  19k1.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 01 15:58:07 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:07|  8  17  75   0   0| 547M 4327M  144M 2848M|9641B 2234B|   0     0 |   0     0 |3792  7797 |0.64 0.66 0.47|3.0   0 328|   0     0 |systemd              1    3.0%   0    0 |bash                 2009  712k  18k2.5%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 01 15:58:08 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:08| 23   2  74   1   0| 588M 4286M  144M 2849M|7143B 2160B|  96k  316k|4.00  16.0 | 804   930 |0.64 0.66 0.47|1.0   0  20|   0     0 |keystone-manage      25415 24%9798k 125k|keystone-manage      254159798k 125k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 01 15:58:09 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:09| 17   4  74   5   0| 627M 4246M  144M 2850M|9138B 2160B| 108k 4252k|10.0   178 |1894  3447 |0.75 0.68 0.48|  0 1.0   0|   0     0 |keystone-manage      25415 17%6794k 655k|keystone-manage      254156794k 655k 17%|mysqld       187M|   0     0 |  14    7    0    6    0
Apr 01 15:58:10 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:10|  8   6  73  13   0| 632M 4173M  144M 2915M|9568B 2160B|   0    74M|   0   981 |4619  9269 |0.75 0.68 0.48|  0 1.0 2.0|   0     0 |mysqld               233837.5%   0    0 |keystone-manage      25415  20k  11k4.2%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 01 15:58:11 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:11|  8   5  73  15   0| 635M 4168M  145M 2916M|9049B 1998B|   0  9300k|   0   800 |4387  8749 |0.75 0.68 0.48|1.0   0   0|   0     0 |mysqld               233835.5%   0    0 |keystone-manage      25415  26k  15k5.0%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 01 15:58:12 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:12| 15   5  70  11   0| 637M 4164M  146M 2917M|8920B 2094B|   0  8836k|   0   723 |4701    10k|0.75 0.68 0.48|1.0   0   0|   0     0 |keystone-manage      254158.2%  41k 287k|python3.6            5762  272k 567k1.5%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 01 15:58:13 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:13|  8   4  68  20   0| 639M 4162M  146M 2918M|  14k 2214B|   0    59M|   0   942 |4070  6380 |0.75 0.68 0.48|1.0   0   0|   0     0 |mysqld               233834.5%   0    0 |keystone-manage      25415  31k  21k4.5%|mysqld       197M|   0     0 |  14    7    0    6    0
Apr 01 15:58:14 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:14| 11   4  72  12   0| 642M 4158M  147M 2919M|  15k 2160B|   0    12M|   0  1028 |4942  9671 |1.01 0.73 0.50|1.0   0   0|   0     0 |mysqld               233838.2%   0    0 |keystone-manage      25415  36k  23k6.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 01 15:58:15 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:15| 23   5  67   5   0| 643M 4154M  147M 2920M|8309B 2160B|   0  4908k|   0   319 |5053    14k|1.01 0.73 0.50|  0 1.0   0|   0     0 |keystone-manage      25415 16%  81k 697k|python3.6            5762  669k1395k3.5%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 01 15:58:16 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:16| 11   4  71  14   0| 644M 4153M  147M 2920M|6131B 2230B|   0  7600k|   0   628 |3410  7969 |1.01 0.73 0.50|  0 1.0   0|   0     0 |mysqld               233837.5%   0    0 |keystone-manage      25415  29k  19k6.2%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 01 15:58:17 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:17| 13   4  71  12   0| 644M 4152M  148M 2920M|6991B 2160B|   0  7700k|   0   545 |3527  7948 |1.01 0.73 0.50|1.0   0   0|   0     0 |keystone-manage      25415 10%  33k  22k|keystone-manage      25415  33k  22k 10%|mysqld       201M|   0     0 |  14    5    0    6    2
Apr 01 15:58:18 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:18| 20   7  72   1   0| 606M 4190M  148M 2921M|6197B 2160B|   0    33M|   0   535 |1846  1457 |1.01 0.73 0.50|1.0   0  78|   0     0 |keystone-manage      25495 19%7865k  37k|bash                 2009   17M1881k1.0%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 01 15:58:19 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:19| 23   3  73   1   0| 584M 4211M  148M 2921M|9097B 2160B|   0  7424k|   0  78.0 |1102  1443 |1.09 0.76 0.51|1.0   0  11|   0     0 |keystone-manage      255063.2%2118k  37k|bash                 2009   16M  39k0.2%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 01 15:58:20 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:20| 24   3  73   1   0| 634M 4161M  148M 2922M|6259B 2160B|   0  7060k|   0  68.0 | 949  1297 |1.09 0.76 0.51|1.0   0 2.0|   0     0 |keystone-manage      25506 25%  13M   0 |keystone-manage      25506  13M   0  25%|mysqld       201M|   0     0 |  14    5    0    8    0
Apr 01 15:58:21 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:21| 14  17  68   2   0| 575M 4218M  148M 2924M|6145B 2160B|   0  6436k|   0   133 |2937  5097 |1.09 0.76 0.51|1.0   0 370|   0     0 |bash                 2009 3.2%  17M  62k|bash                 2009   17M  62k3.2%|mysqld       201M|   0     0 |  14    5    0    8    0
Apr 01 15:58:22 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:22| 12  22  65   0   0| 576M 4216M  148M 2924M|7970B 1944B|   0   176k|   0  14.0 |3596  7545 |1.09 0.76 0.51|1.0   0 363|   0     0 |systemd              1    4.2%   0    0 |bash                 2009 2927k  20k2.0%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 01 15:58:23 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:23| 45  10  45   0   0| 666M 4126M  148M 2925M|  18k 2106B|   0  3916k|   0   168 |2025  2624 |1.09 0.76 0.51|2.0   0 140|   0     0 |uwsgi                26251 22%  10M  37k|uwsgi                26252  10M  37k 22%|mysqld       201M|   0     0 |  14    7    0    7    0
Apr 01 15:58:24 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:24| 46   5  48   0   0| 727M 4063M  148M 2927M|8429B 2268B| 148k  200k|5.00  23.0 |1911  4256 |1.16 0.78 0.52|2.0   0   0|   0     0 |uwsgi                26251 25%7307k 652k|uwsgi                262517307k 652k 25%|mysqld       201M|   0     0 |  14    7    0    7    0
Apr 01 15:58:25 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:25| 27  11  62   0   0| 757M 4032M  148M 2927M|7877B 2200B|   0    20k|   0  3.00 |2625  3982 |1.16 0.78 0.52|1.0   0 174|   0     0 |keystone-manage      26525 11%5747k  37k|keystone-manage      265255747k  37k 11%|mysqld       201M|   0     0 |  14    5    0    8    0
Apr 01 15:58:26 cloud-provider-iscsi-0000000130 dstat.sh[24104]: 01-04 15:58:26| 23   3  74   0   0| 804M 3985M  148M 2927M|5093B 2160B|   0     0 |   0     0 | 701   797 |1.16 0.78 0.52|1.0   0   0|   0     0 |keystone-manage      26525 25%  11M2860B|keystone-manage      26525  11M2860B 25%|mysqld       201M|   0     0 |  14    5    0    8    0
