"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000015334",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","13 Mar 2020 08:20:14 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
13-03 08:20:14,2.451,0.776,96.474,0.262,0.037,440520704,4338778112,175407104,3137753088,0,0,49345.467,1416125.868,1.755,12.871,498.632,758.415,0.610,0.660,0.490,2,0,9.326,0,0,12,3,0,3,0
13-03 08:20:15,10.327,20.907,68.514,0,0.252,441135104,4337782784,175407104,3137863680,6288,2160,0,73728,0,6,2778,5127,0.640,0.660,0.490,1,0,494,0,0,12,3,0,3,0
13-03 08:20:16,12.183,20.305,67.259,0,0.254,440569856,4337926144,175407104,3138457600,7725,2106,0,3399680,0,22,3385,7442,0.640,0.660,0.490,0,0,361,0,0,12,3,0,3,0
13-03 08:20:17,8.397,10.941,80.662,0,0,572207104,4205752320,175407104,3266408448,14257,2214,0,0,0,0,3218,5294,0.640,0.660,0.490,1,0,146,0,0,14,5,0,3,0
13-03 08:20:18,15.578,11.558,72.613,0,0.251,595472384,4182188032,175407104,3266641920,6487,2106,0,0,0,0,1692,3086,0.640,0.660,0.490,2,0,238,0,0,14,5,0,5,0
13-03 08:20:19,22.362,3.015,74.121,0.503,0,643977216,4132282368,175415296,3267796992,5603,2160,151552,0,12,0,729,895,0.640,0.660,0.490,2,0,1,0,0,14,5,0,6,0
13-03 08:20:20,9.620,3.544,73.671,12.911,0.253,662282240,4111540224,175804416,3269570560,5751,1986,12288,9023488,1,593,2763,6593,0.750,0.680,0.500,0,1,2,0,0,14,7,0,5,0
13-03 08:20:21,6.767,3.759,72.431,16.792,0.251,666664960,4038045696,176107520,3337084928,7133,2214,0,74293248,0,627,3027,6408,0.750,0.680,0.500,0,2,0,0,0,14,7,0,5,0
13-03 08:20:22,9.045,3.769,71.859,15.327,0,668803072,4034519040,176574464,3337940992,5928,2160,0,7831552,0,651,3765,5969,0.750,0.680,0.500,1,0,0,0,0,14,7,0,5,0
13-03 08:20:23,12.468,4.071,70.992,12.214,0.254,670748672,4031569920,177106944,3338375168,6982,2160,0,8503296,0,696,4351,8651,0.750,0.680,0.500,3,0,0,0,0,14,7,0,5,0
13-03 08:20:24,13.534,4.261,69.674,12.531,0,672333824,4028481536,177598464,3339345920,6536,2160,0,7626752,0,598,5166,8352,0.750,0.680,0.500,0,1,0,0,0,14,7,0,5,0
13-03 08:20:25,10.750,4.500,70,14.500,0.250,674889728,4024627200,178229248,3339919360,6778,2106,0,9252864,0,744,4291,6821,0.770,0.690,0.500,1,0,0,0,0,14,7,0,5,0
13-03 08:20:26,17.910,5.224,68.159,8.458,0.249,676859904,4020973568,178692096,3341115392,6626,2160,0,10309632,0,563,5657,12032,0.770,0.690,0.500,1,0,0,0,0,14,7,0,5,0
13-03 08:20:27,16.071,5.867,68.367,9.439,0.255,678117376,4018089984,179109888,3342278656,14523,2256,0,7577600,0,585,6083,11514,0.770,0.690,0.500,4,1,0,0,0,14,7,0,5,0
13-03 08:20:28,16.080,4.020,70.603,9.296,0,679067648,4016435200,179548160,3342512128,15612,2106,0,7929856,0,580,3964,9232,0.770,0.690,0.500,1,0,0,0,0,14,7,0,5,0
13-03 08:20:29,20.506,5.823,73.418,0,0.253,630771712,4064690176,179548160,3342553088,6597,1998,0,0,0,0,1175,1626,0.770,0.690,0.500,1,0,78,0,0,14,5,0,6,0
13-03 08:20:30,23.367,3.518,72.864,0.251,0,609050624,4085886976,179576832,3343028224,6223,2106,0,6905856,0,65,953,1383,0.790,0.700,0.500,1,0,14,0,0,14,5,0,6,0
13-03 08:20:31,22.922,4.786,68.010,4.282,0,654819328,4039487488,179621888,3343585280,6770,2214,0,74211328,0,819,1506,1388,0.790,0.700,0.500,1,0,1,0,0,14,5,0,6,0
13-03 08:20:32,15.696,13.418,69.873,1.013,0,601374720,4090875904,179699712,3345547264,5239,2160,0,6602752,0,155,2667,4586,0.790,0.700,0.500,1,1,304,0,0,14,5,0,6,0
13-03 08:20:33,11.899,21.266,66.329,0,0.506,601620480,4089864192,179716096,3346194432,5941,2106,0,274432,0,21,3370,6177,0.790,0.700,0.500,2,0,400,0,0,14,5,0,6,0
13-03 08:20:34,37.150,14.249,48.601,0,0,662585344,4028837888,179720192,3346690048,6093,2214,0,86016,0,5,2253,3540,0.790,0.700,0.500,2,0,169,0,0,14,7,0,6,0
13-03 08:20:35,44,4.750,49.500,1.750,0,745463808,3945422848,179728384,3347136512,6157,2106,151552,0,5,0,816,770,0.810,0.700,0.510,2,0,2,0,0,14,7,0,6,0
13-03 08:20:36,37.374,10.354,52.020,0,0.253,781758464,3906359296,179728384,3349434368,6332,2214,0,135168,0,23,1956,7686,0.810,0.700,0.510,2,0,145,0,0,13,5,0,7,0
13-03 08:20:37,22.922,5.290,71.788,0,0,823697408,3864211456,179728384,3349446656,5366,1944,0,20480,0,2,1146,1427,0.810,0.700,0.510,1,0,30,0,0,14,5,0,7,0
13-03 08:20:38,23.869,1.759,73.618,0.754,0,871202816,3816656896,179736576,3349467136,14603,2202,0,1859584,0,131,1004,1206,0.810,0.700,0.510,1,0,2,0,0,14,11,0,7,0
13-03 08:20:39,20.750,5.500,73,0.500,0.250,796979200,3890798592,179802112,3349483520,6434,2106,0,380928,0,44,1210,1937,0.810,0.700,0.510,2,0,52,0,0,14,5,0,10,0
13-03 08:20:40,24.060,2.256,73.183,0.501,0,838811648,3848732672,179802112,3349491712,5536,2214,0,2437120,0,64,978,1205,0.820,0.710,0.510,1,0,4,0,0,14,13,0,11,0
13-03 08:20:41,20.854,4.271,72.864,1.759,0.251,810983424,3876392960,179802112,3349581824,7506,2106,69632,0,17,0,1352,2128,0.820,0.710,0.510,1,0,61,0,0,14,29,0,15,0
13-03 08:20:42,23.367,3.266,71.859,1.508,0,850903040,3836321792,179802112,3349729280,15391,2214,0,14143488,0,461,1793,1476,0.820,0.710,0.510,1,0,2,0,0,14,29,0,20,0
13-03 08:20:43,21.106,6.533,72.111,0,0.251,842149888,3845062656,179802112,3349741568,5844,2160,0,0,0,0,953,1478,0.820,0.710,0.510,1,0,101,0,0,14,29,0,20,0
13-03 08:20:44,23.367,3.266,73.116,0.251,0,816066560,3870765056,179806208,3350110208,5113,2160,0,1036288,0,20,1321,2166,0.820,0.710,0.510,2,0,22,0,0,14,29,0,28,0
13-03 08:20:45,23.308,2.757,73.935,0,0,850739200,3836084224,179810304,3350114304,5966,2106,0,57344,0,5,740,1134,0.840,0.710,0.510,1,0,1,0,0,14,31,0,31,0
