-- Logs begin at Wed 2020-04-08 05:54:15 UTC, end at Wed 2020-04-08 08:52:57 UTC. --
Apr 08 08:21:40 cloud-provider-iscsi-0000000193 systemd[1]: Started Devstack devstack@dstat.service.
Apr 08 08:21:40 cloud-provider-iscsi-0000000193 dstat.sh[24315]: [286B blob data]
Apr 08 08:21:40 cloud-provider-iscsi-0000000193 dstat.sh[24315]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 08 08:21:40 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:40|  2   1  98   0   0| 426M 4411M  163M 2734M|   0     0 |  39k  992k|1.83  8.99 | 417   615 |0.69 0.68 0.48|2.0   0 6.4|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2220  678k 640k0.0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 08 08:21:41 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:41| 11  21  68   0   0| 427M 4409M  163M 2735M|8172B 2160B|  24k  160k|1.00  9.00 |2781  5002 |0.69 0.68 0.48|2.0   0 487|   0     0 |bash                 2220 3.8%1706k  31k|bash                 2220 1706k  31k3.8%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 08 08:21:42 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:42| 13  20  67   0   0| 427M 4409M  163M 2735M|6729B 1890B|   0    32k|   0  8.00 |2900  4940 |0.69 0.68 0.48|1.0   0 349|   0     0 |systemd              1    4.8%   0    0 |bash                 2220 2953k  23k2.0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 08 08:21:43 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:43| 10   8  83   0   0| 552M 4283M  163M 2857M|8017B 2214B|   0     0 |   0     0 |3506  4911 |0.63 0.67 0.48|  0   0  85|   0     0 |systemd              1    5.5%   0    0 |bash                 2220  246k 656B  0%|mysqld       174M|   0     0 |  14    3    0    4    0
Apr 08 08:21:44 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:44|  9  14  76   0   0| 562M 4273M  163M 2857M|5745B 1944B|   0     0 |   0     0 |2200  3610 |0.63 0.67 0.48|1.0   0 295|   0     0 |keystone-manage      256254.0%2123k  79k|keystone-manage      256252123k  79k4.0%|mysqld       174M|   0     0 |  14    5    0    6    0
Apr 08 08:21:45 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:45| 23   3  74   1   0| 602M 4232M  163M 2858M|6491B 2160B| 120k  328k|7.00  19.0 | 718   736 |0.63 0.67 0.48|1.0   0   0|   0     0 |keystone-manage      25625 25%  10M 153k|keystone-manage      25625  10M 153k 25%|mysqld       174M|   0     0 |  14    5    0    6    0
Apr 08 08:21:46 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:46| 15   3  74   7   0| 632M 4200M  163M 2860M|6281B 1944B|  84k 7080k|7.00   374 |2437  4522 |0.63 0.67 0.48|  0 1.0   0|   0     0 |keystone-manage      25625 14%3784k 548k|keystone-manage      256253784k 548k 14%|mysqld       187M|   0     0 |  14    7    0    6    0
Apr 08 08:21:47 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:47|  9   6  71  15   0| 637M 4129M  163M 2924M|7256B 2160B|   0    72M|   0   834 |3115  8086 |0.63 0.67 0.48|  0 1.0   0|   0     0 |mysqld               235967.5%   0    0 |keystone-manage      25625  20k  11k4.0%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 08 08:21:48 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:48|  7   3  73  17   0| 639M 4125M  164M 2925M|  15k 2160B|   0  7120k|   0   598 |2548  6115 |0.74 0.69 0.49|  0 1.0   0|   0     0 |mysqld               235964.2%   0    0 |keystone-manage      25625  20k  12k3.5%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 08 08:21:49 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:49| 11   5  71  13   0| 641M 4122M  164M 2926M|8245B 1944B|   0  9200k|   0   792 |4028  9404 |0.74 0.69 0.49|3.0   0   0|   0     0 |mysqld               235967.5%   0    0 |python3.6            5973   43k  90k0.2%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 08 08:21:50 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:50| 12   6  63  20   0| 642M 4120M  164M 2926M|7557B 2106B|   0    79M|   0   844 |4726  8303 |0.74 0.69 0.49|2.0   0   0|   0     0 |keystone-manage      256256.5%  33k 241k|python3.6            5973  231k 483k1.2%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 08 08:21:51 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:51| 11   5  70  13   0| 645M 4116M  165M 2927M|6477B 1998B|   0  8384k|   0   650 |3990  7898 |0.74 0.69 0.49|  0 1.0   0|   0     0 |mysqld               235967.0%   0    0 |keystone-manage      25625  30k  19k5.5%|mysqld       198M|   0     0 |  14    7    0    6    0
Apr 08 08:21:52 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:52| 10   5  71  13   0| 646M 4114M  166M 2928M|6537B 2160B|   0  9224k|   0   741 |4313  9828 |0.74 0.69 0.49|2.0   0   0|   0     0 |mysqld               235967.0%   0    0 |python3.6            5973   71k 149k0.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 08 08:21:53 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:53| 24   5  66   6   0| 649M 4110M  166M 2929M|6224B 1944B|   0  5324k|   0   367 |7510    17k|0.76 0.69 0.49|  0 1.0 2.0|   0     0 |keystone-manage      25625 15%  75k 618k|python3.6            5973  602k1254k2.8%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 08 08:21:54 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:54| 16   5  69   9   0| 649M 4109M  166M 2930M|6845B 2106B|   0  9624k|   0   773 |5463    13k|0.76 0.69 0.49|1.0   0   0|   0     0 |keystone-manage      256259.5%  49k  32k|keystone-manage      25625  49k  32k9.5%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 08 08:21:55 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:55| 13   6  71  10   0| 585M 4172M  166M 2930M|  14k 2214B|   0    12M|   0   377 |2416  4571 |0.76 0.69 0.49|1.0   0  78|   0     0 |keystone-manage      257052.0%1277k  37k|bash                 2220   17M1881k0.5%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 08 08:21:56 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:56| 23   4  72   2   0| 628M 4128M  166M 2930M|5393B 1944B|   0  7192k|   0  98.0 |1060  1338 |0.76 0.69 0.49|1.0   0   0|   0     0 |keystone-manage      25705 25%  11M   0 |keystone-manage      25705  11M   0  25%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 08 08:21:57 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:57| 23   4  72   1   0| 601M 4155M  167M 2931M|5872B 2106B|   0  8304k|   0   129 |1292  1501 |0.76 0.69 0.49|1.0   0  11|   0     0 |keystone-manage      25716 12%5298k  37k|bash                 2220   16M  39k  0%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 08 08:21:58 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:58| 24   3  71   2   0| 645M 4109M  167M 2932M|7054B 1998B|   0  6420k|   0   137 |1247  1612 |0.78 0.70 0.49|1.0   0   0|   0     0 |keystone-manage      25716 25%  11M1362B|keystone-manage      25716  11M1362B 25%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 08 08:21:59 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:21:59| 11  21  68   0   0| 581M 4173M  167M 2933M|7238B 2160B|   0   168k|   0  17.0 |2703  5176 |0.78 0.70 0.49|1.0   0 452|   0     0 |bash                 2220 3.5%  18M  67k|bash                 2220   18M  67k3.5%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 08 08:22:00 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:00| 16  20  64   0   0| 580M 4173M  167M 2933M|8471B 1986B|   0    24k|   0  6.00 |4315  7844 |0.78 0.70 0.49|1.0   0 296|   0     0 |systemd              1    7.2%   0    0 |bash                 2220 2269k  15k1.2%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 08 08:22:01 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:01| 46  10  44   1   0| 671M 4082M  167M 2934M|  13k 2106B|   0  7064k|   0   401 |2117  2046 |0.78 0.70 0.49|2.0   0 132|   0     0 |uwsgi                26466 24%9031k  37k|uwsgi                26467  11M  37k 24%|mysqld       200M|   0     0 |  14    7    0    7    0
Apr 08 08:22:02 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:02| 46   6  47   1   0| 734M 4017M  167M 2936M|  18k 2214B| 140k    0 |3.00     0 | 883  4124 |0.78 0.70 0.49|2.0   0   0|   0     0 |uwsgi                26466 25%8057k  73k|uwsgi                264668057k  73k 25%|mysqld       200M|   0     0 |  14    7    0    7    0
Apr 08 08:22:03 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:03| 28  10  62   0   0| 760M 3990M  167M 2936M|7281B 1944B|   0     0 |   0     0 |2136  4369 |1.04 0.76 0.51|1.0   0 169|   0     0 |keystone-manage      26740 14%5097k  37k|keystone-manage      267405097k  37k 14%|mysqld       200M|   0     0 |  14    5    0    8    0
Apr 08 08:22:04 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:04| 24   3  73   0   0| 810M 3940M  167M 2936M|  11k 2160B|   0  1356k|   0  8.00 | 661   751 |1.04 0.76 0.51|1.0   0   0|   0     0 |keystone-manage      26740 25%  12M2860B|keystone-manage      26740  12M2860B 25%|mysqld       200M|   0     0 |  14    5    0    8    0
Apr 08 08:22:05 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:05| 23   4  72   1   0| 753M 3997M  167M 2936M|7602B 1944B|   0   536k|   0  57.0 |1594  2494 |1.04 0.76 0.51|1.0   0  54|   0     0 |openstack            268203.0%1466k   0 |bash                 2220   18M  50k  0%|mysqld       203M|   0     0 |  14    5    0   11    0
Apr 08 08:22:06 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:06| 23   4  73   0   0| 789M 3960M  167M 2936M|7059B 2160B|   0    12M|   0   186 | 945   966 |1.04 0.76 0.51|1.0   0 1.0|   0     0 |openstack            26820 25%9261k  37k|openstack            268209261k  37k 25%|mysqld       203M|   0     0 |  14    5    0   11    0
Apr 08 08:22:07 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:07| 21   4  72   3   0| 759M 3990M  167M 2936M|9252B 1944B|  72k  756k|18.0  7.00 |1511  2273 |1.04 0.76 0.51|1.0   0  60|   0     0 |uwsgi                264667.5% 131k9793B|bash                 2220   11M  39k  0%|mysqld       205M|   0     0 |  14   29    0   16    0
Apr 08 08:22:08 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:08| 24   2  74   0   0| 803M 3946M  167M 2936M|  14k 2160B|   0     0 |   0     0 | 721   764 |1.04 0.76 0.52|1.0   0 2.0|   0     0 |openstack            26882 25%  11M  37k|openstack            26882  11M  37k 25%|mysqld       205M|   0     0 |  14   29    0   16    0
Apr 08 08:22:09 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:09| 23   6  71   0   0| 791M 3959M  167M 2936M|6255B 2160B|   0     0 |   0     0 |1223  2103 |1.04 0.76 0.52|1.0   0 100|   0     0 |openstack            26982 15%6990k  37k|bash                 2220   11M  40k0.2%|mysqld       205M|   0     0 |  14   29    0   21    0
Apr 08 08:22:10 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:10| 23   4  73   0   0| 769M 3980M  167M 2937M|6308B 1944B|   0     0 |   0     0 |1257  2073 |1.04 0.76 0.52|1.0   0  21|   0     0 |openstack            270043.2%1927k   0 |bash                 2220   11M  41k  0%|mysqld       205M|   0     0 |  14   29    0   29    0
Apr 08 08:22:11 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:11| 23   3  73   0   0| 807M 3942M  167M 2937M|6432B 2160B|   0  3292k|   0  38.0 |1096  1575 |1.04 0.76 0.52|1.0   0 1.0|   0     0 |openstack            27004 22%9296k  37k|openstack            270049296k  37k 22%|mysqld       205M|   0     0 |  14   31    0   35    0
Apr 08 08:22:12 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:12| 22   6  72   0   0| 795M 3954M  167M 2937M|5071B 1944B|   0   632k|   0  11.0 |1161  1791 |1.04 0.76 0.52|1.0   0  74|   0     0 |openstack            27078 16%6835k  37k|bash                 2220   11M  37k  0%|mysqld       205M|   0     0 |  14   29    0   37    0
Apr 08 08:22:13 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:13| 25   3  72   0   0| 813M 3936M  167M 2937M|7355B 2160B|   0   260k|   0  12.0 |1455  2520 |1.03 0.76 0.52|1.0   0 2.0|   0     0 |openstack            27078 16%4396k 605B|openstack            270784396k 605B 16%|mysqld       205M|   0     0 |  14   29    0   46    0
Apr 08 08:22:14 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:14| 21   6  73   0   0| 799M 3950M  167M 2937M|  17k 1944B|   0   356k|   0  6.00 |1104  1565 |1.03 0.76 0.52|1.0   0 101|   0     0 |openstack            27181 19%7964k  37k|bash                 2220   11M  44k0.5%|mysqld       205M|   0     0 |  14   29    0   45    0
Apr 08 08:22:15 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:15| 21   6  73   0   0| 781M 3968M  167M 2937M|7955B 2160B|   0     0 |   0     0 |1199  1873 |1.03 0.76 0.52|1.0   0  69|   0     0 |openstack            272509.5%3811k  37k|bash                 2220   11M  40k0.2%|mysqld       205M|   0     0 |  14   29    0   50    0
Apr 08 08:22:16 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:16| 24   2  74   0   0| 812M 3937M  167M 2937M|9006B 2160B|   0   964k|   0  48.0 |1014  1282 |1.03 0.76 0.52|1.0   0   0|   0     0 |openstack            27250 20%7435k   0 |openstack            272507435k   0  20%|mysqld       205M|   0     0 |  14   31    0   55    0
Apr 08 08:22:17 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:17| 21   6  72   0   0| 793M 3956M  167M 2937M|6882B 1986B|   0   660k|   0  9.00 |1138  1448 |1.03 0.76 0.52|1.0   0  71|   0     0 |openstack            27321 15%5687k  37k|bash                 2220   11M  40k  0%|mysqld       205M|   0     0 |  14   29    0   56    0
Apr 08 08:22:18 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:18| 24   4  72   0   0| 768M 3981M  167M 2937M|6845B 2106B|   0   316k|   0  10.0 |1016  1624 |1.03 0.77 0.52|1.0   0  32|   0     0 |uwsgi                264672.5%2534B7792B|bash                 2220   11M  40k0.2%|mysqld       205M|   0     0 |  14   29    0   60    0
Apr 08 08:22:19 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:19| 22   4  74   0   0| 804M 3944M  167M 2937M|  14k 1998B|   0   356k|   0  11.0 | 791  1037 |1.03 0.77 0.52|2.0   0  37|   0     0 |openstack            27390 24%8817k  37k|openstack            273908817k  37k 24%|mysqld       205M|   0     0 |  14   29    0   60    0
Apr 08 08:22:20 cloud-provider-iscsi-0000000193 dstat.sh[24315]: 08-04 08:22:20| 21   6  73   0   0| 779M 3970M  167M 2937M|9043B 2202B|   0   320k|   0  9.00 |1249  1866 |1.03 0.77 0.52|2.0   0  72|   0     0 |openstack            274639.2%2541k   0 |bash                 2220   11M  40k0.2%|mysqld       205M|   0     0 |  14   29    0   64    0
