"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000323",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Apr 2020 21:18:39 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-04 21:18:39,0.661,0.216,99.009,0.078,0.036,441425920,4217192448,149798912,3302662144,0,0,15415.049,424497.937,0.550,3.649,284.724,305.909,0.640,0.670,0.480,2,0,2.592,0,0,12,3,0,4,0
17-04 21:18:40,10.256,19.231,70.256,0,0.256,441008128,4216868864,149798912,3302993920,17967,2160,24576,208896,1,6,2435,4916,0.640,0.670,0.480,2,0,439,0,0,12,3,0,4,0
17-04 21:18:41,15.365,18.640,65.743,0,0.252,441344000,4215910400,149798912,3303526400,8536,2202,0,36864,0,9,2895,5330,0.670,0.670,0.480,1,0,383,0,0,12,3,0,4,0
17-04 21:18:42,9.114,10.127,80.506,0,0.253,573042688,4083666944,149798912,3431739392,7058,2052,0,0,0,0,3141,4449,0.670,0.670,0.480,1,0,93,0,0,14,3,0,4,0
17-04 21:18:43,6.266,14.787,78.947,0,0,573546496,4083068928,149798912,3431768064,8346,2160,0,0,0,0,2021,3352,0.670,0.670,0.480,1,0,294,0,0,14,5,0,6,0
17-04 21:18:44,21.303,3.008,73.183,2.256,0.251,621957120,4034334720,149798912,3432091648,7828,2052,122880,6258688,7,138,953,818,0.670,0.670,0.480,1,0,1,0,0,14,5,0,6,0
17-04 21:18:45,15.657,3.030,73.232,8.081,0,657555456,3996299264,150044672,3434283008,14770,2160,86016,7057408,7,335,2231,4133,0.670,0.670,0.480,0,0,2,0,0,14,7,0,7,0
17-04 21:18:46,7.848,5.316,71.646,14.937,0.253,663187456,3920420864,150540288,3502538752,6876,2160,0,78319616,0,1005,4349,9203,0.770,0.690,0.490,1,0,0,0,0,14,7,0,6,0
17-04 21:18:47,9.924,4.580,71.247,14.249,0,665919488,3916173312,151044096,3503431680,6870,2160,0,9629696,0,810,4080,8872,0.770,0.690,0.490,1,1,0,0,0,14,7,0,6,0
17-04 21:18:48,15.617,4.786,70.277,9.068,0.252,667684864,3913003008,151683072,3504205824,10069,2106,0,8601600,0,697,4267,12641,0.770,0.690,0.490,1,0,0,0,0,14,7,0,6,0
17-04 21:18:49,9.391,5.076,70.558,14.721,0.254,672378880,3907096576,152117248,3504926720,9320,2256,0,58163200,0,912,4115,8542,0.770,0.690,0.490,0,2,0,0,0,14,7,0,6,0
17-04 21:18:50,11.335,5.038,68.514,15.113,0,671866880,3906715648,152674304,3505221632,8210,2160,0,38260736,0,902,3551,7382,0.770,0.690,0.490,1,1,0,0,0,14,7,0,6,0
17-04 21:18:51,18.953,4.988,69.327,6.484,0.249,673193984,3903651840,153104384,3506475008,9124,2160,0,6156288,0,432,3486,11497,0.950,0.730,0.500,0,1,0,0,0,14,7,0,6,0
17-04 21:18:52,15.404,4.545,69.444,10.606,0,674418688,3901030400,153473024,3507449856,10054,2052,0,8048640,0,639,4697,12746,0.950,0.730,0.500,0,1,0,0,0,14,7,0,6,0
17-04 21:18:53,17.884,4.282,70.277,7.305,0.252,601915392,3973001216,153718784,3507716096,10310,2052,0,6696960,0,485,4483,10855,0.950,0.730,0.500,1,0,24,0,0,14,5,0,7,0
17-04 21:18:54,20.603,5.528,73.618,0.251,0,644534272,3929948160,153743360,3508117504,10920,2160,0,8155136,0,155,1257,1858,0.950,0.730,0.500,2,0,54,0,0,14,5,0,7,0
